County,heat2013,heat2060,dheat_dmonth,rain2013,rain2060,drain_dmonth,dry2013,dry2060,ddry_dmonth
Alameda,15.7,41.5,0.045744681,0,2.8,0.004964539,322.2,285.9,-0.064361702
Allegheny,3.5,53.6,0.088829787,2.4,3.9,0.002659574,142.3,156.2,0.02464539
Allen,5.5,62.1,0.10035461,5.5,5,-0.000886525,181.4,180.4,-0.00177305
Arapoe,39.3,80.8,0.07358156,1.3,1.3,0,231.1,244,0.02287234
Baltimore City,16.5,79.2,0.111170213,5.5,12.8,0.012943262,170,199.5,0.052304965
Bernalillo,38.1,93.7,0.09858156,1.1,0.8,-0.000531915,266.9,275.2,0.014716312
Bexar,111.3,170.2,0.104432624,6.3,5.2,-0.001950355,243.8,250.5,0.011879433
Clark,101.3,146,0.079255319,0.4,6.2,0.010283688,321.7,323.8,0.003723404
Collin,91.8,137.6,0.081205674,4.7,6.6,0.003368794,231.6,241.1,0.016843972
Cook,9.2,66.1,0.100886525,5.3,6,0.001241135,176.2,40.3,-0.240957447
Cuyahoga,5.3,47.3,0.074468085,5.6,4.6,-0.00177305,156.2,160.1,0.006914894
Dallas,99.5,142.9,0.076950355,4.8,6.3,0.002659574,234.7,249.7,0.026595745
Dane,7.2,44,0.065248227,9.1,5.1,-0.007092199,181.5,36.8,-0.256560284
Davidson,21.3,103.7,0.146099291,11.6,9.9,-0.003014184,172.4,192.7,0.035992908
Denver,40.1,71.5,0.055673759,3.4,16.4,0.023049645,224.5,239.9,0.027304965
District of Columbia,24.4,84.3,0.106205674,7.9,9.4,0.002659574,194.6,189.5,-0.009042553
Douglas,25.3,75.5,0.089007092,2.8,31.7,0.051241135,225.7,225.6,-0.000177305
Durham,14.2,100.2,0.15248227,7.5,7,-0.000886525,169.4,188.8,0.034397163
Duvall,28.7,131.5,0.182269504,11.7,10.8,-0.001595745,164.4,50.9,-0.201241135
El Paso,17.7,52.7,0.062056738,1.6,0.5,-0.001950355,315,240.6,-0.131914894
Erie,0.5,29,0.050531915,6.6,3.7,-0.005141844,138.2,139.1,0.001595745
Essex,15,54.4,0.069858156,4.7,10.8,0.010815603,189.1,185,-0.007269504
Fayette,7.9,78.4,0.125,12.3,7.3,-0.008865248,161.2,180.3,0.033865248
Franklin,6.8,69.1,0.110460993,5,4.2,-0.00141844,40.7,178.6,0.244503546
Fresno,67.6,92.4,0.043971631,0,5.3,0.009397163,308.5,292.8,-0.027836879
Fulton,70.3,77.7,0.013120567,17.5,54.3,0.065248227,171.1,54.3,-0.207092199
Guilford,5.6,92.2,0.153546099,4.3,8.3,0.007092199,153.8,187.7,0.060106383
Hamilton,9.3,79.8,0.125,5.9,5.5,-0.00070922,158.7,182.4,0.042021277
Harris,95.9,147.6,0.091666667,10.8,44.9,0.060460993,213.6,44.9,-0.299113475
Hennepin,6.6,46.3,0.070390071,4.4,33.5,0.051595745,191,208.8,0.031560284
Hillsborough,71.8,177,0.186524823,9.7,9.7,0,178.3,190.2,0.021099291
Hudson,15.9,53.3,0.066312057,8.3,12.1,0.006737589,227.5,202.1,-0.045035461
Jackson,27.1,91.6,0.114361702,4.5,7.3,0.004964539,218.9,39.6,-0.317907801
Jefferson,11.1,94.4,0.147695035,9.8,7.2,-0.004609929,170.8,182.5,0.020744681
Kern,86.1,118.9,0.058156028,0,0.9,0.001595745,329.9,314.6,-0.02712766
King,0.2,10.3,0.017907801,17.1,77.7,0.107446809,138.7,148.8,0.017907801
Lancaster,27.9,82.6,0.096985816,3,5,0.003546099,226,231.8,0.010283688
Los Angeles,54.1,85.7,0.056028369,0.4,4,0.006382979,327.1,317.9,-0.016312057
Lubbock,86.3,136.1,0.088297872,0.7,1.7,0.00177305,280.3,17.2,-0.466489362
Lucas,9.1,60.9,0.091843972,6.7,4.2,-0.004432624,198.1,189.5,-0.015248227
Maricopa,157.4,193.9,0.064716312,1.1,8.2,0.012588652,312.5,317.5,0.008865248
Marion,10.8,71.6,0.107801418,10.1,7.5,-0.004609929,195.1,186.5,-0.015248227
Mecklenburg,11.9,104.4,0.164007092,10.4,8.5,-0.003368794,175.7,195.4,0.034929078
Miami-Dade,59.9,181.2,0.215070922,10.8,8.4,-0.004255319,159.8,166.8,0.012411348
Milwaukee,7.7,45.3,0.066666667,7.1,5.6,-0.002659574,193.6,199.8,0.010992908
