county_1, county_2, net_mig, distance
0, 1, 7, 2236
0, 2, -20, 1967
0, 3, -42, 955
0, 4, 45, 2426
0, 5, 5, 865
0,6, -59, 1454
0, 7, -26, 392
0, 8, -1, 1454
0, 9, 13, 1821
0, 10, -52, 2141
0,11, -44, 1452
0, 12, 12, 1739
0, 13, -8, 1931
0, 14, 16, 927
0, 15, -27, 2411
0, 16, -8, 1390
0, 17, -20, 2360
0, 18, -3, 2340
0, 19, 14, 944
0, 20, -21, 975
0, 21, 40, 2280
0, 22, -42, 2529
0, 23, 81, 2028
0, 24, 33, 2083
0, 25, 63, 137
0, 26, -39, 2102
0, 27, 25, 2311
0, 28, -12, 2011
0, 29, 66, 1607
0, 30, -33, 1550
0, 31, 142, 2376
0, 32, 26, 2539
0, 33, 30, 1490
0, 34, 11, 1962
0, 35, -6, 236
0, 36, -169, 680
0, 37, -26, 1362
0, 38, -28, 307
0, 39, -9, 1158
0, 40, 28, 2037
0, 41, -101, 605
0, 42, 19, 1920
0, 43, 29, 2270
0, 44, -14, 2546
0, 45, 25, 1812
0, 46, -44, 546
0, 47, -16, 2544
0, 48, -9, 1561
0, 49, 71, 1361
0, 50, 116, 357
0, 51, 78, 2408
0, 52, -14, 1898
0, 53, 90, 2493
0, 54, -30, 687
0, 55, 146, 2353
0, 56, -24, 1568
0, 57, -55, 426
0, 58, 7, 64
0, 59, 95, 430
0, 60, -1, 31
0, 61, 8, 39
0, 62, -53, 30
0, 63, 7, 1332
0, 64, -15, 1778
0, 65, -77, 1701
0, 66, -25, 2670
0, 67, -2, 1424
0, 68, -19, 1465
0, 69, 3, 1433
0, 70, 7, 2498
0, 71, 6, 2377
0, 72, -73, 2051
0, 73, 0, 1473
1, 2, 81, 269
1, 3, 99, 1285
1, 4, 77, 195
1, 5, -36, 1498
1, 6, -47, 1292
1, 7, -49, 1909
1, 8, 4, 1043
1, 9, 12, 418
1, 10, -14, 109
1, 11, -57, 1070
1, 12, 33, 518
1, 13, 1, 473
1, 14, 58, 1312
1, 15, 22, 191
1, 16, 9, 846
1, 17, 32, 312
1, 18, 22, 707
1, 19, 1, 1306
1, 20, -12, 1577
1, 21, -103, 171
1, 22, -8, 301
1, 23, 37, 292
1, 24, 52, 163
1, 25, 5, 2139
1, 26, 59, 522
1, 27, -19, 303
1, 28, 27, 257
1, 29, -45, 1135
1, 30, 14, 752
1, 31, -35, 876
1, 32, -22, 311
1, 33, 32, 769
1, 34, 63, 342
1, 35, -27, 2125
1, 36, 1, 2108
1, 37, 50, 874
1, 38, -243, 2125
1, 39, -15, 1290
1, 40, 45, 206
1, 41, -131, 1850
1, 42, -34, 329
1, 43, 46,363
1, 44, -39, 1027
1, 45, 11, 446
1, 46, 50, 2147
1, 47, 18, 317
1, 48, -1,1335
1, 49, 74, 1005
1, 50, 78, 2117
1, 51, -5, 828
1, 52, 43, 911
1, 53, 89,257
1, 54, -21, 1852
1, 55, -63, 880
1, 56, 36, 735
1, 57, -49, 2024
1, 58, -61, 2190
1, 59, -39, 2083
1, 60, -1, 2262
1, 61, -26, 2198
1, 62, 23, 2235
1, 63, -12, 955
1, 64, -12, 651
1, 65, -23, 571
1, 66, 13, 479
1, 67, -67, 1094
1, 68, -25, 1219
1, 69, -15, 914
1, 70, -8, 332
1, 71, 7, 331
1, 72, -32, 212
1, 73, -1, 1407
2, 3, 24, 1018
2, 4, 20, 462
2, 5, 16, 1243
2, 6, -37, 1104
2, 7, -13, 1643
2, 8, 3, 835
2, 9, 85, 151
2, 10, 68, 178
2, 11, 34, 864
2, 12, 37, 261
2, 13, -19, 353
2, 14, 30, 1044
2, 15, 21, 452
2, 16, 55, 576
2, 17, 45, 484
2, 18, 61, 768
2, 19, 36, 1040
2, 20, -14, 1337
2, 21, -39, 345
2, 22, 0, 564
2, 23, 21, 214
2, 24, -8, 133
2, 25, 41, 1871
2, 26, 37, 506
2, 27, -5, 449
2, 28, 14, 135
2, 29, 121, 969
2, 30, -16, 503
2, 31, 63, 924
2, 32, 62, 574
2, 33, 5, 512
2, 34, -9, 204
2, 35, 1, 1859
2, 36, 15, 1851
2, 37, 5, 606
2, 38, 52, 1860
2, 39, -1, 1053
2, 40, 21, 81
2, 41, -90, 1593
2, 42, -18, 107
2, 43, 21, 465
2, 44, 62, 1101
2, 45, -11, 198
2, 46, -169, 1885
2, 47, -81, 580
2, 48, -16, 1167
2, 49, 73, 770
2, 50, 43, 1854
2, 51, -9, 893
2, 52, 53, 811
2, 53, 19, 526
2, 54, -22, 1600
2, 55, 63, 919
2, 56, -44, 487
2, 57, -38, 1762
2, 58, -49, 1920
2, 59, 85, 1822
2, 60, 11, 1993
2, 61, 34, 1928
2, 62, -23, 1966
2, 63, -45, 702
2, 64, -17, 485
2, 65, -3, 332
2, 66, -48, 726
2, 67, -61, 885
2, 68, -25, 1029
2, 69, -1, 680
2, 70, -11, 569
2, 71, 6, 505
2, 72, -50, 122
