0,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
1,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
2,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
3,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
4,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
5,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
6,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
7,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
8,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
9,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
10,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
11,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
12,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
13,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
14,"[97, -80, 403, 391, 195, 280, -461, -617, -187, -1141, 134, -699, 692, 326, 336, 354, 312, 638, 219, 133, -203, 27, 204, 395, 264, 334, 228, 633, 514, -1020, 295, -191, 724, 610, 461, -161, -134, 212, -2248, 54, 729, -1194, 119, 192, -100, 202, 10, -132, -66, 270, 55, -26, 529, -84, -271, 486, 456, -572, -283, -458, -72, 70, -304, 24, -101, -59, -76, -487, -347, -116, -31, -268, -370, -48]"
