,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[18, 17, 4, 7, 8, 8, 20, 23, 9, 64, 17, 28, 6, 8, 8, 8, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 47, 16, 15, 8, 9, 10, 8, 26, 3, 107, 3, 5, 47, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 4, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[-1, 2, 8, 3, -5, -15, 2, -27, 11, -29, 5, -21, -7, 14, -2, -12, 7, 10, -6, 3, -3, -8, -4, 11, -4, -1, -11, 10, 8, 14, -9, -13, 1, -7, 2, 14, -31, 2, -54, -9, 12, -28, 19, 8, 8, -9, 8, -8, -3, 12, 1, 1, 15, 9, -1, 10, -1, 6, 8, -4, 4, 8, 0, -4, 11, 14, -4, 19, 5, 6, -2, 15, 14, 3]","[546, 522, 144, 231, 238, 250, 612, 698, 306, 1912, 543, 853, 202, 274, 262, 249, 209, 121, 326, 242, 251, 372, 271, 135, 470, 284, 359, 206, 332, 1466, 467, 460, 245, 260, 310, 272, 777, 118, 3180, 96, 190, 1396, 379, 372, 831, 366, 314, 723, 121, 296, 1007, 829, 163, 593, 378, 406, 203, 689, 524, 1077, 348, 227, 611, 189, 357, 416, 285, 689, 426, 247, 163, 365, 677, 72]","[16, 23, 6, 4, 6, 6, 14, 8, 3, 56, 13, 12, 3, 4, 10, 10, 8, 3, 9, 5, 9, 12, 11, 3, 9, 13, 10, 6, 13, 29, 21, 13, 7, 13, 7, 5, 20, 2, 103, 3, 5, 34, 12, 14, 32, 16, 9, 29, 3, 10, 22, 27, 4, 15, 17, 18, 7, 22, 18, 30, 12, 3, 18, 5, 8, 14, 8, 10, 3, 8, 4, 9, 29, 0]",35000
2,"[18, 17, 4, 7, 7, 8, 20, 23, 10, 63, 18, 28, 6, 9, 8, 8, 6, 4, 10, 8, 8, 12, 9, 4, 15, 9, 11, 6, 11, 48, 15, 15, 8, 8, 10, 9, 25, 3, 106, 3, 6, 46, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 5, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 22, 14, 8, 5, 12, 22, 2]","[-14, -15, 23, 15, -1, 5, -1, -86, 5, -55, -4, -49, -10, 55, -2, 0, 6, 18, 3, -1, 4, -16, -16, 6, 33, 20, -14, 18, 19, -14, 2, -14, -18, -1, 2, 3, -33, 2, -141, -9, 16, -62, 42, 18, 15, 1, 19, -44, 8, 3, -20, 29, 38, 3, -14, 46, 15, 15, -1, -13, -1, 39, -16, 14, 43, -3, -18, 20, 5, 8, -13, 43, 46, -6]","[539, 505, 159, 248, 246, 270, 617, 638, 307, 1896, 533, 832, 199, 316, 261, 265, 208, 130, 339, 243, 262, 367, 265, 133, 514, 311, 355, 216, 347, 1461, 488, 464, 228, 267, 314, 264, 785, 117, 3125, 98, 197, 1367, 408, 392, 841, 383, 326, 696, 131, 287, 999, 866, 188, 585, 369, 440, 217, 700, 524, 1076, 350, 259, 603, 209, 394, 403, 274, 696, 428, 251, 153, 399, 712, 64]","[12, 17, 4, 2, 3, 8, 12, 24, 3, 53, 19, 21, 6, 8, 9, 4, 6, 3, 6, 3, 4, 9, 3, 1, 8, 3, 12, 4, 7, 25, 5, 10, 6, 7, 6, 6, 15, 4, 74, 1, 3, 41, 6, 2, 24, 5, 9, 15, 5, 9, 20, 18, 3, 21, 8, 15, 8, 20, 8, 27, 4, 6, 12, 4, 6, 9, 6, 16, 12, 6, 4, 6, 19, 1]",35319
3,"[17, 16, 5, 8, 8, 9, 20, 21, 10, 63, 17, 27, 6, 10, 8, 8, 6, 4, 11, 8, 8, 12, 8, 4, 17, 10, 11, 7, 11, 48, 16, 15, 7, 8, 10, 8, 26, 3, 104, 3, 6, 45, 13, 13, 28, 12, 10, 23, 4, 9, 33, 28, 6, 19, 12, 14, 7, 23, 17, 35, 11, 8, 20, 6, 13, 13, 9, 23, 14, 8, 5, 13, 23, 2]","[-14, 3, 25, 17, -15, -4, -40, -101, 11, -113, 2, -97, -17, 112, 0, 1, 30, 29, -1, 27, -10, -6, -39, 16, 37, 41, -14, 30, 10, -120, 33, 5, -30, 0, 22, -10, -45, -4, -327, 2, 42, -97, 38, 3, 68, -6, 12, -79, 26, 26, 0, 46, 89, 50, -14, 59, 43, 10, -11, 10, 28, 58, -14, 22, 55, 11, -23, 47, -16, 0, -4, 44, 36, -5]","[548, 525, 166, 257, 232, 266, 586, 634, 318, 1867, 549, 802, 197, 375, 266, 269, 235, 142, 342, 277, 249, 384, 244, 146, 528, 334, 360, 227, 341, 1381, 522, 491, 218, 275, 336, 257, 781, 111, 2993, 108, 222, 1343, 410, 383, 900, 375, 320, 666, 152, 314, 1031, 893, 240, 641, 366, 452, 249, 702, 517, 1120, 390, 282, 618, 219, 408, 417, 273, 734, 413, 242, 160, 408, 710, 67]","[8, 14, 0, 1, 8, 4, 12, 10, 5, 34, 7, 9, 1, 8, 5, 5, 3, 3, 4, 2, 7, 5, 6, 1, 7, 8, 6, 8, 8, 22, 13, 7, 5, 1, 8, 2, 18, 3, 50, 4, 7, 34, 7, 7, 22, 13, 9, 18, 1, 5, 21, 18, 5, 10, 15, 15, 3, 16, 14, 14, 0, 4, 7, 4, 11, 13, 5, 12, 8, 9, 7, 5, 15, 0]",35776
4,"[18, 17, 5, 8, 7, 8, 19, 21, 10, 62, 18, 26, 6, 12, 8, 8, 7, 4, 11, 9, 8, 12, 8, 4, 17, 11, 12, 7, 11, 46, 17, 16, 7, 9, 11, 8, 26, 3, 99, 3, 7, 44, 13, 12, 30, 12, 10, 22, 5, 10, 34, 29, 8, 21, 12, 15, 8, 23, 17, 37, 13, 9, 20, 7, 13, 13, 9, 24, 13, 8, 5, 13, 23, 2]","[-51, -10, 47, 19, -22, -1, -123, -150, 29, -276, 22, -135, -25, 213, 10, 19, 41, 29, 1, 25, -18, -26, -36, 31, 27, 73, -25, 63, 38, -132, 22, -6, 13, 13, 64, -19, -80, 15, -510, 18, 34, -167, 67, 7, 117, 4, 28, -87, 23, 6, -17, 42, 155, 72, -17, 113, 67, 10, 23, 63, 29, 64, -7, 11, 57, 21, -12, 47, -29, -19, -14, 58, 71, -7]","[527, 519, 190, 262, 228, 269, 512, 592, 345, 1741, 571, 775, 191, 479, 280, 292, 253, 141, 348, 279, 242, 370, 250, 163, 525, 366, 356, 262, 374, 1395, 518, 491, 261, 288, 383, 250, 760, 130, 2854, 122, 218, 1297, 445, 398, 958, 389, 343, 666, 152, 300, 1017, 900, 308, 670, 367, 502, 274, 710, 557, 1195, 389, 296, 640, 210, 415, 435, 290, 743, 409, 230, 154, 434, 754, 65]","[2, 10, 3, 5, 4, 8, 10, 14, 1, 25, 16, 15, 4, 9, 4, 3, 0, 5, 7, 5, 7, 6, 5, 2, 10, 11, 5, 5, 6, 20, 10, 5, 7, 9, 6, 6, 12, 3, 55, 5, 3, 20, 7, 1, 21, 8, 3, 14, 2, 4, 31, 18, 6, 14, 8, 19, 7, 15, 11, 15, 15, 1, 5, 5, 8, 5, 3, 15, 4, 1, 1, 1, 14, 2]",36284
5,"[17, 17, 6, 8, 7, 8, 17, 19, 11, 58, 19, 25, 6, 15, 9, 9, 8, 4, 11, 9, 8, 12, 8, 5, 17, 12, 11, 8, 12, 46, 17, 16, 8, 9, 12, 8, 25, 4, 95, 4, 7, 43, 14, 13, 31, 12, 11, 22, 5, 10, 33, 30, 10, 22, 12, 16, 9, 23, 18, 39, 12, 9, 21, 7, 13, 14, 9, 24, 13, 7, 5, 14, 25, 2]","[-62, -5, 84, 13, -49, -4, -173, -204, 10, -407, -24, -138, 1, 261, 17, 11, 60, 48, -18, 59, -39, -14, -39, 34, 67, 36, 87, 46, 90, -109, 4, 22, 18, 24, 71, -37, -128, 30, -692, 26, 72, -231, 151, -11, 161, -45, 66, -132, 34, 10, -26, 49, 230, 82, -23, 143, 62, -48, 14, 126, 29, 67, -1, 84, 60, 25, 4, 53, -69, -42, -16, 46, 114, -15]","[526, 533, 229, 263, 205, 267, 473, 547, 334, 1638, 531, 786, 220, 534, 286, 283, 276, 164, 332, 319, 224, 388, 253, 170, 576, 335, 473, 249, 434, 1442, 508, 530, 270, 303, 395, 236, 725, 147, 2716, 132, 262, 1259, 535, 386, 1010, 347, 386, 631, 166, 309, 1017, 915, 388, 691, 367, 535, 275, 668, 551, 1278, 391, 300, 661, 287, 424, 443, 312, 757, 379, 208, 156, 428, 803, 58]","[7, 8, 4, 1, 3, 7, 6, 10, 3, 30, 13, 11, 3, 8, 10, 10, 4, 0, 8, 3, 5, 6, 2, 1, 6, 6, 6, 4, 4, 22, 9, 5, 4, 5, 7, 4, 12, 2, 51, 2, 1, 17, 8, 7, 23, 5, 6, 12, 2, 5, 24, 22, 5, 11, 6, 13, 3, 7, 15, 19, 10, 8, 6, 3, 7, 10, 3, 16, 3, 6, 1, 8, 19, 1]",36835
6,"[17, 17, 7, 8, 6, 8, 15, 18, 11, 54, 17, 26, 7, 17, 9, 9, 9, 5, 11, 10, 7, 12, 8, 5, 19, 11, 15, 8, 14, 48, 16, 17, 9, 10, 13, 7, 24, 4, 90, 4, 8, 41, 17, 12, 33, 11, 12, 21, 5, 10, 33, 30, 12, 23, 12, 17, 9, 22, 18, 42, 13, 10, 22, 9, 14, 14, 10, 25, 12, 6, 5, 14, 26, 1]","[-28, -8, 130, 29, -29, -6, -181, -241, -7, -570, -17, -169, 10, 342, 53, 19, 74, 39, 3, 45, -69, -26, -28, 46, 36, 6, 254, 88, 100, -167, -14, 27, 59, 49, 131, -51, -93, 53, -914, 54, 85, -363, 154, 2, 133, -43, 98, -65, 20, 0, -75, 102, 276, 137, -48, 234, 65, -118, 19, 82, 60, 59, -2, 105, 63, 20, 5, 21, -86, -66, -24, 15, 124, -18]","[569, 537, 278, 285, 229, 268, 471, 521, 320, 1511, 550, 764, 234, 624, 330, 294, 295, 156, 356, 313, 195, 380, 269, 183, 555, 313, 646, 293, 456, 1418, 496, 546, 315, 330, 465, 227, 775, 169, 2549, 163, 280, 1150, 544, 406, 991, 355, 423, 704, 153, 305, 986, 994, 439, 755, 349, 630, 282, 610, 562, 1252, 431, 302, 668, 311, 439, 446, 314, 741, 371, 187, 152, 407, 826, 55]","[8, 10, 4, 2, 2, 5, 9, 7, 8, 18, 5, 17, 2, 8, 1, 6, 4, 4, 8, 2, 6, 8, 3, 4, 9, 3, 9, 6, 2, 14, 10, 6, 5, 8, 3, 2, 9, 5, 35, 1, 3, 18, 11, 5, 24, 5, 7, 15, 4, 4, 15, 4, 7, 14, 5, 13, 5, 10, 12, 24, 4, 0, 14, 6, 2, 6, 9, 9, 3, 3, 1, 4, 13, 1]",37468
7,"[18, 17, 9, 9, 7, 8, 15, 17, 10, 50, 18, 25, 7, 20, 11, 9, 9, 5, 11, 10, 6, 12, 8, 6, 18, 10, 21, 9, 15, 47, 16, 18, 10, 11, 15, 7, 25, 5, 84, 5, 9, 38, 18, 13, 33, 11, 14, 23, 5, 10, 32, 33, 14, 25, 11, 21, 9, 20, 18, 41, 14, 10, 22, 10, 14, 14, 10, 24, 12, 6, 5, 13, 27, 1]","[-20, -23, 153, 60, -29, 4, -170, -242, -40, -649, -30, -250, 11, 374, 72, 12, 62, 40, 41, 92, -76, -77, -15, 30, 16, 32, 389, 122, 132, -209, 15, 12, 63, 135, 163, -7, -97, 88, -1225, 72, 108, -371, 151, -1, 94, 2, 133, -37, -7, 5, -47, 97, 284, 90, -27, 309, 86, -139, 48, 5, 1, 119, 0, 177, 34, 9, 15, -51, -128, -75, -30, -4, 144, -25]","[589, 535, 305, 319, 230, 283, 490, 533, 293, 1464, 533, 698, 238, 670, 358, 290, 284, 161, 402, 365, 191, 337, 288, 169, 542, 342, 796, 329, 501, 1398, 530, 543, 323, 421, 500, 276, 785, 208, 2291, 179, 309, 1149, 554, 410, 968, 400, 462, 745, 130, 318, 1029, 1004, 456, 723, 377, 709, 308, 599, 606, 1197, 380, 365, 679, 387, 411, 447, 330, 686, 339, 184, 147, 391, 860, 49]","[6, 4, 5, 6, 6, 3, 7, 4, 4, 18, 22, 10, 4, 6, 2, 6, 8, 1, 3, 5, 3, 4, 2, 4, 11, 7, 6, 7, 2, 25, 11, 6, 6, 6, 12, 2, 11, 1, 31, 7, 3, 31, 5, 6, 17, 11, 10, 10, 1, 2, 17, 18, 5, 10, 4, 17, 4, 10, 3, 19, 6, 7, 13, 6, 13, 2, 4, 7, 2, 0, 4, 10, 13, 0]",38097
8,"[19, 17, 10, 10, 7, 9, 16, 17, 9, 48, 17, 23, 7, 22, 11, 9, 9, 5, 13, 12, 6, 11, 9, 5, 18, 11, 26, 10, 16, 46, 17, 18, 10, 14, 16, 9, 26, 6, 76, 5, 10, 38, 18, 13, 32, 13, 15, 24, 4, 10, 34, 33, 15, 24, 12, 23, 10, 19, 20, 39, 12, 12, 22, 12, 13, 14, 11, 22, 11, 6, 4, 13, 28, 1]","[-44, 24, 200, 68, -7, -4, -196, -282, -40, -709, -40, -328, 88, 393, 66, 62, 54, 81, 116, 31, -83, -83, -70, 61, 24, 1, 481, 135, 196, -368, -22, 27, 109, 180, 167, 30, -161, 100, -1344, 167, 174, -521, 145, -11, 22, 107, 198, 15, -13, -22, -52, 115, 332, 108, -68, 365, 102, -171, 28, -100, -5, 94, 58, 222, 47, -62, 54, -176, -118, -45, -4, -13, 144, -29]","[574, 593, 360, 332, 254, 278, 475, 504, 299, 1428, 532, 637, 319, 704, 358, 344, 282, 202, 484, 313, 187, 337, 240, 201, 561, 321, 898, 347, 571, 1268, 504, 566, 372, 470, 516, 316, 738, 217, 2215, 274, 378, 1021, 558, 404, 911, 510, 531, 808, 122, 296, 1036, 1040, 515, 756, 344, 778, 326, 575, 600, 1111, 383, 348, 752, 439, 429, 387, 375, 569, 351, 219, 176, 390, 874, 45]","[10, 6, 2, 5, 5, 6, 5, 6, 3, 24, 8, 6, 3, 7, 5, 5, 3, 5, 6, 3, 3, 5, 2, 4, 7, 1, 16, 5, 10, 17, 6, 10, 7, 10, 4, 6, 9, 9, 33, 5, 7, 16, 8, 9, 17, 8, 11, 13, 6, 5, 22, 15, 4, 9, 4, 10, 8, 11, 6, 20, 3, 4, 7, 5, 8, 3, 5, 14, 9, 1, 1, 5, 14, 1]",38748
9,"[19, 19, 12, 11, 8, 9, 15, 16, 9, 47, 17, 21, 10, 23, 11, 11, 9, 6, 16, 10, 6, 11, 8, 6, 18, 10, 29, 11, 19, 42, 16, 18, 12, 15, 17, 10, 24, 7, 73, 9, 12, 34, 18, 13, 30, 17, 17, 26, 4, 9, 34, 34, 17, 25, 11, 25, 10, 19, 20, 37, 12, 11, 25, 14, 14, 12, 12, 18, 11, 7, 5, 13, 29, 1]","[-89, 31, 183, 45, 4, 29, -207, -334, -28, -799, -16, -385, 215, 434, 42, 66, 42, 137, 99, 39, -85, -80, -38, 101, 23, -1, 456, 341, 278, -451, -7, 9, 118, 230, 184, -3, -283, 132, -1643, 174, 245, -564, 195, 53, -15, 138, 202, 29, -6, 71, -122, 94, 358, 234, -82, 415, 155, -219, 20, -114, -15, 55, 75, 276, 91, -111, 28, -249, -110, -64, -23, -84, 104, -23]","[541, 616, 344, 315, 272, 317, 474, 464, 314, 1368, 567, 594, 449, 761, 342, 349, 273, 261, 480, 327, 186, 344, 274, 244, 568, 326, 885, 555, 653, 1209, 525, 560, 388, 530, 537, 293, 633, 252, 1949, 282, 453, 996, 619, 477, 885, 549, 542, 835, 130, 393, 987, 1030, 551, 891, 336, 841, 383, 541, 598, 1117, 382, 315, 782, 499, 481, 348, 353, 510, 361, 204, 161, 327, 849, 51]","[7, 3, 11, 5, 1, 3, 5, 4, 6, 17, 6, 7, 7, 7, 3, 10, 6, 3, 3, 4, 5, 7, 6, 3, 10, 3, 17, 9, 19, 18, 10, 6, 5, 5, 13, 0, 7, 4, 40, 8, 8, 16, 7, 4, 19, 9, 10, 13, 3, 5, 13, 23, 7, 16, 5, 12, 6, 5, 14, 17, 3, 5, 12, 8, 6, 2, 8, 4, 9, 3, 1, 5, 14, 1]",39398
