0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[519, 557, 172, 252, 245, 292, 601, 709, 309, 1836, 556, 813, 238, 274, 291, 287, 236, 152, 318, 268, 266, 417, 286, 179, 481, 312, 390, 229, 348, 1329, 481, 463, 232, 295, 321, 272, 815, 152, 2982, 131, 208, 1302, 384, 385, 747, 403, 317, 680, 130, 301, 952, 801, 148, 583, 386, 382, 220, 652, 494, 1029, 351, 223, 629, 214, 376, 425, 261, 646, 391, 279, 163, 354, 676, 88]"
2,"[499, 590, 216, 272, 246, 325, 584, 678, 340, 1758, 565, 786, 271, 302, 305, 312, 269, 173, 308, 290, 270, 431, 301, 235, 501, 322, 393, 257, 364, 1237, 491, 446, 227, 306, 335, 298, 847, 183, 2753, 158, 234, 1222, 412, 393, 698, 403, 332, 639, 140, 325, 915, 773, 143, 590, 378, 369, 233, 634, 481, 969, 349, 239, 652, 250, 383, 433, 249, 617, 379, 305, 168, 357, 683, 102]"
3,"[463, 603, 244, 281, 251, 357, 559, 655, 358, 1688, 565, 751, 294, 336, 318, 330, 286, 206, 289, 311, 277, 466, 324, 270, 500, 340, 411, 285, 386, 1156, 498, 435, 223, 338, 369, 341, 845, 202, 2550, 170, 266, 1154, 450, 406, 648, 418, 350, 597, 146, 353, 877, 764, 138, 592, 362, 343, 252, 610, 474, 927, 343, 240, 649, 281, 388, 452, 229, 601, 376, 336, 168, 374, 685, 109]"
4,"[447, 597, 272, 296, 257, 380, 553, 637, 369, 1613, 596, 728, 312, 360, 331, 349, 287, 218, 288, 337, 277, 494, 330, 289, 520, 341, 420, 304, 398, 1081, 481, 427, 220, 362, 371, 355, 870, 218, 2379, 192, 289, 1094, 485, 427, 607, 440, 354, 552, 157, 364, 833, 744, 127, 556, 356, 322, 275, 588, 451, 907, 341, 251, 676, 318, 399, 466, 219, 579, 362, 359, 171, 390, 680, 127]"
5,"[435, 614, 284, 323, 253, 388, 533, 615, 396, 1562, 623, 710, 324, 371, 345, 376, 302, 243, 287, 363, 276, 526, 338, 320, 520, 355, 430, 317, 412, 1029, 468, 410, 216, 378, 400, 365, 872, 239, 2216, 196, 305, 1040, 490, 440, 563, 450, 365, 523, 165, 389, 807, 719, 122, 549, 357, 302, 308, 577, 449, 860, 331, 256, 659, 341, 432, 495, 201, 577, 361, 353, 167, 383, 680, 142]"
6,"[411, 647, 317, 345, 260, 402, 509, 606, 422, 1505, 612, 668, 355, 387, 345, 386, 329, 264, 286, 377, 277, 551, 342, 351, 520, 365, 430, 333, 436, 982, 462, 392, 212, 396, 408, 381, 876, 269, 2084, 204, 324, 973, 505, 439, 521, 467, 372, 477, 176, 393, 777, 686, 116, 541, 360, 300, 336, 549, 446, 813, 324, 263, 652, 347, 451, 497, 189, 589, 352, 387, 167, 401, 681, 152]"
7,"[400, 664, 338, 358, 265, 407, 497, 600, 430, 1416, 618, 668, 365, 400, 363, 380, 354, 276, 281, 377, 278, 570, 359, 394, 520, 380, 439, 353, 453, 939, 467, 385, 204, 394, 418, 376, 868, 289, 1980, 212, 351, 928, 516, 437, 468, 497, 381, 450, 176, 411, 738, 677, 109, 530, 353, 288, 350, 533, 433, 794, 320, 276, 659, 361, 464, 515, 178, 582, 340, 407, 159, 396, 689, 168]"
8,"[392, 668, 357, 357, 283, 411, 483, 568, 438, 1344, 649, 632, 389, 410, 360, 391, 374, 288, 267, 399, 290, 578, 368, 404, 517, 388, 447, 365, 466, 903, 474, 383, 200, 419, 434, 386, 880, 319, 1848, 232, 388, 874, 544, 438, 434, 488, 378, 433, 179, 418, 684, 656, 108, 520, 333, 270, 360, 511, 431, 780, 308, 275, 645, 372, 480, 524, 168, 569, 349, 424, 160, 405, 715, 187]"
9,"[378, 687, 379, 359, 287, 414, 470, 575, 440, 1283, 647, 615, 411, 415, 357, 401, 393, 291, 258, 407, 300, 581, 373, 428, 531, 381, 453, 380, 479, 859, 477, 373, 194, 443, 432, 388, 884, 336, 1724, 250, 425, 845, 558, 459, 396, 496, 397, 425, 181, 415, 630, 619, 107, 514, 343, 258, 361, 504, 434, 742, 300, 283, 642, 396, 481, 512, 160, 556, 344, 430, 152, 404, 713, 194]"
10,"[360, 671, 402, 376, 289, 405, 460, 575, 437, 1246, 662, 587, 438, 448, 354, 404, 397, 319, 258, 418, 299, 604, 375, 452, 537, 390, 445, 385, 486, 811, 478, 370, 177, 464, 450, 383, 872, 337, 1621, 258, 444, 803, 568, 475, 359, 497, 397, 413, 190, 425, 609, 611, 105, 521, 349, 249, 372, 485, 435, 728, 300, 279, 624, 395, 480, 516, 155, 545, 344, 443, 155, 417, 709, 206]"
11,"[355, 688, 420, 372, 291, 412, 447, 563, 441, 1213, 663, 580, 453, 462, 362, 396, 395, 334, 244, 421, 304, 613, 374, 475, 542, 399, 452, 390, 485, 773, 467, 357, 170, 463, 464, 380, 864, 361, 1509, 259, 468, 757, 575, 489, 328, 494, 413, 378, 200, 437, 586, 594, 103, 518, 343, 233, 392, 467, 417, 703, 302, 267, 623, 424, 483, 539, 152, 525, 332, 470, 149, 429, 727, 203]"
12,"[354, 698, 442, 366, 299, 413, 436, 535, 450, 1161, 655, 556, 453, 466, 364, 423, 396, 348, 245, 433, 300, 639, 361, 471, 541, 416, 450, 403, 501, 730, 475, 347, 178, 486, 464, 366, 860, 369, 1422, 264, 488, 694, 578, 489, 306, 517, 414, 349, 220, 456, 559, 574, 106, 514, 349, 217, 394, 453, 417, 685, 296, 274, 607, 431, 473, 546, 151, 532, 328, 462, 149, 440, 736, 205]"
13,"[352, 722, 473, 367, 292, 415, 436, 497, 469, 1119, 628, 546, 470, 478, 363, 432, 409, 373, 248, 438, 301, 654, 363, 489, 551, 417, 459, 432, 502, 701, 456, 341, 157, 501, 463, 370, 828, 376, 1350, 282, 499, 671, 605, 483, 280, 518, 403, 335, 217, 463, 534, 565, 94, 513, 355, 200, 406, 446, 421, 641, 279, 282, 611, 430, 472, 541, 133, 514, 320, 466, 155, 423, 730, 210]"
14,"[349, 717, 476, 372, 291, 420, 430, 494, 460, 1065, 620, 538, 478, 508, 360, 432, 420, 377, 249, 443, 298, 634, 376, 501, 552, 408, 475, 442, 529, 672, 438, 336, 152, 504, 482, 363, 813, 384, 1252, 303, 526, 646, 605, 486, 253, 521, 404, 322, 219, 477, 518, 549, 87, 522, 359, 191, 397, 441, 404, 612, 290, 284, 610, 434, 487, 545, 126, 480, 316, 467, 156, 422, 717, 212]"
15,"[332, 728, 489, 382, 292, 430, 435, 482, 457, 1016, 619, 537, 482, 511, 354, 442, 443, 385, 244, 427, 296, 634, 391, 494, 551, 434, 461, 463, 532, 652, 435, 318, 148, 505, 482, 352, 799, 390, 1187, 300, 525, 607, 615, 492, 235, 533, 417, 308, 228, 478, 489, 550, 87, 524, 348, 192, 411, 425, 397, 596, 287, 283, 587, 436, 488, 534, 122, 479, 314, 466, 164, 408, 697, 222]"
16,"[314, 751, 489, 392, 281, 424, 414, 461, 458, 996, 620, 536, 481, 493, 371, 452, 453, 386, 236, 419, 291, 619, 405, 528, 566, 425, 459, 479, 537, 613, 436, 294, 141, 499, 490, 352, 798, 380, 1116, 298, 531, 573, 626, 495, 218, 543, 412, 298, 233, 499, 476, 531, 79, 516, 335, 182, 420, 405, 396, 567, 291, 295, 576, 447, 502, 537, 118, 481, 319, 468, 165, 424, 679, 220]"
17,"[294, 711, 514, 400, 281, 425, 414, 445, 450, 956, 609, 522, 495, 509, 366, 453, 448, 386, 232, 440, 291, 644, 407, 538, 592, 416, 471, 475, 540, 598, 431, 275, 136, 504, 498, 355, 774, 388, 1035, 299, 546, 533, 628, 487, 200, 545, 413, 285, 226, 503, 466, 519, 77, 506, 324, 173, 428, 392, 395, 563, 284, 297, 557, 449, 526, 524, 112, 473, 315, 463, 157, 424, 692, 226]"
18,"[279, 711, 509, 407, 277, 432, 409, 438, 449, 956, 589, 506, 497, 516, 361, 447, 452, 384, 221, 440, 292, 670, 408, 551, 593, 415, 452, 484, 545, 570, 431, 263, 132, 502, 496, 346, 755, 401, 965, 301, 542, 518, 621, 497, 191, 548, 425, 274, 220, 502, 442, 517, 77, 499, 311, 170, 434, 376, 372, 537, 280, 295, 550, 458, 522, 523, 108, 456, 322, 470, 158, 438, 700, 232]"
19,"[271, 705, 520, 409, 285, 424, 408, 431, 448, 924, 579, 481, 482, 525, 361, 444, 469, 389, 209, 448, 291, 679, 403, 543, 595, 408, 448, 487, 545, 551, 424, 253, 133, 498, 516, 336, 749, 422, 903, 303, 545, 500, 610, 510, 177, 561, 403, 259, 221, 480, 420, 503, 82, 478, 313, 162, 444, 379, 372, 526, 278, 306, 548, 454, 524, 531, 105, 442, 330, 458, 153, 464, 708, 229]"
20,"[259, 714, 523, 410, 277, 433, 402, 438, 455, 892, 571, 470, 479, 525, 369, 456, 485, 399, 201, 442, 285, 673, 406, 544, 592, 411, 443, 485, 559, 527, 422, 252, 134, 503, 512, 329, 745, 421, 844, 307, 538, 478, 618, 510, 165, 568, 400, 251, 220, 471, 406, 486, 78, 469, 308, 153, 436, 359, 361, 497, 287, 299, 530, 453, 527, 536, 105, 431, 324, 454, 155, 459, 705, 233]"
21,"[260, 722, 527, 406, 276, 422, 390, 407, 445, 857, 568, 462, 474, 522, 378, 464, 502, 411, 196, 443, 278, 673, 404, 538, 587, 414, 439, 485, 547, 510, 418, 252, 143, 500, 506, 330, 729, 431, 780, 304, 557, 450, 606, 513, 161, 573, 387, 241, 221, 483, 371, 470, 82, 463, 311, 145, 438, 357, 353, 482, 270, 300, 524, 439, 526, 528, 99, 429, 316, 457, 149, 476, 700, 225]"
22,"[255, 718, 532, 399, 282, 419, 376, 391, 421, 846, 572, 440, 476, 505, 394, 463, 495, 410, 196, 436, 267, 666, 401, 543, 580, 394, 443, 479, 562, 501, 416, 260, 133, 503, 513, 337, 717, 433, 739, 310, 572, 437, 595, 503, 154, 570, 380, 233, 213, 489, 364, 463, 75, 455, 300, 136, 442, 350, 351, 449, 273, 301, 508, 443, 513, 530, 99, 427, 315, 448, 145, 481, 694, 227]"
23,"[246, 714, 538, 395, 289, 404, 369, 388, 419, 809, 569, 427, 478, 490, 388, 476, 505, 403, 193, 444, 261, 667, 387, 524, 581, 401, 447, 481, 576, 487, 414, 253, 131, 503, 514, 348, 708, 415, 705, 306, 584, 413, 597, 509, 145, 570, 384, 229, 218, 490, 351, 441, 80, 453, 300, 138, 448, 333, 331, 447, 264, 288, 506, 433, 501, 538, 94, 432, 300, 450, 144, 467, 683, 217]"
24,"[246, 690, 560, 405, 288, 398, 370, 389, 412, 789, 552, 429, 476, 490, 374, 463, 524, 413, 196, 432, 249, 655, 394, 538, 571, 404, 453, 478, 586, 470, 419, 243, 132, 501, 520, 334, 701, 407, 655, 307, 579, 403, 612, 493, 145, 560, 370, 225, 211, 486, 350, 418, 74, 455, 298, 129, 425, 322, 312, 436, 263, 291, 482, 438, 504, 544, 98, 420, 291, 439, 147, 458, 679, 220]"
25,"[239, 669, 547, 411, 279, 381, 366, 369, 407, 775, 565, 416, 467, 487, 375, 471, 506, 422, 193, 430, 254, 656, 390, 556, 565, 419, 450, 464, 573, 453, 420, 235, 135, 499, 530, 336, 680, 416, 630, 313, 577, 389, 617, 488, 138, 563, 361, 222, 213, 497, 328, 402, 71, 439, 291, 132, 421, 312, 302, 423, 250, 293, 459, 430, 499, 536, 98, 423, 292, 448, 139, 445, 656, 218]"
26,"[233, 654, 548, 410, 292, 380, 364, 351, 391, 757, 575, 405, 457, 503, 364, 472, 497, 419, 193, 427, 258, 650, 378, 552, 566, 413, 451, 459, 564, 426, 408, 242, 129, 517, 525, 334, 676, 420, 588, 316, 590, 381, 598, 470, 128, 553, 361, 216, 218, 493, 314, 383, 69, 443, 289, 126, 429, 296, 292, 411, 246, 292, 454, 430, 493, 519, 97, 421, 294, 430, 126, 448, 653, 214]"
27,"[235, 647, 542, 401, 303, 371, 354, 342, 389, 727, 550, 392, 453, 502, 379, 443, 494, 426, 199, 432, 247, 652, 375, 546, 579, 408, 457, 451, 591, 409, 405, 224, 126, 512, 513, 330, 650, 416, 553, 309, 569, 372, 586, 471, 118, 539, 347, 196, 216, 475, 310, 369, 67, 451, 275, 127, 433, 290, 291, 392, 241, 277, 439, 424, 501, 523, 95, 414, 290, 430, 130, 460, 658, 219]"
28,"[232, 652, 537, 382, 310, 369, 344, 331, 390, 724, 550, 375, 460, 509, 373, 445, 495, 441, 186, 418, 229, 645, 356, 545, 603, 412, 449, 461, 583, 396, 393, 213, 115, 515, 512, 327, 639, 410, 523, 317, 568, 356, 591, 477, 112, 539, 341, 187, 208, 465, 293, 349, 66, 443, 257, 127, 432, 280, 271, 374, 237, 280, 424, 426, 495, 526, 89, 422, 281, 428, 127, 445, 646, 202]"
29,"[220, 631, 545, 367, 303, 364, 334, 339, 381, 700, 552, 366, 468, 497, 374, 453, 481, 429, 185, 418, 224, 649, 356, 547, 577, 403, 427, 459, 577, 375, 391, 209, 114, 506, 517, 324, 613, 398, 495, 317, 573, 333, 573, 470, 105, 547, 333, 187, 211, 463, 286, 335, 64, 421, 247, 127, 438, 275, 269, 369, 235, 272, 410, 428, 489, 532, 86, 400, 289, 428, 131, 425, 633, 215]"
30,"[214, 618, 548, 366, 300, 354, 330, 323, 367, 691, 549, 376, 472, 494, 371, 428, 479, 424, 182, 406, 229, 651, 358, 556, 568, 411, 418, 453, 584, 361, 381, 199, 108, 501, 522, 323, 596, 408, 468, 304, 567, 319, 581, 458, 100, 542, 340, 191, 205, 455, 275, 319, 59, 418, 250, 127, 449, 264, 259, 354, 230, 266, 396, 414, 479, 510, 86, 379, 283, 414, 129, 416, 627, 217]"
31,"[215, 605, 548, 365, 307, 339, 323, 316, 366, 681, 557, 369, 469, 481, 362, 408, 476, 430, 178, 397, 226, 637, 341, 562, 550, 408, 418, 443, 587, 346, 382, 195, 106, 504, 517, 311, 583, 417, 441, 299, 557, 305, 566, 447, 94, 527, 327, 192, 219, 447, 262, 318, 63, 427, 238, 121, 445, 248, 256, 339, 233, 267, 391, 408, 459, 509, 84, 370, 272, 413, 127, 405, 616, 226]"
32,"[217, 607, 543, 362, 300, 331, 310, 288, 369, 651, 559, 369, 471, 458, 374, 419, 472, 419, 172, 390, 232, 624, 341, 557, 544, 405, 421, 442, 587, 336, 381, 192, 102, 499, 523, 302, 545, 405, 429, 285, 563, 295, 574, 446, 87, 525, 330, 190, 218, 463, 252, 310, 62, 412, 235, 125, 441, 241, 266, 329, 221, 266, 391, 400, 455, 509, 74, 352, 262, 405, 123, 411, 598, 218]"
33,"[214, 590, 534, 359, 291, 332, 304, 289, 372, 654, 537, 364, 474, 450, 366, 413, 466, 412, 175, 379, 225, 626, 345, 564, 538, 410, 415, 440, 602, 336, 382, 184, 105, 501, 509, 292, 541, 402, 427, 282, 572, 290, 579, 438, 79, 506, 313, 181, 225, 451, 244, 304, 60, 407, 221, 124, 434, 236, 254, 323, 212, 262, 372, 392, 457, 510, 75, 335, 267, 393, 122, 399, 573, 207]"
34,"[202, 591, 531, 354, 291, 316, 301, 274, 373, 646, 545, 370, 466, 455, 359, 401, 448, 411, 167, 362, 230, 609, 342, 555, 555, 388, 414, 442, 599, 333, 377, 177, 103, 487, 511, 284, 532, 386, 392, 283, 566, 278, 564, 437, 70, 491, 305, 186, 226, 442, 236, 298, 57, 410, 219, 116, 432, 229, 250, 308, 205, 264, 373, 398, 462, 498, 78, 329, 259, 400, 121, 394, 565, 207]"
35,"[194, 585, 536, 356, 280, 306, 291, 259, 371, 638, 540, 361, 452, 449, 353, 402, 447, 421, 163, 362, 231, 600, 337, 544, 548, 386, 427, 444, 588, 316, 375, 169, 95, 483, 489, 284, 515, 370, 379, 272, 556, 271, 571, 433, 65, 488, 301, 189, 229, 435, 230, 295, 56, 403, 219, 115, 428, 224, 243, 310, 188, 259, 365, 398, 449, 496, 77, 313, 265, 390, 126, 384, 544, 208]"
36,"[191, 577, 539, 339, 275, 310, 283, 253, 371, 617, 543, 362, 435, 448, 352, 400, 446, 414, 156, 353, 235, 594, 330, 537, 529, 370, 425, 448, 584, 306, 358, 159, 103, 476, 494, 277, 508, 361, 350, 272, 542, 255, 567, 436, 63, 481, 299, 181, 222, 426, 228, 286, 52, 398, 209, 112, 445, 218, 239, 299, 181, 266, 348, 387, 430, 482, 70, 333, 251, 386, 125, 400, 517, 198]"
37,"[184, 581, 524, 322, 270, 309, 278, 245, 369, 597, 529, 362, 437, 453, 345, 413, 444, 421, 157, 350, 241, 582, 323, 525, 519, 352, 408, 456, 571, 305, 359, 160, 97, 474, 510, 271, 487, 348, 343, 261, 541, 239, 556, 436, 62, 481, 299, 177, 222, 427, 219, 273, 50, 397, 211, 106, 422, 213, 230, 270, 181, 259, 335, 382, 419, 462, 69, 324, 236, 378, 125, 408, 513, 199]"
38,"[173, 579, 528, 314, 263, 293, 272, 241, 356, 586, 527, 356, 429, 457, 348, 407, 431, 401, 151, 350, 237, 562, 310, 523, 515, 344, 416, 453, 568, 301, 356, 166, 93, 458, 525, 266, 500, 352, 333, 260, 535, 224, 567, 439, 56, 473, 283, 170, 215, 420, 207, 273, 49, 388, 204, 109, 421, 203, 219, 258, 170, 251, 326, 368, 400, 457, 63, 314, 230, 377, 127, 408, 510, 197]"
39,"[174, 588, 512, 313, 260, 293, 273, 226, 347, 585, 534, 349, 425, 447, 350, 397, 424, 391, 144, 354, 241, 554, 297, 526, 497, 335, 415, 436, 557, 286, 350, 165, 93, 439, 509, 264, 482, 355, 324, 256, 508, 214, 561, 435, 51, 455, 273, 172, 210, 413, 200, 269, 49, 391, 195, 104, 416, 198, 217, 248, 172, 252, 304, 354, 393, 457, 62, 310, 229, 375, 128, 404, 509, 188]"
