,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-30, 30, 46, 18, 13, 33, -30, -31, 15, -82, 13, -37, 37, 37, 17, 14, 34, 32, -16, 23, -7, 60, 18, 51, 14, 22, 9, 51, 42, -97, -19, -5, -3, 34, 25, 3, 61, 30, -262, 15, 37, -100, 32, 5, -64, 15, 13, -60, 13, 9, -54, -41, -1, -20, -11, -20, 32, -11, 4, -65, -7, 13, 24, 45, 9, 27, -20, -20, -19, 33, -5, 1, 6, 22]","[514, 555, 184, 244, 256, 297, 572, 677, 304, 1854, 546, 826, 243, 294, 283, 276, 237, 142, 316, 259, 245, 438, 295, 174, 484, 312, 377, 244, 369, 1339, 463, 463, 241, 303, 330, 259, 861, 144, 2981, 120, 212, 1316, 390, 370, 762, 396, 319, 680, 135, 293, 939, 788, 148, 558, 373, 380, 235, 674, 522, 1013, 340, 228, 634, 237, 351, 430, 270, 641, 395, 275, 159, 352, 674, 89]","[6, 6, 1, 1, 0, 1, 8, 9, 2, 16, 6, 3, 2, 1, 2, 3, 3, 2, 1, 3, 5, 5, 2, 1, 2, 1, 3, 4, 3, 12, 3, 7, 1, 4, 3, 1, 10, 2, 19, 1, 4, 9, 5, 4, 10, 1, 2, 3, 2, 3, 11, 7, 0, 7, 3, 5, 4, 4, 4, 8, 1, 2, 5, 1, 4, 4, 0, 4, 1, 1, 1, 0, 8, 0]",34899
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 2, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-60, 73, 79, 34, 19, 60, -50, -42, 23, -181, 23, -72, 70, 72, 33, 29, 57, 69, -22, 49, 3, 97, 37, 96, 29, 34, 4, 80, 75, -172, -36, -6, -7, 53, 61, 14, 107, 56, -482, 35, 67, -182, 42, 19, -133, 19, 36, -106, 26, 29, -89, -67, -6, -33, -11, -25, 72, -32, -21, -112, -15, 28, 25, 59, 32, 44, -39, -41, -32, 48, -1, 13, 14, 31]","[485, 594, 217, 260, 262, 323, 553, 665, 315, 1761, 554, 792, 274, 326, 297, 289, 259, 180, 310, 285, 254, 476, 314, 219, 501, 323, 367, 271, 399, 1264, 449, 463, 237, 323, 368, 270, 905, 169, 2773, 141, 243, 1236, 399, 384, 688, 400, 344, 638, 149, 314, 904, 761, 142, 548, 372, 370, 273, 655, 498, 969, 328, 243, 632, 252, 372, 448, 249, 622, 384, 286, 161, 366, 681, 97]","[4, 9, 1, 2, 2, 3, 4, 7, 0, 12, 7, 7, 4, 5, 4, 4, 3, 0, 3, 2, 3, 3, 2, 1, 2, 4, 8, 4, 6, 13, 1, 3, 2, 2, 1, 2, 10, 2, 17, 0, 1, 11, 4, 3, 12, 3, 1, 2, 0, 1, 9, 8, 2, 2, 4, 8, 4, 4, 4, 7, 7, 2, 9, 1, 5, 3, 4, 4, 1, 6, 3, 1, 7, 1]",34895
3,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 2, 2, 1, 3, 2, 2, 4, 3, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 9, 1, 27, 1, 2, 12, 3, 3, 6, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-90, 99, 115, 42, 22, 77, -71, -41, 34, -257, 42, -104, 95, 84, 37, 40, 75, 97, -44, 80, 25, 137, 51, 147, 46, 43, 16, 110, 90, -236, -33, -14, -13, 68, 67, 20, 133, 81, -675, 47, 90, -242, 63, 17, -182, 30, 60, -144, 46, 55, -158, -107, -16, -42, -12, -40, 83, -49, -36, -151, -7, 57, 30, 89, 44, 63, -61, -47, -45, 65, 1, 15, 47, 42]","[456, 620, 251, 269, 264, 336, 529, 664, 329, 1689, 571, 760, 301, 341, 299, 301, 275, 208, 289, 315, 274, 516, 330, 268, 520, 332, 378, 300, 413, 1201, 454, 456, 230, 337, 375, 276, 933, 195, 2584, 151, 266, 1176, 421, 382, 634, 412, 366, 598, 169, 339, 836, 724, 129, 537, 369, 355, 283, 634, 482, 932, 334, 270, 639, 279, 384, 466, 229, 612, 371, 301, 162, 369, 712, 108]","[3, 5, 4, 1, 3, 7, 8, 8, 0, 13, 7, 7, 0, 0, 4, 1, 4, 1, 2, 3, 4, 4, 1, 4, 3, 3, 4, 3, 4, 11, 2, 3, 3, 4, 2, 2, 7, 0, 23, 3, 2, 12, 2, 3, 11, 3, 5, 8, 1, 4, 8, 4, 4, 7, 5, 3, 3, 10, 5, 7, 5, 4, 4, 5, 3, 5, 0, 10, 3, 4, 2, 2, 8, 0]",34870
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 2, 3, 2, 2, 2, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 2, 9, 1, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 3, 7, 1]","[-101, 130, 139, 53, 28, 93, -73, -46, 51, -330, 71, -155, 119, 93, 48, 49, 96, 113, -61, 96, 28, 165, 54, 171, 62, 51, 23, 154, 115, -297, -23, -27, -21, 97, 98, 36, 119, 111, -856, 63, 119, -316, 77, 41, -238, 17, 82, -175, 61, 66, -193, -133, -31, -41, -3, -65, 106, -62, -46, -177, 3, 77, 29, 108, 63, 71, -77, -61, -45, 86, -1, 22, 49, 51]","[441, 656, 271, 281, 267, 348, 526, 659, 345, 1608, 599, 711, 327, 352, 309, 310, 296, 225, 270, 331, 274, 548, 333, 289, 536, 342, 386, 344, 436, 1143, 464, 445, 222, 364, 406, 293, 922, 224, 2403, 168, 295, 1098, 435, 405, 576, 396, 384, 565, 182, 350, 802, 696, 113, 540, 376, 326, 305, 623, 474, 905, 347, 287, 634, 295, 396, 475, 212, 599, 373, 325, 160, 373, 708, 118]","[8, 1, 6, 1, 5, 7, 6, 6, 4, 24, 6, 5, 1, 1, 3, 3, 2, 1, 4, 3, 5, 1, 3, 5, 5, 1, 2, 3, 6, 9, 4, 2, 2, 5, 3, 1, 6, 2, 25, 0, 2, 15, 4, 4, 8, 7, 7, 7, 3, 3, 7, 9, 2, 3, 5, 7, 3, 4, 2, 10, 0, 5, 10, 5, 10, 3, 3, 5, 1, 0, 1, 6, 13, 0]",34822
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 3, 3, 2, 2, 2, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 2, 9, 2, 24, 1, 2, 10, 4, 4, 5, 3, 3, 5, 1, 3, 8, 6, 1, 5, 3, 3, 3, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 7, 1]","[-124, 143, 178, 58, 39, 106, -88, -64, 61, -402, 85, -170, 131, 95, 49, 77, 99, 131, -66, 125, 27, 187, 54, 189, 68, 51, 48, 193, 110, -357, -27, -45, -24, 131, 110, 62, 150, 143, -1019, 71, 151, -346, 97, 60, -269, 28, 93, -223, 79, 73, -234, -161, -34, -49, -14, -93, 139, -67, -47, -227, -3, 88, 33, 128, 83, 70, -90, -51, -55, 106, -2, 35, 57, 60]","[412, 667, 310, 286, 278, 360, 514, 639, 355, 1530, 614, 693, 340, 353, 311, 341, 297, 244, 262, 360, 271, 568, 333, 308, 544, 343, 409, 384, 432, 1080, 459, 425, 220, 397, 418, 319, 954, 256, 2244, 175, 328, 1066, 456, 423, 538, 406, 393, 515, 197, 356, 762, 664, 111, 530, 363, 297, 338, 617, 473, 854, 339, 297, 634, 314, 413, 471, 199, 610, 361, 346, 159, 387, 719, 128]","[10, 8, 2, 2, 2, 4, 2, 8, 3, 22, 4, 10, 2, 4, 2, 0, 4, 1, 5, 3, 4, 7, 3, 1, 3, 2, 5, 2, 3, 14, 5, 6, 1, 4, 4, 2, 8, 2, 20, 2, 1, 12, 3, 5, 12, 4, 5, 7, 4, 4, 7, 10, 0, 7, 5, 4, 3, 7, 4, 10, 5, 3, 10, 3, 6, 7, 2, 4, 5, 2, 1, 2, 4, 0]",34769
6,"[4, 6, 3, 2, 2, 3, 5, 6, 3, 15, 6, 6, 3, 3, 3, 3, 2, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 9, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 2, 3, 6, 4, 8, 3, 2, 6, 3, 4, 4, 1, 6, 3, 3, 1, 3, 7, 1]","[-134, 156, 211, 64, 49, 109, -104, -105, 72, -482, 83, -200, 148, 97, 60, 85, 122, 164, -78, 137, 47, 230, 78, 226, 96, 55, 43, 229, 131, -428, -27, -60, -37, 147, 134, 68, 141, 147, -1165, 86, 174, -397, 104, 67, -308, 47, 111, -244, 86, 91, -263, -168, -31, -56, -12, -106, 168, -71, -47, -255, -1, 96, 24, 156, 100, 74, -98, -69, -52, 123, -1, 43, 39, 81]","[403, 684, 344, 290, 287, 362, 493, 595, 367, 1453, 610, 659, 351, 355, 323, 346, 317, 277, 251, 365, 293, 610, 356, 345, 569, 349, 406, 419, 454, 1007, 458, 410, 208, 413, 445, 324, 944, 260, 2087, 191, 350, 1016, 464, 432, 498, 424, 410, 493, 202, 374, 726, 655, 111, 521, 366, 282, 368, 613, 468, 821, 341, 305, 620, 340, 432, 470, 190, 594, 364, 363, 160, 389, 699, 149]","[3, 2, 2, 4, 3, 4, 10, 9, 2, 12, 8, 10, 9, 3, 2, 6, 5, 2, 1, 10, 0, 6, 4, 3, 8, 1, 2, 4, 3, 12, 5, 4, 1, 3, 1, 4, 10, 2, 33, 0, 4, 9, 3, 2, 6, 5, 4, 6, 3, 3, 14, 8, 4, 7, 2, 4, 2, 6, 9, 13, 3, 2, 11, 5, 2, 9, 2, 4, 3, 3, 1, 9, 9, 1]",34690
7,"[4, 6, 3, 2, 2, 3, 4, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 6, 3, 3, 5, 3, 4, 4, 4, 10, 4, 4, 2, 4, 4, 3, 9, 2, 20, 1, 3, 10, 4, 4, 4, 4, 4, 4, 2, 3, 7, 6, 1, 5, 3, 2, 3, 6, 4, 8, 3, 3, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-164, 189, 266, 77, 45, 127, -124, -132, 82, -533, 104, -222, 164, 116, 65, 101, 141, 180, -78, 152, 34, 235, 72, 251, 104, 58, 28, 265, 144, -471, -32, -75, -45, 161, 147, 88, 154, 162, -1300, 99, 193, -444, 120, 78, -339, 58, 133, -279, 88, 89, -291, -180, -35, -56, -2, -121, 185, -100, -38, -288, 0, 89, 37, 173, 107, 82, -105, -88, -61, 144, 3, 59, 58, 96]","[370, 710, 396, 299, 281, 380, 469, 571, 376, 1396, 629, 640, 365, 370, 328, 359, 336, 294, 252, 376, 278, 619, 348, 366, 575, 352, 392, 455, 466, 961, 453, 394, 199, 425, 457, 340, 959, 273, 1950, 203, 363, 974, 480, 439, 460, 436, 435, 458, 203, 373, 701, 639, 108, 518, 375, 267, 385, 583, 479, 787, 339, 298, 631, 356, 439, 475, 182, 575, 354, 385, 162, 399, 712, 161]","[7, 13, 6, 6, 4, 3, 8, 2, 4, 20, 8, 3, 5, 7, 3, 6, 3, 1, 1, 7, 4, 2, 5, 7, 7, 3, 3, 4, 5, 13, 4, 5, 3, 6, 5, 7, 7, 4, 22, 2, 9, 5, 4, 8, 11, 3, 1, 4, 3, 2, 4, 10, 0, 8, 4, 2, 3, 7, 2, 9, 6, 3, 8, 4, 4, 7, 2, 5, 4, 2, 3, 9, 12, 4]",34593
8,"[3, 7, 3, 2, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 6, 3, 3, 5, 3, 3, 4, 4, 9, 4, 3, 1, 4, 4, 3, 9, 2, 19, 2, 3, 9, 4, 4, 4, 4, 4, 4, 2, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 7, 1]","[-174, 220, 288, 100, 48, 129, -132, -146, 84, -571, 128, -237, 187, 122, 56, 96, 164, 191, -80, 176, 44, 270, 69, 269, 132, 59, 27, 282, 164, -538, -25, -87, -54, 171, 157, 85, 160, 180, -1423, 114, 200, -485, 136, 79, -371, 53, 143, -305, 101, 86, -318, -184, -38, -59, -11, -124, 195, -104, -39, -311, -10, 91, 37, 187, 120, 91, -113, -88, -59, 160, 1, 71, 69, 94]","[359, 739, 416, 320, 285, 379, 460, 553, 378, 1359, 643, 623, 388, 378, 319, 353, 358, 306, 250, 398, 286, 655, 343, 380, 604, 351, 394, 476, 485, 888, 459, 375, 190, 434, 468, 332, 962, 290, 1815, 220, 369, 927, 492, 441, 425, 429, 442, 430, 215, 371, 676, 630, 105, 511, 361, 264, 390, 574, 477, 758, 329, 300, 630, 368, 452, 482, 174, 578, 356, 401, 160, 410, 713, 155]","[4, 9, 5, 4, 1, 6, 5, 9, 3, 12, 16, 8, 3, 1, 3, 4, 4, 1, 2, 5, 4, 5, 5, 7, 4, 5, 0, 0, 5, 15, 5, 10, 1, 5, 3, 8, 12, 3, 31, 0, 4, 15, 8, 3, 7, 6, 7, 6, 3, 2, 5, 11, 1, 9, 8, 2, 8, 10, 5, 13, 3, 2, 7, 5, 4, 6, 1, 2, 3, 3, 1, 4, 17, 5]",34466
9,"[3, 7, 4, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 2, 3, 2, 6, 3, 3, 6, 3, 3, 4, 4, 8, 4, 3, 1, 4, 4, 3, 9, 2, 18, 2, 3, 9, 4, 4, 4, 4, 4, 4, 2, 3, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 3, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 7, 1]","[-183, 240, 305, 115, 50, 148, -144, -156, 107, -627, 158, -246, 188, 132, 66, 106, 166, 191, -81, 190, 49, 299, 86, 301, 156, 72, 25, 300, 194, -565, -16, -92, -56, 182, 170, 91, 161, 189, -1529, 113, 210, -544, 140, 58, -403, 71, 157, -316, 116, 111, -355, -192, -43, -72, -18, -129, 218, -141, -47, -343, -14, 100, 52, 192, 129, 102, -125, -116, -74, 173, -1, 68, 77, 104]","[350, 760, 429, 332, 285, 398, 445, 542, 401, 1299, 671, 613, 384, 384, 331, 362, 362, 307, 250, 411, 292, 681, 358, 410, 627, 359, 392, 494, 510, 855, 463, 369, 187, 444, 477, 339, 962, 300, 1706, 214, 375, 866, 493, 420, 388, 448, 452, 421, 230, 394, 636, 622, 100, 499, 350, 260, 415, 533, 464, 725, 324, 306, 639, 374, 458, 493, 162, 550, 340, 411, 157, 405, 722, 165]","[3, 6, 8, 6, 4, 3, 7, 6, 3, 17, 8, 7, 8, 7, 1, 4, 1, 2, 1, 4, 1, 9, 5, 5, 7, 8, 3, 4, 9, 14, 9, 4, 2, 5, 8, 2, 10, 1, 21, 7, 7, 11, 7, 4, 9, 3, 8, 2, 2, 5, 9, 6, 1, 4, 7, 1, 1, 9, 9, 8, 4, 6, 12, 2, 7, 4, 1, 5, 4, 7, 2, 6, 6, 1]",34352
