0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-30, 30, 46, 18, 13, 33, -30, -31, 15, -82, 13, -37, 37, 37, 17, 14, 34, 32, -16, 23, -7, 60, 18, 51, 14, 22, 9, 51, 42, -97, -19, -5, -3, 34, 25, 3, 61, 30, -262, 15, 37, -100, 32, 5, -64, 15, 13, -60, 13, 9, -54, -41, -1, -20, -11, -20, 32, -11, 4, -65, -7, 13, 24, 45, 9, 27, -20, -20, -19, 33, -5, 1, 6, 22]"
2,"[-60, 73, 79, 34, 19, 60, -50, -42, 23, -181, 23, -72, 70, 72, 33, 29, 57, 69, -22, 49, 3, 97, 37, 96, 29, 34, 4, 80, 75, -172, -36, -6, -7, 53, 61, 14, 107, 56, -482, 35, 67, -182, 42, 19, -133, 19, 36, -106, 26, 29, -89, -67, -6, -33, -11, -25, 72, -32, -21, -112, -15, 28, 25, 59, 32, 44, -39, -41, -32, 48, -1, 13, 14, 31]"
3,"[-90, 99, 115, 42, 22, 77, -71, -41, 34, -257, 42, -104, 95, 84, 37, 40, 75, 97, -44, 80, 25, 137, 51, 147, 46, 43, 16, 110, 90, -236, -33, -14, -13, 68, 67, 20, 133, 81, -675, 47, 90, -242, 63, 17, -182, 30, 60, -144, 46, 55, -158, -107, -16, -42, -12, -40, 83, -49, -36, -151, -7, 57, 30, 89, 44, 63, -61, -47, -45, 65, 1, 15, 47, 42]"
4,"[-101, 130, 139, 53, 28, 93, -73, -46, 51, -330, 71, -155, 119, 93, 48, 49, 96, 113, -61, 96, 28, 165, 54, 171, 62, 51, 23, 154, 115, -297, -23, -27, -21, 97, 98, 36, 119, 111, -856, 63, 119, -316, 77, 41, -238, 17, 82, -175, 61, 66, -193, -133, -31, -41, -3, -65, 106, -62, -46, -177, 3, 77, 29, 108, 63, 71, -77, -61, -45, 86, -1, 22, 49, 51]"
5,"[-124, 143, 178, 58, 39, 106, -88, -64, 61, -402, 85, -170, 131, 95, 49, 77, 99, 131, -66, 125, 27, 187, 54, 189, 68, 51, 48, 193, 110, -357, -27, -45, -24, 131, 110, 62, 150, 143, -1019, 71, 151, -346, 97, 60, -269, 28, 93, -223, 79, 73, -234, -161, -34, -49, -14, -93, 139, -67, -47, -227, -3, 88, 33, 128, 83, 70, -90, -51, -55, 106, -2, 35, 57, 60]"
6,"[-134, 156, 211, 64, 49, 109, -104, -105, 72, -482, 83, -200, 148, 97, 60, 85, 122, 164, -78, 137, 47, 230, 78, 226, 96, 55, 43, 229, 131, -428, -27, -60, -37, 147, 134, 68, 141, 147, -1165, 86, 174, -397, 104, 67, -308, 47, 111, -244, 86, 91, -263, -168, -31, -56, -12, -106, 168, -71, -47, -255, -1, 96, 24, 156, 100, 74, -98, -69, -52, 123, -1, 43, 39, 81]"
7,"[-164, 189, 266, 77, 45, 127, -124, -132, 82, -533, 104, -222, 164, 116, 65, 101, 141, 180, -78, 152, 34, 235, 72, 251, 104, 58, 28, 265, 144, -471, -32, -75, -45, 161, 147, 88, 154, 162, -1300, 99, 193, -444, 120, 78, -339, 58, 133, -279, 88, 89, -291, -180, -35, -56, -2, -121, 185, -100, -38, -288, 0, 89, 37, 173, 107, 82, -105, -88, -61, 144, 3, 59, 58, 96]"
8,"[-174, 220, 288, 100, 48, 129, -132, -146, 84, -571, 128, -237, 187, 122, 56, 96, 164, 191, -80, 176, 44, 270, 69, 269, 132, 59, 27, 282, 164, -538, -25, -87, -54, 171, 157, 85, 160, 180, -1423, 114, 200, -485, 136, 79, -371, 53, 143, -305, 101, 86, -318, -184, -38, -59, -11, -124, 195, -104, -39, -311, -10, 91, 37, 187, 120, 91, -113, -88, -59, 160, 1, 71, 69, 94]"
9,"[-183, 240, 305, 115, 50, 148, -144, -156, 107, -627, 158, -246, 188, 132, 66, 106, 166, 191, -81, 190, 49, 299, 86, 301, 156, 72, 25, 300, 194, -565, -16, -92, -56, 182, 170, 91, 161, 189, -1529, 113, 210, -544, 140, 58, -403, 71, 157, -316, 116, 111, -355, -192, -43, -72, -18, -129, 218, -141, -47, -343, -14, 100, 52, 192, 129, 102, -125, -116, -74, 173, -1, 68, 77, 104]"
10,"[-192, 263, 330, 134, 53, 139, -157, -165, 98, -676, 163, -266, 205, 143, 78, 109, 188, 192, -92, 197, 58, 316, 86, 327, 171, 89, 16, 293, 206, -592, -2, -109, -63, 195, 182, 103, 172, 206, -1646, 134, 230, -582, 131, 79, -431, 86, 156, -331, 110, 121, -365, -206, -49, -80, -11, -129, 255, -171, -57, -369, -15, 99, 37, 188, 128, 119, -126, -112, -68, 188, 1, 82, 98, 108]"
11,"[-199, 285, 365, 138, 65, 150, -162, -190, 119, -714, 159, -281, 223, 140, 76, 130, 196, 204, -96, 193, 70, 353, 91, 342, 181, 98, 29, 293, 221, -633, 10, -120, -63, 195, 181, 112, 201, 208, -1716, 146, 243, -618, 144, 76, -454, 90, 177, -367, 113, 111, -405, -221, -47, -91, -4, -145, 255, -180, -74, -385, -17, 93, 22, 205, 125, 123, -130, -113, -67, 199, 10, 87, 129, 116]"
12,"[-198, 298, 395, 143, 71, 162, -180, -209, 127, -770, 195, -308, 250, 150, 88, 141, 196, 216, -98, 189, 69, 364, 90, 368, 194, 92, 36, 304, 247, -667, 19, -128, -60, 200, 186, 114, 194, 220, -1814, 160, 271, -646, 165, 64, -471, 107, 196, -385, 113, 124, -411, -239, -43, -102, -4, -153, 281, -185, -85, -423, -20, 96, 20, 197, 120, 135, -136, -134, -72, 215, 7, 88, 143, 121]"
13,"[-205, 318, 406, 153, 70, 164, -184, -225, 126, -820, 206, -316, 253, 153, 95, 133, 211, 232, -88, 194, 69, 377, 95, 388, 211, 95, 36, 330, 261, -697, 11, -133, -67, 214, 191, 120, 189, 229, -1890, 174, 287, -673, 179, 75, -488, 112, 208, -400, 115, 131, -412, -243, -50, -100, 7, -155, 294, -203, -84, -447, -29, 90, -3, 204, 141, 135, -145, -141, -77, 222, 9, 85, 158, 119]"
14,"[-207, 318, 403, 159, 85, 165, -201, -233, 118, -841, 233, -339, 274, 169, 102, 132, 227, 237, -91, 203, 66, 403, 88, 425, 235, 116, 54, 336, 272, -715, -2, -149, -74, 217, 206, 124, 154, 248, -1970, 170, 315, -717, 190, 74, -507, 127, 227, -411, 119, 140, -422, -271, -47, -109, 13, -166, 310, -198, -77, -462, -38, 94, -6, 212, 150, 130, -145, -152, -77, 227, 7, 77, 156, 120]"
15,"[-222, 337, 419, 165, 91, 174, -216, -234, 116, -864, 243, -347, 281, 180, 102, 130, 232, 243, -97, 218, 69, 410, 97, 441, 247, 109, 57, 355, 287, -738, -14, -145, -70, 205, 214, 120, 160, 268, -2037, 188, 333, -740, 215, 75, -535, 127, 229, -426, 135, 149, -433, -278, -53, -115, 4, -176, 324, -205, -85, -484, -47, 99, -1, 223, 144, 125, -158, -159, -81, 239, 7, 79, 165, 130]"
16,"[-232, 341, 439, 173, 95, 182, -222, -228, 119, -899, 258, -355, 302, 192, 111, 128, 244, 262, -100, 223, 68, 432, 100, 462, 233, 106, 65, 364, 295, -762, -18, -148, -73, 214, 227, 116, 173, 287, -2113, 200, 350, -770, 222, 66, -543, 132, 230, -439, 132, 156, -453, -309, -53, -104, 5, -181, 339, -205, -85, -510, -45, 97, -21, 213, 135, 143, -169, -168, -82, 252, 7, 90, 174, 133]"
17,"[-242, 344, 445, 179, 106, 179, -231, -233, 124, -915, 273, -354, 320, 195, 119, 118, 242, 256, -94, 239, 67, 456, 100, 486, 232, 98, 71, 359, 313, -781, -13, -161, -79, 220, 227, 111, 189, 296, -2174, 207, 373, -788, 213, 67, -552, 149, 231, -441, 133, 156, -458, -325, -51, -104, 3, -188, 355, -221, -99, -514, -47, 105, -24, 235, 147, 137, -167, -169, -83, 238, 0, 85, 179, 131]"
