,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb,,
,0.370642202,0.520912548,0.47826087,0.066666667,0.697095436,0.752851711,0.069536424,0.6,0.294117647,-0.11743404,1.037453184,0.420745921,1.626213592,0.58984375,0.484962406,0.520912548,1.470588235,0.765765766,0.415151515,1.130801688,0.360784314,0.918421053,0.068592058,-0.146341463,0.549145299,0.294117647,0.760869565,1.673469388,0.357798165,-0.011157601,0.197505198,0.605095541,0.514403292,1.118081181,1.118032787,0.078431373,0.33915212,0.843478261,-0.155108359,1.333333333,0.202247191,0.22962438,0.630555556,0.568306011,0.147342995,0.828496042,0.045901639,0.269021739,1.235772358,0.031578947,0.515577889,0.6352657,-0.324324324,0.570689655,0.5546875,0.83042394,0.053658537,0.380673499,0.319148936,0.279739777,0.060869565,0.353488372,0.123152709,1.630208333,0.650145773,0.94044665,0.284722222,0.195751138,0.321167883,0.360995851,0.487804878,0.83045977,0.414925373,-0.029850746,,
0,545,526,138,225,241,263,604,710,289,1933,534,858,206,256,266,263,204,111,330,237,255,380,277,123,468,289,368,196,327,1434,481,471,243,271,305,255,802,115,3230,105,178,1411,360,366,828,379,305,736,123,285,995,828,148,580,384,401,205,683,517,1076,345,215,609,192,343,403,288,659,411,241,164,348,670,67,34877,
1,545,525,125,233,242,264,599,709,288,1947,511,877,211,256,253,267,212,112,338,243,276,380,286,126,465,291,377,206,340,1427,479,472,249,284,290,252,808,112,3206,102,166,1402,349,358,824,393,305,725,114,277,1028,812,148,602,369,420,207,684,559,1042,339,220,643,197,362,424,290,659,422,234,161,382,676,63,35041,0.004702239
2,524,509,126,222,248,252,580,703,304,1943,515,912,219,261,257,269,230,110,373,246,279,415,275,118,450,319,374,218,340,1452,449,475,222,311,301,259,820,101,3128,93,160,1415,366,389,818,380,311,714,105,295,1038,842,146,618,373,448,184,725,576,1035,335,239,688,201,353,487,286,655,431,245,165,400,662,66,35353,0.008903855
3,543,522,117,247,244,241,553,693,306,1885,484,884,209,238,268,247,225,132,375,274,300,430,273,107,476,310,344,221,358,1508,456,497,277,277,350,272,815,97,3043,81,156,1422,365,419,776,410,307,775,115,291,1073,849,142,660,373,489,195,763,571,1042,331,234,704,219,367,506,314,647,422,269,182,450,688,66,35771,0.011823608
4,500,493,114,251,270,280,548,729,296,1853,537,863,201,245,265,242,220,141,379,269,303,486,279,111,487,300,412,220,394,1565,474,486,263,293,368,251,873,124,2811,95,200,1451,389,433,758,399,309,714,104,291,1149,906,139,691,411,498,196,835,575,1047,332,254,700,217,354,538,340,669,460,271,167,453,692,73,36306,0.014956249
5,491,490,99,272,269,327,561,818,278,1772,594,874,201,272,251,302,217,138,395,296,293,500,263,97,454,278,375,247,351,1559,463,450,274,303,357,224,887,144,2766,95,176,1505,370,434,753,401,287,711,116,284,1246,937,128,692,430,510,184,897,622,1088,351,253,731,235,352,585,350,749,512,289,155,470,740,70,36910,0.016636369
6,467,507,129,239,321,315,532,806,286,1784,580,905,248,269,264,278,246,111,393,305,292,514,255,95,483,286,400,256,369,1571,456,546,298,352,372,195,944,135,2646,86,181,1545,359,470,737,398,290,738,133,305,1252,995,108,699,445,559,192,863,598,1122,339,224,805,269,353,625,347,756,522,286,156,473,766,82,37528,0.01674343
7,573,474,141,256,313,307,532,918,264,1672,717,864,252,246,262,262,247,124,425,318,294,519,271,103,534,296,412,252,325,1414,437,531,307,331,370,229,913,129,2745,88,153,1619,398,485,730,448,272,809,159,273,1299,1060,138,738,446,546,196,875,657,1085,311,244,850,277,391,655,367,744,456,307,174,466,839,83,38217,0.018359625
8,662,514,159,243,331,308,556,912,256,1673,746,900,245,243,269,258,222,146,384,317,303,568,317,97,527,309,445,292,286,1494,509,545,311,358,392,270,979,102,2580,118,192,1591,514,459,675,433,303,722,180,269,1301,1099,122,698,432,600,229,892,671,1141,308,301,869,337,315,664,358,758,447,339,188,421,843,55,38872,0.01713897
