,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
0,545,526,138,225,241,263,604,710,289,1933,534,858,206,256,266,263,204,111,330,237,255,380,277,123,468,289,368,196,327,1434,481,471,243,271,305,255,802,115,3230,105,178,1411,360,366,828,379,305,736,123,285,995,828,148,580,384,401,205,683,517,1076,345,215,609,192,343,403,288,659,411,241,164,348,670,67
1,613,614,193,460,284,388,560,682,329,1983,647,820,260,495,279,262,211,115,337,245,231,384,278,127,480,269,363,194,326,1372,521,464,250,265,302,224,817,119,2941,97,183,1258,386,399,804,415,308,749,105,272,950,812,156,602,331,386,200,603,472,1004,332,193,584,196,331,400,297,601,368,242,172,368,675,60
2,716,785,321,967,725,402,486,632,388,2058,814,1141,352,616,274,272,220,125,357,252,174,379,279,127,491,218,325,197,310,1195,570,432,259,263,326,178,834,115,2470,78,195,1012,391,449,797,462,321,740,79,232,847,748,166,587,279,365,190,512,378,871,319,160,527,173,315,431,294,484,297,243,176,413,676,51
3,865,1068,494,1956,1652,437,524,531,399,2155,949,1253,961,825,277,244,184,134,326,241,120,375,263,126,514,163,282,204,289,975,664,373,229,231,348,123,856,103,1939,59,187,746,389,451,667,439,308,589,61,182,654,633,148,551,199,306,192,389,282,644,249,117,483,139,276,387,264,368,207,212,195,431,641,36
4,960,1379,691,3235,2936,453,499,443,349,2144,1037,1848,1726,1042,216,199,142,122,270,189,80,398,211,118,533,98,236,185,277,666,706,279,175,170,352,87,884,64,1322,39,163,504,313,493,548,421,295,442,37,140,471,464,111,466,138,214,183,264,204,464,186,85,349,101,225,291,214,246,150,145,185,387,593,17
5,933,1761,865,4697,3890,378,474,383,2691,2148,961,986,2390,1128,179,127,95,106,219,126,54,380,156,95,544,55,141,178,217,436,672,175,116,126,355,44,917,49,795,25,109,302,244,384,391,417,278,306,20,93,311,292,71,348,82,139,178,175,122,267,106,50,214,71,169,226,143,142,85,96,133,311,504,11
6,911,2123,922,6207,4433,424,291,2926,1111,4623,1013,459,1883,1052,136,62,55,71,151,60,36,366,81,70,551,32,87,156,140,230,552,106,75,71,295,31,907,27,406,14,67,168,153,226,264,328,198,187,10,46,183,167,59,205,49,80,143,113,64,176,44,26,122,52,110,152,122,75,48,55,103,208,324,4
7,853,2311,891,7132,4180,359,2248,923,569,9510,873,240,1195,811,66,38,26,55,93,35,16,346,53,40,526,18,43,121,83,135,347,58,58,36,204,16,819,13,220,8,39,93,85,121,149,230,140,110,6,30,108,85,28,102,24,48,117,62,34,104,23,15,57,25,54,96,87,38,27,23,46,127,182,1
8,890,2394,814,8630,3776,1718,710,6978,348,6161,683,132,818,644,58,23,19,25,51,27,8,313,34,18,472,8,29,53,59,75,208,33,35,29,124,5,698,5,122,2,12,57,75,69,92,135,101,71,3,12,57,47,18,49,10,29,81,36,13,67,10,12,26,11,22,55,59,21,12,12,22,63,119,1
9,978,2408,978,10596,3915,1852,438,8897,261,3924,469,93,563,382,326,22,17,21,47,19,9,262,37,10,395,7,22,26,41,58,214,26,40,24,117,2,551,10,114,0,15,34,61,54,119,126,70,88,0,10,37,32,22,57,13,19,51,21,14,40,12,6,23,8,20,50,43,16,7,9,20,49,74,0
10,1048,2251,1275,12225,4583,1738,386,8503,243,2516,355,96,429,388,769,28,23,18,49,18,9,197,36,9,300,12,36,18,42,71,219,15,53,31,138,5,427,17,88,1,15,22,89,47,120,167,63,95,0,9,58,44,19,65,13,21,47,14,12,52,14,9,30,9,26,62,29,10,6,4,28,50,55,0
11,956,2159,1767,13117,5767,1437,4869,2558,192,1825,320,63,308,496,1378,44,44,7,56,16,6,176,98,10,205,7,43,12,64,43,356,12,57,30,227,5,326,33,76,2,28,10,102,59,48,288,36,146,0,4,31,34,31,116,7,10,39,4,8,24,26,4,23,10,34,80,22,9,4,4,43,61,55,0
12,718,1929,2580,12841,6725,1526,5070,950,191,1419,430,62,271,551,2127,54,41,13,52,26,3,163,149,9,153,5,30,17,91,34,535,8,53,36,302,3,247,35,65,1,74,15,109,53,31,505,32,129,0,4,20,23,26,106,5,11,44,6,3,16,34,3,16,7,39,95,21,9,0,1,32,94,64,0
13,663,1816,3840,6682,12668,4300,2368,636,110,1253,445,72,245,482,2239,59,37,15,65,20,4,132,262,11,125,1,37,17,95,22,734,7,47,31,352,1,204,17,38,1,113,7,95,21,20,593,28,125,0,4,32,23,18,90,4,8,40,7,3,17,21,0,9,3,22,72,16,2,0,5,21,84,62,0
14,597,1816,5592,4115,14363,4939,1912,429,111,1078,477,50,247,346,1969,44,7,9,31,17,1,100,321,20,109,2,26,24,147,13,1044,5,18,17,398,2,169,7,33,1,201,9,50,18,18,887,26,90,0,2,14,6,9,47,1,4,34,8,1,6,6,2,11,4,12,48,13,3,0,0,13,54,61,0
15,541,1510,3177,10595,11339,3991,1588,308,105,818,454,53,4179,221,561,21,9,3,54,5,0,96,242,17,93,5,7,30,79,9,818,3,13,16,292,0,149,4,24,0,193,11,33,8,14,703,26,38,0,1,10,4,7,36,2,3,22,3,0,7,3,1,3,2,8,27,20,1,0,0,6,32,47,0
16,464,1276,2004,15879,10397,3362,1326,211,105,596,400,52,3819,205,305,20,8,4,62,2,0,83,184,19,65,2,11,37,67,6,587,2,9,14,248,0,131,15,19,1,104,12,36,26,15,642,23,56,0,2,14,5,9,22,2,8,21,6,0,5,12,0,9,1,23,20,19,5,0,4,12,23,33,0
17,441,1181,1638,13746,12026,4244,390,170,1042,547,443,1855,1722,340,278,41,21,4,127,10,4,79,172,6,58,3,23,54,93,11,709,6,33,57,224,0,114,16,14,0,125,9,136,17,12,813,28,95,0,0,21,4,18,59,2,1,27,3,2,5,14,0,8,2,39,38,20,4,0,1,26,48,54,0
18,498,1227,1631,10331,13667,4525,279,172,1351,646,469,2398,1108,395,559,46,16,3,257,10,1,75,272,12,64,3,17,140,113,20,971,4,36,138,274,1,111,7,20,1,195,11,288,26,12,1041,26,96,0,1,20,9,18,64,1,7,19,7,0,10,13,0,6,4,50,35,20,5,0,1,47,52,50,0
19,907,924,1627,8591,14038,1195,3277,145,1474,720,529,2563,934,355,709,32,14,7,295,9,3,74,401,12,63,2,33,277,146,12,1396,3,24,246,388,0,120,7,17,0,296,10,461,26,18,1494,17,79,0,3,28,4,21,48,2,7,15,5,1,8,15,0,8,3,25,40,27,5,0,1,71,39,70,0
20,853,1023,1654,7657,13846,700,3465,159,1766,711,590,2833,828,1401,297,33,14,6,336,15,1,82,456,10,64,2,18,384,257,17,1798,8,15,232,337,1,105,9,26,0,380,8,592,19,10,1179,29,97,0,5,11,7,14,40,2,6,31,3,0,13,13,1,9,5,18,48,18,4,0,0,91,28,56,0
21,805,960,1526,9332,13135,561,3449,125,1696,766,587,2822,1856,370,575,16,5,5,322,13,1,66,442,5,73,7,81,295,259,19,2009,5,24,271,336,0,106,3,22,1,365,14,527,13,9,761,14,75,0,2,15,13,36,33,3,7,27,3,1,8,16,2,13,0,4,21,18,5,1,1,123,33,48,0
22,731,4601,1363,3881,11448,414,10410,105,1473,786,519,2381,1580,180,251,18,10,5,296,9,1,56,330,22,63,0,85,254,253,9,1759,9,16,250,104,1,105,10,27,1,249,8,462,22,11,447,10,58,0,5,16,7,41,46,5,3,23,7,4,8,12,1,14,3,3,18,26,2,2,3,104,18,49,0
23,825,5856,1177,2905,10283,446,13385,101,1372,764,427,2160,1225,382,451,13,9,3,244,8,1,64,262,35,61,4,70,154,190,24,1338,7,17,121,63,0,102,4,34,0,226,8,327,11,14,315,12,44,0,4,16,10,42,24,5,7,12,2,3,14,4,0,7,1,6,6,23,9,4,3,79,14,37,0
24,842,8280,1145,2569,5826,3615,2603,11559,1176,774,390,600,2347,430,411,24,9,5,186,6,3,65,219,29,62,4,55,134,176,14,1041,4,17,75,46,0,117,2,60,3,174,4,261,13,18,314,11,36,0,0,15,8,41,69,6,17,14,3,1,16,12,3,10,5,4,24,30,5,2,2,61,29,40,0
