,Births,County Influx,County Population,Deaths,Total Population
0,[],"[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[18, 17, 4, 7, 8, 8, 20, 23, 9, 64, 17, 28, 6, 8, 8, 8, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 47, 16, 15, 8, 9, 10, 8, 26, 3, 107, 3, 5, 47, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 4, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[553, 504, 170, 223, 238, 263, 592, 678, 306, 1858, 564, 852, 198, 318, 264, 274, 212, 129, 330, 244, 248, 364, 278, 179, 451, 289, 400, 203, 344, 1434, 502, 477, 243, 278, 298, 246, 780, 122, 3170, 111, 174, 1352, 376, 386, 868, 397, 322, 750, 122, 290, 1014, 849, 180, 593, 371, 428, 214, 661, 522, 1080, 340, 225, 584, 191, 358, 408, 281, 655, 406, 240, 159, 334, 673, 63]","[22, 23, 2, 4, 14, 12, 18, 22, 3, 62, 17, 12, 7, 10, 6, 7, 3, 0, 8, 8, 3, 17, 8, 5, 9, 7, 10, 5, 6, 34, 13, 10, 5, 7, 11, 1, 20, 2, 63, 1, 4, 34, 8, 7, 28, 8, 8, 23, 4, 10, 26, 25, 6, 16, 12, 22, 10, 21, 11, 41, 8, 4, 18, 3, 9, 15, 10, 13, 7, 10, 2, 3, 25, 2]",35053
2,"[18, 16, 5, 7, 7, 8, 19, 22, 10, 61, 18, 28, 6, 10, 8, 9, 7, 4, 11, 8, 8, 12, 9, 5, 15, 9, 13, 6, 11, 47, 16, 15, 8, 9, 9, 8, 26, 4, 105, 3, 5, 45, 12, 12, 28, 13, 10, 25, 4, 9, 33, 28, 6, 19, 12, 14, 7, 22, 17, 36, 11, 7, 19, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[578, 529, 204, 253, 227, 293, 541, 642, 319, 1740, 598, 784, 203, 401, 268, 304, 212, 176, 344, 245, 257, 349, 267, 203, 556, 279, 424, 228, 365, 1442, 512, 481, 236, 290, 353, 229, 733, 160, 3013, 100, 207, 1222, 390, 413, 877, 440, 328, 727, 129, 278, 1070, 853, 258, 589, 335, 486, 232, 639, 519, 1119, 339, 241, 588, 183, 386, 402, 283, 627, 376, 249, 161, 347, 672, 59]","[13, 13, 4, 6, 8, 6, 19, 12, 4, 37, 10, 15, 3, 10, 4, 4, 4, 3, 8, 6, 6, 11, 5, 4, 10, 8, 5, 5, 11, 25, 14, 13, 4, 9, 8, 6, 16, 0, 79, 1, 5, 30, 9, 5, 26, 10, 6, 17, 3, 12, 26, 29, 10, 14, 13, 12, 7, 16, 12, 21, 8, 2, 19, 6, 10, 8, 5, 13, 2, 11, 4, 8, 18, 0]",35362
3,"[19, 17, 6, 8, 7, 9, 18, 21, 10, 58, 19, 26, 6, 13, 8, 10, 7, 5, 11, 8, 8, 11, 8, 6, 18, 9, 14, 7, 12, 48, 17, 16, 7, 9, 11, 7, 24, 5, 100, 3, 6, 40, 13, 13, 29, 14, 10, 24, 4, 9, 35, 28, 8, 19, 11, 16, 7, 21, 17, 37, 11, 8, 19, 6, 12, 13, 9, 20, 12, 8, 5, 11, 22, 1]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[599, 514, 276, 342, 223, 321, 478, 533, 298, 1612, 633, 736, 210, 594, 265, 300, 242, 165, 370, 261, 222, 351, 270, 238, 545, 305, 438, 280, 417, 1379, 520, 469, 237, 298, 418, 206, 698, 194, 2710, 124, 291, 1049, 445, 441, 982, 537, 320, 758, 119, 302, 1047, 914, 346, 687, 320, 594, 287, 600, 512, 1135, 354, 262, 564, 204, 419, 390, 276, 571, 326, 243, 156, 364, 645, 49]","[13, 12, 4, 6, 2, 6, 10, 6, 4, 37, 14, 9, 3, 11, 11, 6, 3, 2, 8, 4, 9, 12, 3, 5, 12, 3, 5, 8, 4, 26, 18, 11, 6, 5, 7, 2, 11, 2, 67, 3, 5, 17, 7, 8, 19, 7, 10, 11, 3, 4, 16, 23, 6, 16, 5, 13, 4, 19, 8, 23, 8, 8, 16, 4, 8, 8, 0, 5, 4, 3, 2, 5, 20, 1]",35800
4,"[19, 17, 9, 11, 7, 10, 15, 17, 9, 53, 21, 24, 7, 19, 8, 10, 8, 5, 12, 8, 7, 11, 9, 7, 18, 10, 14, 9, 13, 45, 17, 15, 7, 9, 13, 6, 23, 6, 90, 4, 9, 34, 14, 14, 32, 17, 10, 25, 3, 10, 34, 30, 11, 22, 10, 19, 9, 20, 17, 37, 11, 8, 18, 6, 13, 13, 9, 19, 10, 8, 5, 12, 21, 1]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[583, 460, 304, 365, 264, 358, 417, 490, 290, 1540, 643, 673, 220, 785, 276, 326, 249, 211, 403, 300, 212, 363, 273, 344, 529, 361, 440, 348, 491, 1277, 563, 436, 315, 327, 432, 186, 657, 241, 2456, 119, 355, 917, 550, 430, 1014, 487, 374, 825, 114, 300, 1057, 1013, 503, 750, 264, 680, 341, 553, 438, 1171, 331, 266, 539, 217, 428, 360, 270, 515, 309, 211, 148, 359, 656, 33]","[8, 14, 7, 4, 1, 2, 10, 10, 4, 29, 16, 12, 4, 12, 2, 9, 7, 5, 9, 6, 1, 5, 2, 3, 10, 7, 8, 7, 9, 22, 8, 8, 9, 11, 8, 1, 14, 2, 53, 2, 7, 23, 9, 9, 24, 5, 4, 14, 2, 4, 17, 20, 7, 16, 6, 9, 3, 9, 5, 16, 3, 4, 15, 6, 7, 6, 3, 6, 3, 5, 0, 6, 14, 0]",36305
5,"[19, 15, 10, 12, 8, 11, 13, 16, 9, 51, 21, 22, 7, 26, 9, 10, 8, 7, 13, 10, 7, 12, 9, 11, 17, 12, 14, 11, 16, 42, 18, 14, 10, 10, 14, 6, 21, 8, 81, 3, 11, 30, 18, 14, 33, 16, 12, 27, 3, 10, 35, 33, 16, 25, 8, 22, 11, 18, 14, 39, 11, 8, 17, 7, 14, 12, 9, 17, 10, 7, 4, 11, 21, 1]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[581, 486, 389, 406, 256, 400, 360, 422, 301, 1426, 672, 583, 215, 971, 309, 362, 245, 279, 412, 315, 185, 378, 239, 391, 527, 300, 800, 405, 507, 1169, 629, 417, 359, 411, 571, 165, 631, 267, 2276, 116, 406, 804, 587, 401, 1154, 442, 430, 712, 118, 361, 1024, 1043, 632, 790, 255, 766, 364, 459, 406, 1098, 323, 292, 524, 257, 444, 293, 236, 466, 261, 181, 141, 366, 659, 25]","[9, 8, 9, 6, 3, 12, 5, 4, 5, 23, 10, 7, 4, 18, 3, 10, 3, 7, 7, 3, 1, 5, 5, 1, 9, 2, 15, 9, 11, 16, 14, 8, 7, 6, 8, 1, 12, 6, 41, 1, 5, 14, 8, 12, 19, 7, 11, 16, 3, 6, 19, 17, 5, 8, 5, 11, 5, 10, 8, 21, 2, 8, 7, 8, 0, 10, 4, 8, 4, 6, 1, 5, 22, 0]",36853
6,"[19, 16, 12, 13, 8, 13, 12, 14, 10, 47, 22, 19, 7, 32, 10, 12, 8, 9, 13, 10, 6, 12, 7, 13, 17, 10, 26, 13, 16, 38, 20, 13, 11, 13, 19, 5, 21, 8, 75, 3, 13, 26, 19, 13, 38, 14, 14, 23, 3, 12, 34, 34, 21, 26, 8, 25, 12, 15, 13, 36, 10, 9, 17, 8, 14, 9, 7, 15, 8, 6, 4, 12, 21, 0]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[591, 496, 448, 468, 291, 404, 321, 346, 266, 1278, 714, 540, 229, 1091, 365, 388, 331, 289, 490, 345, 168, 411, 219, 381, 535, 230, 1033, 482, 587, 1132, 615, 435, 472, 480, 646, 153, 598, 253, 1994, 136, 456, 762, 662, 394, 1079, 570, 502, 732, 103, 354, 1037, 1106, 761, 788, 215, 841, 401, 389, 395, 960, 323, 286, 534, 284, 425, 290, 234, 369, 196, 213, 129, 313, 706, 14]","[10, 7, 4, 9, 4, 3, 3, 4, 6, 15, 6, 8, 3, 12, 6, 4, 4, 11, 10, 2, 2, 2, 5, 3, 4, 4, 15, 4, 10, 21, 4, 8, 8, 4, 12, 0, 7, 3, 45, 2, 7, 13, 10, 4, 15, 12, 9, 19, 2, 8, 11, 20, 10, 13, 10, 9, 6, 11, 4, 15, 5, 9, 8, 4, 5, 4, 1, 6, 2, 4, 3, 5, 12, 0]",37474
7,"[19, 16, 14, 15, 9, 13, 10, 11, 8, 42, 23, 18, 7, 36, 12, 12, 11, 9, 16, 11, 5, 13, 7, 12, 17, 7, 34, 16, 19, 37, 20, 14, 15, 16, 21, 5, 19, 8, 66, 4, 15, 25, 22, 13, 35, 19, 16, 24, 3, 11, 34, 36, 25, 26, 7, 28, 13, 12, 13, 32, 10, 9, 17, 9, 14, 9, 7, 12, 6, 7, 4, 10, 23, 0]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[631, 505, 546, 503, 321, 402, 306, 292, 250, 1188, 688, 533, 248, 1122, 451, 474, 410, 302, 515, 384, 142, 381, 223, 337, 557, 210, 1239, 519, 749, 1059, 668, 525, 522, 530, 710, 124, 597, 234, 1834, 156, 546, 632, 803, 344, 1033, 596, 574, 808, 94, 367, 1049, 1283, 704, 713, 226, 979, 437, 368, 431, 810, 300, 293, 540, 319, 355, 252, 205, 309, 163, 181, 117, 260, 612, 7]","[6, 9, 8, 6, 10, 0, 5, 7, 5, 22, 11, 12, 4, 22, 6, 9, 4, 5, 6, 6, 2, 4, 5, 6, 10, 2, 19, 7, 10, 14, 10, 4, 5, 15, 11, 2, 10, 2, 31, 2, 6, 11, 12, 4, 15, 7, 9, 13, 1, 9, 17, 16, 9, 10, 3, 9, 4, 5, 11, 18, 7, 4, 9, 5, 4, 5, 3, 5, 4, 4, 1, 5, 11, 0]",38097
8,"[21, 16, 18, 16, 10, 13, 10, 9, 8, 39, 22, 17, 8, 37, 15, 15, 13, 10, 17, 12, 4, 12, 7, 11, 18, 7, 41, 17, 24, 35, 22, 17, 17, 17, 23, 4, 19, 7, 61, 5, 18, 21, 26, 11, 34, 19, 19, 26, 3, 12, 34, 42, 23, 23, 7, 32, 14, 12, 14, 27, 10, 9, 18, 10, 11, 8, 6, 10, 5, 6, 3, 8, 20, 0]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[594, 544, 589, 537, 330, 394, 267, 278, 215, 1141, 724, 448, 459, 1254, 520, 516, 379, 401, 618, 373, 101, 403, 220, 295, 486, 209, 1343, 600, 852, 1072, 731, 517, 614, 630, 742, 116, 643, 229, 1720, 202, 544, 509, 854, 390, 842, 743, 695, 829, 66, 342, 1002, 1310, 734, 655, 182, 1041, 413, 338, 351, 782, 258, 220, 579, 312, 364, 229, 201, 291, 156, 189, 122, 231, 687, 9]","[13, 11, 9, 4, 7, 4, 1, 2, 2, 26, 14, 8, 4, 17, 3, 4, 8, 3, 3, 5, 2, 10, 2, 3, 5, 5, 15, 10, 14, 13, 8, 8, 6, 12, 14, 3, 5, 5, 20, 4, 9, 13, 8, 6, 9, 10, 7, 11, 0, 2, 15, 22, 13, 13, 4, 19, 1, 3, 6, 9, 4, 4, 11, 6, 7, 3, 3, 2, 1, 5, 1, 2, 15, 0]",38776
9,"[19, 18, 19, 17, 11, 13, 8, 9, 7, 38, 24, 14, 15, 41, 17, 17, 12, 13, 20, 12, 3, 13, 7, 9, 16, 6, 44, 20, 28, 35, 24, 17, 20, 21, 24, 3, 21, 7, 57, 6, 18, 16, 28, 13, 28, 24, 23, 27, 2, 11, 33, 43, 24, 21, 6, 34, 13, 11, 11, 26, 8, 7, 19, 10, 12, 7, 6, 9, 5, 6, 4, 7, 22, 0]","[301, -19, 350, 454, 376, 125, -446, -596, -106, -1275, 71, -637, 311, 631, 273, 380, 272, 493, 310, 141, -223, 206, 135, 472, 117, 326, 463, 576, 641, -801, 260, -310, 684, 702, 745, -135, -136, 209, -2391, 27, 766, -1172, 290, 104, -93, 208, 29, 8, -80, 101, -162, -185, 501, 15, -257, 607, 383, -475, -300, -548, -85, -40, -122, -29, -196, -207, -182, -655, -383, 0, -142, -322, -293, -60]","[598, 540, 670, 538, 394, 440, 282, 281, 226, 1197, 800, 386, 597, 1185, 550, 505, 368, 472, 740, 345, 85, 392, 262, 257, 660, 181, 1162, 884, 951, 1091, 667, 519, 605, 717, 803, 127, 593, 229, 1678, 202, 600, 458, 1005, 378, 788, 707, 749, 797, 91, 422, 890, 1283, 696, 722, 217, 1010, 444, 295, 311, 709, 255, 161, 575, 300, 297, 223, 202, 268, 150, 213, 111, 243, 667, 17]","[12, 9, 9, 5, 10, 6, 9, 2, 4, 16, 14, 7, 13, 12, 8, 6, 4, 8, 8, 1, 3, 6, 3, 6, 14, 3, 14, 13, 15, 19, 12, 6, 10, 7, 10, 1, 8, 6, 27, 3, 12, 12, 14, 2, 10, 14, 8, 18, 3, 6, 20, 16, 17, 3, 2, 15, 4, 3, 4, 7, 5, 3, 10, 4, 6, 5, 4, 4, 4, 4, 1, 1, 12, 0]",39433
