c1, c2, dist, nm
0, 1, 2236, -9
0, 2, 1967, -7
0, 3, 955, -11
0, 4, 2426, -4
0, 5, 865, -7
0, 6, 1454, 6
0, 7, 392, -7
0, 8, 1454, 3
0, 9, 1821, -11
0, 10, 2141, -8
0, 11, 1452, 6
0, 12, 1739, -6
0, 13, 1931, -10
0, 14, 927, -17
0, 15, 2411, -3
0, 16, 1390, -12
0, 17, 2360, -6
0, 18, 2340, 1
0, 19, 944, -12
0, 20, 975, 0
0, 21, 2280, -21
0, 22, 2529, -3
0, 23, 2028, -3
0, 24, 2083, -1
0, 25, 137, 3
0, 26, 2102, -6
0, 27, 2311, -5
0, 28, 2011, -7
0, 29, 1607, 3
0, 30, 1550, -10
0, 31, 2376, -2
0, 32, 2539, 2
0, 33, 1490, -5
0, 34, 1962, -8
0, 35, 236, -4
0, 36, 680, -13
0, 37, 1362, -17
0, 38, 307, 54
0, 39, 1158, -1
0, 40, 2037, -5
0, 41, 605, 5
0, 42, 1920, -7
0, 43, 2270, -3
0, 44, 2546, 0
0, 45, 1812, -4
0, 46, 546, -35
0, 47, 2544, -3
0, 48, 1561, -5
0, 49, 1361, 2
0, 50, 357, 31
0, 51, 2408, 2
0, 52, 1898, -2
0, 53, 2493, -3
0, 54, 687, -16
0, 55, 2353, -2
0, 56, 1568, -11
0, 57, 426, -7
0, 58, 64, -17
0, 59, 430, 19
0, 60, 31, -27
0, 61, 39, -9
0, 62, 30, -10
0, 63, 1332, -1
0, 64, 1778, -11
0, 65, 1701, -11
0, 66, 2670, -3
0, 67, 1424, 3
0, 68, 1465, 0
0, 69, 1433, -4
0, 70, 2498, -4
0, 71, 2377, -7
0, 72, 2051, -12
0, 73, 1473, -2
1, 2, 269, 33
1, 3, 1285, 10
1, 4, 195, -11
1, 5, 1498, 16
1, 6, 1292, 11
1, 7, 1909, 10
1, 8, 1043, 7
1, 9, 418, 56
1, 10, 109, 219
1, 11, 1070, 12
1, 12, 518, 61
1, 13, 473, 1
1, 14, 1312, 28
1, 15, 191, 1
1, 16, 846, 6
1, 17, 312, -18
1, 18, 707, 3
1, 19, 1306, 15
1, 20, 1577, -4
1, 21, 171, -1065
1, 22, 301, 33
1, 23, 292, 71
1, 24, 163, 51
1, 25, 2139, 7
1, 26, 522, 8
1, 27, 303, 72
1, 28, 257, 55
1, 29, 1135, 25
1, 30, 752, 19
1, 31, 876, 8
1, 32, 311, 19
1, 33, 769, 6
1, 34, 342, 4
1, 35, 2125, 4
1, 36, 2108, -104
1, 37, 874, 5
1, 38, 2125, 46
1, 39, 1290, -1
1, 40, 206, 7
1, 41, 1850, 12
1, 42, 329, -1
1, 43, 363, 10
1, 44, 1027, 18
1, 45, 446, 45
1, 46, 2147, -11
1, 47, 317, 21
1, 48, 1335, 0
1, 49, 1005, -5
1, 50, 2117, 23
1, 51, 828, 27
1, 52, 911, 2
1, 53, 257, 48
1, 54, 1852, 5
1, 55, 880, 9
1, 56, 735, 132
1, 57, 2024, 8
1, 58, 2190, 7
1, 59, 2083, 15
1, 60, 2262, 13
1, 61, 2198, 1
1, 62, 2235, 29
1, 63, 955, 9
1, 64, 651, 24
1, 65, 571, 2
1, 66, 479, 14
1, 67, 1094, 8
1, 68, 1219, -1
1, 69, 914, 9
1, 70, 332, 11
1, 71, 331, 9
1, 72, 212, 217
1, 73, 1407, 4
2, 3, 1018, 5
2, 4, 462, 15
2, 5, 1243, 8
2, 6, 1104, 7
2, 7, 1643, 3
2, 8, 835, 10
2, 9, 151, 116
2, 10, 178, -72
2, 11, 864, 12
