,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-23, 36, 40, 22, 16, 33, -30, -21, 19, -108, 12, -36, 21, 26, 16, 5, 24, 25, -1, 19, 0, 83, 9, 58, 31, 25, 2, 43, 55, -94, 1, -22, -1, 27, 24, 16, 44, 40, -225, 27, 37, -81, 26, -5, -82, 7, 11, -49, 8, 39, -38, 0, -9, 3, 14, -23, 31, -40, -5, -53, -24, 16, 20, 26, 18, 21, -29, -34, -38, 12, 1, 0, -26, 8]","[524, 562, 179, 247, 257, 295, 574, 689, 309, 1831, 544, 822, 227, 281, 279, 267, 228, 135, 327, 256, 256, 464, 284, 181, 500, 312, 370, 238, 384, 1343, 479, 452, 242, 298, 330, 272, 847, 156, 3012, 133, 215, 1331, 385, 362, 749, 388, 318, 692, 130, 322, 958, 831, 137, 583, 398, 378, 237, 645, 515, 1025, 322, 232, 629, 217, 360, 423, 261, 629, 375, 252, 164, 348, 639, 75]","[3, 5, 0, 2, 2, 3, 6, 7, 1, 13, 7, 8, 2, 3, 5, 3, 2, 2, 5, 2, 1, 2, 4, 1, 3, 4, 3, 2, 1, 11, 7, 1, 2, 2, 2, 1, 7, 0, 25, 0, 1, 13, 4, 2, 5, 1, 1, 2, 2, 4, 8, 5, 3, 5, 3, 4, 1, 4, 2, 8, 2, 1, 6, 2, 4, 5, 0, 2, 2, 3, 2, 3, 11, 0]",34911
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 5, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 30, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-56, 71, 83, 52, 23, 49, -51, -47, 16, -220, 33, -88, 36, 32, 41, 11, 61, 49, -8, 41, 4, 150, 12, 110, 52, 36, 9, 83, 91, -163, 5, -41, -16, 55, 59, 37, 108, 60, -463, 46, 74, -167, 31, 3, -144, 2, 27, -97, 18, 51, -80, -16, -12, -11, 27, -52, 54, -40, -25, -99, -19, 16, 46, 57, 31, 40, -46, -48, -47, 52, -9, 9, -9, 21]","[494, 595, 217, 277, 264, 309, 556, 665, 308, 1723, 566, 774, 241, 285, 305, 274, 264, 160, 321, 277, 259, 533, 288, 230, 523, 324, 379, 277, 419, 1286, 484, 433, 227, 325, 365, 291, 914, 175, 2773, 151, 248, 1249, 391, 370, 686, 382, 334, 645, 139, 333, 917, 818, 133, 572, 407, 348, 261, 646, 497, 982, 325, 233, 652, 244, 375, 441, 245, 615, 367, 291, 154, 356, 648, 88]","[2, 7, 6, 2, 2, 4, 2, 4, 1, 14, 4, 4, 3, 4, 1, 1, 3, 0, 2, 3, 3, 2, 1, 4, 3, 2, 1, 3, 4, 1, 3, 4, 2, 3, 3, 4, 5, 2, 31, 2, 6, 9, 2, 3, 8, 4, 3, 5, 2, 4, 8, 5, 2, 2, 7, 4, 1, 5, 3, 7, 5, 1, 9, 6, 1, 5, 1, 6, 2, 3, 1, 4, 14, 0]",34923
3,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 2, 3, 2, 2, 1, 3, 2, 2, 5, 2, 2, 5, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 2, 9, 1, 27, 1, 2, 12, 3, 3, 6, 3, 3, 6, 1, 3, 9, 8, 1, 5, 4, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-68, 103, 120, 61, 36, 76, -81, -68, 23, -297, 61, -114, 62, 74, 39, 14, 90, 80, -15, 62, 15, 216, 20, 157, 57, 60, 2, 124, 116, -242, 5, -63, -23, 70, 71, 53, 160, 94, -677, 57, 97, -241, 22, 12, -191, -2, 51, -164, 39, 74, -111, -38, -18, -30, 37, -77, 74, -49, -27, -148, -24, 28, 31, 76, 31, 63, -52, -68, -45, 76, -8, 33, -11, 30]","[480, 626, 255, 288, 276, 337, 522, 641, 315, 1654, 595, 750, 267, 326, 303, 278, 294, 189, 314, 298, 271, 599, 293, 275, 531, 347, 373, 319, 445, 1206, 484, 411, 219, 341, 377, 308, 969, 210, 2567, 160, 270, 1175, 382, 382, 638, 373, 358, 581, 160, 354, 885, 800, 127, 552, 417, 323, 282, 638, 497, 932, 320, 245, 639, 263, 377, 464, 238, 598, 370, 309, 155, 381, 645, 97]","[6, 6, 1, 0, 3, 2, 9, 9, 3, 9, 4, 5, 2, 3, 3, 1, 1, 3, 3, 2, 1, 5, 5, 4, 2, 4, 2, 1, 3, 13, 4, 4, 3, 2, 3, 1, 6, 0, 19, 3, 3, 12, 3, 0, 7, 8, 3, 3, 1, 5, 10, 4, 1, 6, 4, 3, 1, 5, 2, 10, 3, 2, 4, 2, 1, 4, 3, 3, 2, 8, 1, 2, 7, 0]",34940
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 5, 2, 2, 5, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 3, 9, 2, 25, 1, 2, 11, 3, 3, 6, 3, 3, 5, 1, 3, 8, 8, 1, 5, 4, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 0]","[-82, 155, 158, 79, 39, 93, -91, -81, 36, -369, 74, -135, 64, 91, 57, 10, 83, 104, -12, 85, 12, 265, 32, 182, 71, 86, -2, 162, 128, -313, 3, -75, -38, 102, 89, 66, 220, 112, -854, 79, 127, -320, 37, 18, -245, 8, 59, -198, 42, 77, -144, -64, -23, -37, 33, -87, 116, -44, -36, -185, -22, 37, 36, 100, 25, 54, -64, -92, -42, 99, -11, 36, -17, 42]","[469, 674, 291, 304, 279, 355, 515, 626, 330, 1582, 604, 727, 270, 343, 322, 273, 288, 212, 319, 323, 266, 650, 305, 300, 549, 370, 369, 359, 457, 1135, 482, 398, 203, 375, 397, 322, 1031, 229, 2393, 178, 300, 1096, 394, 387, 586, 382, 359, 547, 163, 355, 851, 775, 122, 544, 411, 312, 325, 642, 490, 899, 325, 249, 644, 286, 369, 452, 225, 574, 372, 332, 150, 380, 639, 108]","[1, 10, 4, 4, 2, 2, 2, 8, 1, 16, 9, 9, 1, 3, 2, 3, 1, 2, 1, 0, 4, 3, 2, 2, 1, 6, 3, 1, 4, 12, 4, 5, 3, 1, 1, 2, 7, 1, 22, 5, 2, 11, 6, 4, 4, 4, 10, 5, 1, 5, 9, 7, 1, 6, 6, 4, 1, 7, 2, 5, 0, 7, 6, 3, 5, 7, 3, 5, 4, 3, 3, 7, 6, 1]",34919
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 6, 7, 2, 3, 3, 2, 2, 2, 3, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 11, 4, 3, 2, 3, 3, 3, 10, 2, 23, 1, 3, 10, 3, 3, 5, 3, 3, 5, 1, 3, 8, 7, 1, 5, 4, 3, 3, 6, 4, 8, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-96, 185, 207, 86, 42, 113, -116, -101, 49, -430, 82, -169, 89, 108, 74, 18, 92, 113, -23, 100, 13, 315, 49, 215, 79, 96, 0, 196, 153, -371, 1, -80, -40, 104, 87, 75, 294, 117, -1022, 100, 148, -388, 42, 28, -285, 23, 63, -232, 47, 106, -189, -80, -23, -50, 46, -106, 141, -40, -56, -231, -10, 39, 48, 114, 28, 49, -75, -95, -46, 110, -17, 46, -13, 54]","[457, 703, 340, 313, 282, 377, 487, 605, 339, 1522, 612, 697, 293, 361, 341, 282, 296, 219, 308, 337, 266, 702, 321, 333, 553, 379, 373, 393, 482, 1083, 480, 395, 202, 378, 396, 329, 1101, 235, 2219, 199, 319, 1022, 398, 398, 548, 394, 360, 514, 168, 383, 801, 759, 121, 535, 421, 292, 350, 643, 468, 856, 337, 252, 654, 300, 372, 445, 216, 574, 367, 342, 141, 389, 644, 120]","[2, 7, 2, 1, 2, 1, 8, 7, 7, 14, 6, 3, 4, 2, 1, 1, 3, 4, 3, 4, 3, 4, 4, 3, 9, 4, 1, 3, 4, 5, 4, 1, 1, 2, 2, 5, 14, 1, 29, 1, 5, 16, 4, 2, 3, 6, 6, 4, 1, 4, 13, 7, 2, 1, 7, 4, 3, 9, 6, 5, 3, 1, 8, 2, 3, 6, 0, 2, 4, 4, 4, 4, 5, 1]",34893
6,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 15, 6, 6, 2, 3, 3, 2, 2, 2, 3, 3, 2, 7, 3, 3, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 3, 3, 11, 2, 22, 1, 3, 10, 3, 3, 5, 3, 3, 5, 1, 3, 8, 7, 1, 5, 4, 2, 3, 6, 4, 8, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-113, 213, 231, 108, 46, 128, -141, -118, 47, -500, 95, -202, 112, 119, 84, 20, 124, 136, -28, 128, 17, 391, 45, 240, 98, 91, 30, 217, 181, -426, -5, -108, -45, 115, 100, 93, 333, 130, -1153, 112, 157, -437, 68, 38, -324, 55, 62, -258, 69, 111, -232, -116, -29, -46, 27, -114, 174, -72, -63, -271, -1, 52, 45, 122, 28, 53, -96, -108, -52, 127, -12, 42, 3, 53]","[441, 731, 363, 333, 286, 391, 462, 587, 337, 1448, 624, 665, 317, 371, 353, 280, 327, 243, 302, 366, 269, 779, 317, 355, 570, 370, 402, 411, 506, 1027, 476, 368, 197, 382, 407, 346, 1144, 250, 2086, 209, 327, 968, 423, 405, 510, 425, 362, 487, 190, 388, 755, 723, 115, 538, 402, 286, 381, 609, 463, 814, 343, 264, 646, 309, 369, 448, 196, 562, 360, 358, 144, 381, 659, 118]","[3, 7, 4, 5, 2, 4, 4, 7, 3, 19, 7, 5, 1, 4, 1, 6, 3, 1, 4, 2, 3, 6, 3, 6, 7, 7, 4, 6, 8, 11, 2, 2, 2, 10, 5, 4, 7, 0, 24, 3, 4, 15, 4, 6, 4, 4, 0, 6, 1, 3, 11, 7, 1, 6, 4, 0, 5, 8, 2, 10, 6, 3, 11, 2, 6, 5, 1, 4, 4, 4, 3, 7, 7, 2]",34826
7,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 14, 6, 6, 3, 3, 3, 2, 3, 2, 3, 3, 2, 7, 3, 3, 5, 3, 4, 4, 5, 10, 4, 3, 1, 3, 4, 3, 11, 2, 20, 2, 3, 9, 4, 4, 5, 4, 3, 4, 1, 3, 7, 7, 1, 5, 4, 2, 3, 6, 4, 8, 3, 2, 6, 3, 3, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-124, 231, 267, 118, 49, 141, -160, -126, 60, -571, 116, -233, 135, 133, 99, 30, 144, 161, -38, 140, 22, 459, 48, 267, 115, 89, 26, 235, 201, -466, -16, -124, -53, 143, 113, 108, 389, 149, -1303, 122, 167, -484, 86, 32, -359, 74, 67, -285, 69, 117, -256, -133, -32, -47, 28, -125, 194, -98, -79, -307, -5, 52, 37, 150, 25, 49, -97, -114, -59, 134, -10, 38, 16, 59]","[426, 742, 400, 342, 284, 402, 443, 576, 349, 1377, 643, 635, 341, 386, 370, 290, 348, 264, 294, 376, 274, 841, 320, 384, 583, 366, 399, 429, 528, 986, 462, 353, 186, 405, 416, 360, 1197, 264, 1944, 221, 336, 919, 438, 399, 476, 442, 367, 458, 189, 395, 731, 697, 111, 541, 400, 274, 400, 580, 446, 778, 338, 258, 636, 336, 365, 441, 195, 552, 355, 367, 146, 374, 672, 124]","[8, 14, 2, 4, 7, 5, 4, 8, 4, 14, 8, 5, 2, 2, 1, 2, 2, 6, 1, 5, 2, 13, 3, 1, 9, 5, 3, 4, 3, 11, 7, 2, 4, 8, 8, 4, 14, 7, 12, 0, 4, 11, 7, 4, 4, 6, 3, 6, 2, 2, 7, 16, 2, 1, 7, 3, 4, 9, 5, 8, 4, 8, 8, 4, 4, 7, 1, 9, 1, 1, 1, 6, 6, 1]",34742
8,"[4, 7, 4, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 8, 3, 3, 5, 3, 3, 4, 5, 9, 4, 3, 1, 4, 4, 3, 11, 2, 19, 2, 3, 9, 4, 3, 4, 4, 3, 4, 1, 3, 7, 6, 1, 5, 4, 2, 4, 5, 4, 7, 3, 2, 6, 3, 3, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-143, 276, 265, 125, 57, 134, -163, -144, 69, -638, 146, -242, 158, 135, 102, 51, 143, 175, -38, 156, 20, 526, 50, 299, 115, 95, 42, 251, 214, -525, -6, -137, -64, 151, 129, 110, 450, 165, -1423, 138, 176, -521, 89, 24, -383, 63, 65, -304, 74, 143, -289, -142, -36, -55, 28, -126, 211, -121, -75, -335, -2, 62, 38, 153, 38, 50, -111, -124, -76, 158, -12, 31, 15, 70]","[404, 788, 396, 352, 289, 394, 442, 558, 355, 1302, 669, 627, 360, 389, 372, 308, 349, 272, 293, 394, 270, 907, 319, 412, 577, 372, 412, 442, 536, 926, 474, 338, 175, 407, 429, 361, 1248, 280, 1821, 235, 344, 880, 439, 387, 454, 431, 362, 433, 190, 420, 694, 685, 106, 529, 397, 271, 416, 553, 452, 748, 338, 265, 639, 335, 376, 442, 182, 542, 338, 386, 142, 366, 662, 136]","[7, 6, 6, 0, 5, 5, 2, 5, 6, 21, 10, 5, 7, 2, 4, 5, 1, 8, 3, 1, 4, 9, 6, 7, 11, 3, 6, 7, 10, 10, 2, 5, 1, 10, 7, 4, 21, 2, 22, 4, 4, 11, 6, 7, 2, 4, 6, 10, 5, 4, 11, 9, 2, 9, 7, 4, 5, 9, 2, 9, 6, 5, 4, 7, 5, 4, 0, 5, 3, 8, 3, 4, 15, 0]",34594
9,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 9, 3, 4, 5, 3, 4, 4, 5, 9, 4, 3, 1, 4, 4, 3, 12, 2, 18, 2, 3, 8, 4, 3, 4, 4, 3, 4, 1, 4, 6, 6, 1, 5, 3, 2, 4, 5, 4, 7, 3, 2, 6, 3, 3, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-151, 304, 295, 134, 69, 143, -164, -155, 68, -687, 169, -269, 171, 138, 106, 64, 150, 195, -48, 160, 28, 579, 50, 327, 116, 94, 54, 275, 219, -585, -23, -142, -65, 163, 141, 107, 528, 174, -1543, 140, 191, -549, 106, 28, -418, 75, 62, -338, 78, 151, -334, -165, -38, -65, 30, -134, 232, -146, -84, -358, -7, 74, 38, 156, 35, 67, -120, -138, -83, 181, -12, 34, 35, 87]","[394, 813, 424, 359, 299, 399, 438, 546, 352, 1253, 693, 599, 373, 392, 376, 316, 355, 293, 285, 398, 277, 957, 319, 434, 578, 369, 425, 466, 540, 859, 458, 334, 174, 414, 434, 357, 1323, 285, 1694, 238, 355, 852, 456, 393, 415, 442, 358, 398, 193, 426, 647, 659, 105, 517, 396, 258, 438, 526, 443, 718, 334, 275, 639, 337, 370, 455, 172, 529, 329, 409, 141, 369, 680, 150]","[6, 10, 5, 5, 4, 7, 7, 6, 5, 13, 5, 7, 3, 3, 3, 8, 4, 1, 0, 3, 3, 12, 3, 10, 5, 5, 3, 4, 6, 16, 3, 2, 1, 9, 11, 4, 15, 6, 25, 1, 7, 8, 4, 1, 8, 5, 4, 5, 2, 6, 8, 9, 0, 7, 6, 7, 3, 7, 4, 14, 2, 4, 6, 4, 6, 8, 2, 4, 5, 3, 2, 3, 8, 4]",34476
