c1,c2,net,dist
21,36,-1769,2098
1,21,-984,171
10,21,-614,176
38,62,-231,279
38,59,-144,123
9,72,-125,234
38,46,-123,806
12,56,-112,227
9,28,-107,251
9,24,-105,282
24,72,-94,161
41,57,-90,203
9,12,-85,117
7,35,-81,217
9,56,-81,344
44,51,-78,208
41,54,-73,95
9,10,-70,320
30,56,-69,18
1,36,-68,2108
38,49,-66,1180
9,23,-62,317
38,60,-62,333
9,21,-61,469
9,45,-60,80
9,40,-59,215
11,49,-59,195
29,49,-59,410
38,63,-59,1181
2,10,-56,178
2,72,-56,122
29,64,-56,488
10,36,-51,2001
45,56,-50,291
35,58,-49,258
2,12,-47,261
29,36,-47,1858
2,21,-46,345
6,67,-46,241
38,69,-46,1261
45,72,-46,242
38,50,-45,50
14,19,-42,67
29,63,-42,553
23,72,-41,300
7,58,-40,380
7,61,-39,364
9,34,-39,277
2,56,-38,487
29,69,-38,434
38,56,-38,1518
6,39,-37,346
13,34,-37,152
5,19,-36,286
28,72,-36,223
7,25,-35,260
12,21,-35,541
29,56,-35,1055
38,57,-35,133
29,45,-34,997
38,61,-34,301
38,72,-34,1958
3,14,-33,29
30,72,-33,542
38,58,-33,334
49,63,-33,146
49,69,-33,91
50,62,-33,328
51,64,-33,679
0,61,-32,39
6,11,-32,251
23,24,-32,154
38,42,-32,1799
8,49,-31,170
9,30,-31,358
9,42,-31,167
59,62,-31,402
9,27,-30,587
11,63,-30,341
19,36,-30,1053
29,40,-30,1044
29,65,-30,669
58,61,-30,36
59,60,-30,456
59,63,-30,1131
4,27,-29,282
6,36,-29,1759
34,40,-29,259
9,65,-28,261
0,35,-27,236
29,30,-27,1052
41,49,-27,872
41,58,-27,606
18,26,-26,289
24,56,-26,621
38,41,-26,335
51,71,-26,525
6,8,-25,283
6,68,-25,75
7,20,-25,588
29,33,-25,635
38,39,-25,940
38,54,-25,402
41,59,-25,246
41,61,-25,585
41,67,-25,880
48,68,-25,180
50,57,-25,101
59,69,-25,1200
0,58,-24,64
8,69,-24,206
19,21,-24,1371
20,39,-24,286
25,62,-24,117
29,48,-24,200
38,65,-24,1566
47,53,-24,83
11,69,-23,236
41,73,-23,872
50,54,-23,363
53,72,-23,452
5,39,-22,293
16,56,-22,300
26,28,-22,373
29,34,-22,800
38,45,-22,1729
40,45,-22,240
50,60,-22,383
11,37,-21,553
14,21,-21,1369
14,56,-21,701
27,72,-21,468
29,42,-21,862
31,51,-21,70
41,63,-21,895
67,69,-21,244
0,25,-20,137
0,62,-20,30
3,40,-20,1091
11,23,-20,782
19,73,-20,821
31,34,-20,735
31,36,-20,2508
32,53,-20,76
35,61,-20,227
38,43,-20,2111
41,68,-20,887
47,71,-20,430
53,56,-20,976
6,49,-19,426
10,46,-19,2042
11,64,-19,428
12,72,-19,315
29,72,-19,1091
0,7,-18,392
0,60,-18,31
7,21,-18,1972
7,37,-18,1038
9,36,-18,1700
11,24,-18,911
11,30,-18,863
16,45,-18,436
29,71,-18,1053
38,40,-18,1936
38,64,-18,1604
38,71,-18,2226
39,49,-18,284
44,71,-18,712
50,69,-18,1245
0,21,-17,2280
6,21,-17,1431
8,63,-17,314
8,64,-17,405
16,28,-17,629
16,30,-17,290
19,72,-17,1137
29,51,-17,850
50,58,-17,384
60,62,-17,54
0,36,-16,680
0,46,-16,546
3,33,-16,535
6,28,-16,1042
7,33,-16,1145
15,24,-16,328
16,21,-16,899
18,23,-16,556
19,56,-16,725
31,43,-16,513
34,42,-16,113
34,45,-16,354
41,48,-16,965
47,69,-16,1229
50,56,-16,1523
58,62,-16,87
69,73,-16,611
5,21,-15,1585
6,26,-15,879
9,26,-15,585
11,34,-15,728
14,23,-15,1101
19,34,-15,1018
26,43,-15,229
27,36,-15,2272
33,45,-15,433
35,39,-15,969
57,58,-15,441
70,71,-15,159
0,5,-14,865
3,26,-14,1170
5,14,-14,339
5,16,-14,714
7,63,-14,973
8,37,-14,524
8,43,-14,909
9,53,-14,673
13,28,-14,242
20,35,-14,759
26,45,-14,664
44,64,-14,864
44,72,-14,1163
51,56,-14,1308
58,59,-14,454
60,61,-14,65
5,37,-13,672
8,40,-13,916
9,16,-13,432
9,39,-13,951
9,43,-13,592
11,16,-13,590
11,17,-13,1043
11,28,-13,814
11,36,-13,1655
11,51,-13,960
14,16,-13,469
14,40,-13,1117
17,36,-13,2316
18,43,-13,343
19,23,-13,1084
22,24,-13,464
22,45,-13,721
25,37,-13,1264
26,40,-13,542
29,37,-13,758
44,65,-13,1068
54,67,-13,846
55,71,-13,592
57,63,-13,1073
58,69,-13,1400
59,65,-13,1517
62,63,-13,1326
62,69,-13,1424
68,69,-13,414
3,12,-12,808
3,37,-12,411
5,33,-12,731
7,11,-12,1064
7,67,-12,1035
8,19,-12,590
8,65,-12,508
9,48,-12,1122
9,69,-12,588
11,14,-12,660
11,27,-12,994
11,40,-12,944
11,45,-12,854
11,53,-12,1299
13,23,-12,181
14,30,-12,684
17,22,-12,413
17,40,-12,463
18,56,-12,1189
19,27,-12,1366
19,42,-12,983
20,67,-12,527
23,56,-12,656
26,36,-12,2148
30,45,-12,307
31,40,-12,949
32,40,-12,502
34,36,-12,1920
34,72,-12,309
36,54,-12,1186
41,65,-12,1281
44,68,-12,1099
50,63,-12,1170
50,72,-12,1954
50,73,-12,1166
57,67,-12,1082
3,56,-11,683
4,40,-11,402
4,65,-11,744
5,20,-11,228
5,26,-11,1266
6,63,-11,572
6,69,-11,485
7,14,-11,603
7,39,-11,768
7,43,-11,1909
7,49,-11,985
7,68,-11,1073
9,33,-11,395
10,48,-11,1308
11,29,-11,217
11,33,-11,451
11,65,-11,538
13,24,-11,333
15,22,-11,196
15,42,-11,491
18,36,-11,2425
18,71,-11,416
24,37,-11,721
24,48,-11,1189
28,40,-11,174
29,43,-11,925
29,46,-11,1817
29,55,-11,778
31,64,-11,672
33,40,-11,591
34,68,-11,878
37,40,-11,679
39,63,-11,373
41,56,-11,1309
49,73,-11,550
51,72,-11,956
54,58,-11,693
54,69,-11,947
0,3,-10,955
0,33,-10,1490
3,21,-10,1344
4,23,-10,432
6,23,-10,1000
6,45,-10,1105
7,13,-10,1569
7,19,-10,602
7,23,-10,1680
8,27,-10,973
9,17,-10,626
11,12,-10,816
11,56,-10,869
13,27,-10,390
14,26,-10,1199
16,24,-10,695
20,61,-10,950
25,49,-10,1241
25,69,-10,1315
26,70,-10,516
29,50,-10,1337
29,62,-10,1591
30,49,-10,685
35,59,-10,196
36,68,-10,1739
39,67,-10,268
43,73,-10,1204
44,56,-10,1512
47,56,-10,1009
47,70,-10,301
57,61,-10,413
57,69,-10,1146
60,73,-10,1503
61,65,-10,1664
62,65,-10,1697
69,72,-10,799
0,57,-9,426
3,17,-9,1407
3,73,-9,869
4,12,-9,713
4,43,-9,363
5,34,-9,1181
5,42,-9,1169
5,45,-9,1141
5,63,-9,543
7,24,-9,1750
7,40,-9,1717
7,65,-9,1354
8,12,-9,784
8,33,-9,420
8,36,-9,1644
8,42,-9,735
9,13,-9,396
9,46,-9,1734
10,39,-9,1226
11,18,-9,903
11,21,-9,1199
11,42,-9,764
13,21,-9,625
14,24,-9,1157
15,21,-9,281
15,30,-9,943
15,69,-9,1053
16,19,-9,473
16,23,-9,660
18,64,-9,583
20,21,-9,1683
20,27,-9,1541
25,30,-9,1473
25,36,-9,750
25,40,-9,1943
25,42,-9,1819
25,45,-9,1724
25,72,-9,1960
28,56,-9,595
29,31,-9,803
29,53,-9,1340
30,66,-9,1131
31,63,-9,1106
31,71,-9,583
33,36,-9,1491
33,56,-9,420
36,39,-9,1413
37,43,-9,942
38,52,-9,1677
41,64,-9,1293
42,45,-9,241
43,71,-9,128
44,69,-9,1163
49,72,-9,888
51,63,-9,1122
58,63,-9,1296
64,65,-9,240
0,30,-8,1550
