,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-26, 52, 47, 33, 17, 10, -30, -43, 12, -110, 62, -32, 20, 12, 9, -5, 16, 33, 1, 33, 9, 66, 3, 47, 15, -2, 4, 66, 41, -81, 12, -3, 2, 23, 18, -5, 76, 27, -278, 23, 41, -109, 20, 8, -56, 15, 24, -49, 19, 32, -59, -28, 8, 2, 0, -17, 32, -26, -29, -61, -26, 8, -13, 31, 18, 20, -9, -30, -11, 29, 7, 6, 7, 22]","[521, 578, 185, 259, 259, 273, 576, 669, 302, 1828, 592, 827, 226, 268, 277, 259, 218, 143, 333, 272, 263, 446, 279, 170, 483, 285, 373, 261, 367, 1361, 492, 465, 244, 293, 321, 252, 879, 143, 2958, 129, 218, 1301, 381, 374, 778, 395, 331, 689, 142, 318, 935, 803, 156, 579, 384, 380, 239, 656, 490, 1016, 317, 224, 598, 224, 359, 419, 277, 630, 403, 271, 169, 356, 679, 86]","[3, 5, 1, 1, 1, 2, 4, 5, 1, 14, 9, 7, 2, 2, 0, 1, 4, 2, 1, 0, 3, 3, 3, 1, 4, 4, 2, 2, 4, 6, 5, 7, 3, 3, 5, 0, 7, 0, 26, 0, 2, 15, 2, 3, 2, 2, 1, 5, 1, 1, 10, 5, 1, 8, 3, 8, 0, 7, 3, 9, 5, 1, 4, 0, 5, 8, 4, 5, 1, 1, 3, 1, 4, 3]",34906
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 5, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-50, 96, 83, 51, 28, 31, -60, -82, 22, -206, 85, -86, 34, 28, 14, 16, 30, 72, -2, 47, 17, 134, 31, 86, 25, 0, 16, 106, 55, -162, 18, -13, -1, 43, 47, -6, 194, 43, -496, 42, 69, -178, 47, 14, -119, 20, 71, -92, 38, 39, -97, -49, 6, -5, -6, -29, 59, -41, -44, -123, -33, 19, -42, 54, 33, 35, -22, -56, -27, 56, 19, 22, -9, 41]","[498, 616, 220, 274, 272, 294, 549, 631, 313, 1741, 618, 778, 241, 284, 283, 279, 230, 182, 331, 288, 269, 514, 306, 206, 494, 284, 387, 299, 380, 1280, 498, 455, 242, 312, 350, 253, 1001, 158, 2752, 148, 245, 1233, 407, 379, 713, 398, 376, 648, 159, 325, 899, 786, 152, 569, 377, 361, 266, 641, 470, 956, 313, 234, 570, 243, 374, 434, 262, 602, 387, 299, 179, 374, 662, 105]","[4, 11, 2, 5, 0, 2, 2, 5, 2, 9, 2, 3, 1, 2, 1, 3, 4, 1, 2, 0, 4, 4, 3, 4, 3, 5, 1, 4, 4, 13, 4, 4, 1, 3, 3, 0, 4, 2, 17, 1, 3, 12, 4, 4, 9, 5, 5, 4, 3, 3, 7, 4, 3, 8, 4, 10, 2, 6, 9, 8, 0, 3, 4, 6, 3, 4, 4, 8, 4, 1, 3, 1, 7, 0]",34908
3,"[4, 6, 2, 2, 2, 2, 5, 6, 3, 17, 6, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 5, 3, 2, 4, 2, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 10, 1, 27, 1, 2, 12, 4, 3, 7, 3, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 5, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-59, 128, 112, 62, 33, 52, -84, -98, 23, -276, 114, -130, 40, 43, 22, 17, 40, 99, 8, 59, 13, 201, 60, 123, 25, 2, 13, 134, 78, -228, 19, -7, -2, 57, 74, -5, 300, 75, -697, 70, 101, -256, 61, 26, -167, 36, 83, -132, 47, 54, -137, -62, 5, -8, -15, -48, 90, -65, -49, -163, -49, 17, -51, 78, 40, 40, -34, -75, -27, 50, 22, 37, -14, 55]","[486, 650, 250, 284, 278, 312, 528, 614, 316, 1663, 647, 735, 247, 298, 291, 279, 240, 208, 342, 301, 264, 581, 338, 242, 496, 286, 385, 329, 401, 1215, 496, 460, 243, 328, 377, 253, 1109, 191, 2555, 176, 278, 1158, 423, 393, 662, 415, 390, 608, 168, 342, 858, 775, 152, 564, 368, 339, 296, 618, 466, 916, 298, 232, 560, 264, 383, 438, 246, 586, 388, 292, 182, 391, 655, 118]","[7, 4, 1, 3, 1, 5, 2, 7, 1, 25, 6, 6, 2, 3, 2, 3, 2, 2, 2, 1, 3, 5, 0, 3, 2, 2, 2, 0, 5, 11, 7, 5, 0, 1, 3, 3, 8, 0, 23, 1, 1, 9, 2, 1, 10, 2, 1, 6, 1, 1, 9, 5, 0, 7, 3, 6, 3, 5, 3, 9, 2, 2, 6, 5, 1, 5, 6, 3, 2, 3, 1, 1, 8, 2]",34916
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 6, 7, 2, 2, 2, 2, 2, 2, 3, 3, 2, 5, 3, 2, 4, 2, 3, 3, 4, 12, 4, 4, 2, 3, 3, 2, 11, 1, 25, 1, 2, 11, 4, 3, 6, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 2, 2, 5, 2, 3, 4, 2, 5, 3, 2, 1, 3, 6, 1]","[-62, 147, 120, 76, 32, 61, -95, -127, 23, -380, 138, -150, 73, 60, 34, 31, 58, 111, 4, 77, 18, 256, 66, 152, 38, 16, 6, 174, 103, -292, 14, -10, -10, 67, 93, -5, 413, 90, -872, 87, 110, -323, 84, 32, -201, 51, 99, -154, 64, 59, -169, -90, 10, -3, -23, -52, 141, -95, -75, -221, -48, 9, -77, 93, 36, 42, -36, -98, -36, 76, 26, 48, 11, 75]","[484, 667, 259, 298, 276, 320, 518, 583, 316, 1565, 671, 716, 280, 314, 302, 293, 258, 219, 338, 320, 268, 634, 344, 271, 507, 298, 376, 369, 425, 1149, 489, 456, 235, 336, 392, 254, 1223, 204, 2385, 193, 286, 1086, 449, 400, 626, 426, 405, 586, 184, 349, 827, 745, 155, 570, 358, 334, 349, 588, 440, 859, 300, 226, 533, 278, 377, 441, 244, 564, 379, 317, 187, 402, 680, 138]","[3, 8, 1, 2, 3, 4, 4, 8, 3, 10, 6, 6, 2, 3, 3, 2, 2, 3, 3, 2, 3, 7, 3, 2, 6, 4, 5, 3, 5, 14, 6, 5, 2, 5, 7, 1, 10, 3, 20, 1, 3, 16, 1, 2, 8, 8, 4, 6, 2, 1, 7, 9, 3, 4, 5, 4, 0, 6, 4, 8, 1, 0, 6, 3, 5, 3, 2, 4, 3, 3, 0, 3, 6, 1]",34893
5,"[4, 6, 2, 2, 2, 3, 5, 5, 3, 15, 6, 7, 2, 3, 3, 2, 2, 2, 3, 3, 2, 6, 3, 2, 5, 2, 3, 3, 4, 11, 4, 4, 2, 3, 3, 2, 12, 2, 23, 1, 2, 10, 4, 4, 6, 4, 4, 5, 1, 3, 8, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 5, 2, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-70, 160, 153, 95, 41, 88, -127, -172, 24, -445, 150, -180, 78, 70, 35, 42, 73, 122, 5, 80, 32, 330, 73, 175, 45, 13, -2, 220, 111, -357, 20, -20, -3, 89, 114, 2, 504, 102, -998, 106, 120, -364, 97, 37, -245, 67, 123, -181, 78, 60, -218, -110, 11, -5, -24, -67, 159, -117, -89, -257, -55, 7, -83, 118, 38, 43, -50, -110, -34, 86, 33, 49, 22, 83]","[474, 679, 288, 317, 284, 345, 486, 536, 317, 1504, 681, 689, 287, 325, 303, 301, 273, 231, 341, 323, 281, 707, 352, 292, 517, 295, 367, 413, 431, 1086, 492, 443, 240, 357, 413, 262, 1319, 215, 2259, 209, 296, 1043, 462, 407, 583, 441, 432, 563, 196, 351, 778, 727, 157, 568, 360, 319, 365, 566, 424, 821, 292, 224, 527, 301, 381, 439, 232, 550, 381, 326, 195, 402, 689, 143]","[6, 7, 6, 2, 3, 5, 5, 7, 3, 11, 8, 4, 0, 2, 3, 5, 2, 1, 1, 3, 3, 7, 2, 4, 2, 2, 4, 5, 6, 9, 7, 7, 4, 4, 3, 1, 7, 3, 23, 4, 2, 12, 4, 2, 5, 5, 1, 1, 3, 2, 8, 5, 0, 5, 0, 3, 5, 5, 6, 10, 4, 2, 5, 4, 1, 7, 0, 7, 3, 4, 0, 5, 8, 4]",34875
6,"[4, 6, 2, 3, 2, 3, 4, 5, 3, 15, 6, 6, 2, 3, 3, 3, 2, 2, 3, 3, 2, 7, 3, 2, 5, 2, 3, 4, 4, 10, 4, 4, 2, 3, 4, 2, 13, 2, 22, 2, 2, 10, 4, 4, 5, 4, 4, 5, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 2, 2, 5, 3, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-94, 237, 170, 115, 43, 88, -137, -194, 28, -516, 148, -202, 95, 94, 39, 40, 82, 127, -10, 86, 37, 393, 68, 194, 46, 19, -5, 248, 142, -417, 12, -35, 1, 111, 130, 8, 643, 122, -1143, 123, 140, -406, 117, 51, -283, 75, 154, -202, 84, 64, -253, -140, 11, -19, -35, -69, 170, -138, -94, -307, -49, 16, -99, 127, 46, 34, -52, -128, -45, 96, 38, 47, 17, 96]","[451, 752, 306, 337, 285, 345, 471, 516, 319, 1429, 672, 672, 302, 346, 308, 297, 281, 234, 326, 329, 285, 770, 348, 310, 517, 300, 365, 442, 462, 1027, 480, 426, 243, 376, 429, 266, 1461, 231, 2117, 226, 315, 1002, 485, 418, 546, 449, 462, 541, 200, 352, 741, 697, 157, 554, 347, 316, 374, 540, 416, 767, 293, 231, 509, 311, 386, 432, 228, 534, 372, 331, 200, 399, 678, 155]","[3, 10, 1, 3, 3, 3, 9, 3, 5, 19, 13, 1, 4, 6, 2, 5, 3, 4, 3, 3, 3, 7, 2, 3, 6, 3, 2, 3, 4, 9, 8, 6, 3, 6, 4, 4, 10, 6, 19, 2, 3, 9, 1, 7, 4, 4, 5, 6, 3, 6, 9, 7, 1, 5, 5, 4, 5, 10, 7, 12, 7, 4, 7, 2, 6, 2, 4, 3, 1, 8, 1, 5, 12, 2]",34797
7,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 14, 6, 6, 3, 3, 3, 2, 2, 2, 3, 3, 2, 7, 3, 3, 5, 3, 3, 4, 4, 10, 4, 4, 2, 3, 4, 2, 14, 2, 21, 2, 3, 10, 4, 4, 5, 4, 4, 5, 2, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 7, 2, 2, 5, 3, 3, 4, 2, 5, 3, 3, 2, 3, 6, 1]","[-106, 267, 198, 113, 53, 96, -143, -211, 28, -568, 150, -218, 115, 109, 51, 46, 82, 146, -15, 94, 44, 443, 65, 227, 45, 18, 2, 265, 167, -467, 16, -33, -4, 118, 126, 15, 764, 138, -1293, 128, 149, -466, 112, 66, -313, 78, 174, -220, 86, 72, -289, -159, 12, -30, -23, -84, 196, -159, -96, -335, -48, 23, -122, 133, 57, 47, -60, -143, -47, 110, 46, 52, 15, 95]","[437, 781, 336, 335, 293, 355, 465, 502, 319, 1375, 667, 654, 321, 364, 322, 303, 281, 250, 321, 337, 287, 821, 343, 342, 514, 295, 373, 457, 489, 976, 481, 424, 237, 378, 420, 270, 1575, 247, 1968, 231, 320, 938, 482, 432, 512, 452, 483, 524, 204, 361, 705, 676, 157, 537, 354, 302, 400, 518, 413, 733, 293, 237, 486, 319, 396, 443, 219, 518, 368, 345, 205, 405, 674, 154]","[6, 8, 1, 3, 4, 1, 4, 2, 3, 16, 13, 8, 4, 0, 1, 2, 2, 5, 3, 3, 7, 6, 5, 4, 7, 7, 2, 6, 2, 11, 7, 8, 3, 8, 9, 5, 21, 2, 20, 2, 7, 14, 2, 5, 9, 4, 3, 4, 0, 2, 7, 8, 2, 11, 8, 2, 3, 6, 5, 13, 3, 3, 5, 1, 4, 6, 3, 6, 5, 3, 5, 2, 8, 1]",34711
8,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 2, 2, 3, 3, 2, 8, 3, 3, 5, 2, 3, 4, 4, 9, 4, 4, 2, 3, 4, 2, 15, 2, 19, 2, 3, 9, 4, 4, 5, 4, 4, 5, 2, 3, 7, 6, 1, 5, 3, 3, 4, 5, 4, 7, 2, 2, 4, 3, 3, 4, 2, 5, 3, 3, 2, 4, 6, 1]","[-106, 270, 223, 119, 52, 96, -152, -224, 43, -615, 163, -259, 137, 112, 51, 59, 94, 160, -16, 105, 52, 488, 59, 253, 45, 37, 1, 291, 165, -529, 17, -32, -8, 126, 131, 18, 887, 153, -1413, 144, 169, -510, 114, 72, -357, 86, 191, -239, 104, 81, -320, -181, 13, -25, -33, -92, 207, -177, -101, -376, -46, 24, -130, 147, 65, 41, -62, -163, -64, 127, 63, 55, 13, 107]","[432, 781, 361, 339, 291, 358, 456, 489, 335, 1326, 675, 613, 338, 366, 320, 316, 293, 265, 319, 348, 294, 864, 337, 368, 511, 313, 367, 481, 487, 914, 478, 425, 230, 385, 420, 274, 1695, 262, 1839, 248, 338, 897, 477, 439, 470, 458, 494, 506, 223, 369, 670, 656, 154, 543, 344, 294, 413, 499, 409, 691, 290, 236, 472, 333, 403, 430, 218, 490, 353, 359, 220, 404, 674, 166]","[9, 10, 3, 5, 3, 0, 4, 5, 2, 15, 11, 6, 8, 4, 5, 3, 2, 1, 4, 3, 3, 10, 3, 3, 8, 3, 8, 6, 4, 9, 8, 4, 5, 4, 9, 1, 18, 2, 28, 1, 5, 6, 11, 3, 3, 6, 10, 4, 1, 4, 11, 4, 5, 4, 3, 3, 2, 6, 3, 8, 7, 4, 10, 3, 4, 11, 1, 13, 1, 6, 4, 8, 4, 1]",34605
9,"[4, 7, 3, 3, 2, 3, 4, 4, 3, 13, 6, 6, 3, 3, 3, 3, 2, 2, 3, 3, 2, 8, 3, 3, 5, 3, 3, 4, 4, 9, 4, 4, 2, 3, 4, 2, 16, 2, 18, 2, 3, 8, 4, 4, 4, 4, 4, 5, 2, 3, 6, 6, 1, 5, 3, 2, 4, 4, 4, 6, 2, 2, 4, 3, 4, 4, 2, 4, 3, 3, 2, 4, 6, 1]","[-118, 275, 234, 125, 48, 109, -151, -233, 32, -691, 170, -292, 140, 107, 62, 77, 101, 171, -12, 106, 64, 543, 63, 257, 43, 40, 15, 303, 179, -578, 19, -30, 9, 140, 148, 18, 999, 164, -1516, 151, 179, -552, 123, 70, -380, 99, 189, -270, 130, 74, -345, -196, 16, -15, -31, -91, 231, -197, -114, -408, -54, 29, -146, 153, 70, 45, -66, -175, -73, 138, 60, 59, 32, 125]","[419, 785, 371, 345, 286, 371, 452, 476, 323, 1256, 682, 578, 337, 359, 330, 333, 297, 266, 324, 349, 303, 915, 341, 365, 506, 315, 377, 495, 494, 860, 478, 427, 246, 399, 436, 271, 1802, 273, 1732, 254, 344, 853, 481, 434, 446, 472, 489, 472, 244, 362, 646, 639, 157, 555, 347, 291, 438, 473, 395, 656, 282, 238, 454, 340, 406, 435, 215, 475, 345, 371, 217, 404, 690, 183]","[5, 8, 4, 3, 3, 3, 9, 8, 4, 7, 6, 8, 7, 5, 4, 4, 5, 12, 2, 3, 5, 12, 3, 10, 8, 4, 7, 2, 11, 14, 6, 4, 3, 3, 5, 5, 21, 2, 22, 3, 7, 10, 9, 7, 5, 3, 7, 8, 7, 3, 5, 8, 1, 3, 2, 6, 3, 10, 5, 9, 2, 5, 6, 2, 6, 3, 1, 7, 2, 2, 2, 8, 9, 2]",34477
