0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-26, 52, 47, 33, 17, 10, -30, -43, 12, -110, 62, -32, 20, 12, 9, -5, 16, 33, 1, 33, 9, 66, 3, 47, 15, -2, 4, 66, 41, -81, 12, -3, 2, 23, 18, -5, 76, 27, -278, 23, 41, -109, 20, 8, -56, 15, 24, -49, 19, 32, -59, -28, 8, 2, 0, -17, 32, -26, -29, -61, -26, 8, -13, 31, 18, 20, -9, -30, -11, 29, 7, 6, 7, 22]"
2,"[-50, 96, 83, 51, 28, 31, -60, -82, 22, -206, 85, -86, 34, 28, 14, 16, 30, 72, -2, 47, 17, 134, 31, 86, 25, 0, 16, 106, 55, -162, 18, -13, -1, 43, 47, -6, 194, 43, -496, 42, 69, -178, 47, 14, -119, 20, 71, -92, 38, 39, -97, -49, 6, -5, -6, -29, 59, -41, -44, -123, -33, 19, -42, 54, 33, 35, -22, -56, -27, 56, 19, 22, -9, 41]"
3,"[-59, 128, 112, 62, 33, 52, -84, -98, 23, -276, 114, -130, 40, 43, 22, 17, 40, 99, 8, 59, 13, 201, 60, 123, 25, 2, 13, 134, 78, -228, 19, -7, -2, 57, 74, -5, 300, 75, -697, 70, 101, -256, 61, 26, -167, 36, 83, -132, 47, 54, -137, -62, 5, -8, -15, -48, 90, -65, -49, -163, -49, 17, -51, 78, 40, 40, -34, -75, -27, 50, 22, 37, -14, 55]"
4,"[-62, 147, 120, 76, 32, 61, -95, -127, 23, -380, 138, -150, 73, 60, 34, 31, 58, 111, 4, 77, 18, 256, 66, 152, 38, 16, 6, 174, 103, -292, 14, -10, -10, 67, 93, -5, 413, 90, -872, 87, 110, -323, 84, 32, -201, 51, 99, -154, 64, 59, -169, -90, 10, -3, -23, -52, 141, -95, -75, -221, -48, 9, -77, 93, 36, 42, -36, -98, -36, 76, 26, 48, 11, 75]"
5,"[-70, 160, 153, 95, 41, 88, -127, -172, 24, -445, 150, -180, 78, 70, 35, 42, 73, 122, 5, 80, 32, 330, 73, 175, 45, 13, -2, 220, 111, -357, 20, -20, -3, 89, 114, 2, 504, 102, -998, 106, 120, -364, 97, 37, -245, 67, 123, -181, 78, 60, -218, -110, 11, -5, -24, -67, 159, -117, -89, -257, -55, 7, -83, 118, 38, 43, -50, -110, -34, 86, 33, 49, 22, 83]"
6,"[-94, 237, 170, 115, 43, 88, -137, -194, 28, -516, 148, -202, 95, 94, 39, 40, 82, 127, -10, 86, 37, 393, 68, 194, 46, 19, -5, 248, 142, -417, 12, -35, 1, 111, 130, 8, 643, 122, -1143, 123, 140, -406, 117, 51, -283, 75, 154, -202, 84, 64, -253, -140, 11, -19, -35, -69, 170, -138, -94, -307, -49, 16, -99, 127, 46, 34, -52, -128, -45, 96, 38, 47, 17, 96]"
7,"[-106, 267, 198, 113, 53, 96, -143, -211, 28, -568, 150, -218, 115, 109, 51, 46, 82, 146, -15, 94, 44, 443, 65, 227, 45, 18, 2, 265, 167, -467, 16, -33, -4, 118, 126, 15, 764, 138, -1293, 128, 149, -466, 112, 66, -313, 78, 174, -220, 86, 72, -289, -159, 12, -30, -23, -84, 196, -159, -96, -335, -48, 23, -122, 133, 57, 47, -60, -143, -47, 110, 46, 52, 15, 95]"
8,"[-106, 270, 223, 119, 52, 96, -152, -224, 43, -615, 163, -259, 137, 112, 51, 59, 94, 160, -16, 105, 52, 488, 59, 253, 45, 37, 1, 291, 165, -529, 17, -32, -8, 126, 131, 18, 887, 153, -1413, 144, 169, -510, 114, 72, -357, 86, 191, -239, 104, 81, -320, -181, 13, -25, -33, -92, 207, -177, -101, -376, -46, 24, -130, 147, 65, 41, -62, -163, -64, 127, 63, 55, 13, 107]"
9,"[-118, 275, 234, 125, 48, 109, -151, -233, 32, -691, 170, -292, 140, 107, 62, 77, 101, 171, -12, 106, 64, 543, 63, 257, 43, 40, 15, 303, 179, -578, 19, -30, 9, 140, 148, 18, 999, 164, -1516, 151, 179, -552, 123, 70, -380, 99, 189, -270, 130, 74, -345, -196, 16, -15, -31, -91, 231, -197, -114, -408, -54, 29, -146, 153, 70, 45, -66, -175, -73, 138, 60, 59, 32, 125]"
10,"[-131, 296, 243, 117, 56, 115, -153, -246, 39, -735, 180, -300, 165, 119, 67, 83, 102, 189, -27, 115, 52, 590, 76, 279, 56, 50, 15, 311, 176, -616, 30, -33, 1, 145, 151, 23, 1122, 170, -1613, 164, 196, -590, 124, 71, -407, 101, 205, -284, 142, 71, -362, -196, 12, -37, -30, -108, 242, -215, -126, -429, -60, 33, -147, 164, 60, 38, -75, -187, -83, 143, 68, 51, 32, 140]"
11,"[-139, 318, 250, 124, 53, 129, -171, -263, 44, -771, 188, -309, 171, 121, 74, 72, 114, 210, -21, 123, 54, 621, 68, 277, 56, 57, 20, 321, 191, -663, 34, -40, 2, 153, 162, 22, 1263, 180, -1711, 163, 209, -626, 117, 75, -434, 99, 234, -306, 142, 82, -389, -206, 9, -38, -28, -103, 263, -223, -128, -461, -64, 39, -155, 170, 62, 31, -87, -204, -91, 152, 83, 54, 25, 150]"
12,"[-154, 325, 264, 119, 56, 140, -179, -270, 46, -826, 179, -323, 165, 141, 70, 79, 123, 225, -35, 128, 66, 646, 62, 270, 52, 65, 28, 322, 202, -677, 28, -54, 3, 166, 159, 23, 1401, 189, -1814, 172, 229, -661, 125, 81, -457, 103, 244, -312, 141, 104, -414, -228, 11, -50, -22, -112, 283, -242, -136, -490, -56, 51, -164, 173, 80, 40, -78, -209, -101, 151, 97, 48, 37, 152]"
13,"[-154, 342, 269, 122, 53, 140, -194, -278, 40, -870, 189, -332, 175, 157, 74, 74, 139, 236, -28, 135, 65, 668, 65, 279, 68, 54, 29, 319, 188, -699, 9, -45, 9, 163, 157, 22, 1554, 183, -1904, 175, 231, -701, 109, 83, -468, 88, 262, -311, 152, 116, -430, -232, 15, -50, -21, -127, 304, -257, -137, -503, -53, 53, -175, 186, 79, 53, -83, -228, -107, 156, 89, 54, 51, 154]"
14,"[-164, 351, 275, 118, 53, 134, -199, -294, 49, -914, 200, -339, 195, 163, 79, 72, 142, 237, -37, 130, 63, 686, 62, 280, 62, 52, 43, 327, 187, -721, 0, -52, 13, 166, 151, 33, 1682, 181, -1951, 188, 229, -739, 104, 95, -480, 74, 264, -320, 152, 120, -453, -253, 20, -52, -29, -128, 313, -260, -153, -505, -56, 63, -163, 193, 90, 50, -83, -230, -104, 164, 84, 57, 52, 181]"
15,"[-177, 373, 281, 119, 61, 131, -208, -304, 50, -954, 211, -335, 203, 155, 72, 65, 147, 249, -35, 132, 67, 698, 73, 291, 65, 60, 39, 326, 191, -732, 5, -63, 5, 171, 154, 35, 1805, 194, -2006, 199, 235, -755, 101, 96, -489, 70, 268, -327, 155, 115, -475, -282, 20, -68, -40, -136, 321, -259, -161, -513, -59, 72, -170, 194, 87, 38, -86, -226, -95, 174, 94, 51, 57, 180]"
16,"[-193, 389, 281, 108, 58, 134, -212, -310, 51, -984, 225, -360, 209, 164, 67, 70, 155, 253, -29, 121, 85, 716, 81, 300, 59, 45, 34, 325, 189, -752, 9, -63, -9, 176, 149, 35, 1955, 193, -2069, 192, 252, -778, 119, 90, -494, 77, 272, -345, 154, 108, -502, -294, 21, -76, -38, -136, 319, -251, -165, -529, -57, 78, -176, 200, 86, 39, -80, -228, -87, 181, 90, 62, 54, 187]"
17,"[-199, 400, 299, 106, 74, 145, -215, -316, 48, -1008, 222, -370, 226, 161, 67, 79, 174, 255, -35, 121, 87, 714, 77, 291, 58, 49, 19, 332, 183, -760, 12, -75, -10, 181, 158, 26, 2051, 212, -2115, 209, 261, -795, 111, 76, -505, 89, 281, -355, 155, 103, -510, -299, 26, -84, -34, -130, 324, -256, -162, -541, -68, 84, -179, 204, 70, 48, -87, -251, -93, 172, 98, 61, 60, 193]"
18,"[-208, 385, 290, 107, 68, 142, -218, -327, 51, -1045, 238, -374, 231, 154, 61, 76, 182, 250, -32, 131, 87, 729, 79, 301, 65, 45, 17, 311, 179, -772, 19, -77, -14, 195, 154, 37, 2169, 229, -2169, 209, 262, -806, 98, 78, -522, 93, 288, -366, 166, 111, -521, -285, 33, -85, -34, -136, 332, -270, -161, -544, -69, 83, -184, 216, 70, 56, -95, -257, -100, 168, 99, 67, 61, 199]"
19,"[-207, 414, 299, 107, 60, 136, -219, -333, 56, -1062, 244, -384, 237, 146, 59, 80, 189, 255, -36, 120, 80, 720, 75, 310, 72, 49, 6, 314, 183, -792, 22, -77, -17, 199, 158, 44, 2276, 235, -2216, 221, 264, -833, 103, 77, -527, 81, 300, -369, 171, 100, -532, -291, 31, -95, -30, -138, 333, -281, -165, -553, -70, 70, -187, 223, 71, 65, -98, -249, -110, 168, 97, 75, 74, 202]"
20,"[-207, 425, 309, 112, 69, 134, -224, -325, 48, -1081, 241, -398, 234, 153, 58, 88, 188, 248, -41, 114, 77, 729, 81, 304, 76, 55, -1, 329, 192, -820, 9, -84, -18, 194, 149, 41, 2420, 245, -2258, 213, 278, -840, 102, 74, -534, 85, 308, -376, 165, 98, -546, -299, 29, -102, -37, -138, 332, -296, -168, -569, -73, 81, -189, 216, 75, 72, -100, -252, -111, 178, 98, 79, 85, 197]"
21,"[-208, 422, 324, 105, 61, 139, -225, -328, 54, -1105, 252, -409, 240, 156, 48, 88, 191, 250, -46, 113, 87, 742, 84, 306, 60, 44, 4, 317, 197, -844, 19, -86, -8, 206, 142, 30, 2543, 258, -2294, 217, 275, -861, 115, 56, -541, 90, 314, -396, 179, 103, -552, -292, 29, -109, -54, -146, 337, -308, -171, -597, -66, 79, -192, 231, 80, 80, -94, -249, -117, 173, 99, 74, 86, 199]"
22,"[-209, 437, 332, 106, 69, 143, -227, -339, 54, -1121, 259, -423, 236, 169, 57, 93, 188, 262, -45, 114, 89, 747, 90, 301, 63, 45, 1, 313, 201, -853, 32, -92, -6, 207, 129, 29, 2652, 252, -2329, 207, 268, -880, 117, 34, -551, 87, 318, -391, 186, 109, -557, -302, 29, -112, -55, -157, 351, -315, -181, -613, -71, 84, -192, 230, 81, 88, -86, -253, -124, 173, 89, 78, 79, 206]"
