c1, c2, dist, nm
0, 1, 2236, -4
0, 2, 1967, -5
0, 3, 955, -5
0, 4, 2426, -5
0, 5, 865, 3
0, 6, 1454, 0
0, 7, 392, -1
0, 8, 1454, 4
0, 9, 1821, 3
0, 10, 2141, -8
0, 11, 1452, 7
0, 12, 1739, -5
0, 13, 1931, 8
0, 14, 927, -3
0, 15, 2411, -3
0, 16, 1390, -11
0, 17, 2360, -16
0, 18, 2340, -1
0, 19, 944, 0
0, 20, 975, -11
0, 21, 2280, 2
0, 22, 2529, -2
0, 23, 2028, -6
0, 24, 2083, -5
0, 25, 137, -3
0, 26, 2102, -9
0, 27, 2311, -5
0, 28, 2011, -11
0, 29, 1607, 13
0, 30, 1550, -9
0, 31, 2376, 2
0, 32, 2539, -3
0, 33, 1490, -2
0, 34, 1962, -22
0, 35, 236, 1
0, 36, 680, -20
0, 37, 1362, 2
0, 38, 307, 21
0, 39, 1158, 5
0, 40, 2037, 4
0, 41, 605, 7
0, 42, 1920, -12
0, 43, 2270, -6
0, 44, 2546, 2
0, 45, 1812, -12
0, 46, 546, -13
0, 47, 2544, 3
0, 48, 1561, 0
0, 49, 1361, -15
0, 50, 357, -3
0, 51, 2408, -10
0, 52, 1898, 2
0, 53, 2493, -7
0, 54, 687, 0
0, 55, 2353, 2
0, 56, 1568, -11
0, 57, 426, -3
0, 58, 64, -5
0, 59, 430, 6
0, 60, 31, 5
0, 61, 39, -8
0, 62, 30, 4
0, 63, 1332, -1
0, 64, 1778, 4
0, 65, 1701, -11
0, 66, 2670, -2
0, 67, 1424, -4
0, 68, 1465, 1
0, 69, 1433, -12
0, 70, 2498, -3
0, 71, 2377, -5
0, 72, 2051, -4
0, 73, 1473, -9
1, 2, 269, 22
1, 3, 1285, 5
1, 4, 195, 14
1, 5, 1498, -1
1, 6, 1292, 6
1, 7, 1909, 2
1, 8, 1043, 7
1, 9, 418, 59
1, 10, 109, 133
1, 11, 1070, 16
1, 12, 518, 23
1, 13, 473, 8
1, 14, 1312, 8
1, 15, 191, 14
1, 16, 846, 15
1, 17, 312, -1
1, 18, 707, 11
1, 19, 1306, 11
1, 20, 1577, -12
1, 21, 171, -442
1, 22, 301, 5
1, 23, 292, 29
1, 24, 163, 25
1, 25, 2139, -1
1, 26, 522, 16
1, 27, 303, 50
1, 28, 257, 41
1, 29, 1135, 25
1, 30, 752, 28
1, 31, 876, 18
1, 32, 311, 11
1, 33, 769, 2
1, 34, 342, 11
1, 35, 2125, -8
1, 36, 2108, -493
1, 37, 874, -4
1, 38, 2125, 82
1, 39, 1290, -2
1, 40, 206, 26
1, 41, 1850, 18
1, 42, 329, 3
1, 43, 363, 21
1, 44, 1027, 15
1, 45, 446, 22
1, 46, 2147, -6
1, 47, 317, 14
1, 48, 1335, -10
1, 49, 1005, 15
1, 50, 2117, 19
1, 51, 828, 12
1, 52, 911, -14
1, 53, 257, 16
1, 54, 1852, 9
1, 55, 880, 8
1, 56, 735, 115
1, 57, 2024, -7
1, 58, 2190, -3
1, 59, 2083, 28
1, 60, 2262, 13
1, 61, 2198, 8
1, 62, 2235, 8
1, 63, 955, 5
1, 64, 651, 7
1, 65, 571, 7
1, 66, 479, 2
1, 67, 1094, 19
1, 68, 1219, -1
1, 69, 914, 0
1, 70, 332, 2
1, 71, 331, 26
1, 72, 212, 93
1, 73, 1407, -12
2, 3, 1018, 10
2, 4, 462, -7
2, 5, 1243, -4
2, 6, 1104, -1
2, 7, 1643, 13
2, 8, 835, 8
2, 9, 151, 54
2, 10, 178, -19
2, 11, 864, 16
2, 12, 261, -6
2, 13, 353, 16
2, 14, 1044, 5
2, 15, 452, 23
2, 16, 576, 2
2, 17, 484, 5
2, 18, 768, -2
2, 19, 1040, 7
2, 20, 1337, -1
2, 21, 345, -36
2, 22, 564, 15
2, 23, 214, -1
2, 24, 133, -9
2, 25, 1871, 6
2, 26, 506, 5
2, 27, 449, 1
2, 28, 135, 5
2, 29, 969, 22
2, 30, 503, 17
2, 31, 924, -3
2, 32, 574, 8
2, 33, 512, 14
2, 34, 204, 12
2, 35, 1859, 3
2, 36, 1851, -26
2, 37, 606, -2
2, 38, 1860, 42
