,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-16, 44, 46, 24, 12, 35, -23, -24, 27, -124, 19, -17, 13, 9, 18, 11, 33, 36, -3, 24, -1, 53, 14, 50, 17, 35, -2, 47, 29, -87, -20, -19, -8, 23, 32, 17, 70, 24, -247, 24, 27, -98, 36, 6, -67, 18, 3, -43, 15, 27, -53, -31, 0, -12, -1, -20, 29, -26, -25, -51, 5, 1, -11, 32, 7, 15, -19, -22, -15, 26, 1, 18, 8, 25]","[530, 567, 182, 246, 254, 298, 582, 682, 315, 1811, 551, 846, 218, 266, 286, 273, 238, 147, 324, 262, 256, 431, 293, 174, 485, 325, 366, 243, 356, 1352, 462, 453, 234, 293, 340, 270, 877, 140, 2985, 129, 205, 1312, 394, 369, 759, 395, 307, 696, 139, 309, 944, 799, 149, 567, 385, 380, 234, 652, 490, 1024, 351, 213, 602, 224, 352, 420, 268, 639, 400, 269, 165, 363, 674, 92]","[4, 8, 3, 5, 1, 2, 5, 11, 3, 17, 7, 3, 3, 1, 0, 3, 1, 1, 6, 1, 0, 5, 0, 0, 4, 1, 3, 1, 3, 9, 3, 3, 3, 3, 0, 4, 3, 0, 30, 1, 1, 15, 5, 6, 10, 5, 4, 4, 0, 5, 7, 6, 0, 6, 1, 5, 2, 11, 7, 11, 2, 5, 2, 1, 1, 2, 3, 4, 0, 0, 1, 6, 10, 0]",34883
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-39, 85, 86, 39, 20, 46, -44, -25, 53, -222, 26, -53, 34, 27, 35, 21, 72, 62, -15, 62, -1, 122, 20, 109, 30, 61, -2, 84, 66, -165, -21, -33, -20, 42, 54, 40, 117, 57, -462, 49, 70, -170, 46, 13, -120, 23, 29, -105, 17, 43, -101, -56, -7, -16, 3, -50, 50, -41, -38, -100, -1, 13, -13, 70, 5, 15, -35, -52, -22, 57, -1, 31, -15, 41]","[510, 613, 222, 262, 263, 308, 561, 682, 342, 1710, 556, 812, 238, 285, 304, 283, 276, 172, 311, 301, 253, 502, 296, 233, 497, 352, 366, 278, 390, 1277, 462, 438, 224, 309, 364, 295, 926, 174, 2772, 154, 250, 1238, 406, 376, 703, 396, 335, 630, 140, 327, 900, 772, 142, 562, 388, 348, 255, 640, 479, 971, 346, 224, 600, 263, 351, 420, 253, 609, 392, 298, 163, 374, 650, 108]","[2, 0, 1, 1, 1, 3, 5, 5, 2, 21, 7, 6, 3, 1, 1, 2, 3, 2, 4, 1, 5, 2, 5, 1, 5, 2, 3, 4, 6, 10, 3, 5, 0, 5, 1, 0, 6, 0, 27, 1, 0, 15, 1, 3, 10, 7, 1, 10, 2, 1, 5, 9, 1, 6, 4, 5, 2, 3, 2, 14, 2, 3, 6, 1, 2, 4, 1, 6, 5, 4, 1, 5, 7, 0]",34882
3,"[5, 6, 2, 2, 2, 3, 5, 6, 3, 17, 5, 8, 2, 2, 3, 2, 2, 1, 3, 3, 2, 5, 2, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 9, 1, 27, 1, 2, 12, 4, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-62, 114, 112, 58, 26, 71, -62, -46, 75, -302, 35, -88, 64, 51, 37, 22, 87, 76, -26, 75, 9, 159, 27, 150, 42, 77, -4, 128, 90, -240, -5, -45, -33, 60, 57, 53, 193, 90, -664, 55, 97, -233, 67, 17, -167, 51, 27, -140, 24, 69, -149, -91, -10, -14, 10, -59, 81, -61, -46, -138, 12, 26, -2, 85, 1, 25, -49, -76, -36, 86, -7, 26, 6, 52]","[488, 645, 249, 282, 269, 330, 546, 663, 361, 1627, 562, 781, 268, 307, 308, 285, 291, 185, 301, 315, 263, 538, 301, 273, 510, 368, 359, 320, 409, 1202, 475, 429, 211, 328, 367, 306, 999, 205, 2581, 160, 277, 1175, 429, 381, 661, 422, 335, 592, 148, 353, 850, 737, 139, 567, 397, 337, 285, 617, 473, 933, 362, 235, 609, 279, 346, 427, 239, 586, 380, 327, 158, 368, 671, 119]","[4, 3, 1, 1, 2, 6, 2, 4, 6, 20, 8, 4, 2, 4, 1, 1, 2, 2, 2, 2, 2, 6, 4, 3, 3, 3, 8, 4, 8, 12, 7, 1, 2, 2, 3, 4, 12, 3, 16, 1, 2, 12, 2, 2, 2, 5, 1, 9, 0, 3, 11, 7, 1, 2, 1, 5, 3, 9, 2, 9, 0, 4, 8, 1, 4, 7, 2, 5, 1, 2, 0, 4, 6, 1]",34881
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 1, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 3, 9, 2, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-72, 160, 131, 71, 46, 79, -82, -56, 87, -378, 53, -132, 83, 83, 60, 27, 108, 92, -22, 91, 23, 199, 46, 188, 61, 80, -8, 156, 119, -311, -3, -73, -33, 69, 72, 67, 271, 119, -834, 63, 114, -289, 68, 16, -216, 64, 32, -175, 37, 61, -173, -130, -16, -19, 8, -63, 94, -84, -58, -184, 12, 34, 0, 105, 18, 40, -63, -89, -48, 110, -4, 33, -2, 67]","[476, 693, 267, 293, 291, 339, 523, 653, 373, 1550, 581, 737, 289, 340, 330, 290, 312, 201, 305, 333, 272, 576, 321, 311, 529, 369, 357, 348, 437, 1140, 476, 403, 210, 337, 380, 319, 1075, 231, 2412, 166, 294, 1122, 428, 374, 611, 438, 340, 555, 157, 346, 820, 700, 130, 555, 390, 332, 296, 597, 462, 891, 361, 244, 610, 300, 365, 445, 225, 573, 366, 351, 162, 378, 662, 135]","[6, 4, 3, 4, 0, 2, 8, 6, 3, 17, 4, 7, 0, 2, 4, 2, 2, 1, 3, 1, 7, 7, 2, 2, 5, 5, 1, 3, 5, 3, 5, 2, 3, 3, 5, 4, 11, 5, 24, 3, 2, 8, 6, 9, 7, 1, 3, 7, 5, 2, 14, 5, 4, 12, 8, 4, 4, 3, 3, 5, 4, 1, 7, 1, 1, 1, 2, 5, 5, 3, 0, 0, 7, 0]",34860
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 5, 7, 2, 3, 3, 2, 3, 2, 3, 3, 2, 5, 3, 3, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 10, 2, 24, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 8, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-91, 177, 154, 84, 47, 102, -111, -72, 60, -465, 68, -156, 101, 103, 64, 39, 136, 123, -28, 115, 24, 259, 42, 220, 72, 68, -15, 190, 147, -368, -6, -81, -23, 77, 79, 97, 352, 140, -1010, 72, 138, -351, 94, 35, -258, 78, 45, -213, 40, 63, -189, -152, -18, -35, 16, -80, 116, -91, -67, -225, 7, 37, -16, 131, 41, 35, -74, -88, -57, 136, -9, 35, 10, 80]","[454, 710, 288, 307, 289, 359, 498, 638, 348, 1460, 594, 710, 303, 363, 335, 299, 341, 233, 301, 357, 270, 632, 316, 346, 537, 356, 351, 382, 468, 1082, 471, 395, 219, 343, 385, 349, 1155, 252, 2241, 174, 319, 1056, 454, 396, 570, 453, 355, 516, 159, 348, 799, 678, 128, 540, 398, 311, 315, 592, 453, 845, 356, 247, 596, 327, 385, 439, 215, 573, 360, 377, 156, 381, 673, 147]","[7, 6, 4, 1, 5, 6, 1, 5, 1, 18, 7, 10, 6, 0, 2, 5, 2, 1, 1, 3, 5, 9, 4, 0, 8, 4, 2, 3, 1, 12, 6, 4, 3, 5, 5, 3, 11, 2, 19, 2, 1, 15, 4, 0, 5, 3, 1, 6, 2, 3, 13, 7, 1, 4, 3, 7, 5, 3, 4, 13, 3, 2, 4, 2, 6, 5, 1, 6, 0, 3, 2, 2, 7, 2]",34828
6,"[4, 7, 2, 3, 2, 3, 4, 6, 3, 14, 5, 7, 3, 3, 3, 2, 3, 2, 3, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 3, 3, 11, 2, 22, 1, 3, 10, 4, 3, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 5, 3, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-109, 209, 173, 105, 40, 117, -136, -88, 64, -517, 91, -192, 128, 109, 77, 27, 146, 133, -34, 133, 43, 296, 51, 250, 78, 78, -2, 205, 166, -431, 3, -97, -29, 95, 113, 95, 440, 165, -1166, 85, 155, -390, 102, 33, -303, 83, 65, -240, 52, 89, -226, -164, -20, -45, 19, -95, 127, -108, -71, -262, 7, 44, -21, 149, 41, 44, -77, -103, -62, 154, -16, 29, -1, 97]","[434, 738, 308, 330, 282, 374, 475, 619, 353, 1404, 615, 672, 329, 367, 346, 286, 352, 243, 293, 372, 289, 667, 323, 376, 547, 365, 365, 398, 487, 1024, 477, 378, 211, 358, 421, 349, 1239, 277, 2081, 187, 336, 1018, 464, 392, 524, 460, 378, 488, 171, 374, 761, 667, 126, 526, 400, 294, 326, 575, 444, 806, 357, 252, 591, 346, 384, 446, 212, 559, 353, 393, 148, 375, 665, 165]","[6, 11, 1, 1, 2, 3, 2, 9, 2, 18, 7, 9, 4, 5, 5, 3, 2, 2, 5, 6, 2, 8, 5, 3, 1, 4, 2, 2, 4, 5, 7, 4, 4, 6, 1, 1, 15, 2, 26, 1, 3, 9, 2, 5, 6, 2, 0, 6, 1, 3, 8, 5, 1, 9, 4, 5, 3, 5, 9, 10, 2, 4, 5, 2, 4, 6, 2, 4, 5, 5, 2, 3, 3, 0]",34787
7,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 14, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 12, 2, 20, 1, 3, 10, 4, 3, 5, 4, 3, 4, 1, 3, 7, 6, 1, 5, 4, 2, 3, 5, 4, 8, 3, 2, 5, 3, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-118, 222, 215, 120, 47, 136, -140, -104, 82, -569, 107, -217, 155, 118, 91, 44, 155, 144, -42, 139, 36, 343, 56, 269, 79, 81, -7, 231, 185, -464, 0, -113, -38, 112, 122, 97, 531, 184, -1313, 91, 177, -447, 97, 54, -346, 80, 75, -263, 51, 94, -259, -190, -24, -55, 14, -105, 143, -119, -64, -293, 4, 57, -18, 160, 46, 58, -96, -116, -78, 165, -15, 47, 0, 99]","[423, 747, 348, 346, 287, 393, 469, 604, 372, 1351, 629, 646, 354, 374, 360, 302, 362, 255, 283, 377, 279, 709, 327, 395, 545, 367, 359, 421, 501, 984, 473, 362, 203, 373, 431, 352, 1334, 294, 1935, 194, 359, 959, 460, 411, 478, 459, 387, 464, 170, 376, 728, 637, 123, 517, 397, 282, 344, 561, 451, 776, 351, 267, 592, 354, 387, 459, 194, 547, 338, 401, 150, 393, 665, 164]","[6, 11, 5, 2, 4, 3, 6, 5, 2, 15, 8, 7, 5, 5, 3, 3, 2, 1, 4, 4, 5, 11, 4, 3, 8, 4, 4, 6, 9, 17, 5, 3, 1, 5, 3, 2, 8, 4, 19, 0, 2, 12, 3, 5, 8, 2, 4, 5, 1, 6, 7, 10, 0, 4, 2, 4, 1, 8, 4, 7, 6, 0, 7, 6, 5, 5, 1, 4, 2, 6, 0, 3, 7, 4]",34721
8,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 7, 3, 3, 5, 3, 3, 4, 5, 9, 4, 3, 2, 3, 4, 3, 13, 2, 19, 1, 3, 9, 4, 4, 4, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 5, 3, 3, 4, 1, 5, 3, 4, 1, 3, 6, 1]","[-142, 264, 232, 126, 42, 138, -157, -141, 93, -612, 131, -237, 170, 130, 101, 41, 160, 160, -45, 142, 37, 374, 60, 316, 89, 78, -1, 232, 197, -515, 15, -129, -45, 138, 137, 104, 640, 209, -1446, 103, 201, -480, 110, 50, -381, 81, 78, -282, 56, 113, -288, -197, -29, -62, 6, -111, 145, -124, -56, -327, 18, 60, -25, 173, 56, 54, -110, -122, -85, 156, -17, 46, -9, 113]","[399, 788, 365, 353, 282, 394, 448, 559, 381, 1301, 650, 624, 368, 384, 370, 300, 366, 272, 280, 377, 275, 745, 330, 441, 551, 365, 360, 419, 513, 931, 490, 347, 195, 396, 446, 358, 1444, 321, 1793, 205, 382, 918, 475, 408, 443, 457, 391, 442, 174, 395, 696, 629, 117, 511, 385, 274, 345, 552, 459, 743, 365, 267, 581, 367, 395, 455, 178, 544, 330, 389, 148, 385, 654, 178]","[4, 8, 3, 2, 2, 4, 8, 14, 5, 20, 9, 8, 4, 5, 3, 2, 4, 1, 2, 6, 7, 2, 4, 4, 9, 2, 8, 7, 5, 11, 2, 2, 3, 6, 4, 4, 12, 0, 28, 2, 4, 17, 2, 3, 4, 7, 2, 7, 2, 3, 10, 7, 2, 4, 7, 4, 4, 9, 4, 6, 3, 5, 9, 3, 5, 4, 3, 2, 4, 7, 1, 10, 8, 1]",34618
9,"[3, 7, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 7, 3, 4, 5, 3, 3, 4, 5, 9, 4, 3, 1, 3, 4, 3, 14, 3, 17, 2, 3, 9, 4, 4, 4, 4, 3, 4, 1, 3, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 5, 3, 3, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-160, 291, 261, 131, 51, 145, -173, -167, 111, -664, 140, -266, 186, 128, 104, 51, 167, 162, -48, 144, 34, 402, 61, 328, 102, 90, 3, 250, 212, -549, 3, -130, -58, 146, 147, 114, 737, 211, -1562, 115, 208, -521, 110, 56, -403, 89, 80, -297, 67, 130, -314, -209, -34, -79, 8, -122, 165, -133, -57, -341, 5, 67, -27, 185, 68, 62, -119, -141, -86, 174, -15, 47, 6, 121]","[375, 808, 390, 357, 287, 396, 432, 533, 400, 1242, 655, 593, 379, 382, 368, 311, 369, 273, 279, 372, 270, 766, 327, 452, 564, 374, 359, 436, 525, 895, 480, 343, 183, 403, 458, 371, 1538, 324, 1676, 219, 387, 873, 473, 412, 423, 463, 392, 426, 183, 411, 671, 613, 112, 493, 382, 263, 361, 542, 454, 724, 353, 274, 573, 377, 406, 463, 168, 521, 327, 403, 148, 388, 660, 184]","[9, 14, 7, 4, 6, 8, 4, 5, 2, 20, 10, 8, 8, 3, 8, 2, 7, 3, 0, 10, 4, 14, 7, 5, 5, 6, 8, 5, 8, 11, 2, 6, 0, 4, 2, 0, 17, 2, 18, 0, 5, 13, 6, 6, 2, 6, 4, 5, 3, 4, 5, 10, 1, 6, 8, 2, 7, 6, 8, 12, 2, 2, 11, 5, 4, 4, 2, 9, 5, 7, 3, 1, 15, 3]",34467
