0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-15, 45, 42, 22, 3, 19, -12, -6, 11, -129, 15, -37, 20, 30, 14, 1, 35, 24, -5, 32, 5, 53, 13, 38, 30, 37, 5, 51, 37, -104, -15, -11, -12, 23, 33, 34, 75, 28, -276, 24, 30, -89, 24, 15, -62, 0, 15, -46, 19, 24, -43, -43, 0, -6, 9, -20, 9, -7, -14, -41, -1, 11, 13, 25, 15, 5, -22, -22, -12, 25, 0, 11, -26, 27]"
2,"[-36, 85, 80, 25, 17, 41, -30, -22, 19, -238, 49, -100, 46, 59, 2, 11, 60, 52, -17, 53, 14, 101, 20, 96, 44, 60, 8, 82, 65, -175, -24, -47, -17, 56, 60, 54, 135, 45, -482, 62, 64, -148, 46, 23, -122, 9, 34, -106, 43, 43, -97, -77, -9, -13, 8, -35, 41, -22, -8, -85, -18, 20, 21, 48, 23, 10, -45, -28, -32, 47, -4, 27, -27, 56]"
3,"[-46, 130, 105, 40, 15, 54, -41, -28, 22, -342, 68, -124, 70, 73, 12, 16, 89, 83, -33, 62, 20, 165, 13, 148, 37, 87, 22, 111, 87, -244, -17, -55, -27, 56, 78, 71, 200, 61, -668, 90, 98, -223, 56, 32, -177, 25, 43, -147, 63, 47, -147, -103, -14, -14, 22, -53, 62, -43, -15, -127, -34, 33, 33, 67, 28, 25, -62, -42, -32, 61, 0, 28, -26, 76]"
4,"[-81, 165, 133, 64, 28, 68, -42, -19, 55, -407, 66, -148, 83, 88, 20, 22, 112, 116, -42, 72, 37, 216, 14, 180, 41, 103, 9, 132, 94, -317, -30, -61, -38, 72, 87, 85, 259, 75, -843, 114, 116, -281, 74, 43, -225, 36, 36, -189, 71, 49, -190, -141, -17, -14, 34, -67, 98, -36, -18, -178, -33, 42, 41, 89, 31, 42, -66, -65, -45, 93, -11, 30, -17, 86]"
5,"[-99, 213, 163, 67, 25, 95, -61, -41, 56, -492, 86, -153, 104, 106, 29, 25, 134, 126, -55, 91, 36, 244, 19, 213, 47, 103, 6, 172, 121, -375, -33, -72, -47, 94, 107, 96, 346, 101, -977, 128, 129, -335, 80, 41, -268, 41, 30, -231, 86, 57, -226, -162, -20, -27, 29, -83, 128, -50, -20, -214, -39, 47, 40, 113, 38, 47, -79, -74, -58, 110, -2, 37, -11, 98]"
6,"[-108, 240, 190, 71, 31, 115, -80, -51, 80, -542, 87, -158, 111, 119, 62, 32, 137, 144, -62, 104, 48, 302, 33, 244, 66, 107, -3, 201, 126, -430, -33, -90, -52, 92, 117, 102, 435, 120, -1129, 142, 138, -384, 75, 43, -310, 49, 23, -277, 90, 76, -259, -184, -27, -27, 29, -99, 143, -72, -18, -266, -28, 60, 24, 123, 44, 55, -89, -87, -35, 117, -9, 38, -1, 125]"
7,"[-141, 252, 206, 93, 35, 126, -107, -53, 84, -634, 109, -171, 135, 125, 67, 48, 160, 163, -72, 125, 59, 336, 34, 266, 72, 118, 1, 225, 143, -478, -40, -106, -57, 95, 140, 117, 541, 137, -1252, 153, 153, -432, 79, 50, -342, 59, 42, -295, 89, 73, -290, -212, -31, -42, 23, -105, 170, -70, -38, -304, -39, 67, 25, 137, 46, 65, -102, -87, -46, 124, -1, 42, -1, 139]"
8,"[-152, 256, 227, 100, 32, 126, -124, -51, 95, -704, 109, -191, 151, 125, 70, 52, 173, 176, -73, 134, 61, 378, 40, 289, 88, 126, 7, 234, 152, -509, -45, -114, -59, 113, 145, 146, 643, 154, -1376, 166, 162, -482, 76, 54, -371, 83, 48, -313, 91, 83, -312, -219, -32, -52, 20, -120, 185, -69, -54, -340, -49, 67, 0, 141, 58, 76, -105, -90, -48, 138, -2, 46, 5, 155]"
9,"[-171, 288, 254, 106, 40, 134, -141, -59, 107, -756, 124, -208, 157, 128, 75, 49, 178, 190, -80, 142, 66, 428, 46, 313, 85, 131, 16, 232, 161, -556, -55, -131, -68, 118, 161, 152, 740, 153, -1494, 182, 179, -523, 82, 60, -402, 90, 70, -338, 103, 105, -343, -242, -35, -54, 10, -139, 210, -81, -53, -369, -55, 82, -24, 145, 66, 74, -114, -84, -25, 145, -4, 54, 6, 167]"
10,"[-190, 322, 257, 110, 39, 136, -150, -71, 110, -800, 145, -217, 175, 129, 65, 66, 172, 196, -87, 158, 77, 470, 36, 324, 98, 134, 14, 235, 155, -594, -55, -142, -73, 131, 187, 147, 841, 148, -1574, 186, 198, -558, 99, 49, -428, 107, 85, -371, 111, 107, -354, -251, -36, -56, 17, -143, 227, -96, -66, -392, -66, 94, -31, 155, 70, 84, -126, -102, -31, 169, 6, 42, 0, 177]"
11,"[-194, 345, 269, 117, 41, 139, -162, -80, 118, -832, 134, -215, 178, 136, 84, 49, 163, 209, -81, 163, 84, 482, 34, 341, 143, 133, 8, 247, 174, -625, -46, -153, -77, 125, 199, 149, 951, 162, -1671, 189, 208, -593, 104, 46, -453, 106, 95, -384, 110, 107, -377, -274, -40, -75, 7, -158, 238, -111, -67, -411, -66, 106, -43, 168, 73, 97, -126, -122, -33, 180, 7, 49, 9, 193]"
12,"[-192, 339, 297, 116, 42, 149, -169, -91, 120, -869, 139, -220, 189, 151, 61, 61, 170, 212, -82, 167, 79, 514, 37, 352, 154, 128, 7, 274, 180, -668, -50, -166, -83, 131, 191, 138, 1059, 165, -1767, 198, 222, -618, 120, 42, -469, 115, 99, -395, 116, 105, -390, -297, -39, -88, -5, -155, 256, -115, -68, -422, -63, 109, -47, 175, 73, 96, -132, -111, -29, 181, 9, 40, 14, 208]"
13,"[-198, 362, 308, 117, 42, 155, -171, -100, 134, -924, 130, -244, 196, 168, 67, 82, 167, 223, -87, 177, 93, 539, 38, 362, 163, 127, -2, 280, 184, -680, -57, -176, -79, 143, 207, 147, 1163, 173, -1859, 218, 231, -657, 133, 47, -495, 116, 97, -422, 119, 119, -405, -321, -38, -85, 4, -156, 255, -134, -68, -436, -78, 112, -56, 188, 59, 105, -136, -140, -33, 187, 7, 51, 24, 218]"
14,"[-199, 389, 308, 113, 51, 159, -173, -121, 133, -941, 131, -270, 214, 182, 67, 80, 172, 232, -91, 182, 88, 588, 48, 376, 163, 128, 3, 293, 161, -706, -56, -175, -85, 146, 203, 173, 1256, 185, -1929, 204, 236, -676, 125, 58, -513, 129, 99, -429, 129, 127, -419, -341, -45, -90, 11, -161, 260, -157, -65, -455, -79, 111, -61, 197, 80, 105, -149, -158, -36, 178, 5, 41, 34, 227]"
15,"[-195, 396, 304, 117, 58, 150, -161, -138, 124, -969, 156, -270, 218, 180, 74, 79, 183, 220, -92, 193, 97, 607, 46, 384, 159, 136, -12, 299, 166, -726, -66, -175, -87, 143, 214, 172, 1378, 213, -2018, 213, 264, -683, 132, 49, -535, 131, 100, -447, 134, 147, -436, -354, -42, -106, 10, -171, 262, -171, -61, -487, -95, 120, -66, 201, 79, 108, -153, -149, -54, 173, 6, 50, 43, 231]"
16,"[-207, 405, 324, 124, 60, 145, -158, -131, 125, -998, 159, -280, 229, 180, 72, 85, 183, 233, -95, 195, 87, 621, 50, 406, 152, 132, -20, 295, 179, -738, -53, -180, -86, 137, 209, 167, 1461, 230, -2073, 213, 278, -698, 130, 37, -549, 135, 87, -450, 127, 137, -458, -358, -46, -105, 6, -174, 274, -169, -52, -505, -85, 115, -70, 203, 79, 108, -156, -142, -59, 187, 11, 48, 48, 227]"
17,"[-214, 413, 335, 125, 61, 137, -164, -138, 112, -1034, 157, -297, 244, 186, 69, 93, 195, 228, -98, 205, 95, 660, 36, 400, 145, 127, -17, 309, 190, -753, -56, -181, -80, 141, 195, 171, 1560, 239, -2112, 218, 281, -724, 137, 43, -565, 128, 98, -455, 135, 145, -467, -370, -50, -101, 4, -181, 272, -183, -48, -530, -82, 117, -79, 198, 87, 107, -161, -142, -66, 185, 12, 50, 72, 231]"
18,"[-218, 399, 340, 128, 61, 135, -174, -144, 110, -1066, 154, -304, 259, 191, 75, 90, 201, 228, -102, 205, 97, 663, 25, 401, 140, 126, -7, 317, 213, -777, -53, -191, -82, 155, 196, 170, 1677, 245, -2147, 234, 285, -743, 149, 54, -577, 129, 83, -457, 132, 147, -483, -378, -49, -103, 4, -184, 284, -199, -42, -546, -93, 119, -90, 196, 84, 107, -164, -147, -63, 185, 4, 64, 82, 240]"
19,"[-224, 406, 351, 129, 61, 133, -171, -160, 108, -1105, 157, -312, 262, 193, 78, 99, 202, 247, -105, 222, 98, 648, 34, 397, 136, 132, -7, 307, 220, -795, -53, -197, -76, 169, 199, 187, 1779, 236, -2188, 243, 287, -753, 174, 55, -589, 133, 90, -468, 133, 144, -503, -399, -48, -105, -3, -190, 291, -215, -61, -553, -98, 124, -85, 200, 76, 118, -167, -135, -61, 188, 0, 80, 58, 242]"
20,"[-227, 417, 374, 133, 58, 134, -192, -168, 96, -1124, 155, -330, 268, 199, 71, 99, 201, 250, -100, 224, 104, 678, 34, 383, 125, 129, -15, 291, 235, -820, -41, -198, -74, 173, 217, 189, 1847, 239, -2225, 253, 284, -773, 169, 61, -596, 129, 95, -470, 149, 162, -525, -403, -52, -109, -3, -197, 299, -222, -59, -569, -95, 125, -69, 198, 85, 116, -171, -126, -56, 188, -3, 76, 52, 248]"
21,"[-230, 418, 383, 142, 57, 134, -187, -187, 105, -1148, 175, -329, 278, 205, 73, 102, 184, 254, -91, 231, 91, 697, 39, 382, 126, 139, -21, 280, 239, -840, -40, -214, -75, 176, 217, 188, 1945, 229, -2249, 255, 288, -791, 176, 72, -594, 127, 78, -463, 140, 167, -532, -408, -52, -110, -8, -208, 292, -233, -64, -575, -94, 125, -66, 190, 88, 118, -172, -130, -48, 192, 1, 61, 50, 250]"
22,"[-238, 415, 375, 139, 58, 135, -187, -190, 123, -1166, 199, -333, 282, 202, 80, 103, 188, 236, -95, 232, 93, 701, 46, 398, 129, 150, -15, 276, 243, -844, -36, -216, -75, 176, 221, 183, 2046, 234, -2287, 264, 287, -805, 173, 58, -603, 125, 81, -464, 142, 154, -549, -417, -53, -113, -6, -212, 294, -233, -71, -575, -86, 123, -85, 193, 82, 116, -176, -145, -55, 207, 1, 77, 51, 239]"
23,"[-248, 420, 378, 129, 69, 140, -191, -197, 132, -1171, 183, -351, 276, 198, 77, 108, 200, 243, -102, 237, 90, 719, 45, 401, 138, 139, -3, 265, 238, -852, -31, -221, -79, 173, 206, 177, 2151, 239, -2316, 258, 290, -822, 181, 59, -608, 134, 83, -472, 149, 153, -550, -425, -56, -106, -10, -210, 302, -227, -83, -586, -85, 119, -89, 203, 81, 112, -179, -144, -46, 202, 3, 74, 49, 237]"
24,"[-247, 415, 376, 131, 73, 143, -196, -202, 143, -1166, 205, -361, 278, 189, 76, 112, 209, 238, -115, 232, 93, 707, 47, 385, 133, 137, -6, 252, 241, -855, -31, -220, -82, 163, 196, 177, 2237, 246, -2345, 265, 290, -834, 186, 63, -616, 126, 99, -472, 151, 169, -552, -431, -51, -106, -7, -216, 309, -241, -81, -583, -98, 118, -105, 199, 90, 119, -182, -152, -39, 205, 11, 66, 52, 240]"
25,"[-248, 411, 388, 134, 73, 138, -203, -213, 141, -1178, 191, -368, 259, 200, 66, 101, 214, 238, -109, 218, 99, 711, 55, 396, 131, 120, -2, 256, 248, -866, -34, -224, -89, 173, 191, 181, 2336, 244, -2379, 271, 294, -857, 195, 60, -623, 126, 106, -476, 152, 167, -563, -425, -52, -111, -9, -219, 319, -256, -74, -588, -98, 119, -94, 206, 89, 130, -180, -147, -33, 203, 5, 61, 50, 252]"
26,"[-256, 438, 385, 121, 75, 136, -207, -222, 152, -1191, 201, -374, 270, 207, 66, 86, 228, 247, -109, 214, 100, 736, 61, 395, 134, 123, -12, 248, 252, -892, -32, -217, -92, 169, 188, 190, 2410, 246, -2405, 275, 302, -873, 178, 55, -625, 119, 117, -479, 175, 169, -564, -431, -56, -112, -12, -221, 301, -268, -79, -594, -109, 135, -108, 215, 90, 127, -186, -151, -42, 197, 6, 58, 65, 257]"
27,"[-260, 435, 391, 117, 77, 145, -220, -224, 156, -1193, 215, -381, 287, 206, 67, 83, 230, 245, -117, 212, 101, 738, 67, 387, 137, 132, 6, 252, 237, -891, -25, -226, -95, 172, 183, 191, 2479, 255, -2425, 270, 322, -870, 174, 55, -635, 113, 115, -487, 180, 163, -581, -438, -51, -110, -11, -226, 298, -268, -90, -597, -105, 142, -119, 212, 93, 120, -182, -149, -49, 186, 9, 57, 47, 266]"
28,"[-264, 438, 397, 118, 77, 139, -215, -225, 150, -1195, 211, -386, 276, 199, 58, 84, 242, 250, -119, 211, 95, 736, 65, 382, 146, 130, 12, 259, 241, -891, -31, -221, -93, 174, 192, 188, 2569, 248, -2452, 277, 322, -875, 177, 41, -641, 119, 124, -489, 183, 164, -585, -451, -50, -98, -11, -223, 284, -269, -92, -606, -96, 136, -128, 220, 83, 118, -184, -157, -53, 185, 10, 60, 38, 272]"
29,"[-265, 439, 411, 137, 79, 147, -211, -231, 152, -1200, 211, -382, 272, 209, 57, 82, 237, 273, -119, 220, 88, 730, 57, 395, 140, 144, 19, 272, 242, -897, -37, -222, -94, 169, 178, 183, 2645, 242, -2470, 279, 322, -885, 176, 37, -645, 112, 127, -483, 191, 160, -593, -461, -53, -106, -9, -224, 282, -283, -92, -616, -106, 137, -137, 224, 82, 107, -183, -163, -57, 181, 11, 50, 50, 266]"
30,"[-266, 421, 404, 128, 97, 134, -206, -248, 146, -1214, 213, -373, 285, 219, 53, 93, 249, 271, -123, 215, 76, 729, 51, 402, 141, 152, 13, 256, 255, -901, -44, -226, -97, 179, 178, 181, 2710, 250, -2487, 286, 326, -895, 170, 30, -652, 124, 140, -484, 191, 164, -606, -473, -50, -101, -7, -226, 287, -283, -97, -620, -107, 145, -143, 228, 96, 110, -185, -158, -62, 175, 17, 46, 41, 257]"
31,"[-264, 410, 410, 126, 97, 132, -204, -258, 147, -1215, 213, -378, 291, 212, 55, 97, 251, 274, -126, 208, 93, 758, 43, 393, 131, 148, 15, 263, 254, -910, -46, -227, -97, 192, 185, 181, 2777, 262, -2507, 289, 318, -908, 166, 18, -658, 124, 157, -470, 192, 162, -621, -485, -53, -111, -7, -227, 287, -289, -91, -632, -105, 139, -146, 232, 84, 108, -185, -172, -59, 186, 17, 43, 54, 257]"
32,"[-266, 421, 418, 130, 90, 136, -214, -270, 146, -1214, 205, -386, 299, 201, 62, 100, 247, 287, -130, 211, 90, 754, 44, 380, 121, 149, 21, 259, 259, -917, -46, -226, -90, 177, 184, 167, 2862, 264, -2524, 287, 321, -918, 171, 11, -662, 120, 161, -481, 203, 173, -632, -481, -53, -116, -19, -224, 295, -286, -101, -625, -108, 146, -155, 226, 87, 122, -184, -172, -60, 185, 17, 47, 52, 252]"
33,"[-271, 420, 412, 138, 84, 140, -212, -275, 152, -1211, 204, -379, 298, 208, 57, 104, 251, 281, -123, 197, 81, 755, 58, 396, 128, 148, 15, 259, 252, -927, -47, -232, -90, 182, 177, 157, 2910, 257, -2524, 284, 333, -922, 168, 19, -662, 128, 173, -485, 202, 179, -629, -481, -49, -116, -20, -221, 293, -291, -107, -632, -108, 152, -159, 212, 103, 109, -182, -183, -67, 195, 16, 39, 28, 251]"
34,"[-277, 415, 409, 138, 91, 137, -221, -266, 150, -1215, 198, -384, 306, 216, 68, 105, 249, 270, -121, 181, 88, 755, 72, 402, 138, 139, 18, 272, 264, -925, -55, -233, -91, 175, 191, 163, 2990, 251, -2556, 294, 319, -916, 181, 9, -669, 133, 172, -490, 206, 180, -625, -493, -51, -133, -21, -219, 299, -299, -114, -637, -109, 149, -172, 208, 102, 115, -188, -188, -76, 196, 13, 37, 20, 260]"
35,"[-280, 404, 401, 139, 98, 135, -226, -281, 138, -1228, 225, -373, 318, 211, 62, 104, 257, 274, -127, 182, 83, 753, 79, 383, 131, 141, 17, 276, 262, -928, -52, -232, -90, 170, 199, 160, 3056, 245, -2584, 294, 327, -922, 164, 11, -669, 138, 172, -496, 211, 171, -626, -485, -49, -139, -9, -227, 300, -305, -116, -624, -110, 142, -173, 204, 102, 110, -182, -185, -62, 193, 13, 51, 14, 260]"
36,"[-285, 395, 416, 134, 104, 131, -235, -287, 137, -1227, 251, -382, 320, 221, 60, 105, 269, 273, -126, 174, 86, 749, 76, 373, 128, 134, 27, 277, 261, -917, -45, -227, -91, 171, 199, 166, 3115, 243, -2584, 301, 331, -933, 160, 3, -673, 153, 168, -504, 198, 173, -631, -485, -49, -152, -21, -226, 302, -309, -129, -620, -112, 140, -186, 216, 99, 111, -179, -182, -60, 189, 10, 38, 9, 261]"
37,"[-286, 373, 418, 141, 108, 130, -239, -292, 131, -1235, 243, -376, 314, 215, 58, 119, 276, 271, -131, 169, 79, 754, 61, 382, 123, 131, 29, 281, 253, -920, -53, -226, -91, 182, 201, 159, 3191, 239, -2595, 307, 331, -939, 151, 10, -680, 149, 173, -496, 202, 177, -626, -491, -51, -143, -29, -226, 303, -304, -136, -630, -104, 137, -188, 221, 104, 101, -180, -188, -63, 188, 11, 34, 17, 271]"
38,"[-282, 367, 426, 139, 97, 123, -245, -297, 134, -1232, 239, -382, 309, 217, 62, 124, 277, 265, -128, 172, 83, 745, 56, 384, 112, 133, 36, 282, 244, -928, -50, -224, -99, 195, 194, 158, 3252, 238, -2594, 308, 328, -934, 156, 10, -681, 152, 176, -494, 209, 178, -622, -492, -56, -150, -25, -228, 287, -311, -148, -640, -103, 132, -185, 221, 109, 102, -176, -195, -51, 186, 13, 40, 14, 268]"
39,"[-290, 373, 433, 134, 116, 120, -247, -297, 138, -1220, 237, -378, 315, 212, 59, 120, 286, 274, -130, 171, 80, 734, 46, 392, 100, 128, 25, 286, 246, -931, -51, -226, -101, 198, 200, 153, 3315, 236, -2612, 308, 320, -939, 152, 11, -688, 160, 162, -491, 201, 179, -622, -496, -54, -154, -24, -238, 296, -310, -145, -640, -108, 130, -182, 221, 111, 103, -174, -197, -49, 177, 9, 36, 20, 271]"
40,"[-295, 364, 445, 123, 106, 117, -254, -302, 128, -1234, 238, -374, 326, 214, 71, 125, 282, 263, -124, 176, 83, 748, 52, 401, 103, 126, 25, 286, 241, -935, -48, -230, -105, 196, 205, 155, 3364, 233, -2619, 312, 321, -944, 142, 4, -690, 157, 157, -493, 204, 183, -618, -508, -55, -150, -32, -243, 307, -310, -138, -654, -106, 130, -184, 219, 117, 104, -177, -192, -51, 183, 8, 41, 16, 264]"
41,"[-297, 351, 436, 119, 102, 117, -254, -294, 138, -1253, 236, -374, 319, 208, 71, 124, 282, 262, -120, 180, 80, 752, 60, 393, 117, 134, 29, 276, 242, -949, -49, -228, -101, 193, 213, 152, 3417, 231, -2623, 309, 323, -940, 165, 6, -687, 143, 153, -499, 202, 189, -625, -516, -55, -157, -31, -243, 298, -316, -150, -651, -106, 140, -185, 222, 113, 101, -174, -199, -52, 191, 12, 50, 15, 262]"
42,"[-303, 332, 434, 112, 85, 112, -257, -302, 140, -1259, 249, -363, 327, 208, 70, 116, 280, 260, -117, 189, 73, 728, 56, 390, 125, 133, 31, 276, 245, -952, -46, -224, -101, 199, 223, 151, 3463, 238, -2622, 298, 313, -952, 165, 11, -692, 150, 159, -496, 203, 193, -629, -506, -53, -163, -36, -241, 289, -315, -153, -649, -110, 146, -191, 223, 118, 100, -174, -197, -54, 203, 12, 58, 11, 260]"
43,"[-298, 337, 430, 119, 86, 112, -256, -291, 131, -1267, 233, -360, 333, 194, 77, 109, 277, 258, -113, 180, 72, 728, 48, 388, 125, 134, 31, 283, 237, -962, -55, -224, -98, 202, 218, 161, 3501, 239, -2625, 304, 330, -957, 177, 19, -693, 140, 171, -488, 212, 187, -634, -498, -51, -156, -43, -242, 291, -313, -149, -652, -122, 135, -196, 218, 116, 94, -180, -202, -54, 202, 10, 61, 12, 257]"
44,"[-303, 331, 432, 115, 86, 102, -256, -292, 136, -1264, 233, -368, 324, 204, 77, 117, 284, 252, -108, 176, 77, 735, 45, 385, 120, 132, 26, 280, 231, -958, -43, -226, -92, 202, 223, 156, 3535, 229, -2633, 299, 342, -966, 176, 24, -694, 141, 186, -488, 202, 180, -621, -507, -54, -149, -38, -242, 288, -310, -149, -642, -127, 140, -202, 211, 118, 94, -177, -198, -49, 190, 9, 55, 0, 256]"
45,"[-303, 326, 436, 120, 83, 111, -253, -280, 133, -1256, 231, -380, 320, 206, 75, 112, 273, 258, -109, 174, 69, 734, 49, 377, 100, 139, 32, 279, 241, -965, -45, -233, -90, 207, 213, 141, 3603, 232, -2640, 293, 348, -971, 173, 38, -695, 138, 174, -482, 199, 168, -621, -509, -50, -145, -32, -240, 284, -313, -141, -646, -141, 140, -205, 216, 119, 89, -172, -205, -49, 194, 12, 62, -6, 256]"
46,"[-302, 334, 439, 118, 79, 107, -241, -287, 130, -1268, 230, -384, 316, 212, 74, 116, 273, 252, -104, 163, 79, 731, 50, 387, 102, 128, 34, 284, 229, -965, -54, -231, -87, 212, 221, 135, 3647, 230, -2650, 293, 353, -971, 169, 33, -692, 152, 170, -482, 194, 183, -624, -514, -48, -156, -26, -241, 278, -322, -147, -655, -141, 149, -207, 224, 120, 88, -174, -206, -55, 200, 13, 70, -21, 254]"
