,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-13, 18, 37, 13, 37, 17, -10, 7, 33, -107, -8, -25, 22, 23, 13, 20, 24, 27, -1, 15, 8, 12, 5, 42, 2, 22, 13, 29, 15, -84, -10, -9, -14, 26, 25, 45, -43, 19, -253, 25, 25, -63, 24, 2, -68, 2, -1, -58, 29, 24, -45, -26, -9, -20, 18, -13, 8, 21, 4, -28, 14, 31, 8, 28, 8, 8, -13, -5, 14, 29, 13, 15, -22, 29]","[533, 546, 174, 239, 277, 281, 595, 719, 324, 1822, 523, 836, 228, 279, 280, 283, 229, 137, 330, 253, 263, 391, 284, 164, 472, 312, 383, 224, 343, 1356, 471, 464, 229, 296, 330, 299, 763, 133, 2985, 128, 202, 1352, 384, 368, 761, 380, 305, 677, 153, 310, 951, 798, 140, 560, 402, 387, 210, 706, 522, 1048, 358, 247, 618, 219, 353, 409, 277, 652, 425, 269, 174, 364, 650, 96]","[4, 3, 2, 1, 3, 1, 5, 5, 0, 23, 8, 5, 2, 2, 1, 2, 1, 2, 2, 1, 2, 4, 0, 2, 2, 1, 1, 2, 2, 8, 4, 2, 2, 3, 3, 3, 4, 2, 24, 3, 2, 10, 3, 3, 7, 4, 2, 8, 0, 1, 8, 12, 0, 5, 3, 5, 5, 4, 4, 10, 4, 1, 5, 2, 1, 6, 0, 8, 4, 3, 4, 2, 4, 0]",34905
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 7, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 7, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-32, 24, 69, 37, 49, 29, -10, 6, 43, -215, -1, -46, 48, 33, 26, 43, 59, 65, -3, 24, 22, 12, 16, 72, 3, 49, 15, 45, 35, -155, -25, -21, -17, 46, 44, 86, -86, 41, -485, 52, 57, -89, 31, 27, -125, 14, -2, -93, 44, 48, -83, -39, -8, -31, 37, -24, 13, 36, 10, -71, 22, 63, 28, 54, 4, 25, -34, -11, 17, 52, 14, 22, -60, 55]","[512, 552, 207, 265, 288, 292, 597, 718, 333, 1712, 524, 817, 253, 288, 293, 304, 265, 174, 331, 263, 277, 385, 295, 195, 473, 335, 386, 241, 361, 1291, 458, 455, 227, 314, 349, 342, 720, 156, 2744, 155, 234, 1329, 390, 394, 702, 391, 306, 645, 166, 333, 911, 783, 141, 552, 416, 375, 215, 725, 531, 1006, 364, 278, 640, 241, 348, 426, 257, 648, 431, 290, 175, 374, 610, 121]","[7, 5, 0, 0, 3, 3, 3, 7, 4, 20, 11, 6, 3, 3, 2, 4, 1, 2, 0, 1, 2, 9, 2, 0, 4, 7, 2, 1, 5, 7, 2, 1, 1, 4, 3, 0, 7, 0, 38, 1, 2, 10, 4, 2, 9, 4, 1, 3, 3, 4, 11, 9, 1, 2, 9, 4, 2, 3, 2, 9, 5, 3, 4, 6, 4, 4, 1, 4, 1, 4, 1, 0, 8, 1]",34895
3,"[5, 5, 2, 2, 2, 2, 5, 7, 3, 17, 5, 8, 2, 2, 2, 3, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 7, 1, 27, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 7, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-50, 31, 89, 41, 64, 47, -31, 13, 59, -298, 8, -50, 71, 51, 35, 55, 71, 91, 1, 38, 37, 27, 21, 89, 11, 70, 13, 68, 59, -234, -30, -29, -18, 81, 61, 119, -122, 62, -648, 72, 79, -158, 30, 44, -172, -1, 2, -124, 67, 62, -90, -52, -5, -44, 61, -37, 31, 31, 10, -75, 14, 84, 36, 71, 7, 22, -54, -23, 10, 60, 23, 29, -73, 90]","[493, 553, 229, 269, 301, 311, 576, 724, 349, 1627, 534, 811, 278, 305, 300, 316, 276, 197, 337, 277, 292, 400, 301, 212, 483, 355, 380, 264, 384, 1213, 453, 450, 226, 349, 365, 375, 688, 176, 2586, 175, 258, 1261, 391, 414, 655, 376, 310, 616, 189, 347, 902, 766, 141, 532, 440, 357, 234, 717, 532, 1007, 356, 300, 646, 260, 349, 424, 236, 631, 424, 298, 185, 380, 602, 156]","[6, 11, 0, 2, 4, 1, 5, 8, 3, 19, 4, 10, 0, 3, 4, 3, 3, 4, 1, 2, 2, 3, 1, 1, 2, 4, 7, 2, 4, 11, 4, 1, 2, 3, 4, 3, 3, 2, 22, 1, 0, 12, 1, 0, 7, 3, 3, 4, 1, 3, 11, 11, 4, 12, 4, 8, 1, 10, 4, 5, 3, 1, 8, 0, 5, 3, 3, 11, 4, 2, 0, 4, 1, 1]",34882
4,"[4, 5, 2, 2, 3, 3, 5, 7, 3, 16, 5, 8, 2, 3, 3, 3, 2, 1, 3, 2, 2, 4, 3, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 6, 1, 25, 1, 2, 12, 3, 4, 6, 3, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 7, 5, 10, 3, 3, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-61, 49, 120, 66, 76, 72, -36, 1, 83, -379, -5, -74, 87, 64, 48, 65, 93, 111, 2, 48, 40, 38, 33, 128, 9, 91, 17, 76, 85, -299, -40, -31, -17, 98, 67, 146, -141, 90, -819, 97, 93, -201, 34, 41, -224, 4, -1, -140, 93, 75, -120, -72, -12, -62, 61, -44, 45, 8, 26, -105, 29, 108, 47, 87, 6, 26, -65, -28, 15, 87, 19, 38, -78, 112]","[482, 567, 259, 289, 312, 334, 574, 713, 374, 1544, 519, 786, 294, 318, 314, 327, 298, 218, 334, 286, 293, 406, 310, 252, 479, 379, 383, 272, 406, 1153, 444, 449, 226, 368, 365, 401, 670, 204, 2413, 199, 270, 1220, 395, 409, 601, 380, 308, 601, 214, 361, 869, 742, 135, 513, 437, 348, 249, 696, 546, 981, 367, 323, 657, 276, 350, 430, 227, 626, 432, 323, 181, 390, 596, 178]","[4, 9, 3, 7, 4, 5, 2, 6, 2, 18, 7, 9, 2, 3, 2, 2, 2, 0, 7, 3, 4, 9, 6, 1, 6, 0, 4, 2, 7, 7, 3, 3, 3, 1, 9, 4, 5, 1, 27, 2, 4, 10, 3, 6, 8, 4, 2, 5, 2, 2, 12, 11, 0, 6, 7, 5, 1, 5, 7, 6, 7, 4, 6, 2, 1, 2, 0, 6, 1, 4, 1, 2, 7, 1]",34845
5,"[4, 5, 2, 2, 3, 3, 5, 7, 3, 15, 5, 7, 2, 3, 3, 3, 2, 2, 3, 2, 2, 4, 3, 2, 4, 3, 3, 2, 4, 11, 4, 4, 2, 3, 3, 4, 6, 2, 24, 1, 2, 12, 3, 4, 6, 3, 3, 6, 2, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 3, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 5, 1]","[-63, 53, 147, 76, 85, 86, -58, -5, 95, -469, -9, -91, 95, 90, 55, 80, 108, 138, -3, 63, 49, 40, 44, 159, 15, 116, 34, 97, 113, -359, -53, -21, -20, 114, 83, 173, -153, 111, -960, 121, 115, -245, 44, 37, -274, 18, 2, -183, 105, 98, -149, -99, -10, -62, 73, -58, 40, 11, 19, -139, 33, 122, 43, 112, 25, 39, -76, -48, 24, 99, 22, 40, -82, 128]","[478, 571, 285, 301, 323, 350, 554, 706, 387, 1451, 517, 768, 301, 345, 319, 343, 311, 246, 328, 298, 303, 408, 320, 282, 486, 403, 400, 295, 437, 1090, 432, 457, 222, 382, 380, 425, 656, 225, 2270, 221, 292, 1177, 403, 405, 549, 393, 310, 560, 223, 383, 840, 718, 137, 513, 444, 328, 244, 701, 539, 946, 371, 336, 652, 301, 369, 443, 218, 603, 443, 331, 184, 390, 590, 193]","[6, 5, 3, 0, 1, 1, 3, 8, 2, 18, 3, 8, 3, 2, 5, 2, 4, 1, 4, 5, 1, 4, 4, 3, 3, 4, 3, 0, 1, 14, 3, 6, 3, 5, 4, 7, 8, 2, 26, 3, 2, 11, 5, 4, 8, 4, 4, 4, 5, 4, 8, 4, 1, 5, 9, 9, 2, 4, 5, 10, 3, 4, 7, 2, 3, 4, 0, 9, 2, 7, 1, 5, 7, 2]",34805
6,"[4, 5, 2, 3, 3, 3, 5, 7, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 3, 2, 3, 4, 3, 2, 4, 4, 4, 2, 4, 10, 4, 4, 2, 3, 3, 4, 6, 2, 22, 2, 2, 11, 4, 4, 5, 3, 3, 5, 2, 3, 8, 7, 1, 5, 4, 3, 2, 7, 5, 9, 3, 3, 6, 3, 3, 4, 2, 6, 4, 3, 1, 3, 5, 1]","[-70, 52, 171, 70, 96, 90, -80, -14, 113, -529, -7, -111, 109, 110, 60, 89, 111, 155, -4, 76, 53, 49, 47, 174, 14, 122, 38, 117, 121, -413, -66, -33, -26, 140, 83, 197, -169, 124, -1075, 158, 119, -294, 63, 31, -307, 26, 6, -215, 131, 124, -182, -115, -5, -61, 77, -70, 50, 14, 27, -165, 30, 132, 49, 138, 35, 54, -85, -42, 26, 110, 25, 48, -66, 150]","[468, 567, 306, 298, 335, 353, 529, 697, 404, 1390, 519, 749, 315, 365, 323, 353, 314, 261, 326, 306, 305, 417, 321, 295, 483, 409, 405, 311, 443, 1038, 420, 447, 215, 409, 378, 445, 639, 235, 2148, 256, 298, 1127, 423, 401, 512, 400, 314, 526, 247, 410, 807, 698, 141, 514, 448, 312, 254, 699, 547, 918, 368, 347, 658, 323, 380, 458, 208, 608, 448, 342, 184, 397, 604, 215]","[7, 8, 5, 0, 2, 4, 8, 7, 4, 15, 5, 6, 3, 3, 4, 2, 3, 4, 4, 7, 5, 4, 5, 4, 6, 4, 3, 6, 6, 8, 3, 2, 3, 2, 5, 8, 7, 5, 29, 4, 0, 12, 3, 2, 9, 4, 3, 7, 4, 2, 8, 11, 2, 5, 4, 7, 2, 12, 5, 11, 3, 2, 6, 7, 2, 4, 3, 7, 1, 3, 4, 4, 7, 1]",34733
7,"[4, 5, 3, 2, 3, 3, 5, 6, 4, 13, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 2, 4, 4, 4, 3, 4, 10, 4, 4, 2, 4, 3, 4, 6, 2, 21, 2, 2, 11, 4, 4, 5, 4, 3, 5, 2, 4, 8, 6, 1, 5, 4, 3, 2, 6, 5, 9, 3, 3, 6, 3, 3, 4, 2, 6, 4, 3, 1, 3, 6, 2]","[-63, 62, 209, 88, 118, 114, -89, -21, 119, -589, -13, -125, 133, 121, 62, 96, 100, 172, -11, 83, 82, 45, 46, 195, 13, 142, 40, 132, 123, -455, -80, -42, -32, 129, 100, 205, -195, 136, -1191, 176, 150, -338, 83, 38, -337, 26, 5, -248, 137, 148, -196, -138, -1, -63, 91, -87, 59, 8, 20, -189, 40, 142, 37, 162, 60, 62, -87, -44, 42, 116, 29, 36, -65, 167]","[474, 576, 344, 316, 357, 376, 514, 689, 405, 1331, 513, 734, 338, 372, 327, 359, 302, 280, 320, 312, 335, 415, 319, 313, 483, 428, 405, 319, 446, 996, 408, 437, 208, 397, 396, 457, 612, 244, 2029, 272, 329, 1086, 442, 406, 482, 400, 313, 493, 249, 432, 787, 668, 145, 514, 462, 291, 264, 692, 538, 897, 378, 356, 649, 346, 403, 467, 208, 605, 465, 347, 188, 380, 600, 232]","[5, 6, 3, 2, 3, 4, 11, 7, 9, 12, 5, 8, 4, 7, 1, 4, 4, 0, 2, 4, 2, 2, 4, 5, 3, 5, 6, 10, 3, 10, 2, 5, 3, 5, 2, 0, 7, 5, 24, 4, 2, 8, 5, 6, 5, 4, 3, 5, 6, 6, 14, 13, 1, 3, 4, 7, 1, 7, 7, 6, 3, 4, 3, 4, 5, 3, 0, 7, 3, 4, 1, 8, 11, 2]",34672
8,"[4, 5, 3, 3, 3, 3, 5, 6, 4, 13, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 3, 4, 4, 4, 3, 4, 9, 4, 4, 2, 3, 3, 4, 6, 2, 20, 2, 3, 10, 4, 4, 4, 4, 3, 4, 2, 4, 7, 6, 1, 5, 4, 2, 2, 6, 5, 8, 3, 3, 6, 3, 4, 4, 2, 6, 4, 3, 1, 3, 6, 2]","[-72, 70, 212, 94, 121, 112, -86, -25, 147, -650, -16, -122, 134, 127, 66, 119, 114, 184, -13, 88, 90, 55, 49, 206, 21, 168, 50, 137, 142, -517, -67, -46, -47, 128, 114, 210, -216, 156, -1294, 195, 165, -393, 99, 42, -363, 35, 11, -272, 153, 173, -219, -164, -5, -68, 106, -96, 59, 7, 26, -210, 46, 143, 38, 181, 67, 67, -99, -58, 55, 147, 37, 46, -68, 174]","[463, 584, 348, 324, 356, 369, 517, 689, 432, 1264, 508, 730, 339, 376, 332, 380, 315, 293, 320, 316, 343, 422, 323, 324, 489, 453, 416, 322, 461, 932, 421, 428, 191, 393, 410, 462, 583, 264, 1929, 288, 343, 1025, 457, 411, 454, 408, 317, 469, 264, 455, 760, 635, 142, 509, 475, 277, 263, 692, 540, 874, 382, 355, 650, 363, 409, 473, 196, 594, 479, 373, 196, 390, 593, 240]","[6, 5, 2, 1, 7, 8, 5, 2, 5, 19, 7, 14, 3, 5, 2, 5, 4, 1, 1, 4, 3, 7, 2, 3, 6, 5, 3, 5, 8, 11, 4, 9, 4, 6, 3, 4, 14, 2, 17, 5, 4, 16, 5, 3, 6, 5, 5, 4, 3, 6, 11, 13, 0, 5, 6, 7, 3, 5, 9, 10, 5, 5, 6, 5, 5, 3, 2, 3, 3, 8, 1, 3, 10, 1]",34572
9,"[4, 5, 3, 3, 3, 3, 5, 6, 4, 12, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 3, 4, 4, 4, 3, 4, 9, 4, 4, 1, 3, 4, 4, 5, 2, 19, 2, 3, 10, 4, 4, 4, 4, 3, 4, 2, 4, 7, 6, 1, 5, 4, 2, 2, 6, 5, 8, 3, 3, 6, 3, 4, 4, 1, 5, 4, 3, 1, 3, 5, 2]","[-83, 71, 220, 113, 132, 119, -94, -39, 148, -703, -23, -140, 139, 136, 69, 135, 126, 197, -27, 94, 94, 47, 46, 221, 21, 197, 54, 153, 153, -534, -76, -43, -36, 129, 127, 217, -237, 180, -1366, 198, 176, -428, 124, 39, -393, 45, 10, -279, 163, 183, -242, -168, -8, -82, 118, -100, 58, 4, 35, -226, 34, 155, 26, 199, 69, 89, -94, -72, 52, 167, 43, 57, -69, 180]","[449, 583, 355, 341, 367, 374, 510, 674, 433, 1204, 496, 710, 343, 384, 336, 393, 325, 304, 305, 324, 342, 410, 316, 339, 486, 479, 418, 339, 469, 912, 406, 429, 198, 392, 421, 466, 561, 285, 1850, 290, 353, 982, 481, 408, 423, 416, 314, 460, 273, 469, 737, 627, 137, 491, 480, 272, 261, 681, 547, 860, 367, 365, 637, 379, 408, 492, 195, 581, 472, 388, 199, 398, 589, 244]","[7, 7, 4, 5, 3, 5, 4, 7, 4, 19, 10, 9, 4, 4, 2, 6, 5, 4, 4, 1, 8, 8, 7, 3, 7, 7, 6, 2, 7, 12, 10, 6, 5, 5, 6, 7, 6, 5, 26, 3, 4, 18, 5, 4, 5, 6, 5, 6, 3, 0, 7, 10, 3, 9, 11, 3, 3, 14, 7, 6, 6, 5, 7, 5, 7, 7, 7, 4, 8, 8, 4, 6, 8, 4]",34404
