0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-6, 1, 36, 26, 13, 9, -4, 5, 19, -103, -14, -29, 17, 15, 17, 5, 30, 25, 3, 39, 11, 17, 0, 50, 14, 36, 8, 19, 19, -100, -24, -7, -11, 32, 26, 33, -27, 19, -205, 39, 49, -57, 19, 12, -71, 22, 0, -53, 24, 21, -59, -38, 1, -5, -2, -24, 26, 5, -7, -44, 11, 31, 16, 18, 10, 5, -19, -15, 12, 23, -14, 23, 0, 27]"
2,"[-29, 1, 68, 39, 27, 17, -5, -10, 46, -210, -15, -56, 24, 42, 21, 14, 53, 50, 7, 54, 19, 36, 18, 85, 18, 70, 18, 43, 66, -178, -32, -20, -16, 46, 55, 82, -63, 46, -414, 71, 62, -99, 48, 7, -125, 16, 12, -96, 37, 40, -78, -59, 6, -13, 9, -42, 31, 25, -20, -70, 11, 54, 24, 37, 16, 23, -26, -31, 14, 44, -9, 31, -26, 59]"
3,"[-41, 0, 93, 50, 38, 23, -12, -17, 56, -316, -20, -71, 53, 51, 40, 37, 70, 68, 14, 65, 28, 29, 24, 106, 31, 95, 20, 66, 76, -249, -34, -25, -12, 69, 75, 125, -87, 68, -605, 78, 86, -156, 69, 5, -175, 29, 12, -130, 58, 50, -114, -65, 9, -37, 18, -48, 43, 35, -2, -111, 43, 71, 29, 52, 28, 33, -42, -36, 28, 57, -7, 45, -20, 84]"
4,"[-53, 2, 104, 60, 50, 49, -30, -23, 70, -392, -22, -106, 87, 71, 48, 52, 82, 99, 5, 87, 35, 33, 27, 133, 35, 147, 20, 93, 94, -317, -32, -39, -17, 83, 109, 155, -113, 84, -761, 96, 113, -239, 73, 17, -224, 32, 29, -162, 73, 69, -130, -81, 6, -45, 19, -59, 68, 30, -16, -132, 65, 88, 40, 71, 32, 25, -48, -41, 28, 82, -5, 53, -39, 103]"
5,"[-71, 14, 124, 69, 62, 72, -34, -25, 79, -445, -28, -126, 100, 88, 51, 60, 102, 126, -16, 87, 36, 39, 32, 165, 31, 174, 40, 106, 101, -386, -44, -41, -17, 98, 122, 176, -145, 106, -911, 126, 132, -289, 89, 35, -266, 36, 28, -185, 92, 96, -151, -89, 0, -58, 30, -63, 69, 42, 1, -170, 67, 113, 21, 91, 44, 31, -50, -50, 30, 114, -1, 56, -49, 107]"
6,"[-87, 16, 150, 84, 74, 90, -51, -2, 91, -517, -22, -127, 110, 101, 52, 80, 110, 146, -27, 100, 45, 51, 41, 183, 31, 197, 50, 119, 115, -446, -62, -51, -22, 115, 123, 194, -160, 119, -1032, 142, 154, -354, 101, 39, -316, 45, 22, -200, 113, 118, -170, -104, -9, -71, 37, -65, 90, 35, 8, -203, 72, 130, 15, 107, 52, 53, -62, -55, 29, 129, 9, 63, -49, 114]"
7,"[-97, -3, 185, 106, 84, 101, -67, 15, 102, -596, -3, -133, 119, 119, 58, 76, 113, 140, -26, 109, 54, 54, 41, 214, 45, 217, 58, 140, 114, -485, -72, -63, -26, 128, 125, 198, -174, 146, -1173, 163, 166, -403, 112, 36, -343, 51, 22, -219, 128, 118, -165, -108, -9, -50, 38, -71, 99, 46, 12, -224, 72, 155, 9, 110, 65, 60, -73, -60, 32, 135, 16, 68, -61, 130]"
8,"[-94, -6, 191, 110, 94, 111, -62, -1, 112, -642, 5, -160, 131, 129, 74, 96, 129, 142, -30, 113, 52, 67, 43, 242, 42, 224, 71, 143, 116, -530, -75, -62, -25, 128, 148, 218, -183, 148, -1284, 177, 176, -441, 115, 29, -369, 57, 17, -236, 138, 135, -185, -119, -14, -34, 59, -83, 118, 24, 17, -217, 64, 176, 13, 134, 72, 69, -92, -57, 31, 148, 20, 67, -75, 141]"
9,"[-104, 4, 207, 113, 95, 113, -83, -11, 136, -701, 10, -182, 145, 145, 79, 95, 138, 168, -22, 121, 52, 61, 58, 262, 54, 245, 80, 152, 115, -557, -75, -76, -27, 153, 155, 227, -205, 159, -1371, 181, 190, -469, 125, 48, -399, 60, 34, -255, 150, 137, -197, -145, -14, -41, 70, -89, 122, 14, 19, -220, 62, 178, -5, 157, 78, 77, -104, -54, 37, 152, 29, 66, -75, 153]"
