0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[529, 574, 185, 248, 242, 307, 582, 687, 304, 1818, 549, 808, 232, 284, 300, 275, 222, 141, 329, 268, 272, 441, 295, 165, 490, 298, 377, 231, 361, 1342, 494, 467, 236, 279, 334, 277, 866, 145, 2973, 143, 202, 1339, 363, 402, 764, 391, 319, 675, 126, 297, 953, 786, 140, 565, 379, 384, 225, 658, 510, 1034, 338, 214, 625, 229, 350, 415, 272, 641, 400, 268, 162, 360, 669, 92]"
2,"[513, 611, 212, 254, 246, 333, 573, 670, 311, 1707, 581, 797, 255, 309, 325, 282, 246, 173, 313, 287, 266, 494, 292, 222, 511, 317, 392, 274, 377, 1258, 485, 464, 224, 299, 362, 297, 921, 164, 2729, 162, 234, 1244, 382, 427, 706, 399, 336, 631, 142, 317, 899, 773, 141, 545, 376, 373, 267, 649, 500, 988, 341, 229, 643, 256, 360, 422, 249, 631, 370, 292, 161, 372, 648, 108]"
3,"[488, 653, 252, 280, 248, 354, 557, 663, 320, 1597, 600, 755, 279, 323, 340, 285, 252, 204, 310, 301, 261, 544, 310, 269, 517, 345, 387, 325, 397, 1182, 473, 457, 210, 312, 381, 310, 1002, 203, 2550, 172, 266, 1150, 402, 405, 655, 415, 344, 595, 152, 344, 875, 751, 129, 533, 373, 355, 292, 638, 496, 946, 329, 230, 641, 282, 370, 432, 230, 624, 372, 298, 160, 387, 661, 118]"
4,"[465, 683, 292, 299, 248, 349, 547, 639, 321, 1519, 629, 734, 293, 345, 351, 294, 278, 234, 293, 325, 268, 590, 316, 300, 530, 348, 402, 328, 410, 1125, 466, 445, 198, 315, 393, 311, 1071, 227, 2377, 191, 308, 1092, 414, 413, 617, 421, 344, 549, 168, 348, 833, 730, 126, 524, 375, 334, 334, 606, 493, 917, 335, 235, 644, 303, 376, 442, 217, 596, 378, 318, 163, 394, 664, 137]"
5,"[457, 726, 325, 312, 256, 364, 522, 640, 349, 1447, 648, 719, 309, 365, 357, 306, 295, 256, 290, 342, 266, 632, 325, 328, 538, 353, 394, 354, 422, 1052, 480, 431, 185, 322, 414, 313, 1144, 255, 2211, 191, 320, 1018, 426, 408, 567, 430, 348, 518, 175, 363, 807, 717, 118, 518, 361, 321, 359, 575, 476, 852, 334, 238, 653, 324, 384, 442, 202, 573, 370, 348, 169, 405, 665, 151]"
6,"[442, 769, 373, 331, 251, 369, 496, 624, 356, 1396, 682, 689, 320, 370, 359, 314, 322, 262, 284, 363, 271, 682, 324, 333, 557, 345, 379, 394, 432, 996, 457, 429, 176, 343, 441, 307, 1252, 272, 2045, 206, 340, 978, 443, 407, 521, 434, 341, 499, 189, 369, 767, 701, 116, 488, 364, 313, 386, 560, 454, 806, 332, 242, 636, 330, 402, 452, 185, 563, 349, 352, 168, 413, 680, 162]"
7,"[418, 789, 404, 343, 262, 394, 488, 604, 371, 1331, 710, 662, 334, 379, 360, 318, 357, 284, 269, 369, 268, 729, 323, 346, 571, 347, 385, 401, 467, 966, 446, 429, 171, 354, 432, 318, 1346, 277, 1898, 219, 341, 921, 441, 425, 488, 434, 360, 463, 192, 370, 744, 676, 107, 470, 353, 298, 396, 560, 446, 773, 328, 244, 639, 337, 413, 453, 174, 551, 337, 366, 161, 401, 696, 171]"
8,"[398, 822, 426, 356, 277, 387, 466, 572, 383, 1250, 711, 635, 348, 397, 362, 313, 364, 299, 268, 360, 264, 776, 323, 364, 571, 339, 406, 421, 478, 904, 448, 405, 164, 381, 439, 333, 1447, 306, 1774, 229, 349, 869, 455, 431, 453, 451, 355, 429, 194, 384, 711, 659, 107, 465, 359, 283, 419, 546, 434, 747, 322, 257, 610, 355, 421, 457, 164, 549, 342, 376, 172, 404, 693, 179]"
9,"[366, 824, 430, 358, 274, 375, 451, 553, 388, 1199, 704, 631, 351, 406, 360, 334, 381, 305, 255, 370, 269, 808, 328, 385, 582, 352, 379, 436, 494, 873, 457, 391, 162, 387, 450, 341, 1521, 315, 1686, 229, 362, 811, 454, 438, 422, 460, 376, 409, 211, 404, 691, 643, 104, 465, 359, 266, 444, 527, 411, 721, 313, 262, 589, 375, 414, 452, 153, 544, 359, 388, 167, 401, 697, 186]"
