,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-27, 21, 40, 29, -3, 27, 7, -19, 21, -119, 26, -28, 22, 9, 23, 14, 33, 30, -2, 24, 16, 41, 3, 43, 18, 45, 11, 37, 48, -90, -5, -22, -1, 28, 20, 47, 27, 19, -239, 27, 31, -78, 6, 12, -62, 9, 18, -42, 14, 25, -59, -22, -10, -23, 13, -28, 14, -13, -11, -51, -7, 8, -1, 23, 4, 17, -11, -12, 4, 19, -9, 0, -1, 22]","[515, 542, 179, 254, 238, 290, 612, 693, 311, 1818, 559, 835, 229, 264, 290, 278, 236, 142, 329, 262, 271, 421, 278, 164, 488, 331, 380, 231, 372, 1348, 474, 450, 242, 298, 327, 300, 835, 134, 2998, 133, 208, 1338, 365, 378, 766, 388, 325, 688, 134, 309, 937, 809, 137, 557, 399, 372, 214, 671, 506, 1026, 338, 224, 609, 212, 349, 420, 276, 649, 415, 261, 155, 351, 670, 89]","[8, 10, 0, 2, 2, 2, 5, 5, 1, 15, 6, 3, 1, 3, 1, 1, 3, 0, 2, 1, 2, 3, 4, 3, 2, 5, 2, 3, 6, 10, 6, 3, 2, 3, 1, 4, 2, 1, 25, 0, 2, 9, 4, 3, 8, 3, 1, 13, 4, 3, 8, 5, 2, 5, 1, 5, 7, 5, 5, 9, 3, 1, 5, 4, 1, 4, 3, 4, 4, 1, 1, 0, 5, 0]",34896
2,"[5, 5, 1, 2, 2, 2, 6, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 3, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-44, 32, 70, 47, -5, 43, -11, -18, 35, -240, 56, -67, 50, 21, 29, 29, 42, 51, -11, 26, 24, 122, 0, 75, 30, 70, 21, 79, 85, -187, -6, -37, -18, 43, 39, 82, 73, 48, -456, 61, 59, -147, 20, 7, -118, 17, 27, -91, 30, 56, -97, -52, -14, -15, 20, -49, 35, -23, -8, -114, 6, 15, 3, 45, 26, 35, -24, -30, 0, 51, -11, 10, -8, 56]","[501, 555, 210, 272, 238, 306, 593, 695, 328, 1702, 588, 799, 256, 277, 294, 291, 244, 163, 320, 263, 277, 500, 273, 196, 498, 356, 391, 273, 406, 1256, 473, 432, 225, 311, 346, 337, 879, 162, 2785, 168, 234, 1274, 379, 373, 708, 397, 336, 640, 149, 342, 900, 780, 134, 565, 406, 347, 235, 665, 508, 962, 351, 233, 614, 236, 374, 438, 263, 628, 414, 291, 152, 357, 665, 120]","[2, 3, 0, 2, 0, 2, 7, 5, 0, 13, 6, 5, 3, 1, 4, 4, 3, 1, 3, 3, 4, 6, 4, 1, 6, 3, 2, 2, 6, 8, 4, 7, 2, 4, 3, 1, 10, 2, 25, 0, 4, 8, 3, 3, 9, 2, 1, 5, 2, 1, 8, 7, 0, 5, 3, 7, 2, 2, 6, 11, 3, 0, 5, 0, 0, 4, 2, 9, 1, 4, 2, 7, 4, 3]",34909
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 5, 2, 1, 4, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 8, 1, 27, 1, 2, 12, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-63, 63, 108, 60, 3, 34, -16, -33, 33, -340, 65, -100, 70, 47, 34, 35, 69, 78, -15, 48, 32, 148, 5, 115, 48, 85, 25, 93, 111, -246, -11, -56, -26, 59, 57, 105, 147, 71, -640, 91, 85, -203, 43, 13, -170, 30, 41, -136, 44, 81, -133, -75, -23, -31, 4, -66, 52, -34, -11, -162, 10, 26, 6, 71, 39, 43, -43, -43, 10, 57, -3, 24, -7, 68]","[484, 586, 248, 284, 244, 295, 587, 677, 326, 1598, 598, 768, 276, 301, 299, 296, 270, 191, 315, 286, 286, 526, 277, 234, 517, 370, 395, 288, 432, 1200, 465, 415, 219, 325, 364, 358, 948, 186, 2608, 197, 259, 1222, 400, 379, 650, 412, 351, 593, 158, 366, 863, 754, 125, 546, 386, 326, 249, 656, 504, 914, 356, 246, 617, 261, 383, 445, 243, 616, 426, 295, 159, 374, 665, 133]","[3, 5, 2, 3, 4, 5, 6, 9, 3, 21, 4, 5, 2, 4, 2, 3, 3, 0, 4, 1, 1, 5, 3, 3, 3, 4, 3, 1, 4, 9, 7, 2, 0, 5, 3, 5, 13, 0, 20, 2, 3, 8, 5, 3, 13, 1, 2, 8, 6, 4, 10, 10, 1, 8, 8, 7, 5, 4, 6, 9, 2, 0, 6, 3, 7, 5, 3, 5, 2, 4, 2, 0, 7, 0]",34871
4,"[4, 5, 2, 2, 2, 2, 5, 6, 3, 15, 5, 7, 2, 3, 2, 2, 2, 1, 3, 2, 2, 5, 2, 2, 5, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 9, 1, 26, 1, 2, 12, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-81, 84, 132, 64, 7, 48, -44, -37, 53, -417, 88, -113, 86, 53, 54, 42, 95, 97, -21, 58, 31, 196, 2, 149, 44, 97, 21, 117, 134, -306, -17, -60, -30, 70, 50, 135, 203, 92, -817, 117, 103, -278, 56, 38, -225, 25, 66, -164, 65, 107, -162, -94, -27, -44, 7, -72, 68, -64, -2, -183, 0, 32, -16, 110, 50, 41, -49, -43, 2, 72, -5, 35, -12, 87]","[464, 603, 273, 287, 249, 308, 553, 668, 347, 1521, 618, 749, 292, 309, 318, 296, 297, 208, 307, 294, 286, 574, 276, 268, 515, 379, 392, 311, 456, 1143, 458, 410, 214, 336, 360, 389, 1006, 205, 2435, 222, 276, 1145, 414, 401, 598, 407, 374, 563, 179, 392, 826, 736, 122, 534, 388, 319, 264, 624, 514, 896, 348, 251, 594, 298, 394, 437, 234, 615, 418, 310, 157, 383, 660, 152]","[6, 9, 1, 3, 1, 3, 11, 11, 2, 15, 8, 13, 2, 1, 3, 9, 1, 3, 5, 4, 1, 5, 0, 2, 3, 6, 2, 3, 3, 9, 5, 5, 3, 3, 0, 2, 7, 3, 22, 2, 3, 14, 3, 6, 3, 4, 5, 7, 1, 3, 16, 6, 0, 4, 4, 4, 3, 8, 4, 6, 1, 3, 7, 4, 3, 10, 5, 7, 4, 2, 1, 5, 6, 1]",34819
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 6, 7, 2, 3, 3, 2, 2, 2, 3, 2, 2, 5, 2, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 10, 2, 24, 2, 2, 11, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 8, 3, 2, 5, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-94, 105, 160, 81, 21, 73, -59, -35, 72, -497, 94, -138, 105, 66, 54, 45, 123, 124, -25, 68, 37, 244, -4, 185, 31, 114, 20, 156, 163, -355, -24, -68, -36, 89, 55, 147, 275, 115, -965, 132, 119, -346, 62, 52, -263, 23, 64, -193, 88, 115, -199, -134, -27, -60, 2, -85, 79, -89, -13, -210, 0, 49, -15, 129, 60, 51, -67, -43, -12, 90, -6, 38, -11, 98]","[448, 624, 299, 305, 260, 331, 537, 668, 367, 1437, 622, 719, 311, 317, 317, 298, 325, 232, 302, 303, 293, 616, 267, 304, 506, 396, 391, 348, 480, 1093, 451, 398, 209, 354, 360, 401, 1074, 230, 2293, 234, 289, 1077, 422, 416, 561, 407, 374, 534, 202, 398, 790, 693, 123, 520, 381, 304, 276, 596, 500, 868, 347, 268, 591, 317, 403, 447, 214, 611, 401, 328, 157, 386, 662, 162]","[7, 6, 4, 1, 5, 5, 6, 8, 2, 19, 8, 12, 2, 8, 4, 3, 2, 5, 4, 3, 1, 11, 5, 2, 1, 3, 3, 5, 9, 12, 4, 8, 1, 4, 8, 3, 14, 0, 18, 5, 5, 11, 2, 3, 4, 2, 1, 5, 1, 5, 7, 10, 0, 3, 5, 5, 1, 9, 8, 9, 4, 2, 9, 2, 4, 4, 4, 10, 7, 3, 0, 3, 5, 2]",34745
6,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 14, 6, 7, 3, 3, 3, 2, 3, 2, 3, 3, 2, 6, 2, 3, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 3, 4, 10, 2, 22, 2, 2, 10, 4, 4, 5, 4, 3, 5, 2, 3, 7, 6, 1, 5, 3, 3, 2, 5, 5, 8, 3, 2, 5, 3, 4, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-106, 143, 188, 82, 39, 104, -59, -44, 82, -566, 89, -134, 125, 77, 49, 61, 125, 152, -23, 89, 52, 282, 3, 203, 47, 128, 30, 181, 182, -418, -40, -88, -42, 106, 50, 150, 338, 126, -1109, 147, 141, -403, 79, 44, -306, 49, 62, -220, 104, 127, -247, -162, -33, -65, 6, -117, 109, -97, -21, -242, -9, 66, -16, 136, 62, 56, -79, -68, -4, 117, -12, 43, -16, 115]","[437, 663, 326, 307, 275, 360, 538, 655, 373, 1368, 614, 725, 331, 330, 314, 313, 325, 260, 305, 325, 306, 656, 273, 323, 524, 410, 399, 373, 501, 1028, 436, 379, 204, 370, 354, 402, 1132, 241, 2150, 249, 310, 1018, 439, 408, 515, 432, 372, 508, 219, 412, 733, 667, 118, 513, 383, 270, 301, 587, 490, 841, 338, 284, 591, 326, 406, 453, 202, 586, 407, 356, 152, 390, 655, 178]","[3, 5, 3, 2, 5, 5, 4, 10, 7, 14, 9, 5, 3, 1, 1, 3, 5, 2, 2, 2, 4, 4, 3, 2, 3, 3, 5, 3, 2, 12, 3, 2, 1, 4, 4, 6, 15, 2, 21, 2, 3, 12, 4, 4, 8, 5, 3, 4, 1, 1, 16, 4, 0, 7, 5, 5, 7, 6, 7, 3, 3, 3, 4, 1, 3, 3, 2, 6, 6, 2, 0, 4, 8, 2]",34714
7,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 13, 6, 7, 3, 3, 3, 3, 3, 2, 3, 3, 3, 6, 2, 3, 5, 4, 3, 3, 5, 10, 4, 3, 2, 3, 3, 4, 11, 2, 21, 2, 3, 10, 4, 4, 5, 4, 3, 5, 2, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 5, 3, 4, 4, 2, 5, 4, 3, 1, 3, 6, 1]","[-112, 163, 212, 96, 52, 127, -75, -62, 94, -628, 89, -154, 136, 100, 51, 47, 137, 159, -26, 110, 56, 337, 10, 222, 48, 144, 33, 202, 190, -466, -43, -91, -53, 113, 65, 161, 402, 138, -1259, 159, 154, -439, 83, 60, -348, 60, 71, -251, 111, 134, -270, -184, -43, -63, 10, -129, 128, -114, -26, -272, -8, 75, -12, 149, 69, 63, -96, -71, -9, 126, -6, 50, -20, 134]","[432, 681, 348, 322, 284, 382, 524, 634, 384, 1303, 614, 700, 341, 354, 318, 298, 338, 267, 303, 342, 309, 711, 280, 341, 527, 420, 397, 393, 507, 983, 433, 376, 194, 376, 366, 411, 1190, 250, 1993, 261, 324, 976, 441, 428, 472, 442, 381, 478, 226, 420, 705, 641, 109, 511, 384, 255, 319, 568, 486, 808, 338, 292, 595, 339, 411, 461, 186, 580, 406, 364, 157, 394, 650, 198]","[3, 8, 5, 2, 6, 4, 3, 9, 4, 16, 6, 12, 4, 2, 1, 4, 2, 2, 2, 7, 4, 6, 2, 4, 3, 10, 8, 4, 7, 7, 4, 3, 1, 4, 6, 6, 17, 5, 28, 2, 2, 16, 6, 0, 6, 5, 3, 4, 2, 3, 12, 10, 0, 9, 6, 5, 4, 7, 3, 11, 4, 3, 5, 3, 6, 3, 1, 8, 0, 4, 2, 6, 7, 0]",34632
8,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 13, 6, 7, 3, 3, 3, 2, 3, 2, 3, 3, 3, 7, 2, 3, 5, 4, 3, 3, 5, 9, 4, 3, 1, 3, 3, 4, 11, 2, 19, 2, 3, 9, 4, 4, 4, 4, 3, 4, 2, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 5, 3, 4, 4, 1, 5, 4, 3, 1, 3, 6, 1]","[-119, 177, 231, 112, 62, 127, -72, -78, 94, -665, 107, -184, 140, 107, 49, 51, 141, 177, -31, 108, 55, 365, 17, 256, 47, 146, 43, 214, 193, -520, -68, -94, -54, 137, 69, 174, 459, 146, -1376, 174, 171, -477, 108, 64, -384, 68, 64, -282, 119, 141, -281, -212, -49, -58, -3, -146, 156, -122, -22, -297, -6, 90, -9, 159, 79, 60, -101, -84, -2, 134, -3, 74, -18, 152]","[425, 689, 365, 340, 290, 382, 529, 617, 381, 1264, 626, 668, 346, 359, 316, 299, 341, 282, 297, 338, 309, 738, 286, 375, 525, 424, 409, 404, 507, 929, 407, 373, 191, 397, 365, 425, 1247, 258, 1872, 272, 341, 934, 464, 431, 438, 448, 376, 444, 234, 426, 697, 612, 104, 515, 370, 237, 345, 558, 489, 783, 336, 304, 596, 349, 424, 457, 178, 565, 416, 372, 159, 412, 646, 217]","[4, 12, 5, 1, 6, 3, 3, 7, 6, 15, 12, 9, 2, 5, 3, 5, 4, 5, 4, 5, 2, 8, 3, 3, 6, 2, 1, 4, 8, 9, 5, 3, 3, 6, 8, 3, 11, 2, 23, 6, 3, 13, 6, 5, 2, 6, 1, 7, 2, 5, 4, 7, 0, 6, 4, 3, 5, 7, 5, 8, 7, 5, 7, 3, 1, 5, 4, 7, 1, 3, 2, 9, 12, 0]",34544
9,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 12, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 3, 7, 2, 3, 5, 4, 4, 4, 5, 9, 4, 3, 1, 3, 3, 4, 12, 2, 18, 2, 3, 9, 4, 4, 4, 4, 3, 4, 2, 4, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 3, 5, 3, 4, 4, 1, 5, 4, 3, 1, 4, 6, 2]","[-133, 207, 247, 114, 72, 130, -79, -91, 106, -694, 121, -178, 152, 110, 56, 68, 161, 199, -38, 119, 62, 381, 11, 267, 67, 172, 54, 208, 202, -557, -67, -100, -54, 152, 84, 192, 524, 154, -1505, 184, 183, -515, 120, 61, -425, 55, 73, -311, 118, 142, -308, -231, -53, -63, 1, -155, 168, -145, -24, -324, 11, 80, 2, 170, 89, 63, -116, -99, -14, 146, 4, 74, -22, 165]","[411, 715, 377, 343, 298, 381, 521, 604, 390, 1231, 638, 664, 354, 359, 322, 310, 359, 302, 290, 346, 318, 754, 277, 386, 543, 450, 419, 399, 508, 890, 406, 366, 188, 412, 377, 443, 1295, 267, 1733, 283, 351, 894, 473, 421, 397, 433, 379, 414, 231, 426, 666, 590, 100, 510, 374, 225, 355, 536, 482, 750, 349, 295, 607, 359, 434, 460, 160, 550, 408, 381, 165, 413, 642, 229]","[4, 10, 7, 2, 4, 7, 6, 6, 6, 16, 8, 16, 7, 6, 4, 8, 5, 4, 2, 6, 1, 7, 5, 3, 7, 4, 5, 3, 13, 11, 6, 4, 4, 3, 6, 4, 29, 1, 28, 1, 5, 11, 7, 11, 4, 6, 9, 5, 4, 5, 10, 9, 1, 5, 3, 5, 5, 4, 9, 13, 7, 2, 5, 4, 4, 4, 4, 5, 0, 6, 2, 3, 6, 3]",34388
