,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-30, 42, 45, 17, 18, 25, -29, -1, 20, -147, 32, -68, 37, 17, 28, 28, 25, 31, -14, 25, 5, 71, 6, 64, 17, 14, 0, 47, 44, -72, -12, -9, -17, 24, 34, 32, 66, 37, -237, 28, 40, -82, 15, 5, -68, 5, 9, -72, 10, 31, -48, -36, -9, -14, -4, -20, 24, -11, -14, -64, -3, -5, 12, 48, 3, -4, -19, -6, -5, 26, 8, -3, -15, 23]","[517, 571, 184, 241, 260, 288, 575, 706, 310, 1796, 565, 790, 243, 273, 294, 289, 228, 140, 315, 258, 261, 450, 282, 186, 488, 303, 367, 243, 370, 1364, 469, 461, 228, 294, 338, 288, 873, 151, 2992, 133, 218, 1329, 376, 372, 761, 386, 317, 669, 133, 315, 951, 795, 138, 564, 380, 380, 230, 672, 500, 1019, 344, 210, 623, 239, 347, 397, 269, 649, 409, 267, 171, 347, 654, 89]","[3, 2, 0, 3, 1, 2, 6, 10, 1, 9, 6, 8, 2, 2, 2, 4, 3, 3, 4, 6, 1, 4, 3, 2, 1, 2, 4, 1, 4, 12, 4, 5, 0, 3, 4, 1, 3, 2, 33, 1, 1, 14, 2, 2, 7, 1, 0, 2, 1, 3, 5, 5, 2, 7, 3, 5, 1, 6, 8, 3, 1, 2, 4, 2, 2, 6, 2, 10, 1, 2, 2, 1, 7, 1]",34904
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 17, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 3, 2, 6, 4, 2, 1, 3, 6, 0]","[-67, 62, 94, 30, 17, 48, -44, -48, 48, -247, 51, -116, 57, 42, 39, 21, 58, 54, -19, 61, 10, 125, 10, 110, 27, 29, 5, 100, 70, -140, -8, -29, -30, 28, 53, 54, 147, 54, -448, 47, 67, -172, 37, 25, -130, 18, 22, -117, 18, 43, -93, -57, -12, -22, -9, -39, 46, -15, -24, -109, 4, 2, 29, 95, 13, 17, -33, -34, -24, 49, 4, 12, -1, 35]","[478, 588, 231, 250, 260, 308, 564, 660, 338, 1703, 581, 744, 262, 298, 306, 282, 262, 162, 308, 293, 263, 504, 283, 232, 499, 316, 372, 297, 393, 1300, 473, 438, 213, 297, 354, 308, 954, 166, 2785, 152, 244, 1245, 396, 395, 696, 396, 328, 625, 141, 325, 911, 771, 135, 555, 373, 361, 253, 667, 490, 978, 353, 216, 642, 283, 359, 416, 255, 622, 394, 292, 167, 362, 663, 100]","[7, 8, 3, 6, 1, 5, 1, 6, 3, 10, 8, 5, 3, 2, 1, 2, 1, 2, 5, 3, 5, 4, 5, 1, 3, 5, 3, 1, 6, 9, 4, 7, 4, 3, 6, 4, 8, 3, 25, 1, 3, 7, 5, 0, 10, 6, 5, 5, 1, 5, 4, 10, 1, 6, 5, 3, 1, 7, 5, 6, 1, 3, 4, 5, 1, 5, 2, 5, 0, 0, 1, 3, 11, 1]",34886
3,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 2, 3, 2, 2, 1, 3, 2, 2, 5, 2, 2, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 3, 9, 1, 27, 1, 2, 12, 3, 3, 6, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-73, 106, 127, 50, 25, 76, -60, -69, 40, -311, 65, -134, 71, 57, 46, 41, 65, 69, -33, 76, 22, 163, 29, 164, 24, 48, 12, 117, 93, -210, -8, -43, -43, 42, 82, 71, 206, 86, -639, 71, 110, -259, 41, 37, -185, 36, 48, -148, 25, 69, -141, -79, -11, -40, -3, -58, 68, -38, -34, -158, -3, 24, 24, 110, 40, 13, -55, -48, -36, 55, 7, 22, 2, 44]","[472, 631, 266, 271, 270, 336, 547, 637, 328, 1645, 598, 728, 275, 310, 314, 301, 271, 177, 292, 308, 274, 545, 303, 282, 497, 336, 376, 313, 415, 1232, 471, 425, 200, 311, 383, 327, 1019, 199, 2591, 175, 285, 1153, 402, 406, 643, 413, 355, 593, 145, 352, 864, 752, 134, 535, 376, 341, 274, 644, 480, 933, 346, 236, 631, 299, 384, 410, 234, 608, 382, 299, 170, 373, 666, 109]","[4, 6, 0, 1, 0, 3, 6, 8, 5, 11, 2, 5, 3, 5, 2, 3, 0, 1, 5, 2, 3, 2, 1, 6, 3, 2, 6, 3, 4, 11, 6, 3, 2, 2, 3, 1, 3, 0, 30, 2, 4, 17, 1, 4, 4, 4, 2, 7, 4, 2, 8, 4, 3, 7, 6, 4, 3, 6, 4, 5, 3, 4, 12, 1, 5, 6, 1, 6, 3, 1, 1, 2, 6, 1]",34878
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 3, 2, 1, 2, 3, 2, 5, 3, 2, 4, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 3, 10, 1, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-86, 160, 143, 59, 22, 94, -90, -85, 43, -403, 85, -167, 102, 86, 46, 35, 94, 92, -42, 84, 34, 209, 38, 185, 31, 41, 12, 168, 116, -272, 8, -66, -48, 61, 111, 88, 280, 106, -814, 88, 131, -305, 65, 49, -226, 46, 43, -182, 41, 82, -178, -103, -15, -32, -3, -71, 89, -57, -57, -199, -5, 32, 33, 120, 58, 20, -60, -78, -41, 80, 0, 18, 2, 55]","[459, 686, 284, 280, 265, 353, 516, 623, 334, 1561, 615, 695, 306, 338, 313, 297, 300, 201, 284, 314, 286, 591, 310, 303, 504, 331, 377, 364, 439, 1174, 486, 404, 196, 328, 412, 347, 1092, 220, 2420, 191, 305, 1105, 425, 418, 596, 421, 349, 557, 161, 366, 829, 725, 129, 543, 373, 326, 297, 627, 459, 890, 345, 244, 638, 306, 396, 416, 227, 578, 377, 326, 162, 369, 666, 120]","[4, 5, 0, 2, 4, 4, 6, 4, 0, 8, 8, 7, 2, 4, 4, 1, 2, 0, 1, 5, 2, 5, 5, 2, 4, 1, 2, 3, 3, 8, 5, 2, 1, 5, 3, 0, 11, 0, 21, 2, 3, 13, 5, 4, 12, 6, 4, 7, 1, 2, 6, 10, 2, 5, 6, 5, 0, 4, 2, 11, 2, 2, 8, 5, 9, 5, 4, 6, 3, 0, 2, 3, 6, 1]",34870
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 3, 3, 4, 11, 4, 4, 1, 3, 4, 3, 10, 2, 24, 1, 3, 11, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 8, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-95, 200, 169, 67, 27, 123, -113, -100, 49, -480, 102, -208, 116, 94, 56, 34, 108, 114, -55, 93, 36, 240, 39, 207, 27, 78, 12, 201, 151, -336, 8, -74, -49, 78, 129, 89, 377, 130, -981, 102, 159, -373, 51, 52, -254, 57, 67, -207, 49, 93, -198, -127, -18, -36, -3, -90, 118, -70, -68, -218, -14, 37, 28, 143, 70, 30, -71, -100, -50, 100, -10, 30, -3, 61]","[450, 723, 309, 288, 270, 378, 492, 608, 339, 1480, 635, 653, 320, 345, 326, 293, 316, 223, 269, 321, 289, 612, 310, 326, 499, 369, 377, 395, 476, 1109, 483, 396, 194, 346, 431, 347, 1185, 243, 2250, 202, 334, 1040, 411, 421, 561, 428, 372, 532, 170, 373, 804, 699, 127, 541, 373, 305, 326, 616, 448, 867, 336, 248, 633, 329, 408, 426, 217, 557, 370, 347, 152, 383, 658, 127]","[4, 9, 3, 2, 2, 7, 6, 6, 4, 19, 3, 7, 3, 4, 0, 5, 1, 2, 4, 5, 1, 15, 4, 2, 6, 2, 3, 5, 2, 12, 7, 4, 2, 2, 3, 4, 14, 3, 27, 4, 2, 8, 4, 4, 12, 8, 4, 5, 0, 7, 13, 9, 0, 3, 3, 5, 2, 4, 4, 12, 3, 3, 6, 3, 3, 4, 1, 4, 1, 2, 1, 1, 9, 0]",34816
6,"[4, 7, 3, 2, 2, 3, 4, 6, 3, 14, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 6, 3, 3, 4, 3, 3, 3, 4, 11, 4, 3, 1, 3, 4, 3, 11, 2, 22, 2, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 8, 6, 1, 5, 3, 3, 3, 6, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-108, 226, 191, 77, 27, 129, -121, -124, 67, -547, 98, -240, 131, 122, 72, 55, 130, 139, -61, 99, 37, 282, 57, 240, 33, 91, 15, 221, 171, -370, 10, -90, -54, 88, 157, 110, 489, 149, -1131, 114, 181, -426, 60, 39, -287, 71, 68, -238, 62, 93, -219, -148, -27, -43, -11, -100, 133, -82, -77, -271, -21, 36, 15, 171, 64, 34, -77, -113, -54, 123, -9, 34, -27, 65]","[439, 737, 329, 297, 270, 381, 484, 581, 356, 1416, 630, 616, 337, 373, 344, 313, 335, 247, 262, 328, 287, 650, 328, 360, 507, 381, 376, 412, 497, 1077, 485, 381, 187, 353, 459, 368, 1294, 262, 2093, 211, 355, 988, 416, 405, 529, 436, 373, 503, 184, 371, 781, 679, 116, 530, 364, 288, 340, 605, 438, 814, 328, 249, 622, 356, 402, 430, 208, 544, 364, 370, 154, 387, 633, 132]","[2, 19, 5, 3, 2, 6, 4, 9, 4, 11, 7, 11, 1, 3, 1, 3, 6, 3, 3, 2, 5, 10, 3, 2, 2, 4, 7, 6, 3, 9, 4, 2, 3, 6, 4, 3, 14, 2, 29, 5, 4, 9, 8, 7, 4, 10, 3, 3, 0, 5, 10, 5, 3, 9, 4, 10, 4, 5, 5, 8, 4, 0, 4, 4, 4, 4, 5, 5, 5, 3, 0, 3, 7, 0]",34737
7,"[4, 7, 3, 2, 2, 3, 4, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 6, 3, 3, 5, 3, 3, 4, 4, 10, 4, 3, 1, 3, 4, 3, 12, 2, 20, 2, 3, 9, 4, 4, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 2, 3, 6, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-119, 257, 212, 87, 29, 147, -126, -140, 66, -613, 107, -250, 137, 117, 89, 47, 137, 168, -65, 109, 41, 340, 60, 250, 49, 89, 21, 245, 178, -414, 16, -106, -68, 115, 169, 109, 568, 156, -1261, 122, 192, -476, 80, 45, -332, 71, 79, -254, 68, 108, -241, -156, -29, -59, 3, -116, 153, -109, -80, -313, -28, 48, 13, 180, 74, 44, -89, -121, -61, 145, -7, 27, -2, 68]","[421, 771, 350, 306, 271, 396, 477, 563, 354, 1353, 630, 609, 340, 362, 363, 305, 343, 275, 258, 334, 287, 703, 330, 370, 523, 378, 382, 437, 504, 1036, 491, 363, 174, 381, 473, 366, 1374, 269, 1959, 220, 361, 938, 437, 412, 486, 435, 385, 486, 188, 389, 751, 667, 113, 516, 375, 273, 360, 576, 434, 767, 320, 258, 616, 359, 408, 437, 196, 538, 356, 392, 157, 378, 655, 136]","[11, 4, 3, 3, 3, 6, 6, 7, 4, 11, 15, 3, 6, 9, 1, 3, 2, 3, 2, 7, 6, 11, 4, 3, 5, 4, 3, 3, 4, 7, 4, 5, 0, 2, 2, 4, 11, 2, 24, 1, 8, 9, 3, 3, 3, 5, 2, 6, 3, 0, 15, 10, 2, 3, 6, 1, 3, 8, 5, 13, 4, 5, 10, 9, 8, 7, 2, 3, 4, 3, 0, 5, 9, 0]",34656
8,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 7, 3, 3, 5, 3, 3, 4, 5, 10, 4, 3, 1, 3, 4, 3, 13, 2, 19, 2, 3, 9, 4, 4, 4, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-129, 265, 236, 98, 36, 158, -141, -158, 65, -642, 109, -257, 150, 122, 92, 49, 149, 196, -71, 118, 48, 381, 58, 261, 58, 87, 15, 264, 191, -478, -7, -111, -72, 137, 180, 123, 674, 176, -1364, 137, 212, -528, 96, 47, -365, 71, 79, -290, 69, 129, -284, -182, -37, -72, 14, -128, 189, -145, -82, -348, -25, 55, 6, 198, 87, 61, -101, -124, -57, 142, -8, 38, 6, 74]","[410, 771, 370, 313, 276, 404, 462, 543, 355, 1325, 624, 600, 351, 367, 365, 307, 353, 303, 252, 342, 294, 737, 324, 378, 531, 375, 373, 456, 519, 970, 469, 358, 170, 401, 477, 383, 1475, 288, 1847, 234, 381, 887, 450, 416, 451, 435, 382, 444, 189, 408, 704, 641, 106, 503, 378, 260, 394, 539, 431, 723, 323, 266, 603, 377, 423, 454, 183, 536, 356, 387, 155, 388, 663, 139]","[5, 15, 7, 7, 4, 6, 4, 7, 1, 12, 14, 8, 5, 3, 4, 3, 5, 2, 2, 4, 2, 14, 7, 6, 6, 4, 6, 4, 3, 12, 3, 3, 1, 5, 11, 0, 18, 3, 28, 3, 3, 8, 7, 2, 6, 4, 6, 10, 1, 5, 11, 6, 0, 5, 11, 3, 5, 6, 5, 16, 3, 1, 12, 3, 2, 4, 2, 4, 7, 5, 2, 4, 6, 4]",34527
9,"[4, 7, 3, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 2, 3, 2, 7, 3, 3, 5, 3, 3, 4, 5, 9, 4, 3, 1, 4, 4, 3, 14, 2, 18, 2, 3, 8, 4, 4, 4, 4, 3, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-131, 290, 245, 119, 30, 173, -149, -178, 62, -663, 130, -265, 158, 134, 92, 47, 156, 214, -74, 135, 40, 416, 64, 289, 72, 86, 25, 264, 195, -537, 4, -113, -76, 150, 191, 122, 778, 180, -1489, 138, 226, -562, 108, 44, -394, 69, 81, -301, 78, 137, -313, -206, -40, -82, 3, -131, 212, -171, -88, -360, -38, 45, 22, 201, 96, 73, -116, -133, -61, 149, -11, 46, 8, 85]","[406, 787, 377, 332, 270, 414, 452, 518, 350, 1302, 643, 586, 360, 378, 368, 305, 359, 320, 242, 358, 281, 765, 333, 404, 545, 377, 383, 454, 521, 909, 476, 355, 167, 415, 485, 381, 1573, 290, 1717, 233, 391, 852, 461, 407, 422, 435, 382, 436, 193, 417, 670, 616, 100, 491, 363, 257, 415, 508, 422, 709, 310, 255, 611, 376, 434, 467, 168, 525, 348, 391, 151, 391, 660, 151]","[6, 16, 5, 5, 2, 9, 6, 10, 5, 15, 8, 12, 2, 4, 0, 3, 4, 4, 9, 4, 7, 14, 0, 5, 5, 0, 3, 6, 7, 11, 8, 4, 0, 3, 7, 4, 20, 4, 23, 4, 7, 9, 5, 10, 4, 2, 5, 1, 6, 3, 12, 7, 4, 7, 7, 2, 5, 10, 7, 9, 3, 3, 14, 7, 2, 3, 1, 7, 7, 6, 2, 8, 11, 0]",34376
