0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[517, 571, 184, 241, 260, 288, 575, 706, 310, 1796, 565, 790, 243, 273, 294, 289, 228, 140, 315, 258, 261, 450, 282, 186, 488, 303, 367, 243, 370, 1364, 469, 461, 228, 294, 338, 288, 873, 151, 2992, 133, 218, 1329, 376, 372, 761, 386, 317, 669, 133, 315, 951, 795, 138, 564, 380, 380, 230, 672, 500, 1019, 344, 210, 623, 239, 347, 397, 269, 649, 409, 267, 171, 347, 654, 89]"
2,"[478, 588, 231, 250, 260, 308, 564, 660, 338, 1703, 581, 744, 262, 298, 306, 282, 262, 162, 308, 293, 263, 504, 283, 232, 499, 316, 372, 297, 393, 1300, 473, 438, 213, 297, 354, 308, 954, 166, 2785, 152, 244, 1245, 396, 395, 696, 396, 328, 625, 141, 325, 911, 771, 135, 555, 373, 361, 253, 667, 490, 978, 353, 216, 642, 283, 359, 416, 255, 622, 394, 292, 167, 362, 663, 100]"
3,"[472, 631, 266, 271, 270, 336, 547, 637, 328, 1645, 598, 728, 275, 310, 314, 301, 271, 177, 292, 308, 274, 545, 303, 282, 497, 336, 376, 313, 415, 1232, 471, 425, 200, 311, 383, 327, 1019, 199, 2591, 175, 285, 1153, 402, 406, 643, 413, 355, 593, 145, 352, 864, 752, 134, 535, 376, 341, 274, 644, 480, 933, 346, 236, 631, 299, 384, 410, 234, 608, 382, 299, 170, 373, 666, 109]"
4,"[459, 686, 284, 280, 265, 353, 516, 623, 334, 1561, 615, 695, 306, 338, 313, 297, 300, 201, 284, 314, 286, 591, 310, 303, 504, 331, 377, 364, 439, 1174, 486, 404, 196, 328, 412, 347, 1092, 220, 2420, 191, 305, 1105, 425, 418, 596, 421, 349, 557, 161, 366, 829, 725, 129, 543, 373, 326, 297, 627, 459, 890, 345, 244, 638, 306, 396, 416, 227, 578, 377, 326, 162, 369, 666, 120]"
5,"[450, 723, 309, 288, 270, 378, 492, 608, 339, 1480, 635, 653, 320, 345, 326, 293, 316, 223, 269, 321, 289, 612, 310, 326, 499, 369, 377, 395, 476, 1109, 483, 396, 194, 346, 431, 347, 1185, 243, 2250, 202, 334, 1040, 411, 421, 561, 428, 372, 532, 170, 373, 804, 699, 127, 541, 373, 305, 326, 616, 448, 867, 336, 248, 633, 329, 408, 426, 217, 557, 370, 347, 152, 383, 658, 127]"
6,"[439, 737, 329, 297, 270, 381, 484, 581, 356, 1416, 630, 616, 337, 373, 344, 313, 335, 247, 262, 328, 287, 650, 328, 360, 507, 381, 376, 412, 497, 1077, 485, 381, 187, 353, 459, 368, 1294, 262, 2093, 211, 355, 988, 416, 405, 529, 436, 373, 503, 184, 371, 781, 679, 116, 530, 364, 288, 340, 605, 438, 814, 328, 249, 622, 356, 402, 430, 208, 544, 364, 370, 154, 387, 633, 132]"
7,"[421, 771, 350, 306, 271, 396, 477, 563, 354, 1353, 630, 609, 340, 362, 363, 305, 343, 275, 258, 334, 287, 703, 330, 370, 523, 378, 382, 437, 504, 1036, 491, 363, 174, 381, 473, 366, 1374, 269, 1959, 220, 361, 938, 437, 412, 486, 435, 385, 486, 188, 389, 751, 667, 113, 516, 375, 273, 360, 576, 434, 767, 320, 258, 616, 359, 408, 437, 196, 538, 356, 392, 157, 378, 655, 136]"
8,"[410, 771, 370, 313, 276, 404, 462, 543, 355, 1325, 624, 600, 351, 367, 365, 307, 353, 303, 252, 342, 294, 737, 324, 378, 531, 375, 373, 456, 519, 970, 469, 358, 170, 401, 477, 383, 1475, 288, 1847, 234, 381, 887, 450, 416, 451, 435, 382, 444, 189, 408, 704, 641, 106, 503, 378, 260, 394, 539, 431, 723, 323, 266, 603, 377, 423, 454, 183, 536, 356, 387, 155, 388, 663, 139]"
9,"[406, 787, 377, 332, 270, 414, 452, 518, 350, 1302, 643, 586, 360, 378, 368, 305, 359, 320, 242, 358, 281, 765, 333, 404, 545, 377, 383, 454, 521, 909, 476, 355, 167, 415, 485, 381, 1573, 290, 1717, 233, 391, 852, 461, 407, 422, 435, 382, 436, 193, 417, 670, 616, 100, 491, 363, 257, 415, 508, 422, 709, 310, 255, 611, 376, 434, 467, 168, 525, 348, 391, 151, 391, 660, 151]"
10,"[381, 822, 401, 351, 266, 433, 452, 515, 363, 1255, 649, 583, 381, 393, 371, 294, 364, 335, 225, 367, 289, 798, 333, 429, 550, 383, 378, 452, 538, 854, 467, 350, 164, 422, 468, 373, 1654, 306, 1622, 246, 402, 798, 474, 424, 396, 438, 390, 409, 196, 423, 658, 593, 95, 474, 375, 235, 431, 489, 412, 665, 309, 273, 594, 383, 444, 480, 159, 517, 340, 389, 146, 400, 637, 161]"
11,"[363, 801, 412, 353, 274, 436, 441, 504, 362, 1206, 651, 556, 401, 397, 381, 310, 386, 329, 219, 366, 294, 806, 324, 431, 566, 382, 380, 469, 564, 811, 467, 352, 167, 432, 474, 373, 1772, 319, 1496, 259, 405, 766, 482, 440, 351, 440, 400, 399, 197, 430, 638, 559, 95, 471, 359, 226, 431, 467, 396, 631, 291, 261, 586, 396, 440, 475, 153, 510, 326, 416, 147, 408, 647, 164]"
12,"[351, 809, 427, 349, 278, 430, 434, 500, 355, 1148, 664, 542, 421, 408, 386, 317, 394, 338, 216, 367, 291, 825, 319, 440, 579, 371, 384, 463, 582, 784, 458, 354, 175, 454, 479, 378, 1890, 334, 1403, 263, 402, 716, 495, 437, 327, 427, 401, 375, 197, 448, 619, 538, 95, 452, 354, 212, 444, 444, 392, 582, 290, 255, 578, 406, 442, 474, 150, 505, 314, 422, 145, 407, 648, 168]"
13,"[340, 830, 439, 349, 277, 418, 427, 491, 354, 1114, 674, 542, 430, 407, 383, 316, 399, 332, 211, 384, 292, 870, 325, 459, 577, 370, 387, 476, 579, 759, 440, 346, 173, 462, 497, 376, 1974, 338, 1313, 255, 418, 679, 496, 435, 304, 424, 402, 349, 205, 459, 597, 520, 94, 457, 340, 209, 450, 428, 393, 551, 278, 258, 561, 406, 445, 476, 140, 496, 303, 427, 147, 388, 653, 167]"
14,"[330, 839, 442, 335, 281, 419, 414, 477, 349, 1088, 670, 529, 437, 397, 375, 328, 415, 334, 212, 398, 293, 874, 325, 470, 561, 375, 390, 485, 573, 719, 434, 336, 169, 450, 495, 368, 2099, 339, 1235, 252, 430, 637, 499, 435, 281, 425, 397, 340, 203, 470, 570, 511, 90, 454, 327, 200, 467, 403, 378, 539, 272, 249, 545, 399, 449, 483, 139, 488, 297, 445, 142, 392, 669, 176]"
15,"[313, 862, 453, 342, 283, 408, 394, 467, 350, 1033, 667, 530, 433, 396, 384, 345, 431, 333, 208, 392, 285, 887, 314, 473, 581, 369, 376, 494, 575, 693, 425, 323, 161, 437, 489, 362, 2202, 354, 1167, 263, 430, 604, 516, 436, 261, 427, 399, 320, 206, 483, 556, 494, 86, 458, 317, 194, 470, 394, 373, 528, 256, 253, 521, 412, 436, 482, 133, 469, 286, 446, 138, 403, 661, 171]"
16,"[298, 871, 479, 342, 284, 403, 380, 459, 351, 1001, 676, 512, 437, 396, 386, 334, 436, 325, 204, 399, 277, 890, 313, 486, 595, 371, 381, 488, 565, 669, 419, 317, 164, 426, 489, 366, 2311, 367, 1095, 259, 438, 576, 503, 443, 246, 423, 386, 303, 209, 472, 537, 479, 85, 447, 314, 186, 480, 387, 355, 518, 244, 255, 504, 408, 442, 467, 126, 462, 283, 450, 142, 407, 674, 174]"
17,"[287, 880, 483, 348, 274, 397, 372, 444, 355, 955, 667, 498, 443, 409, 381, 336, 433, 324, 201, 382, 272, 869, 312, 478, 610, 368, 397, 484, 571, 646, 425, 310, 156, 427, 496, 369, 2427, 365, 1029, 259, 441, 550, 504, 455, 232, 421, 391, 285, 214, 466, 515, 464, 83, 428, 294, 176, 480, 381, 350, 501, 242, 252, 495, 413, 435, 452, 125, 442, 278, 452, 142, 406, 689, 173]"
18,"[282, 860, 486, 352, 283, 396, 374, 428, 352, 919, 669, 491, 447, 410, 361, 340, 430, 332, 186, 385, 268, 884, 312, 484, 597, 362, 396, 473, 570, 613, 416, 298, 151, 432, 486, 350, 2508, 361, 975, 254, 455, 524, 510, 457, 214, 432, 381, 277, 215, 462, 501, 453, 80, 431, 287, 178, 491, 369, 335, 500, 252, 259, 481, 427, 437, 445, 125, 430, 278, 456, 147, 394, 661, 176]"
19,"[271, 861, 483, 350, 274, 397, 360, 419, 358, 889, 662, 475, 439, 401, 348, 329, 423, 330, 189, 402, 265, 913, 311, 509, 597, 351, 398, 481, 590, 590, 424, 295, 142, 428, 485, 348, 2580, 361, 919, 251, 451, 502, 500, 447, 190, 452, 385, 267, 216, 458, 491, 430, 75, 431, 282, 169, 483, 357, 311, 482, 247, 261, 468, 425, 427, 438, 122, 424, 273, 449, 153, 384, 658, 175]"
20,"[263, 879, 488, 356, 275, 387, 356, 412, 351, 837, 677, 462, 442, 394, 339, 319, 425, 320, 180, 416, 257, 932, 317, 519, 592, 360, 399, 483, 579, 587, 428, 278, 136, 423, 484, 337, 2651, 360, 859, 255, 444, 470, 501, 443, 179, 455, 366, 256, 210, 462, 471, 414, 70, 405, 279, 160, 478, 344, 299, 471, 245, 265, 458, 416, 408, 444, 120, 414, 266, 444, 147, 379, 665, 170]"
21,"[253, 890, 490, 352, 268, 377, 343, 400, 351, 816, 667, 424, 431, 403, 327, 308, 413, 333, 176, 419, 262, 933, 318, 514, 587, 367, 407, 480, 577, 570, 415, 272, 133, 432, 489, 313, 2737, 353, 827, 256, 450, 451, 490, 453, 167, 460, 357, 246, 203, 451, 455, 412, 66, 395, 274, 152, 478, 335, 302, 467, 245, 280, 431, 415, 405, 438, 115, 415, 267, 445, 137, 365, 664, 177]"
22,"[251, 878, 480, 346, 274, 361, 338, 381, 342, 770, 654, 401, 441, 386, 325, 305, 419, 342, 159, 408, 254, 933, 319, 511, 584, 388, 396, 491, 579, 553, 404, 273, 127, 414, 498, 302, 2784, 351, 780, 272, 440, 426, 495, 447, 160, 471, 355, 239, 203, 443, 439, 401, 66, 392, 266, 151, 471, 327, 294, 458, 244, 257, 419, 413, 410, 431, 110, 414, 275, 448, 131, 358, 657, 180]"
23,"[240, 857, 480, 353, 273, 360, 331, 376, 333, 739, 675, 387, 448, 383, 327, 308, 412, 338, 159, 407, 245, 932, 327, 516, 577, 371, 387, 491, 572, 513, 406, 256, 125, 403, 491, 294, 2874, 373, 729, 272, 448, 416, 484, 450, 151, 478, 358, 232, 215, 433, 417, 383, 60, 377, 260, 151, 470, 326, 277, 444, 233, 252, 412, 413, 423, 421, 112, 395, 261, 437, 127, 348, 663, 186]"
24,"[234, 878, 484, 353, 275, 366, 328, 368, 321, 712, 661, 390, 442, 383, 323, 296, 419, 324, 161, 406, 241, 915, 327, 518, 537, 359, 397, 494, 563, 497, 405, 252, 116, 401, 478, 294, 2964, 355, 689, 267, 447, 414, 482, 430, 143, 461, 357, 235, 212, 424, 412, 382, 51, 370, 251, 139, 469, 312, 263, 431, 224, 242, 394, 421, 409, 432, 106, 383, 270, 430, 134, 338, 665, 183]"
25,"[224, 874, 483, 339, 272, 354, 324, 344, 319, 697, 660, 387, 447, 382, 317, 290, 419, 316, 149, 400, 251, 905, 312, 533, 546, 353, 396, 477, 551, 472, 400, 237, 115, 413, 468, 292, 3044, 362, 652, 264, 451, 386, 489, 409, 134, 463, 347, 232, 202, 414, 398, 359, 49, 360, 247, 136, 467, 304, 256, 408, 206, 242, 380, 422, 408, 439, 100, 374, 262, 440, 137, 335, 676, 180]"
26,"[213, 871, 491, 347, 261, 353, 323, 337, 314, 681, 658, 376, 456, 381, 301, 275, 423, 316, 146, 395, 245, 910, 315, 517, 529, 338, 392, 471, 530, 455, 396, 232, 111, 416, 467, 290, 3092, 341, 620, 259, 450, 360, 499, 404, 119, 452, 349, 236, 202, 413, 384, 342, 54, 353, 239, 129, 470, 287, 251, 387, 209, 242, 366, 401, 410, 425, 95, 373, 266, 438, 136, 331, 681, 180]"
