,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-33, 44, 43, 25, 14, 31, -20, -13, 18, -106, 30, -40, 19, 14, 9, 3, 22, 23, -10, 23, 9, 62, 19, 41, 19, 13, -7, 43, 32, -61, -2, -11, -14, 24, 31, 8, 55, 36, -248, 30, 31, -103, 17, 22, -59, 14, 17, -66, 12, 37, -38, -39, -4, -1, -6, -21, 30, -3, -10, -45, 2, 9, 9, 18, 12, 6, -22, -19, -19, 31, -7, 12, -11, 19]","[514, 571, 182, 251, 255, 295, 584, 694, 303, 1836, 563, 822, 226, 270, 274, 268, 226, 133, 318, 259, 265, 441, 298, 165, 487, 304, 363, 239, 356, 1382, 480, 460, 230, 293, 332, 264, 858, 152, 2989, 133, 207, 1314, 374, 389, 765, 393, 323, 671, 135, 320, 955, 790, 144, 581, 378, 380, 235, 678, 511, 1038, 348, 225, 620, 210, 355, 411, 266, 644, 392, 274, 156, 361, 659, 85]","[3, 4, 0, 1, 2, 1, 6, 10, 6, 10, 6, 4, 1, 2, 3, 0, 2, 2, 5, 3, 1, 4, 0, 0, 4, 0, 1, 1, 6, 5, 3, 4, 1, 4, 7, 1, 7, 0, 25, 3, 3, 8, 6, 2, 12, 3, 2, 6, 1, 4, 11, 7, 1, 3, 3, 4, 2, 8, 1, 3, 2, 1, 4, 1, 3, 2, 2, 2, 4, 0, 2, 2, 6, 1]",34922
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-50, 90, 87, 40, 22, 59, -40, -23, 36, -196, 70, -78, 36, 38, 35, 11, 45, 43, -13, 41, 11, 122, 33, 85, 43, 30, 7, 91, 50, -162, -3, -35, -23, 33, 58, 29, 109, 69, -463, 64, 54, -190, 43, 35, -123, 24, 29, -125, 19, 53, -57, -71, -14, -9, -11, -50, 54, -35, -22, -95, 7, 13, 9, 25, 41, 16, -38, -41, -36, 58, -3, 18, -10, 31]","[500, 618, 226, 268, 261, 320, 559, 682, 322, 1746, 600, 788, 245, 292, 301, 276, 248, 154, 314, 274, 267, 497, 311, 209, 512, 321, 379, 288, 375, 1286, 477, 430, 221, 300, 359, 283, 911, 185, 2775, 168, 227, 1222, 396, 404, 702, 399, 335, 614, 142, 338, 936, 760, 133, 573, 371, 351, 260, 645, 496, 986, 354, 231, 618, 218, 385, 422, 249, 623, 375, 298, 159, 369, 659, 97]","[2, 4, 1, 0, 4, 5, 10, 8, 2, 18, 8, 4, 0, 4, 1, 2, 3, 0, 4, 5, 2, 8, 3, 1, 3, 3, 1, 1, 2, 8, 6, 10, 2, 4, 3, 4, 9, 1, 28, 0, 5, 18, 7, 1, 6, 7, 3, 4, 1, 1, 9, 5, 2, 5, 5, 3, 1, 7, 8, 12, 2, 0, 8, 1, 2, 3, 3, 5, 3, 5, 2, 1, 7, 0]",34895
3,"[5, 6, 2, 2, 2, 3, 5, 6, 3, 17, 6, 7, 2, 2, 3, 2, 2, 1, 3, 2, 2, 4, 3, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 9, 1, 27, 1, 2, 12, 3, 4, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-90, 109, 114, 64, 27, 67, -62, -41, 68, -296, 78, -104, 70, 55, 54, 8, 67, 67, -13, 50, 14, 188, 42, 142, 45, 46, 6, 125, 69, -253, 1, -42, -25, 60, 93, 44, 173, 96, -669, 84, 77, -239, 54, 43, -169, 38, 44, -166, 29, 78, -90, -98, -18, -17, -19, -73, 68, -43, -36, -120, 6, 21, 8, 38, 45, 11, -55, -51, -33, 78, -4, 25, -13, 50]","[457, 632, 253, 289, 265, 326, 539, 657, 353, 1646, 608, 763, 278, 308, 322, 275, 271, 178, 313, 283, 269, 558, 320, 263, 515, 335, 379, 324, 395, 1199, 481, 422, 217, 325, 392, 297, 974, 211, 2570, 187, 247, 1179, 408, 415, 658, 410, 351, 576, 152, 361, 904, 738, 128, 566, 358, 321, 272, 636, 480, 959, 351, 241, 618, 232, 391, 419, 231, 616, 379, 315, 157, 375, 654, 116]","[8, 11, 2, 5, 3, 5, 3, 13, 4, 17, 6, 6, 3, 3, 1, 0, 1, 1, 4, 2, 3, 9, 3, 5, 4, 5, 2, 0, 2, 8, 4, 5, 4, 5, 5, 3, 10, 2, 26, 2, 5, 6, 2, 1, 5, 6, 2, 3, 1, 5, 8, 2, 2, 4, 8, 10, 4, 7, 6, 11, 5, 0, 5, 1, 1, 2, 3, 3, 2, 5, 2, 4, 8, 0]",34863
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 6, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 5, 3, 2, 5, 3, 3, 3, 3, 11, 4, 4, 2, 3, 3, 2, 9, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-106, 152, 139, 81, 29, 99, -75, -54, 62, -382, 99, -150, 88, 72, 60, 19, 81, 83, -14, 76, 19, 235, 68, 174, 65, 58, 25, 153, 79, -312, 3, -46, -32, 74, 114, 51, 235, 108, -831, 106, 89, -312, 78, 51, -206, 39, 63, -204, 34, 83, -146, -123, -29, -24, -6, -90, 91, -63, -42, -156, -4, 39, 12, 63, 58, 29, -61, -77, -35, 92, -5, 8, -12, 61]","[442, 677, 280, 301, 268, 359, 526, 648, 347, 1564, 632, 720, 292, 322, 329, 285, 285, 194, 311, 307, 273, 603, 347, 295, 533, 346, 398, 353, 403, 1145, 484, 419, 212, 338, 411, 303, 1035, 222, 2411, 208, 260, 1107, 428, 424, 622, 414, 369, 538, 153, 364, 841, 715, 117, 557, 368, 302, 297, 614, 471, 920, 338, 257, 626, 256, 401, 436, 225, 591, 376, 330, 156, 359, 654, 125]","[3, 4, 0, 7, 1, 2, 5, 2, 3, 12, 3, 4, 6, 6, 2, 3, 2, 1, 4, 4, 3, 7, 2, 2, 7, 4, 3, 2, 5, 6, 3, 3, 0, 4, 5, 3, 10, 3, 22, 2, 1, 10, 8, 3, 5, 1, 4, 5, 5, 5, 16, 5, 1, 7, 6, 5, 0, 8, 7, 12, 6, 4, 2, 3, 6, 5, 2, 5, 4, 2, 1, 2, 7, 3]",34839
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 6, 7, 2, 3, 3, 2, 2, 1, 3, 3, 2, 6, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 10, 2, 24, 2, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-123, 183, 184, 102, 27, 105, -99, -69, 65, -438, 116, -186, 118, 68, 71, 26, 102, 106, -28, 86, 28, 316, 78, 201, 85, 63, 26, 177, 96, -380, 4, -64, -40, 73, 118, 71, 295, 137, -1002, 112, 127, -379, 85, 51, -259, 33, 65, -237, 44, 101, -181, -133, -29, -32, 6, -102, 131, -75, -64, -198, 4, 50, 23, 89, 59, 52, -77, -88, -58, 106, -1, 10, -7, 74]","[424, 707, 324, 323, 266, 363, 501, 636, 350, 1506, 650, 682, 323, 317, 341, 291, 305, 214, 299, 316, 283, 684, 356, 321, 556, 351, 400, 376, 422, 1083, 485, 401, 205, 338, 416, 322, 1096, 249, 2243, 215, 296, 1039, 439, 425, 566, 409, 369, 502, 162, 379, 799, 709, 118, 545, 377, 288, 331, 596, 441, 877, 344, 267, 637, 277, 401, 461, 209, 579, 350, 340, 161, 363, 655, 139]","[5, 7, 3, 2, 2, 5, 6, 3, 3, 17, 5, 9, 1, 4, 2, 3, 3, 4, 1, 4, 1, 6, 4, 3, 2, 3, 2, 4, 2, 5, 4, 4, 1, 2, 3, 4, 9, 4, 21, 1, 4, 12, 0, 3, 9, 3, 5, 8, 2, 6, 15, 3, 0, 9, 6, 5, 8, 12, 12, 10, 5, 3, 6, 7, 5, 2, 2, 6, 6, 7, 0, 1, 10, 0]",34790
6,"[4, 7, 3, 3, 2, 3, 5, 6, 3, 15, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 6, 3, 3, 5, 3, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 10, 2, 22, 2, 2, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-129, 218, 209, 107, 41, 115, -118, -93, 78, -518, 136, -209, 136, 91, 75, 32, 106, 129, -37, 89, 23, 387, 78, 217, 72, 75, 26, 203, 110, -439, 5, -79, -39, 86, 126, 76, 355, 157, -1137, 130, 157, -439, 83, 48, -312, 56, 85, -247, 59, 112, -216, -160, -29, -55, 10, -115, 164, -85, -68, -222, -4, 54, 7, 106, 67, 53, -94, -89, -67, 127, -3, 33, 12, 82]","[414, 745, 345, 326, 278, 375, 484, 611, 363, 1426, 669, 657, 338, 340, 342, 294, 309, 237, 290, 321, 276, 752, 355, 337, 539, 359, 398, 402, 437, 1018, 484, 383, 205, 350, 427, 326, 1156, 270, 2101, 231, 326, 975, 439, 423, 508, 432, 390, 490, 177, 387, 757, 679, 119, 521, 375, 273, 363, 589, 434, 855, 332, 271, 618, 292, 410, 459, 190, 578, 338, 362, 159, 387, 669, 147]","[8, 4, 7, 5, 4, 1, 3, 7, 3, 15, 7, 8, 6, 3, 6, 5, 3, 2, 2, 1, 4, 9, 4, 3, 9, 7, 6, 3, 3, 16, 6, 7, 3, 4, 1, 4, 10, 1, 29, 4, 2, 14, 2, 3, 10, 4, 2, 7, 1, 6, 14, 10, 0, 6, 9, 4, 4, 2, 7, 6, 7, 2, 9, 4, 3, 7, 4, 5, 6, 2, 1, 2, 11, 1]",34694
7,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 14, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 7, 3, 3, 5, 3, 3, 4, 4, 10, 4, 3, 2, 3, 4, 3, 11, 2, 21, 2, 3, 9, 4, 4, 5, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 2, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-141, 236, 250, 110, 48, 127, -126, -110, 75, -590, 147, -222, 130, 103, 86, 31, 127, 149, -47, 108, 20, 450, 63, 256, 87, 86, 44, 235, 135, -492, 5, -82, -36, 93, 122, 79, 420, 183, -1268, 137, 177, -497, 97, 66, -358, 65, 80, -274, 67, 152, -249, -195, -35, -64, 16, -123, 187, -108, -70, -267, -13, 60, -4, 123, 89, 52, -107, -112, -74, 141, 0, 44, 18, 88]","[401, 766, 387, 330, 286, 388, 475, 594, 361, 1355, 680, 650, 334, 353, 353, 293, 332, 255, 280, 337, 273, 813, 341, 376, 551, 370, 412, 433, 463, 969, 482, 380, 207, 354, 424, 329, 1222, 295, 1968, 239, 343, 919, 454, 437, 461, 438, 380, 461, 184, 426, 724, 647, 109, 512, 378, 266, 386, 563, 431, 802, 320, 277, 605, 304, 435, 456, 175, 546, 331, 375, 161, 399, 674, 151]","[5, 4, 2, 2, 1, 2, 5, 6, 2, 13, 6, 0, 1, 2, 3, 2, 1, 4, 2, 6, 2, 9, 2, 3, 8, 3, 7, 5, 3, 6, 6, 3, 3, 6, 3, 3, 10, 3, 23, 1, 6, 7, 3, 8, 6, 7, 8, 6, 2, 4, 7, 3, 5, 5, 6, 1, 3, 8, 5, 16, 6, 2, 8, 7, 1, 6, 3, 14, 3, 4, 2, 2, 7, 3]",34641
8,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 8, 3, 3, 5, 3, 4, 4, 4, 9, 4, 3, 2, 3, 4, 3, 12, 2, 19, 2, 3, 9, 4, 4, 4, 4, 3, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-151, 265, 278, 107, 44, 136, -138, -126, 79, -662, 161, -233, 158, 112, 100, 34, 143, 170, -42, 112, 29, 515, 70, 276, 99, 85, 41, 246, 169, -551, -10, -90, -42, 97, 126, 78, 471, 197, -1398, 137, 186, -538, 106, 82, -394, 71, 95, -295, 83, 165, -280, -212, -35, -64, 17, -128, 194, -125, -58, -294, -19, 63, -2, 141, 90, 44, -117, -118, -79, 145, 1, 46, 28, 109]","[391, 791, 415, 322, 276, 395, 457, 579, 363, 1289, 695, 633, 360, 362, 368, 292, 347, 274, 279, 342, 280, 873, 347, 394, 557, 367, 411, 437, 495, 907, 468, 370, 200, 358, 426, 325, 1271, 311, 1833, 238, 351, 872, 463, 449, 424, 443, 392, 436, 201, 438, 688, 625, 107, 513, 379, 259, 392, 545, 444, 776, 312, 279, 607, 320, 434, 450, 163, 537, 324, 379, 162, 401, 683, 172]","[4, 11, 3, 8, 8, 5, 10, 4, 5, 7, 5, 12, 5, 3, 2, 6, 4, 4, 8, 2, 4, 13, 4, 5, 11, 5, 2, 11, 6, 12, 3, 5, 3, 3, 6, 6, 14, 0, 24, 3, 4, 15, 4, 8, 5, 5, 6, 8, 0, 5, 12, 11, 3, 4, 3, 4, 4, 6, 3, 7, 5, 3, 6, 5, 6, 2, 3, 8, 5, 3, 1, 3, 7, 1]",34518
9,"[3, 7, 4, 3, 2, 3, 4, 5, 3, 12, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 8, 3, 3, 5, 3, 4, 4, 4, 9, 4, 3, 2, 3, 4, 3, 12, 3, 18, 2, 3, 8, 4, 4, 4, 4, 3, 4, 2, 4, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-160, 303, 302, 133, 52, 161, -164, -139, 86, -723, 176, -247, 166, 121, 94, 47, 156, 197, -53, 125, 29, 548, 83, 300, 105, 105, 28, 253, 186, -590, -16, -96, -49, 111, 129, 82, 531, 211, -1500, 146, 208, -577, 111, 80, -421, 61, 107, -322, 93, 176, -308, -220, -44, -77, 15, -136, 208, -139, -70, -335, -19, 59, -18, 164, 97, 48, -126, -132, -86, 151, -5, 61, 58, 109]","[380, 825, 438, 349, 282, 419, 430, 566, 366, 1221, 708, 620, 368, 373, 363, 304, 362, 302, 265, 350, 279, 902, 362, 418, 561, 386, 398, 434, 513, 870, 461, 365, 190, 372, 429, 330, 1326, 325, 1720, 246, 372, 826, 464, 444, 396, 435, 402, 407, 210, 451, 660, 619, 99, 503, 374, 251, 406, 527, 435, 737, 311, 271, 588, 342, 437, 452, 153, 524, 317, 387, 155, 417, 708, 171]","[5, 11, 5, 2, 4, 4, 5, 5, 7, 19, 8, 5, 3, 1, 2, 3, 1, 1, 5, 8, 3, 12, 1, 3, 7, 4, 4, 14, 3, 7, 5, 2, 5, 3, 4, 2, 17, 3, 29, 3, 4, 15, 8, 7, 5, 2, 5, 6, 3, 2, 6, 4, 0, 2, 6, 2, 3, 9, 1, 5, 4, 6, 9, 4, 8, 6, 2, 4, 3, 1, 2, 3, 11, 2]",34429
