,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-14, 66, 39, 19, 5, 27, -16, -27, 17, -122, 29, -45, 17, 29, 13, 6, 23, 32, -17, 35, 8, 80, 7, 49, 6, 15, 0, 36, 49, -79, -3, -10, -8, 29, 29, 11, 18, 16, -229, 20, 19, -79, 28, 23, -62, 10, 18, -49, 10, 25, -34, -5, -5, -16, -7, -22, 14, -25, -20, -51, -27, 10, 25, 31, 15, 12, -16, -19, -13, 29, -1, 12, -6, 16]","[530, 594, 178, 243, 246, 288, 589, 685, 306, 1813, 561, 817, 225, 286, 278, 269, 228, 142, 312, 273, 262, 459, 282, 173, 473, 305, 368, 231, 376, 1356, 480, 455, 237, 300, 336, 265, 824, 131, 3007, 126, 198, 1337, 387, 388, 766, 392, 324, 692, 134, 306, 964, 826, 143, 566, 375, 377, 219, 661, 498, 1031, 319, 226, 632, 223, 358, 418, 273, 645, 400, 269, 162, 361, 662, 82]","[6, 3, 0, 3, 2, 4, 5, 5, 2, 17, 7, 4, 0, 1, 3, 2, 1, 2, 4, 1, 3, 4, 4, 0, 5, 1, 3, 2, 3, 13, 2, 10, 0, 2, 1, 3, 4, 1, 26, 0, 0, 9, 4, 4, 8, 0, 2, 2, 0, 6, 6, 5, 1, 3, 5, 6, 2, 3, 4, 4, 2, 1, 8, 1, 3, 1, 1, 1, 2, 3, 2, 2, 8, 1]",34923
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 30, 1, 1, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-26, 89, 85, 29, 5, 67, -25, -51, 27, -229, 49, -65, 42, 51, 35, 16, 47, 53, -10, 64, 5, 136, 20, 105, 21, 24, 18, 75, 64, -174, -12, -26, -17, 52, 57, 26, 53, 32, -435, 39, 36, -156, 34, 34, -115, 40, 29, -84, 23, 41, -53, -32, -8, -18, -17, -53, 20, -55, -34, -106, -20, 20, 35, 47, 50, 34, -40, -42, -29, 51, -3, 18, -2, 39]","[521, 614, 224, 254, 244, 328, 581, 662, 316, 1713, 581, 799, 250, 309, 298, 279, 251, 164, 320, 304, 260, 516, 294, 227, 484, 313, 383, 270, 390, 1258, 470, 436, 229, 320, 366, 280, 858, 147, 2796, 146, 216, 1266, 390, 401, 715, 419, 333, 658, 143, 321, 946, 800, 139, 565, 359, 343, 224, 633, 485, 979, 325, 235, 638, 240, 392, 437, 251, 624, 385, 293, 159, 364, 671, 104]","[2, 8, 1, 1, 4, 2, 4, 5, 3, 11, 5, 6, 2, 1, 4, 2, 3, 0, 2, 0, 1, 3, 3, 3, 8, 4, 6, 2, 4, 16, 5, 7, 1, 6, 1, 2, 9, 1, 35, 0, 0, 7, 6, 1, 5, 6, 5, 5, 5, 4, 8, 7, 2, 4, 9, 6, 3, 4, 3, 7, 4, 3, 10, 1, 4, 7, 0, 4, 3, 0, 2, 6, 1, 1]",34908
3,"[5, 6, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 2, 2, 1, 3, 3, 2, 5, 2, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 3, 4, 7, 4, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-48, 120, 116, 46, 5, 104, -41, -71, 31, -312, 75, -95, 59, 58, 43, 28, 77, 78, -13, 84, 9, 205, 35, 141, 31, 59, 10, 104, 88, -254, -9, -47, -36, 71, 62, 35, 109, 60, -628, 56, 49, -225, 41, 41, -157, 54, 53, -139, 36, 72, -85, -63, -14, -40, -20, -74, 56, -76, -46, -145, -9, 25, 28, 72, 64, 44, -65, -47, -34, 68, -6, 45, 9, 43]","[496, 646, 254, 273, 243, 362, 562, 638, 322, 1636, 607, 763, 268, 319, 305, 292, 282, 187, 316, 321, 263, 588, 311, 264, 493, 349, 376, 296, 415, 1175, 473, 412, 207, 340, 373, 289, 908, 173, 2608, 164, 231, 1190, 399, 406, 672, 437, 356, 605, 157, 349, 913, 772, 132, 540, 356, 318, 259, 608, 470, 944, 335, 240, 631, 266, 406, 447, 227, 622, 378, 308, 156, 392, 679, 108]","[8, 5, 3, 0, 3, 6, 8, 10, 1, 11, 5, 13, 1, 0, 3, 1, 1, 3, 4, 6, 3, 2, 0, 1, 5, 2, 2, 5, 2, 15, 4, 7, 5, 2, 1, 2, 14, 3, 22, 0, 0, 19, 1, 6, 8, 0, 4, 4, 0, 6, 10, 5, 2, 8, 3, 7, 3, 10, 7, 5, 4, 2, 6, 1, 3, 4, 1, 3, 5, 4, 1, 2, 9, 1]",34878
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 6, 7, 2, 3, 3, 2, 2, 1, 3, 3, 2, 5, 3, 2, 4, 3, 3, 2, 4, 11, 4, 4, 2, 3, 3, 2, 9, 1, 26, 1, 2, 11, 3, 4, 6, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-65, 155, 156, 56, 6, 124, -53, -105, 66, -391, 91, -126, 90, 83, 57, 25, 102, 103, -17, 82, 8, 281, 55, 175, 35, 77, 15, 134, 116, -311, 4, -63, -38, 98, 70, 59, 171, 76, -828, 83, 69, -323, 40, 42, -206, 58, 76, -183, 46, 81, -113, -83, -19, -65, -24, -81, 77, -84, -57, -201, -16, 44, 32, 96, 74, 58, -75, -58, -31, 79, -6, 45, -5, 57]","[479, 681, 295, 285, 244, 381, 547, 604, 358, 1556, 624, 730, 300, 342, 319, 287, 308, 213, 312, 319, 261, 666, 329, 294, 496, 369, 381, 326, 441, 1123, 486, 396, 203, 364, 378, 310, 968, 189, 2405, 192, 250, 1096, 399, 409, 627, 442, 380, 558, 165, 358, 888, 754, 128, 513, 350, 313, 279, 598, 455, 886, 330, 259, 639, 288, 419, 461, 218, 614, 381, 316, 153, 389, 665, 123]","[4, 6, 1, 0, 2, 4, 8, 6, 2, 17, 5, 9, 1, 5, 3, 4, 1, 0, 3, 3, 3, 3, 5, 6, 5, 1, 3, 2, 6, 6, 4, 4, 4, 6, 6, 5, 11, 1, 29, 0, 3, 7, 2, 2, 2, 3, 2, 9, 3, 3, 6, 5, 0, 7, 5, 1, 3, 8, 8, 11, 1, 2, 2, 4, 1, 4, 1, 3, 3, 6, 4, 6, 6, 0]",34864
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 3, 2, 3, 2, 3, 3, 2, 6, 3, 2, 4, 3, 3, 3, 4, 11, 4, 3, 2, 3, 3, 3, 9, 1, 24, 1, 2, 10, 3, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 8, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-86, 188, 174, 74, 17, 135, -69, -132, 67, -456, 114, -166, 94, 95, 64, 37, 125, 130, -38, 98, 9, 335, 49, 187, 31, 82, 22, 167, 133, -378, -4, -64, -40, 130, 107, 81, 231, 102, -984, 99, 83, -387, 52, 42, -243, 76, 90, -223, 64, 107, -161, -107, -22, -76, -4, -90, 117, -102, -53, -228, -28, 57, 32, 120, 72, 73, -92, -95, -41, 112, -8, 29, 13, 61]","[456, 713, 313, 303, 251, 389, 531, 578, 360, 1490, 645, 687, 303, 351, 328, 300, 330, 241, 289, 336, 263, 715, 321, 303, 493, 374, 387, 358, 456, 1056, 481, 392, 203, 397, 412, 332, 1030, 214, 2251, 208, 266, 1026, 413, 408, 590, 464, 393, 519, 182, 384, 836, 732, 126, 498, 367, 304, 321, 579, 461, 858, 316, 271, 636, 312, 420, 470, 201, 574, 371, 348, 150, 375, 682, 127]","[6, 7, 2, 2, 6, 6, 5, 5, 2, 16, 8, 10, 4, 6, 1, 1, 4, 1, 5, 2, 1, 11, 5, 5, 3, 3, 4, 4, 6, 11, 1, 6, 0, 2, 6, 3, 7, 2, 22, 1, 0, 16, 1, 5, 6, 0, 4, 4, 2, 3, 12, 5, 0, 9, 6, 3, 0, 6, 2, 9, 5, 3, 9, 2, 1, 10, 2, 9, 3, 4, 2, 1, 7, 1]",34820
6,"[4, 7, 3, 3, 2, 3, 5, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 7, 3, 3, 4, 3, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 10, 2, 22, 2, 2, 10, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 4, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-88, 209, 186, 77, 31, 138, -80, -141, 65, -526, 148, -191, 113, 97, 72, 41, 130, 145, -48, 102, 3, 429, 54, 234, 28, 79, 26, 189, 156, -410, 0, -70, -51, 135, 125, 89, 262, 120, -1126, 115, 107, -445, 66, 49, -292, 74, 98, -249, 70, 127, -184, -122, -29, -77, 10, -107, 142, -119, -73, -258, -36, 76, 35, 134, 78, 94, -102, -114, -47, 122, -9, 42, 5, 67]","[454, 729, 325, 303, 266, 390, 518, 568, 356, 1412, 676, 664, 323, 354, 334, 302, 333, 256, 278, 340, 258, 809, 325, 349, 488, 370, 390, 380, 479, 1020, 485, 387, 191, 402, 427, 338, 1056, 231, 2096, 224, 287, 964, 430, 416, 538, 462, 398, 493, 188, 405, 816, 719, 118, 498, 379, 287, 346, 563, 440, 826, 309, 288, 639, 326, 428, 493, 191, 557, 367, 355, 150, 389, 674, 134]","[4, 12, 3, 6, 1, 5, 7, 6, 5, 22, 9, 4, 2, 2, 5, 5, 5, 2, 3, 3, 1, 7, 4, 4, 6, 4, 4, 3, 4, 14, 4, 2, 3, 3, 7, 5, 15, 3, 35, 2, 5, 14, 1, 3, 8, 4, 6, 5, 1, 2, 5, 5, 2, 3, 5, 3, 3, 4, 5, 10, 2, 4, 6, 3, 2, 2, 2, 3, 1, 6, 0, 2, 6, 0]",34759
7,"[4, 7, 3, 3, 2, 3, 5, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 8, 3, 3, 4, 3, 3, 3, 4, 10, 4, 3, 1, 4, 4, 3, 10, 2, 20, 2, 2, 9, 4, 4, 5, 4, 3, 4, 1, 4, 8, 7, 1, 4, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-105, 251, 218, 77, 42, 152, -95, -158, 77, -577, 164, -215, 135, 121, 89, 34, 120, 152, -57, 125, 15, 491, 55, 259, 45, 66, 22, 230, 173, -451, 4, -77, -57, 139, 134, 109, 331, 133, -1245, 123, 118, -506, 92, 53, -324, 67, 109, -270, 79, 122, -236, -142, -32, -80, 5, -124, 159, -126, -76, -287, -27, 66, 39, 141, 94, 95, -117, -126, -56, 122, -10, 37, 13, 79]","[435, 768, 353, 303, 276, 403, 501, 549, 366, 1364, 691, 644, 345, 376, 351, 294, 321, 265, 266, 364, 270, 868, 323, 372, 502, 359, 385, 418, 496, 978, 490, 378, 183, 404, 434, 356, 1120, 245, 1972, 233, 296, 903, 453, 416, 503, 452, 409, 470, 196, 398, 765, 697, 115, 493, 372, 269, 363, 548, 437, 796, 315, 277, 641, 330, 444, 492, 175, 545, 355, 354, 148, 384, 680, 146]","[6, 10, 7, 3, 3, 4, 7, 7, 5, 11, 7, 2, 3, 5, 3, 4, 5, 0, 5, 2, 2, 11, 6, 5, 7, 1, 4, 6, 4, 11, 3, 5, 3, 6, 6, 5, 15, 1, 25, 1, 4, 9, 7, 8, 8, 7, 3, 6, 2, 6, 7, 9, 1, 6, 5, 3, 3, 13, 4, 9, 6, 3, 8, 6, 4, 6, 2, 5, 6, 4, 2, 3, 8, 1]",34658
8,"[4, 7, 3, 3, 2, 4, 5, 5, 3, 13, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 8, 3, 3, 5, 3, 3, 4, 4, 9, 4, 3, 1, 4, 4, 3, 11, 2, 19, 2, 2, 9, 4, 4, 5, 4, 4, 4, 1, 3, 7, 6, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-131, 279, 236, 92, 35, 155, -102, -168, 91, -611, 209, -244, 159, 132, 86, 53, 129, 159, -55, 155, 12, 534, 67, 284, 59, 74, 20, 245, 191, -498, 19, -86, -61, 145, 141, 122, 403, 155, -1371, 131, 144, -543, 89, 49, -361, 76, 114, -288, 86, 120, -263, -169, -38, -80, -10, -134, 186, -146, -70, -303, -22, 68, 13, 154, 85, 78, -126, -142, -77, 142, -14, 45, 8, 84]","[408, 796, 369, 321, 269, 408, 492, 538, 382, 1328, 732, 614, 366, 390, 346, 311, 329, 273, 267, 390, 266, 910, 335, 397, 515, 363, 381, 431, 512, 929, 503, 371, 178, 410, 440, 368, 1187, 268, 1837, 242, 320, 868, 451, 412, 461, 458, 413, 451, 202, 395, 731, 670, 110, 489, 358, 257, 388, 530, 442, 774, 318, 279, 613, 341, 436, 475, 165, 527, 334, 374, 144, 394, 671, 151]","[5, 7, 5, 0, 2, 2, 7, 6, 1, 15, 10, 7, 6, 0, 5, 4, 4, 1, 3, 7, 3, 9, 3, 3, 6, 7, 5, 6, 6, 11, 6, 1, 2, 4, 5, 4, 16, 1, 28, 1, 4, 7, 3, 4, 10, 7, 5, 5, 2, 4, 14, 6, 0, 8, 2, 4, 5, 3, 5, 13, 5, 2, 8, 5, 3, 4, 2, 7, 3, 3, 1, 1, 10, 1]",34574
9,"[4, 7, 3, 3, 2, 4, 4, 5, 3, 13, 7, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 9, 3, 3, 5, 3, 3, 4, 5, 9, 5, 3, 1, 4, 4, 3, 11, 2, 18, 2, 3, 8, 4, 4, 4, 4, 4, 4, 2, 3, 7, 6, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-140, 299, 264, 100, 45, 151, -115, -191, 93, -661, 226, -249, 179, 141, 94, 51, 146, 170, -54, 153, 23, 582, 68, 311, 96, 78, 31, 261, 203, -564, 2, -93, -65, 137, 142, 122, 481, 167, -1474, 130, 161, -560, 92, 56, -397, 80, 120, -307, 92, 125, -293, -186, -28, -93, -6, -146, 210, -167, -85, -330, -26, 71, -3, 165, 83, 89, -145, -139, -80, 150, -23, 53, 32, 95]","[397, 812, 399, 328, 277, 405, 477, 514, 384, 1284, 744, 601, 386, 397, 354, 308, 344, 282, 267, 389, 277, 960, 335, 421, 553, 364, 392, 442, 524, 861, 488, 363, 172, 403, 440, 366, 1260, 279, 1733, 240, 338, 841, 454, 416, 426, 460, 419, 430, 207, 399, 700, 656, 121, 474, 362, 245, 408, 509, 424, 743, 313, 282, 598, 351, 432, 483, 146, 529, 328, 377, 136, 402, 694, 163]","[6, 11, 1, 4, 4, 3, 6, 6, 3, 7, 12, 14, 3, 5, 3, 4, 5, 4, 3, 2, 2, 7, 4, 6, 4, 6, 3, 9, 5, 11, 3, 4, 3, 3, 5, 5, 16, 3, 19, 3, 2, 18, 4, 7, 3, 6, 4, 6, 3, 4, 8, 3, 0, 6, 3, 2, 7, 5, 7, 11, 4, 2, 5, 4, 6, 7, 1, 6, 6, 8, 0, 3, 7, 0]",34488
