,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-13, 35, 45, 9, 2, 31, -22, -17, 15, -109, 20, -37, 19, 19, 6, -1, 22, 32, -14, 37, 8, 73, 8, 81, -9, 16, -3, 41, 54, -111, -4, -24, -12, 20, 25, 31, 59, 47, -274, 22, 28, -98, 26, 21, -62, 10, 14, -57, 21, 28, -48, -18, -2, -2, 6, -15, 24, -21, 1, -40, -13, 8, 11, 24, 28, 14, -15, -26, -3, 29, -3, -3, -5, 11]","[533, 562, 184, 234, 243, 295, 582, 695, 304, 1828, 556, 820, 227, 276, 273, 264, 226, 144, 318, 276, 260, 453, 282, 204, 457, 303, 367, 235, 381, 1324, 478, 448, 233, 292, 330, 285, 862, 163, 2976, 125, 207, 1317, 379, 387, 771, 388, 320, 681, 144, 313, 951, 814, 145, 579, 390, 383, 229, 659, 523, 1033, 334, 225, 623, 216, 370, 419, 274, 631, 410, 267, 161, 345, 663, 76]","[4, 4, 0, 2, 2, 1, 6, 5, 2, 15, 3, 9, 0, 1, 1, 0, 2, 0, 1, 0, 5, 3, 5, 1, 6, 4, 1, 3, 3, 13, 3, 3, 0, 1, 3, 3, 7, 0, 12, 3, 0, 10, 10, 3, 3, 4, 2, 5, 1, 2, 5, 4, 2, 4, 3, 7, 2, 9, 0, 13, 1, 0, 3, 1, 4, 2, 1, 8, 2, 5, 1, 3, 8, 2]",34925
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 2, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-35, 74, 88, 46, 14, 61, -42, -20, 17, -214, 27, -78, 43, 55, 22, -2, 61, 65, -24, 59, 14, 118, 16, 128, 6, 31, 8, 78, 82, -198, -8, -45, -24, 33, 74, 48, 106, 76, -486, 44, 55, -178, 32, 41, -119, 34, 41, -94, 38, 48, -95, -49, -7, -11, 4, -28, 52, -61, -19, -107, -8, 19, 23, 45, 33, 23, -38, -53, -17, 51, -12, 10, 1, 28]","[513, 597, 227, 272, 253, 319, 563, 691, 306, 1722, 565, 782, 251, 310, 290, 263, 267, 177, 305, 298, 264, 494, 290, 251, 474, 321, 377, 273, 409, 1239, 475, 427, 220, 307, 380, 300, 909, 190, 2770, 147, 235, 1239, 387, 407, 716, 410, 348, 642, 162, 330, 905, 783, 141, 569, 387, 366, 256, 621, 504, 967, 340, 235, 638, 238, 376, 427, 251, 606, 398, 287, 151, 359, 668, 93]","[3, 9, 1, 1, 4, 8, 4, 7, 3, 19, 3, 5, 2, 4, 1, 2, 0, 1, 6, 2, 4, 8, 2, 2, 2, 0, 4, 1, 3, 11, 3, 4, 3, 0, 2, 4, 8, 3, 23, 1, 1, 11, 1, 3, 5, 5, 2, 8, 0, 6, 8, 8, 0, 6, 4, 7, 3, 4, 4, 9, 2, 3, 3, 1, 2, 5, 2, 4, 2, 4, 2, 2, 7, 0]",34930
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 2, 2, 1, 3, 2, 2, 4, 2, 2, 4, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 9, 1, 27, 1, 2, 12, 3, 4, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-78, 116, 123, 57, 26, 84, -68, -44, 31, -307, 57, -104, 72, 65, 46, 0, 78, 84, -34, 74, 14, 195, 17, 162, 10, 37, 9, 116, 107, -265, 1, -65, -32, 51, 90, 55, 173, 105, -685, 67, 93, -250, 53, 47, -166, 44, 41, -143, 60, 91, -117, -75, -6, -9, 3, -52, 75, -87, -23, -156, -13, 34, 22, 68, 38, 45, -59, -68, -35, 67, -22, 18, -7, 49]","[467, 639, 259, 282, 261, 344, 540, 665, 322, 1630, 597, 757, 280, 320, 313, 265, 285, 195, 294, 310, 257, 568, 288, 284, 477, 327, 379, 301, 430, 1174, 486, 409, 209, 325, 393, 307, 973, 220, 2572, 169, 275, 1165, 409, 416, 663, 418, 349, 592, 183, 373, 882, 761, 142, 566, 384, 338, 277, 596, 502, 912, 336, 249, 637, 263, 383, 449, 227, 586, 382, 297, 141, 369, 660, 114]","[8, 5, 5, 3, 6, 1, 2, 8, 1, 16, 3, 6, 2, 3, 3, 2, 1, 2, 4, 5, 9, 7, 5, 3, 5, 3, 2, 12, 8, 10, 2, 2, 5, 3, 6, 3, 12, 0, 26, 2, 0, 14, 2, 1, 13, 6, 2, 7, 2, 3, 10, 3, 1, 10, 5, 7, 4, 5, 3, 15, 2, 3, 6, 0, 1, 4, 5, 11, 1, 8, 1, 1, 6, 0]",34869
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 1, 2, 3, 2, 5, 2, 2, 4, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 9, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 5, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 2, 1, 3, 6, 1]","[-101, 150, 175, 57, 39, 106, -86, -65, 42, -393, 95, -133, 94, 77, 64, 5, 102, 99, -38, 82, 21, 238, 18, 194, 23, 66, 27, 146, 137, -344, 6, -76, -33, 85, 106, 70, 212, 126, -882, 93, 119, -306, 62, 47, -209, 42, 49, -193, 59, 103, -153, -95, -13, -21, -4, -74, 110, -96, -40, -193, -20, 47, 30, 94, 55, 53, -80, -95, -52, 92, -24, 47, -3, 58]","[444, 671, 312, 280, 272, 364, 521, 642, 333, 1550, 632, 735, 302, 334, 332, 271, 310, 206, 290, 318, 265, 608, 291, 317, 490, 357, 395, 333, 455, 1095, 487, 397, 207, 355, 410, 321, 1009, 239, 2378, 195, 298, 1105, 420, 417, 617, 416, 358, 543, 183, 386, 846, 740, 134, 556, 373, 316, 310, 582, 485, 873, 330, 261, 643, 287, 397, 459, 205, 560, 365, 320, 140, 397, 667, 123]","[4, 8, 1, 4, 4, 5, 6, 8, 3, 10, 8, 0, 2, 1, 2, 1, 1, 5, 2, 3, 1, 8, 0, 1, 4, 2, 5, 1, 9, 11, 8, 5, 3, 7, 2, 4, 12, 4, 22, 1, 5, 15, 2, 3, 9, 4, 2, 4, 0, 2, 8, 8, 2, 3, 7, 3, 4, 10, 5, 11, 2, 3, 8, 4, 6, 2, 3, 4, 3, 4, 0, 4, 3, 1]",34835
5,"[4, 6, 3, 2, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 3, 2, 3, 2, 2, 3, 2, 6, 2, 3, 4, 3, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 10, 2, 23, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-123, 194, 207, 74, 40, 105, -109, -75, 57, -453, 126, -165, 125, 93, 71, 7, 123, 122, -51, 112, 32, 310, 27, 220, 43, 77, 41, 182, 154, -394, -3, -85, -37, 104, 122, 82, 276, 145, -1034, 97, 140, -365, 65, 40, -255, 45, 53, -229, 61, 117, -193, -125, -22, -57, -13, -83, 125, -113, -51, -227, -29, 58, 32, 106, 70, 61, -91, -104, -56, 110, -24, 54, -4, 65]","[423, 713, 344, 298, 271, 365, 497, 631, 350, 1486, 664, 703, 331, 349, 340, 272, 328, 229, 275, 347, 274, 677, 298, 344, 511, 367, 409, 367, 470, 1048, 480, 388, 204, 370, 424, 334, 1074, 256, 2223, 200, 317, 1043, 426, 412, 571, 421, 359, 508, 184, 400, 798, 708, 125, 515, 364, 306, 323, 565, 475, 835, 322, 272, 648, 297, 412, 464, 195, 551, 364, 339, 139, 405, 666, 128]","[3, 8, 3, 1, 4, 1, 6, 7, 1, 19, 5, 7, 5, 4, 2, 3, 6, 2, 4, 4, 4, 9, 4, 2, 3, 4, 3, 5, 6, 7, 2, 3, 1, 7, 6, 2, 9, 4, 26, 0, 4, 14, 1, 2, 6, 2, 6, 4, 2, 3, 16, 9, 1, 10, 3, 4, 5, 5, 3, 12, 2, 2, 3, 4, 3, 7, 1, 5, 0, 2, 2, 2, 6, 3]",34791
6,"[4, 7, 3, 2, 2, 3, 4, 6, 3, 14, 6, 7, 3, 3, 3, 2, 3, 2, 2, 3, 2, 6, 2, 3, 5, 3, 4, 3, 4, 10, 4, 3, 2, 3, 4, 3, 10, 2, 22, 2, 3, 10, 4, 4, 5, 4, 3, 5, 1, 4, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 2, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-132, 229, 228, 79, 32, 116, -119, -91, 62, -532, 148, -198, 161, 101, 74, 19, 139, 144, -64, 123, 50, 374, 33, 252, 61, 80, 46, 222, 194, -446, -12, -99, -46, 117, 132, 94, 327, 169, -1188, 116, 159, -426, 69, 53, -291, 46, 60, -258, 77, 139, -228, -146, -25, -71, -21, -96, 156, -121, -53, -251, -36, 66, 21, 133, 59, 70, -113, -120, -60, 115, -25, 58, -3, 68]","[412, 750, 363, 303, 260, 373, 485, 615, 356, 1404, 683, 666, 369, 357, 343, 283, 344, 249, 261, 358, 290, 741, 299, 374, 528, 366, 416, 406, 509, 999, 466, 374, 194, 376, 435, 345, 1124, 277, 2073, 216, 336, 979, 428, 427, 530, 421, 367, 477, 201, 421, 753, 692, 120, 499, 354, 294, 351, 560, 468, 812, 314, 282, 634, 322, 403, 475, 173, 535, 362, 344, 137, 409, 668, 132]","[6, 5, 5, 2, 5, 6, 6, 6, 2, 17, 9, 11, 1, 3, 3, 3, 3, 4, 3, 3, 4, 6, 7, 5, 6, 7, 2, 4, 5, 7, 9, 3, 3, 10, 3, 4, 11, 5, 18, 5, 3, 13, 6, 2, 10, 5, 2, 7, 0, 5, 17, 2, 3, 7, 5, 2, 6, 2, 9, 7, 4, 0, 9, 4, 2, 2, 1, 5, 1, 3, 2, 4, 5, 0]",34722
7,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 14, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 7, 2, 3, 5, 3, 4, 4, 5, 9, 4, 3, 1, 3, 4, 3, 11, 2, 20, 2, 3, 9, 4, 4, 5, 4, 3, 4, 2, 4, 7, 6, 1, 4, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-143, 251, 260, 96, 35, 138, -126, -99, 58, -587, 149, -213, 183, 131, 79, 28, 155, 156, -72, 138, 59, 436, 33, 279, 78, 80, 60, 234, 213, -493, -6, -103, -46, 121, 138, 95, 425, 175, -1335, 126, 166, -455, 60, 62, -335, 64, 65, -294, 76, 152, -262, -181, -33, -72, -24, -102, 171, -128, -65, -289, -34, 76, 7, 140, 68, 75, -123, -135, -69, 126, -32, 70, -9, 78]","[401, 776, 395, 319, 259, 392, 474, 606, 355, 1345, 681, 650, 388, 390, 345, 292, 362, 263, 252, 372, 298, 801, 299, 401, 544, 368, 432, 418, 526, 946, 467, 370, 193, 380, 442, 342, 1217, 285, 1919, 226, 343, 945, 415, 435, 490, 439, 371, 443, 200, 437, 717, 659, 111, 498, 349, 284, 366, 553, 456, 772, 314, 287, 617, 328, 411, 478, 161, 519, 353, 356, 129, 417, 658, 142]","[4, 3, 3, 4, 6, 6, 8, 7, 0, 18, 9, 7, 6, 0, 6, 2, 1, 0, 3, 4, 3, 9, 2, 3, 6, 1, 2, 4, 7, 15, 9, 3, 2, 3, 3, 7, 16, 0, 27, 2, 3, 14, 8, 5, 1, 4, 4, 2, 2, 1, 9, 4, 2, 4, 5, 6, 3, 5, 4, 10, 5, 7, 9, 4, 5, 6, 3, 6, 3, 2, 2, 8, 10, 1]",34644
8,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 13, 6, 6, 3, 3, 3, 2, 3, 2, 2, 3, 2, 8, 2, 4, 5, 3, 4, 4, 5, 9, 4, 3, 1, 3, 4, 3, 12, 2, 19, 2, 3, 9, 4, 4, 4, 4, 3, 4, 2, 4, 7, 6, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-152, 295, 291, 107, 38, 148, -131, -113, 72, -625, 175, -219, 194, 150, 91, 41, 154, 162, -80, 146, 60, 500, 42, 293, 83, 99, 59, 239, 213, -543, -13, -130, -53, 137, 146, 93, 484, 191, -1434, 119, 173, -505, 86, 63, -371, 72, 69, -313, 70, 156, -306, -205, -41, -68, -20, -120, 186, -137, -72, -311, -30, 66, 6, 157, 69, 80, -136, -153, -63, 150, -30, 68, -4, 85]","[393, 818, 424, 331, 261, 402, 467, 591, 371, 1306, 702, 646, 391, 408, 359, 300, 361, 270, 241, 382, 297, 864, 309, 414, 547, 386, 429, 423, 524, 899, 461, 342, 185, 392, 451, 340, 1270, 301, 1816, 216, 347, 890, 442, 436, 450, 447, 376, 424, 192, 443, 667, 637, 103, 503, 351, 266, 379, 546, 442, 747, 316, 276, 610, 343, 410, 483, 149, 502, 362, 374, 131, 416, 659, 149]","[3, 9, 5, 2, 3, 3, 6, 7, 1, 14, 11, 4, 11, 4, 1, 7, 3, 1, 5, 1, 4, 9, 1, 5, 7, 4, 6, 4, 7, 6, 3, 4, 2, 7, 3, 3, 18, 2, 23, 5, 6, 14, 3, 4, 8, 4, 2, 4, 4, 2, 13, 4, 1, 3, 5, 2, 5, 3, 11, 10, 5, 3, 12, 5, 6, 4, 0, 4, 0, 9, 1, 3, 10, 1]",34558
9,"[3, 8, 4, 3, 2, 4, 4, 5, 3, 13, 7, 6, 3, 4, 3, 3, 3, 2, 2, 3, 2, 8, 3, 4, 5, 3, 4, 4, 5, 8, 4, 3, 1, 3, 4, 3, 12, 3, 18, 2, 3, 8, 4, 4, 4, 4, 3, 4, 1, 4, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-163, 302, 312, 116, 40, 162, -138, -137, 78, -681, 198, -237, 226, 147, 111, 50, 170, 182, -80, 157, 68, 543, 53, 314, 98, 86, 58, 239, 215, -567, -7, -140, -44, 152, 151, 93, 554, 212, -1546, 127, 182, -545, 96, 68, -398, 77, 64, -348, 81, 173, -329, -230, -40, -72, -22, -131, 207, -153, -78, -330, -33, 78, -2, 168, 69, 77, -142, -173, -78, 146, -26, 76, 7, 87]","[377, 825, 446, 338, 261, 414, 457, 566, 373, 1246, 714, 628, 418, 402, 379, 307, 375, 289, 241, 392, 304, 904, 319, 435, 562, 373, 422, 421, 524, 876, 460, 330, 193, 407, 456, 337, 1337, 319, 1692, 225, 354, 846, 447, 439, 422, 449, 373, 391, 201, 457, 644, 612, 105, 503, 351, 251, 401, 525, 438, 724, 314, 286, 601, 354, 411, 480, 142, 481, 348, 369, 134, 420, 666, 150]","[8, 8, 3, 5, 4, 6, 7, 6, 7, 17, 18, 6, 8, 7, 3, 5, 5, 3, 2, 4, 3, 11, 4, 4, 5, 3, 10, 6, 7, 7, 11, 5, 2, 3, 4, 6, 15, 6, 30, 1, 5, 12, 9, 6, 5, 7, 1, 2, 3, 7, 6, 6, 0, 1, 1, 6, 2, 10, 2, 11, 2, 4, 7, 3, 3, 4, 2, 6, 2, 4, 2, 8, 10, 2]",34433
