0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[533, 565, 184, 255, 247, 293, 594, 686, 308, 1849, 540, 824, 241, 282, 290, 254, 223, 143, 326, 260, 263, 435, 280, 189, 494, 301, 360, 235, 365, 1337, 477, 473, 232, 278, 330, 274, 873, 146, 2986, 117, 201, 1318, 387, 376, 769, 389, 330, 704, 136, 313, 951, 801, 139, 572, 376, 388, 221, 659, 522, 1018, 323, 221, 601, 224, 357, 395, 270, 631, 397, 278, 157, 356, 669, 88]"
2,"[524, 596, 216, 269, 251, 318, 573, 657, 318, 1738, 588, 790, 269, 319, 313, 275, 248, 162, 314, 286, 266, 501, 289, 248, 507, 321, 367, 274, 407, 1254, 481, 468, 225, 289, 362, 295, 916, 165, 2773, 133, 228, 1259, 397, 376, 705, 392, 340, 652, 150, 318, 891, 780, 137, 563, 383, 365, 243, 639, 517, 973, 324, 224, 625, 257, 362, 413, 264, 611, 367, 299, 158, 357, 656, 108]"
3,"[494, 635, 250, 290, 249, 342, 559, 631, 321, 1651, 615, 756, 284, 332, 317, 292, 270, 185, 311, 303, 268, 563, 305, 278, 515, 335, 374, 314, 420, 1190, 486, 447, 222, 308, 390, 309, 997, 193, 2576, 153, 255, 1184, 416, 384, 657, 383, 356, 600, 167, 346, 855, 755, 131, 555, 369, 343, 265, 624, 503, 956, 318, 230, 634, 290, 369, 417, 250, 576, 358, 327, 153, 362, 657, 125]"
4,"[488, 679, 282, 308, 250, 345, 536, 628, 342, 1580, 620, 738, 301, 347, 324, 305, 276, 206, 294, 307, 273, 608, 308, 295, 526, 355, 379, 343, 445, 1111, 464, 426, 214, 316, 410, 322, 1084, 220, 2411, 165, 281, 1110, 423, 396, 628, 394, 369, 581, 172, 379, 799, 733, 127, 544, 362, 321, 286, 600, 477, 918, 320, 250, 624, 300, 385, 453, 234, 562, 345, 345, 143, 363, 662, 147]"
5,"[481, 721, 313, 323, 255, 360, 512, 614, 353, 1497, 615, 712, 323, 364, 336, 320, 281, 227, 290, 330, 270, 667, 306, 344, 528, 364, 373, 354, 464, 1047, 470, 413, 209, 350, 412, 334, 1167, 245, 2245, 173, 296, 1026, 425, 399, 581, 412, 374, 541, 170, 390, 772, 700, 118, 536, 352, 308, 322, 578, 449, 897, 314, 250, 634, 306, 403, 455, 224, 565, 346, 361, 141, 372, 664, 147]"
6,"[466, 742, 345, 332, 264, 371, 481, 605, 353, 1441, 631, 689, 332, 373, 333, 327, 291, 244, 287, 353, 262, 725, 318, 364, 539, 366, 371, 375, 465, 1003, 472, 387, 202, 365, 420, 342, 1253, 267, 2103, 183, 303, 974, 437, 425, 544, 433, 373, 503, 174, 411, 742, 681, 113, 518, 351, 292, 356, 560, 443, 851, 306, 253, 620, 303, 417, 461, 213, 546, 336, 377, 147, 371, 659, 164]"
7,"[465, 778, 360, 347, 262, 391, 470, 597, 363, 1399, 646, 649, 352, 376, 333, 328, 317, 265, 264, 362, 257, 777, 316, 395, 516, 371, 395, 398, 483, 945, 454, 376, 194, 381, 422, 352, 1318, 286, 1966, 194, 330, 916, 442, 421, 507, 436, 382, 482, 175, 435, 711, 666, 115, 503, 338, 272, 368, 549, 428, 806, 299, 260, 637, 316, 409, 490, 194, 532, 323, 384, 147, 376, 655, 178]"
8,"[451, 819, 382, 350, 283, 391, 458, 576, 356, 1333, 651, 640, 378, 375, 357, 330, 337, 275, 265, 361, 259, 807, 320, 411, 524, 375, 381, 433, 501, 903, 451, 360, 197, 393, 444, 344, 1414, 321, 1833, 200, 339, 865, 447, 419, 467, 426, 384, 447, 185, 447, 678, 638, 112, 506, 346, 258, 389, 541, 412, 758, 288, 263, 641, 319, 422, 498, 188, 522, 304, 400, 145, 370, 652, 184]"
9,"[437, 840, 400, 347, 280, 388, 454, 554, 373, 1257, 651, 617, 379, 383, 352, 344, 371, 293, 249, 382, 265, 858, 321, 418, 544, 382, 391, 427, 503, 861, 444, 347, 190, 386, 455, 361, 1507, 326, 1694, 204, 346, 815, 455, 429, 427, 440, 394, 422, 181, 450, 659, 628, 111, 494, 340, 255, 398, 535, 417, 725, 286, 269, 637, 327, 423, 499, 175, 496, 315, 412, 151, 388, 656, 189]"
10,"[422, 863, 431, 351, 270, 397, 433, 534, 372, 1190, 684, 603, 393, 383, 349, 334, 380, 314, 252, 384, 285, 892, 321, 444, 565, 388, 376, 432, 529, 820, 443, 337, 178, 391, 470, 360, 1594, 330, 1597, 216, 350, 781, 453, 412, 391, 436, 409, 413, 181, 450, 631, 612, 109, 499, 336, 240, 412, 509, 412, 705, 276, 270, 619, 339, 416, 505, 167, 486, 303, 430, 147, 399, 666, 190]"
11,"[409, 874, 431, 359, 259, 406, 424, 506, 356, 1165, 703, 584, 382, 377, 362, 327, 383, 332, 246, 385, 280, 919, 324, 463, 572, 399, 377, 450, 536, 784, 443, 326, 178, 403, 484, 352, 1702, 345, 1482, 236, 379, 742, 473, 415, 378, 438, 401, 394, 186, 442, 609, 595, 107, 483, 331, 228, 419, 481, 414, 665, 273, 277, 606, 361, 423, 506, 159, 476, 293, 433, 143, 402, 672, 191]"
12,"[398, 866, 455, 361, 256, 402, 409, 502, 364, 1089, 724, 548, 401, 385, 364, 351, 389, 356, 237, 389, 276, 940, 326, 462, 560, 394, 393, 446, 553, 752, 451, 315, 163, 422, 493, 349, 1808, 345, 1391, 247, 382, 717, 479, 416, 357, 427, 422, 386, 196, 433, 578, 572, 110, 463, 326, 216, 428, 480, 409, 640, 265, 271, 591, 363, 427, 500, 152, 458, 297, 431, 147, 406, 666, 193]"
13,"[390, 870, 460, 353, 262, 410, 398, 480, 365, 1058, 739, 546, 401, 394, 358, 344, 380, 370, 224, 393, 270, 968, 328, 466, 572, 384, 393, 442, 569, 730, 453, 316, 151, 433, 495, 358, 1901, 351, 1311, 257, 394, 677, 489, 409, 325, 420, 419, 376, 202, 427, 546, 567, 109, 466, 318, 201, 434, 462, 394, 608, 248, 262, 585, 377, 432, 510, 143, 464, 298, 435, 136, 407, 659, 190]"
14,"[372, 893, 472, 342, 263, 402, 386, 457, 360, 1006, 756, 517, 409, 388, 364, 348, 386, 389, 224, 384, 285, 987, 322, 461, 580, 386, 402, 444, 565, 715, 438, 313, 156, 444, 503, 372, 1992, 359, 1227, 264, 406, 660, 475, 396, 306, 434, 416, 363, 206, 431, 515, 546, 106, 455, 307, 198, 441, 443, 380, 592, 252, 266, 569, 374, 436, 516, 131, 454, 297, 422, 134, 404, 656, 187]"
15,"[351, 894, 480, 347, 263, 402, 371, 455, 369, 959, 767, 500, 412, 405, 369, 345, 385, 384, 214, 380, 276, 1009, 318, 492, 591, 383, 395, 448, 552, 689, 431, 304, 148, 465, 509, 366, 2121, 364, 1156, 271, 411, 625, 458, 382, 290, 442, 417, 329, 208, 439, 496, 519, 107, 445, 306, 189, 454, 416, 378, 561, 246, 261, 557, 388, 442, 507, 128, 441, 300, 415, 133, 408, 654, 191]"
16,"[343, 887, 471, 356, 269, 410, 371, 453, 363, 920, 751, 482, 421, 412, 360, 345, 375, 389, 214, 389, 270, 1017, 317, 498, 580, 365, 397, 459, 549, 656, 425, 297, 138, 444, 508, 365, 2214, 357, 1098, 272, 424, 593, 466, 378, 271, 449, 423, 311, 214, 447, 483, 516, 106, 441, 308, 181, 456, 400, 367, 543, 237, 266, 542, 384, 437, 526, 127, 436, 286, 419, 129, 407, 662, 190]"
17,"[327, 900, 497, 340, 266, 412, 363, 439, 367, 895, 753, 459, 416, 419, 349, 335, 380, 392, 205, 392, 258, 1040, 319, 492, 579, 370, 396, 463, 540, 636, 419, 291, 139, 440, 499, 346, 2309, 377, 1030, 288, 433, 578, 482, 363, 245, 446, 420, 303, 214, 455, 466, 503, 100, 429, 299, 172, 451, 394, 359, 540, 241, 270, 514, 388, 420, 523, 124, 431, 296, 416, 127, 398, 651, 188]"
18,"[313, 891, 497, 342, 275, 405, 344, 425, 375, 871, 742, 438, 424, 412, 355, 335, 377, 389, 210, 392, 263, 1046, 329, 482, 580, 372, 401, 454, 536, 611, 411, 288, 132, 438, 504, 346, 2397, 384, 956, 283, 440, 554, 488, 361, 232, 435, 421, 304, 210, 452, 455, 497, 100, 441, 295, 162, 447, 375, 358, 525, 245, 265, 496, 382, 424, 509, 117, 419, 292, 412, 121, 383, 646, 191]"
19,"[303, 876, 485, 352, 269, 411, 353, 415, 372, 833, 765, 420, 423, 413, 358, 337, 384, 380, 213, 380, 270, 1063, 336, 498, 581, 370, 406, 442, 520, 586, 404, 284, 134, 437, 508, 338, 2472, 377, 897, 282, 442, 542, 495, 364, 216, 443, 408, 300, 221, 432, 439, 473, 89, 431, 292, 148, 445, 353, 348, 504, 242, 272, 464, 389, 422, 515, 111, 406, 291, 424, 116, 385, 650, 179]"
20,"[292, 876, 485, 341, 280, 413, 343, 411, 369, 811, 775, 414, 429, 408, 348, 337, 395, 372, 205, 370, 269, 1092, 331, 501, 567, 368, 404, 429, 514, 561, 395, 275, 137, 428, 511, 318, 2557, 387, 840, 292, 444, 499, 506, 370, 198, 438, 400, 285, 219, 433, 422, 466, 88, 409, 285, 146, 440, 348, 332, 495, 241, 274, 458, 377, 427, 514, 105, 407, 292, 417, 124, 386, 661, 181]"
21,"[270, 863, 483, 344, 274, 406, 336, 403, 356, 780, 763, 402, 423, 411, 354, 339, 395, 378, 206, 373, 260, 1094, 327, 508, 571, 374, 391, 418, 512, 534, 388, 267, 135, 424, 500, 317, 2629, 395, 804, 288, 441, 480, 500, 366, 184, 439, 387, 272, 225, 419, 405, 457, 88, 412, 286, 139, 444, 333, 329, 481, 231, 271, 437, 381, 432, 523, 94, 409, 289, 393, 122, 385, 668, 177]"
22,"[259, 862, 469, 341, 279, 413, 317, 392, 353, 753, 749, 405, 430, 414, 349, 345, 403, 361, 202, 376, 259, 1093, 331, 502, 564, 379, 378, 424, 517, 517, 382, 257, 131, 418, 496, 309, 2716, 387, 753, 288, 440, 457, 514, 365, 170, 443, 375, 268, 224, 417, 396, 446, 84, 401, 280, 127, 450, 327, 320, 452, 224, 266, 423, 377, 428, 527, 94, 389, 277, 384, 115, 386, 642, 173]"
23,"[246, 860, 472, 342, 275, 407, 323, 382, 345, 736, 748, 391, 454, 403, 334, 341, 407, 367, 203, 375, 251, 1094, 326, 505, 551, 384, 390, 414, 502, 498, 375, 241, 129, 413, 487, 312, 2757, 398, 736, 285, 430, 436, 505, 361, 156, 437, 374, 250, 217, 406, 371, 427, 75, 391, 269, 123, 442, 312, 316, 437, 196, 262, 412, 372, 447, 525, 89, 385, 280, 389, 110, 377, 632, 175]"
24,"[233, 864, 465, 345, 269, 402, 302, 372, 354, 706, 763, 364, 453, 410, 329, 347, 383, 369, 203, 367, 249, 1089, 322, 504, 541, 376, 376, 418, 514, 479, 368, 236, 124, 419, 475, 302, 2831, 388, 694, 285, 428, 418, 500, 343, 144, 430, 372, 245, 226, 416, 347, 417, 74, 383, 260, 111, 474, 309, 304, 422, 180, 256, 400, 389, 441, 516, 84, 378, 276, 393, 111, 368, 622, 181]"
25,"[226, 851, 465, 345, 264, 390, 298, 371, 348, 678, 748, 368, 449, 416, 326, 333, 382, 357, 205, 365, 233, 1072, 332, 496, 550, 363, 365, 415, 511, 451, 371, 236, 128, 409, 483, 303, 2896, 391, 643, 280, 429, 387, 490, 353, 134, 425, 366, 238, 223, 419, 336, 409, 67, 372, 243, 105, 465, 304, 296, 409, 187, 260, 378, 398, 425, 509, 80, 388, 266, 392, 119, 364, 599, 178]"
