0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-21, 34, 29, 30, 25, 43, -40, -25, 21, -86, 25, -52, 46, 24, 25, 8, 36, 33, -14, 17, 3, 52, 18, 52, 7, 22, 0, 29, 47, -89, 4, -26, -13, 55, 21, 12, 9, 40, -266, 20, 29, -81, 36, 12, -54, 25, 23, -40, 3, 23, -52, -39, -10, -2, 6, -18, 21, -36, -21, -49, -13, 4, 14, 42, 10, 9, -15, -22, -19, 39, 1, 9, -3, 13]"
2,"[-36, 51, 75, 55, 26, 69, -75, -55, 50, -181, 40, -83, 66, 35, 31, 32, 48, 78, -9, 44, -4, 78, 25, 112, 27, 33, 1, 61, 68, -172, 1, -45, -14, 79, 50, 26, 42, 81, -520, 40, 55, -155, 62, 27, -113, 39, 45, -87, 18, 35, -105, -69, -13, -2, 9, -31, 49, -48, -24, -94, -17, 9, 24, 63, 36, 31, -39, -31, -25, 60, 7, 31, 1, 22]"
3,"[-55, 87, 108, 73, 39, 88, -93, -72, 66, -297, 66, -109, 106, 55, 42, 60, 81, 103, -11, 74, -13, 122, 35, 156, 53, 46, 0, 79, 89, -254, 0, -61, -17, 96, 79, 26, 70, 108, -706, 42, 88, -236, 78, 40, -171, 61, 53, -141, 35, 42, -149, -94, -19, -17, 4, -46, 85, -82, -27, -127, -17, 19, 14, 92, 56, 43, -62, -58, -34, 102, 5, 45, 20, 37]"
4,"[-78, 103, 139, 91, 41, 93, -101, -74, 83, -375, 75, -146, 137, 81, 51, 72, 118, 133, -11, 109, -12, 165, 56, 202, 60, 49, -6, 114, 101, -330, 9, -80, -22, 148, 101, 42, 73, 131, -905, 70, 120, -296, 97, 57, -226, 65, 51, -174, 36, 58, -175, -144, -22, -22, 1, -63, 103, -115, -38, -164, -23, 17, 33, 120, 49, 56, -74, -80, -50, 125, 12, 70, 40, 49]"
5,"[-90, 125, 174, 91, 43, 121, -100, -99, 73, -447, 86, -179, 172, 100, 63, 81, 127, 142, -26, 136, -10, 195, 56, 233, 59, 51, 13, 144, 135, -399, 12, -76, -26, 189, 111, 55, 88, 155, -1041, 90, 141, -380, 117, 65, -268, 85, 74, -198, 36, 68, -210, -173, -28, -24, -6, -70, 111, -142, -53, -213, -17, 17, 34, 140, 67, 78, -85, -90, -48, 140, 17, 84, 47, 57]"
6,"[-114, 124, 201, 101, 53, 144, -123, -114, 72, -508, 74, -198, 212, 110, 81, 97, 136, 166, -24, 144, -9, 216, 60, 256, 90, 66, 13, 174, 161, -461, 10, -80, -33, 197, 136, 60, 85, 177, -1201, 119, 164, -464, 136, 84, -304, 95, 93, -235, 47, 92, -227, -197, -32, -17, 1, -93, 138, -155, -62, -227, -33, 20, 30, 160, 75, 103, -94, -100, -62, 154, 18, 87, 72, 63]"
7,"[-124, 148, 242, 117, 52, 146, -135, -129, 76, -545, 88, -217, 234, 120, 96, 115, 168, 188, -33, 153, 2, 246, 76, 274, 104, 69, 24, 206, 183, -510, 14, -97, -31, 213, 154, 72, 102, 192, -1330, 120, 207, -523, 149, 93, -336, 89, 108, -268, 50, 104, -260, -227, -38, -10, -14, -111, 147, -170, -65, -266, -30, 14, 23, 178, 75, 105, -103, -119, -66, 165, 16, 95, 79, 66]"
8,"[-125, 159, 262, 146, 44, 152, -148, -161, 83, -617, 104, -243, 262, 142, 105, 121, 178, 206, -41, 177, 16, 264, 82, 307, 117, 69, 27, 231, 211, -556, 13, -103, -39, 206, 152, 77, 123, 235, -1454, 129, 230, -566, 172, 104, -363, 101, 105, -285, 54, 118, -298, -246, -37, -9, -16, -123, 167, -174, -69, -301, -40, 12, 13, 195, 86, 113, -110, -132, -70, 195, 10, 91, 89, 71]"
9,"[-134, 172, 279, 142, 56, 163, -159, -181, 83, -635, 133, -267, 250, 152, 113, 129, 199, 237, -38, 211, 17, 292, 95, 323, 136, 79, 34, 239, 242, -603, 14, -115, -45, 220, 183, 80, 126, 250, -1558, 137, 248, -616, 186, 90, -406, 110, 117, -302, 61, 126, -319, -278, -43, 1, -14, -135, 183, -196, -63, -311, -32, 10, 12, 201, 98, 110, -116, -146, -83, 213, 4, 99, 70, 70]"
10,"[-146, 193, 307, 152, 54, 175, -182, -197, 85, -690, 140, -280, 258, 152, 112, 135, 216, 250, -30, 218, 11, 298, 100, 339, 140, 78, 40, 260, 262, -641, 17, -129, -43, 235, 201, 75, 115, 272, -1656, 156, 284, -654, 198, 105, -433, 137, 130, -312, 68, 129, -343, -288, -41, -13, -12, -147, 203, -212, -72, -341, -36, 17, 13, 199, 105, 115, -118, -144, -93, 229, 5, 106, 82, 82]"
11,"[-166, 210, 347, 164, 55, 189, -195, -217, 83, -716, 159, -294, 283, 149, 112, 139, 233, 286, -42, 235, 11, 290, 115, 369, 147, 90, 36, 277, 287, -681, 16, -125, -48, 242, 217, 80, 123, 289, -1760, 161, 298, -694, 209, 96, -460, 128, 142, -318, 70, 132, -371, -303, -43, -5, -12, -160, 211, -211, -78, -383, -44, 34, 9, 223, 122, 117, -130, -148, -88, 239, 0, 98, 75, 95]"
12,"[-183, 212, 369, 168, 57, 179, -204, -225, 78, -745, 179, -316, 291, 176, 117, 144, 253, 291, -54, 248, 13, 314, 121, 390, 165, 92, 44, 277, 288, -708, 27, -138, -59, 248, 222, 66, 137, 292, -1837, 162, 322, -722, 231, 106, -485, 139, 154, -337, 71, 140, -397, -316, -40, -8, -13, -164, 243, -225, -84, -406, -51, 41, 23, 218, 122, 112, -139, -152, -81, 266, -3, 117, 63, 104]"
13,"[-199, 225, 408, 171, 66, 192, -206, -233, 78, -765, 177, -332, 304, 182, 124, 145, 260, 295, -55, 255, 21, 324, 124, 407, 165, 87, 63, 299, 288, -741, 32, -150, -68, 259, 241, 73, 146, 311, -1928, 163, 345, -759, 261, 104, -507, 162, 159, -356, 68, 146, -410, -322, -42, 5, -19, -171, 257, -239, -94, -431, -54, 41, 7, 231, 129, 122, -138, -158, -94, 271, -10, 110, 67, 111]"
