,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-11, 4, 38, 15, 6, 25, -13, -10, 15, -109, 18, -40, 33, 24, 5, 6, 32, 32, -8, 25, 6, 42, 20, 47, -1, 21, 0, 44, 32, -96, -9, -24, -13, 16, 30, 23, 20, 35, -259, 41, 43, -82, 22, 11, -61, 38, 18, -53, 10, 27, -27, -16, -10, -12, 13, -27, 19, -21, 10, -65, -14, 31, 23, 23, 9, 13, -22, 1, -6, 21, 1, 1, -1, 21]","[534, 528, 176, 240, 249, 289, 592, 701, 305, 1822, 551, 819, 237, 280, 271, 270, 236, 143, 322, 260, 263, 421, 299, 171, 466, 311, 369, 238, 360, 1346, 472, 446, 230, 288, 338, 278, 825, 151, 2983, 147, 219, 1328, 383, 377, 769, 419, 323, 682, 133, 313, 970, 814, 139, 564, 398, 369, 224, 663, 527, 1013, 331, 248, 632, 216, 352, 416, 265, 660, 408, 262, 164, 349, 665, 88]","[5, 7, 1, 2, 0, 1, 5, 6, 1, 21, 6, 7, 4, 2, 2, 1, 2, 1, 3, 4, 0, 4, 0, 0, 5, 1, 2, 3, 2, 6, 4, 5, 2, 1, 0, 2, 5, 0, 20, 0, 3, 15, 2, 3, 6, 1, 3, 8, 1, 1, 7, 6, 0, 9, 2, 9, 2, 5, 5, 8, 3, 0, 6, 0, 3, 4, 3, 6, 1, 2, 2, 3, 10, 0]",34910
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-31, 8, 71, 39, 17, 48, -26, -21, 45, -207, 45, -89, 62, 43, 23, 7, 58, 54, -18, 46, 20, 66, 30, 70, 9, 57, 14, 74, 81, -170, -9, -26, -20, 37, 49, 56, 31, 67, -506, 59, 76, -153, 50, 17, -123, 72, 22, -112, 33, 52, -61, -42, -9, -19, 25, -56, 45, -29, -2, -132, -17, 48, 32, 50, 30, 20, -36, -24, -19, 58, -5, 9, -18, 55]","[511, 534, 207, 263, 262, 312, 578, 694, 337, 1727, 578, 772, 267, 300, 286, 270, 263, 165, 308, 283, 277, 445, 310, 190, 472, 346, 383, 267, 408, 1278, 471, 443, 224, 308, 359, 311, 840, 183, 2740, 164, 252, 1255, 406, 385, 708, 454, 324, 625, 156, 338, 936, 792, 140, 561, 410, 341, 247, 651, 518, 947, 329, 266, 633, 243, 371, 421, 251, 635, 393, 298, 157, 357, 650, 122]","[8, 3, 3, 3, 0, 2, 6, 3, 1, 15, 5, 6, 1, 1, 5, 3, 1, 1, 7, 0, 2, 4, 1, 5, 8, 4, 3, 3, 4, 7, 5, 5, 1, 3, 1, 2, 4, 1, 25, 2, 2, 15, 8, 1, 6, 3, 6, 4, 1, 3, 9, 4, 1, 1, 3, 2, 5, 10, 2, 9, 2, 1, 14, 2, 5, 6, 2, 6, 6, 3, 2, 3, 4, 0]",34908
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 2, 2, 1, 3, 2, 2, 4, 3, 1, 4, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 8, 1, 27, 1, 2, 12, 4, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-55, 9, 106, 58, 10, 65, -41, -32, 56, -294, 65, -95, 77, 60, 36, 15, 92, 84, -22, 57, 40, 103, 39, 121, 11, 71, 9, 110, 88, -236, -7, -43, -31, 78, 81, 75, 23, 92, -659, 83, 114, -226, 59, 30, -173, 79, 29, -160, 53, 69, -133, -70, -7, -18, 38, -77, 55, -38, -1, -169, -34, 55, 40, 72, 32, 16, -56, -34, -11, 70, -3, 31, -5, 74]","[488, 530, 240, 278, 256, 325, 564, 684, 350, 1637, 596, 768, 283, 316, 300, 280, 296, 196, 302, 294, 297, 479, 316, 240, 470, 360, 378, 303, 416, 1208, 465, 427, 215, 348, 392, 331, 833, 208, 2593, 188, 289, 1182, 416, 398, 662, 459, 331, 575, 173, 351, 866, 766, 142, 561, 427, 321, 255, 640, 513, 910, 310, 274, 642, 264, 373, 418, 232, 627, 402, 308, 160, 380, 667, 142]","[4, 10, 4, 6, 1, 7, 4, 5, 1, 20, 7, 5, 1, 4, 1, 0, 3, 0, 5, 2, 2, 7, 6, 2, 8, 3, 3, 2, 3, 16, 12, 3, 0, 4, 2, 2, 7, 1, 21, 1, 3, 12, 3, 3, 3, 6, 3, 8, 4, 7, 7, 5, 1, 6, 0, 2, 4, 8, 11, 9, 5, 1, 5, 3, 3, 3, 1, 4, 2, 4, 0, 2, 2, 0]",34886
4,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 4, 3, 2, 4, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 3, 8, 2, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-81, 23, 145, 75, 7, 76, -38, -34, 60, -371, 74, -139, 101, 91, 55, 39, 119, 108, -28, 71, 62, 138, 54, 159, 13, 91, 15, 137, 110, -318, -2, -63, -43, 89, 98, 95, 33, 106, -841, 101, 135, -297, 84, 40, -213, 78, 49, -205, 85, 98, -167, -98, -12, -29, 40, -90, 71, -42, -3, -205, -37, 62, 21, 99, 30, 32, -70, -34, -4, 91, -13, 39, -9, 87]","[461, 543, 278, 291, 252, 336, 566, 681, 356, 1556, 601, 725, 305, 346, 318, 302, 322, 216, 295, 310, 318, 507, 333, 278, 470, 382, 385, 331, 439, 1124, 470, 404, 205, 361, 408, 353, 839, 224, 2410, 202, 307, 1107, 440, 408, 623, 461, 347, 533, 205, 380, 828, 738, 134, 550, 429, 309, 271, 634, 511, 881, 306, 281, 623, 290, 371, 435, 215, 632, 409, 329, 150, 390, 660, 155]","[5, 6, 3, 6, 3, 3, 6, 7, 1, 20, 9, 6, 4, 4, 4, 4, 3, 5, 4, 0, 3, 11, 1, 2, 6, 1, 2, 2, 3, 14, 4, 7, 0, 1, 4, 1, 12, 0, 26, 5, 5, 15, 5, 3, 5, 1, 7, 2, 1, 3, 12, 7, 4, 5, 4, 2, 2, 8, 5, 2, 4, 2, 6, 3, 3, 3, 5, 1, 4, 3, 1, 1, 9, 1]",34845
5,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 3, 3, 3, 2, 2, 3, 3, 5, 3, 2, 4, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 8, 2, 24, 2, 3, 11, 4, 4, 6, 4, 3, 5, 2, 3, 8, 7, 1, 5, 4, 3, 2, 6, 5, 8, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-91, 46, 186, 95, 1, 96, -55, -45, 65, -432, 83, -154, 128, 110, 60, 61, 124, 138, -36, 88, 67, 168, 44, 179, 33, 88, 17, 176, 126, -377, -4, -75, -43, 102, 100, 120, 37, 126, -985, 116, 159, -363, 96, 38, -257, 79, 85, -234, 101, 104, -196, -121, -18, -33, 51, -105, 104, -62, -9, -247, -35, 78, 11, 123, 37, 45, -78, -50, -1, 94, -19, 38, -7, 109]","[454, 567, 319, 309, 245, 358, 547, 663, 360, 1495, 612, 715, 331, 364, 323, 323, 326, 248, 286, 327, 325, 538, 323, 299, 491, 376, 388, 370, 455, 1061, 464, 388, 204, 375, 407, 374, 841, 244, 2259, 219, 332, 1033, 448, 407, 578, 463, 385, 496, 222, 383, 801, 712, 129, 546, 443, 295, 301, 608, 503, 839, 309, 296, 616, 314, 381, 446, 209, 618, 414, 334, 145, 388, 658, 176]","[1, 4, 2, 4, 3, 1, 7, 13, 4, 15, 4, 2, 4, 4, 3, 4, 4, 0, 3, 3, 1, 4, 3, 1, 3, 6, 2, 3, 4, 15, 8, 8, 3, 2, 7, 7, 10, 2, 31, 0, 2, 19, 8, 3, 7, 3, 1, 13, 1, 6, 6, 10, 0, 5, 1, 2, 5, 12, 7, 8, 2, 3, 3, 2, 0, 6, 0, 4, 2, 1, 0, 4, 10, 2]",34801
6,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 14, 6, 7, 3, 3, 3, 3, 3, 2, 2, 3, 3, 5, 3, 2, 4, 3, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 8, 2, 22, 2, 3, 10, 4, 4, 5, 4, 3, 4, 2, 3, 8, 7, 1, 5, 4, 2, 3, 6, 5, 8, 3, 2, 6, 3, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-120, 73, 204, 95, 15, 114, -65, -38, 81, -504, 90, -183, 141, 128, 76, 78, 149, 172, -39, 104, 83, 199, 54, 196, 30, 118, 31, 180, 149, -432, -5, -74, -41, 125, 111, 135, 59, 131, -1142, 133, 181, -422, 114, 55, -298, 80, 88, -252, 106, 125, -238, -143, -24, -48, 34, -122, 128, -77, -15, -289, -33, 104, -1, 141, 51, 42, -87, -56, -5, 98, -8, 37, 4, 119]","[426, 590, 336, 309, 259, 374, 539, 669, 378, 1425, 618, 687, 340, 384, 337, 339, 350, 280, 280, 342, 335, 568, 333, 316, 487, 402, 399, 373, 478, 1005, 464, 388, 206, 395, 418, 388, 862, 250, 2094, 236, 351, 970, 465, 423, 536, 462, 387, 477, 229, 403, 762, 685, 123, 534, 426, 277, 327, 587, 496, 801, 311, 321, 606, 329, 395, 444, 201, 612, 408, 339, 157, 387, 668, 186]","[3, 9, 4, 3, 2, 5, 3, 7, 1, 12, 7, 6, 7, 1, 5, 4, 4, 4, 5, 4, 9, 6, 3, 2, 5, 7, 6, 4, 4, 11, 3, 4, 2, 6, 4, 4, 9, 1, 30, 2, 6, 14, 5, 5, 6, 6, 4, 5, 0, 4, 5, 12, 1, 2, 4, 3, 1, 12, 6, 4, 3, 3, 4, 6, 3, 3, 1, 6, 6, 2, 0, 3, 7, 1]",34744
7,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 3, 5, 3, 3, 4, 4, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 8, 2, 20, 2, 3, 9, 4, 4, 5, 4, 3, 4, 2, 4, 7, 6, 1, 5, 4, 2, 3, 5, 4, 8, 3, 3, 6, 3, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-126, 77, 248, 100, 22, 135, -77, -45, 86, -553, 79, -213, 173, 128, 86, 93, 159, 193, -43, 112, 86, 228, 65, 224, 33, 133, 29, 194, 170, -468, -4, -91, -49, 135, 108, 159, 53, 155, -1257, 143, 205, -456, 129, 56, -332, 81, 101, -263, 110, 133, -270, -151, -27, -58, 47, -138, 148, -82, -31, -322, -47, 113, -5, 153, 54, 44, -96, -75, 1, 134, -10, 36, 24, 114]","[420, 592, 376, 314, 267, 392, 527, 655, 382, 1366, 605, 657, 368, 384, 347, 353, 360, 301, 274, 350, 335, 595, 342, 343, 490, 416, 392, 387, 499, 974, 466, 370, 198, 402, 415, 405, 852, 272, 1970, 247, 375, 932, 481, 426, 500, 464, 398, 468, 233, 411, 729, 674, 118, 522, 436, 262, 345, 575, 482, 765, 297, 330, 602, 340, 399, 446, 191, 596, 416, 376, 154, 385, 689, 180]","[4, 7, 7, 3, 1, 6, 5, 13, 4, 24, 8, 6, 7, 3, 3, 4, 3, 2, 4, 3, 6, 7, 5, 4, 4, 5, 8, 3, 4, 5, 3, 4, 2, 6, 4, 10, 12, 4, 29, 1, 3, 13, 3, 2, 7, 3, 5, 2, 2, 4, 8, 9, 3, 7, 7, 1, 5, 12, 2, 11, 3, 3, 6, 4, 2, 4, 3, 3, 2, 2, 2, 4, 5, 2]",34657
8,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 2, 3, 3, 5, 3, 3, 4, 4, 3, 3, 4, 9, 4, 3, 1, 4, 4, 4, 8, 2, 19, 2, 3, 9, 4, 4, 5, 4, 3, 4, 2, 4, 7, 6, 1, 5, 4, 2, 3, 5, 4, 7, 2, 3, 6, 3, 3, 4, 1, 5, 4, 3, 1, 3, 6, 1]","[-139, 99, 288, 100, 20, 144, -88, -56, 85, -602, 96, -238, 188, 131, 101, 87, 178, 213, -43, 118, 87, 242, 66, 268, 54, 154, 29, 197, 198, -508, 5, -106, -49, 136, 121, 165, 49, 172, -1385, 167, 217, -502, 129, 56, -375, 101, 107, -295, 129, 148, -286, -171, -28, -87, 45, -141, 162, -94, -48, -353, -44, 126, -6, 175, 64, 56, -111, -78, 8, 158, -12, 49, 25, 132]","[406, 610, 416, 312, 261, 401, 520, 642, 379, 1316, 622, 636, 380, 382, 362, 345, 382, 319, 276, 352, 338, 607, 340, 385, 512, 436, 391, 390, 529, 934, 474, 355, 196, 403, 428, 409, 847, 289, 1838, 269, 386, 886, 477, 424, 455, 485, 399, 435, 253, 427, 709, 653, 117, 491, 433, 254, 361, 563, 464, 725, 301, 342, 596, 362, 409, 455, 177, 594, 421, 397, 152, 396, 689, 198]","[5, 9, 3, 5, 6, 3, 1, 8, 5, 14, 6, 2, 6, 8, 3, 5, 0, 5, 0, 7, 1, 7, 6, 5, 3, 5, 4, 3, 2, 9, 5, 3, 3, 4, 4, 6, 9, 2, 23, 4, 4, 9, 8, 6, 7, 3, 8, 5, 1, 3, 11, 7, 1, 7, 5, 7, 1, 5, 5, 16, 1, 4, 11, 3, 3, 7, 0, 4, 6, 6, 1, 5, 7, 1]",34575
9,"[4, 6, 4, 3, 2, 4, 5, 6, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 2, 3, 3, 6, 3, 3, 5, 4, 3, 3, 5, 9, 4, 3, 1, 4, 4, 4, 8, 2, 18, 2, 3, 8, 4, 4, 4, 4, 3, 4, 2, 4, 7, 6, 1, 4, 4, 2, 3, 5, 4, 7, 3, 3, 5, 3, 4, 4, 1, 5, 4, 3, 1, 3, 6, 1]","[-153, 121, 313, 105, 10, 138, -96, -54, 102, -651, 81, -242, 201, 151, 95, 105, 191, 231, -52, 128, 96, 261, 76, 278, 82, 167, 44, 219, 209, -548, -5, -112, -56, 156, 134, 183, 55, 181, -1472, 173, 227, -550, 143, 71, -405, 115, 116, -320, 130, 161, -310, -191, -35, -95, 39, -155, 186, -116, -28, -388, -53, 132, -17, 190, 75, 64, -118, -77, 2, 160, -20, 56, 30, 136]","[391, 629, 441, 316, 250, 393, 507, 647, 392, 1268, 607, 627, 390, 403, 356, 361, 390, 334, 267, 360, 343, 627, 345, 393, 538, 446, 406, 411, 536, 890, 461, 347, 188, 419, 440, 429, 855, 295, 1753, 275, 394, 832, 490, 439, 423, 498, 406, 407, 253, 441, 680, 630, 109, 481, 427, 235, 388, 537, 479, 691, 290, 347, 585, 378, 418, 460, 169, 597, 414, 395, 144, 401, 692, 199]","[5, 9, 4, 4, 3, 6, 10, 3, 7, 12, 6, 11, 6, 2, 3, 5, 8, 6, 2, 5, 7, 5, 8, 5, 7, 7, 3, 4, 9, 13, 7, 5, 2, 8, 5, 2, 6, 5, 16, 2, 5, 14, 5, 4, 6, 5, 5, 7, 3, 3, 12, 9, 2, 6, 4, 7, 0, 9, 9, 6, 5, 4, 5, 2, 6, 7, 2, 3, 5, 7, 1, 5, 8, 4]",34455
