,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-11, 31, 44, 36, 11, 31, -11, -34, 17, -117, 20, -37, 50, 16, 16, 19, 15, 26, -19, 36, 15, 45, 3, 45, 11, 26, 15, 52, 42, -100, -6, -10, -11, 20, 40, 21, 27, 33, -255, 35, 32, -98, 16, 24, -58, 12, 14, -60, 8, 21, -58, -45, -5, -19, 1, -12, 16, -12, -27, -44, 1, 16, 19, 31, 16, 12, -27, -26, -18, 35, -2, 22, 4, 24]","[535, 556, 183, 262, 251, 295, 592, 677, 308, 1823, 555, 822, 255, 272, 280, 284, 219, 136, 311, 274, 270, 426, 278, 165, 482, 314, 385, 247, 369, 1337, 475, 461, 230, 290, 346, 276, 827, 149, 2985, 140, 210, 1314, 377, 389, 769, 393, 315, 681, 131, 306, 937, 785, 143, 564, 386, 388, 221, 670, 489, 1035, 347, 232, 628, 221, 362, 416, 256, 636, 395, 276, 162, 371, 670, 91]","[4, 6, 0, 1, 3, 1, 7, 6, 0, 12, 4, 7, 3, 2, 4, 0, 2, 2, 3, 1, 2, 2, 4, 4, 1, 3, 1, 2, 3, 11, 4, 4, 4, 3, 2, 2, 10, 0, 22, 1, 1, 13, 2, 4, 9, 1, 7, 2, 1, 2, 9, 6, 1, 2, 2, 5, 2, 7, 6, 7, 2, 1, 6, 3, 0, 3, 7, 3, 2, 2, 1, 2, 10, 0]",34908
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-30, 53, 87, 71, 16, 52, -37, -68, 27, -188, 27, -60, 86, 45, 39, 32, 33, 58, -22, 63, 23, 92, 5, 81, 23, 41, 35, 84, 52, -201, -18, -11, -13, 45, 68, 25, 49, 59, -475, 60, 57, -180, 48, 22, -114, 28, 27, -113, 22, 38, -90, -65, -12, -17, 1, -38, 23, -39, -56, -74, 2, 34, 47, 63, 43, 22, -47, -50, -27, 56, 0, 31, 14, 36]","[519, 567, 224, 298, 256, 315, 565, 644, 320, 1761, 563, 797, 291, 302, 302, 299, 235, 168, 310, 299, 277, 472, 277, 199, 492, 329, 404, 279, 381, 1237, 459, 464, 228, 312, 373, 282, 853, 176, 2757, 166, 236, 1239, 408, 386, 714, 406, 331, 630, 145, 322, 903, 767, 136, 568, 384, 357, 230, 642, 459, 1010, 347, 249, 654, 254, 389, 421, 237, 612, 387, 297, 165, 380, 680, 101]","[2, 16, 3, 1, 2, 3, 6, 5, 1, 9, 4, 10, 2, 1, 3, 0, 4, 1, 1, 4, 3, 5, 5, 3, 6, 3, 4, 2, 1, 12, 8, 0, 2, 5, 4, 0, 4, 0, 37, 0, 1, 6, 4, 4, 6, 6, 0, 4, 1, 4, 11, 5, 1, 3, 5, 8, 0, 7, 5, 5, 4, 3, 8, 1, 3, 9, 1, 6, 2, 2, 0, 3, 6, 2]",34898
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 4, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 4, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-53, 82, 130, 85, 13, 80, -53, -77, 37, -278, 29, -96, 106, 67, 39, 59, 58, 99, -31, 79, 35, 133, 23, 123, 39, 59, 42, 113, 79, -268, -18, -42, -34, 74, 79, 30, 77, 95, -670, 76, 90, -240, 61, 41, -173, 33, 31, -159, 35, 54, -113, -96, -15, -32, 4, -57, 33, -53, -64, -116, -2, 38, 55, 88, 61, 31, -64, -58, -32, 84, 0, 45, 21, 49]","[497, 594, 268, 310, 252, 342, 550, 634, 331, 1669, 566, 761, 308, 324, 303, 324, 259, 206, 299, 315, 290, 513, 293, 242, 510, 346, 411, 307, 406, 1170, 460, 434, 208, 339, 381, 288, 881, 211, 2565, 183, 270, 1177, 419, 404, 650, 413, 336, 584, 159, 339, 874, 739, 134, 553, 387, 334, 242, 630, 452, 966, 342, 251, 661, 281, 407, 428, 221, 606, 384, 322, 166, 393, 685, 114]","[4, 7, 1, 4, 3, 4, 4, 7, 2, 19, 4, 7, 5, 3, 2, 4, 3, 4, 5, 2, 1, 4, 4, 0, 2, 4, 4, 3, 5, 12, 3, 3, 1, 5, 6, 1, 8, 2, 24, 0, 1, 14, 6, 4, 12, 2, 2, 6, 0, 2, 15, 4, 0, 5, 3, 7, 0, 4, 3, 12, 4, 4, 7, 0, 3, 6, 1, 4, 1, 5, 0, 4, 8, 1]",34873
4,"[4, 5, 2, 3, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 3, 3, 2, 2, 2, 3, 2, 5, 2, 2, 5, 3, 4, 3, 4, 11, 4, 4, 2, 3, 3, 2, 8, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-68, 92, 172, 110, 28, 87, -80, -106, 51, -347, 34, -119, 141, 79, 61, 60, 105, 118, -41, 89, 36, 156, 36, 151, 46, 74, 46, 136, 124, -330, -24, -52, -44, 84, 102, 46, 106, 139, -845, 92, 115, -302, 86, 58, -233, 62, 49, -205, 45, 70, -150, -119, -28, -53, 11, -77, 62, -62, -76, -154, -16, 42, 57, 122, 67, 40, -81, -68, -31, 108, -5, 55, 4, 62]","[480, 603, 307, 334, 267, 351, 519, 608, 346, 1604, 570, 738, 346, 335, 328, 327, 307, 225, 288, 326, 293, 535, 306, 267, 519, 361, 419, 330, 450, 1110, 452, 426, 196, 349, 404, 303, 911, 256, 2388, 198, 293, 1113, 444, 422, 590, 443, 354, 540, 167, 357, 833, 716, 121, 531, 395, 310, 269, 621, 437, 929, 328, 255, 666, 313, 414, 430, 206, 596, 387, 345, 161, 400, 672, 126]","[6, 6, 5, 4, 2, 1, 9, 3, 2, 12, 6, 7, 0, 4, 0, 1, 1, 2, 3, 2, 0, 6, 2, 5, 3, 3, 0, 3, 5, 9, 6, 2, 4, 3, 3, 3, 7, 1, 27, 2, 4, 13, 4, 3, 6, 3, 3, 3, 3, 1, 12, 7, 1, 6, 2, 7, 4, 6, 7, 8, 3, 2, 3, 4, 3, 11, 0, 6, 1, 4, 1, 6, 2, 2]",34866
5,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 2, 5, 3, 4, 3, 4, 11, 4, 4, 1, 3, 4, 3, 9, 2, 23, 1, 2, 11, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-84, 110, 189, 127, 29, 111, -100, -130, 58, -425, 45, -148, 159, 94, 77, 68, 136, 142, -48, 104, 33, 176, 61, 165, 58, 83, 51, 155, 153, -408, -30, -59, -56, 110, 128, 66, 121, 164, -1012, 110, 148, -373, 90, 77, -277, 77, 73, -228, 59, 97, -199, -130, -24, -57, 10, -91, 104, -76, -82, -176, -17, 56, 49, 140, 73, 57, -93, -97, -46, 134, -10, 54, 21, 74]","[464, 615, 323, 354, 269, 378, 496, 583, 354, 1523, 573, 709, 364, 349, 344, 333, 336, 248, 279, 335, 291, 555, 329, 280, 529, 367, 422, 348, 475, 1033, 443, 417, 182, 375, 433, 325, 925, 280, 2224, 215, 327, 1038, 447, 439, 546, 454, 378, 514, 179, 380, 782, 701, 122, 527, 389, 290, 305, 609, 428, 908, 327, 270, 658, 333, 421, 439, 195, 566, 373, 369, 155, 398, 688, 139]","[4, 12, 4, 0, 1, 0, 8, 7, 2, 19, 13, 7, 3, 4, 3, 5, 5, 3, 4, 9, 1, 5, 5, 3, 7, 6, 6, 4, 8, 10, 7, 6, 3, 3, 1, 1, 10, 3, 20, 2, 1, 15, 5, 6, 5, 8, 3, 8, 3, 7, 10, 11, 4, 5, 8, 9, 8, 4, 7, 8, 3, 1, 6, 1, 3, 12, 1, 6, 2, 5, 2, 5, 7, 0]",34771
6,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 15, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 2, 5, 3, 4, 3, 4, 10, 4, 4, 1, 3, 4, 3, 9, 2, 22, 2, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 3, 2, 3, 6, 4, 9, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-93, 131, 226, 143, 33, 126, -122, -141, 74, -483, 73, -173, 169, 121, 86, 74, 154, 174, -51, 124, 26, 195, 64, 176, 70, 93, 59, 194, 178, -448, -23, -52, -57, 141, 128, 68, 123, 178, -1178, 132, 174, -442, 106, 99, -324, 73, 89, -259, 59, 114, -218, -157, -29, -77, 13, -104, 127, -83, -95, -222, -17, 55, 38, 168, 95, 73, -101, -99, -52, 145, -18, 66, 12, 79]","[452, 637, 357, 369, 275, 393, 471, 570, 368, 1464, 595, 687, 377, 374, 351, 337, 354, 279, 274, 351, 283, 572, 329, 289, 540, 372, 427, 385, 496, 992, 448, 426, 178, 406, 433, 327, 925, 292, 2052, 238, 353, 969, 459, 461, 496, 449, 394, 481, 178, 397, 757, 675, 115, 506, 389, 279, 324, 601, 415, 865, 327, 268, 646, 357, 443, 451, 186, 566, 368, 375, 146, 409, 681, 143]","[7, 5, 6, 4, 0, 3, 7, 7, 5, 16, 11, 4, 0, 5, 5, 5, 3, 3, 4, 7, 3, 7, 6, 4, 6, 8, 7, 5, 8, 11, 6, 2, 4, 3, 4, 3, 11, 4, 28, 1, 3, 10, 8, 4, 8, 5, 3, 7, 2, 3, 13, 6, 3, 6, 6, 0, 7, 7, 4, 6, 3, 3, 7, 7, 4, 8, 2, 3, 2, 8, 2, 4, 4, 2]",34674
7,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 14, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 2, 5, 3, 4, 3, 4, 9, 4, 4, 1, 4, 4, 3, 9, 2, 20, 2, 3, 9, 4, 4, 4, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 6, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-119, 151, 256, 162, 41, 145, -121, -146, 75, -536, 113, -198, 176, 124, 96, 69, 177, 186, -60, 151, 30, 205, 72, 218, 80, 92, 69, 212, 201, -488, -17, -58, -61, 160, 141, 71, 141, 180, -1302, 140, 188, -484, 139, 96, -361, 83, 95, -275, 70, 126, -238, -185, -34, -87, 11, -118, 134, -101, -100, -269, -16, 63, 45, 181, 97, 100, -116, -118, -49, 147, -19, 68, 8, 91]","[425, 657, 387, 384, 281, 412, 468, 562, 368, 1410, 634, 662, 383, 373, 359, 334, 376, 291, 265, 374, 287, 580, 336, 329, 546, 371, 436, 405, 520, 950, 450, 420, 174, 424, 442, 325, 938, 293, 1929, 246, 364, 927, 493, 458, 454, 458, 401, 462, 189, 408, 737, 639, 111, 493, 386, 262, 331, 580, 408, 816, 322, 275, 653, 371, 446, 479, 170, 550, 369, 377, 145, 408, 672, 155]","[5, 6, 3, 7, 4, 3, 8, 8, 4, 15, 6, 6, 4, 7, 5, 1, 4, 2, 2, 7, 2, 7, 4, 4, 9, 3, 5, 1, 3, 11, 8, 4, 1, 5, 8, 8, 14, 3, 19, 2, 6, 9, 3, 4, 9, 5, 2, 7, 1, 4, 7, 14, 0, 8, 4, 5, 3, 9, 6, 10, 9, 3, 6, 2, 3, 3, 2, 2, 5, 3, 1, 7, 11, 1]",34575
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 4, 5, 9, 4, 4, 1, 4, 4, 3, 9, 2, 19, 2, 3, 9, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 4, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-136, 169, 281, 172, 51, 165, -142, -154, 76, -632, 120, -198, 194, 146, 100, 64, 189, 203, -58, 151, 27, 214, 78, 239, 90, 119, 65, 226, 202, -534, -14, -67, -63, 189, 157, 88, 139, 201, -1413, 139, 218, -538, 152, 114, -391, 82, 103, -293, 82, 136, -270, -204, -33, -83, 9, -134, 161, -117, -103, -290, -24, 71, 33, 204, 109, 113, -122, -123, -52, 169, -19, 70, 19, 108]","[403, 674, 411, 390, 290, 432, 448, 550, 367, 1308, 635, 662, 395, 393, 363, 331, 389, 308, 267, 370, 282, 586, 341, 350, 555, 395, 434, 422, 518, 902, 453, 412, 171, 451, 457, 341, 934, 310, 1827, 245, 395, 870, 504, 477, 417, 454, 407, 441, 200, 421, 705, 621, 111, 496, 382, 242, 356, 566, 402, 793, 313, 279, 636, 394, 457, 495, 164, 542, 364, 399, 145, 409, 681, 172]","[9, 7, 4, 7, 3, 4, 3, 9, 5, 20, 12, 6, 9, 5, 3, 1, 2, 2, 2, 7, 4, 8, 4, 3, 6, 6, 2, 1, 8, 11, 4, 3, 2, 6, 5, 4, 11, 6, 10, 2, 2, 12, 6, 3, 11, 7, 6, 7, 2, 1, 7, 5, 2, 5, 5, 6, 5, 3, 7, 10, 4, 6, 11, 3, 5, 1, 1, 8, 5, 3, 1, 5, 8, 1]",34482
9,"[4, 6, 4, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 2, 3, 2, 5, 3, 3, 5, 3, 4, 4, 5, 9, 4, 4, 1, 4, 4, 3, 9, 3, 18, 2, 3, 8, 5, 4, 4, 4, 4, 4, 2, 4, 7, 6, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-147, 171, 292, 181, 51, 186, -138, -182, 77, -671, 139, -221, 207, 169, 113, 66, 210, 229, -62, 159, 37, 252, 81, 258, 96, 124, 45, 237, 224, -582, -6, -91, -71, 198, 179, 98, 158, 219, -1535, 151, 234, -584, 160, 119, -410, 94, 121, -327, 86, 149, -297, -208, -40, -66, 3, -139, 175, -136, -102, -325, -25, 84, 14, 206, 123, 119, -130, -128, -60, 202, -28, 65, 36, 114]","[391, 672, 420, 397, 286, 454, 449, 522, 366, 1265, 648, 638, 409, 413, 377, 331, 409, 336, 262, 374, 290, 619, 346, 366, 557, 399, 409, 431, 536, 850, 463, 387, 161, 460, 477, 348, 954, 328, 1698, 255, 404, 819, 512, 483, 397, 465, 428, 405, 204, 436, 675, 614, 103, 512, 374, 234, 369, 545, 402, 756, 311, 292, 616, 393, 464, 499, 156, 537, 356, 433, 134, 399, 695, 177]","[5, 10, 6, 5, 6, 3, 7, 5, 5, 17, 12, 7, 2, 6, 2, 5, 4, 1, 3, 7, 4, 10, 1, 6, 9, 4, 9, 6, 9, 13, 2, 5, 3, 4, 6, 6, 8, 3, 25, 4, 10, 13, 5, 3, 5, 5, 1, 6, 2, 2, 10, 9, 2, 5, 5, 5, 4, 7, 5, 9, 4, 2, 7, 6, 11, 6, 1, 5, 3, 2, 3, 9, 9, 2]",34352
