0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-11, 31, 44, 36, 11, 31, -11, -34, 17, -117, 20, -37, 50, 16, 16, 19, 15, 26, -19, 36, 15, 45, 3, 45, 11, 26, 15, 52, 42, -100, -6, -10, -11, 20, 40, 21, 27, 33, -255, 35, 32, -98, 16, 24, -58, 12, 14, -60, 8, 21, -58, -45, -5, -19, 1, -12, 16, -12, -27, -44, 1, 16, 19, 31, 16, 12, -27, -26, -18, 35, -2, 22, 4, 24]"
2,"[-30, 53, 87, 71, 16, 52, -37, -68, 27, -188, 27, -60, 86, 45, 39, 32, 33, 58, -22, 63, 23, 92, 5, 81, 23, 41, 35, 84, 52, -201, -18, -11, -13, 45, 68, 25, 49, 59, -475, 60, 57, -180, 48, 22, -114, 28, 27, -113, 22, 38, -90, -65, -12, -17, 1, -38, 23, -39, -56, -74, 2, 34, 47, 63, 43, 22, -47, -50, -27, 56, 0, 31, 14, 36]"
3,"[-53, 82, 130, 85, 13, 80, -53, -77, 37, -278, 29, -96, 106, 67, 39, 59, 58, 99, -31, 79, 35, 133, 23, 123, 39, 59, 42, 113, 79, -268, -18, -42, -34, 74, 79, 30, 77, 95, -670, 76, 90, -240, 61, 41, -173, 33, 31, -159, 35, 54, -113, -96, -15, -32, 4, -57, 33, -53, -64, -116, -2, 38, 55, 88, 61, 31, -64, -58, -32, 84, 0, 45, 21, 49]"
4,"[-68, 92, 172, 110, 28, 87, -80, -106, 51, -347, 34, -119, 141, 79, 61, 60, 105, 118, -41, 89, 36, 156, 36, 151, 46, 74, 46, 136, 124, -330, -24, -52, -44, 84, 102, 46, 106, 139, -845, 92, 115, -302, 86, 58, -233, 62, 49, -205, 45, 70, -150, -119, -28, -53, 11, -77, 62, -62, -76, -154, -16, 42, 57, 122, 67, 40, -81, -68, -31, 108, -5, 55, 4, 62]"
5,"[-84, 110, 189, 127, 29, 111, -100, -130, 58, -425, 45, -148, 159, 94, 77, 68, 136, 142, -48, 104, 33, 176, 61, 165, 58, 83, 51, 155, 153, -408, -30, -59, -56, 110, 128, 66, 121, 164, -1012, 110, 148, -373, 90, 77, -277, 77, 73, -228, 59, 97, -199, -130, -24, -57, 10, -91, 104, -76, -82, -176, -17, 56, 49, 140, 73, 57, -93, -97, -46, 134, -10, 54, 21, 74]"
6,"[-93, 131, 226, 143, 33, 126, -122, -141, 74, -483, 73, -173, 169, 121, 86, 74, 154, 174, -51, 124, 26, 195, 64, 176, 70, 93, 59, 194, 178, -448, -23, -52, -57, 141, 128, 68, 123, 178, -1178, 132, 174, -442, 106, 99, -324, 73, 89, -259, 59, 114, -218, -157, -29, -77, 13, -104, 127, -83, -95, -222, -17, 55, 38, 168, 95, 73, -101, -99, -52, 145, -18, 66, 12, 79]"
7,"[-119, 151, 256, 162, 41, 145, -121, -146, 75, -536, 113, -198, 176, 124, 96, 69, 177, 186, -60, 151, 30, 205, 72, 218, 80, 92, 69, 212, 201, -488, -17, -58, -61, 160, 141, 71, 141, 180, -1302, 140, 188, -484, 139, 96, -361, 83, 95, -275, 70, 126, -238, -185, -34, -87, 11, -118, 134, -101, -100, -269, -16, 63, 45, 181, 97, 100, -116, -118, -49, 147, -19, 68, 8, 91]"
8,"[-136, 169, 281, 172, 51, 165, -142, -154, 76, -632, 120, -198, 194, 146, 100, 64, 189, 203, -58, 151, 27, 214, 78, 239, 90, 119, 65, 226, 202, -534, -14, -67, -63, 189, 157, 88, 139, 201, -1413, 139, 218, -538, 152, 114, -391, 82, 103, -293, 82, 136, -270, -204, -33, -83, 9, -134, 161, -117, -103, -290, -24, 71, 33, 204, 109, 113, -122, -123, -52, 169, -19, 70, 19, 108]"
9,"[-147, 171, 292, 181, 51, 186, -138, -182, 77, -671, 139, -221, 207, 169, 113, 66, 210, 229, -62, 159, 37, 252, 81, 258, 96, 124, 45, 237, 224, -582, -6, -91, -71, 198, 179, 98, 158, 219, -1535, 151, 234, -584, 160, 119, -410, 94, 121, -327, 86, 149, -297, -208, -40, -66, 3, -139, 175, -136, -102, -325, -25, 84, 14, 206, 123, 119, -130, -128, -60, 202, -28, 65, 36, 114]"
