,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-35, 26, 43, 20, 10, 30, -14, -20, 25, -112, 17, -40, 19, 29, 40, 20, 33, 41, -4, 43, 5, 35, 1, 49, 11, 8, 9, 40, 31, -87, 4, -8, -17, 30, 21, 29, 15, 38, -251, 17, 24, -81, 35, 12, -71, 3, 7, -57, 14, 22, -43, -21, -11, -10, 7, -21, 25, -25, -7, -42, -8, 12, 8, 40, 21, 24, -15, -27, -12, 22, 4, 10, -1, 11]","[512, 551, 181, 243, 249, 292, 592, 690, 312, 1825, 552, 821, 220, 286, 307, 283, 238, 152, 328, 278, 258, 416, 277, 172, 482, 298, 376, 236, 361, 1348, 485, 462, 228, 301, 328, 285, 820, 151, 2985, 121, 202, 1325, 393, 377, 756, 384, 314, 683, 138, 308, 954, 812, 136, 570, 388, 380, 228, 656, 512, 1041, 339, 229, 618, 231, 364, 425, 271, 630, 401, 263, 166, 360, 669, 78]","[3, 6, 1, 4, 4, 3, 4, 7, 4, 15, 4, 5, 7, 1, 1, 2, 1, 1, 1, 4, 4, 2, 3, 1, 1, 1, 4, 1, 0, 13, 4, 5, 0, 2, 1, 1, 5, 3, 26, 2, 1, 19, 5, 4, 9, 1, 1, 3, 0, 1, 7, 3, 2, 5, 6, 4, 4, 8, 3, 3, 1, 0, 5, 2, 3, 6, 4, 8, 2, 2, 3, 1, 6, 0]",34903
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 3, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-58, 52, 72, 50, 25, 63, -50, -35, 40, -203, 26, -79, 52, 61, 36, 36, 59, 76, -14, 63, 0, 76, -3, 112, 33, 15, 22, 57, 59, -182, -7, -17, -32, 41, 39, 51, 41, 62, -488, 45, 70, -155, 59, 42, -121, 26, 25, -115, 22, 43, -87, -36, -13, -8, -7, -44, 48, -39, -13, -100, -9, 35, 23, 77, 35, 25, -37, -44, -15, 49, 2, 28, 15, 23]","[490, 576, 208, 273, 263, 321, 558, 679, 329, 1731, 561, 786, 254, 316, 304, 299, 259, 187, 316, 298, 254, 458, 264, 236, 504, 299, 390, 252, 388, 1253, 475, 454, 214, 313, 346, 303, 847, 175, 2754, 149, 249, 1244, 419, 407, 704, 404, 333, 627, 146, 324, 905, 793, 135, 564, 374, 359, 251, 641, 506, 985, 337, 253, 634, 268, 381, 425, 250, 618, 400, 291, 164, 378, 683, 89]","[4, 6, 3, 2, 3, 6, 3, 2, 1, 21, 5, 4, 1, 4, 2, 2, 7, 1, 5, 2, 1, 3, 11, 0, 4, 8, 2, 3, 4, 13, 3, 3, 1, 2, 3, 6, 7, 1, 23, 1, 1, 20, 1, 3, 9, 6, 2, 4, 1, 8, 14, 12, 0, 13, 3, 1, 2, 7, 5, 8, 4, 1, 5, 2, 0, 5, 1, 1, 2, 1, 1, 3, 8, 1]",34877
3,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 4, 2, 2, 5, 2, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 8, 1, 27, 1, 2, 12, 4, 4, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-75, 60, 115, 63, 26, 81, -72, -58, 59, -287, 31, -114, 67, 66, 62, 64, 83, 113, -31, 83, 1, 120, 9, 169, 32, 31, 29, 95, 86, -249, -5, -28, -44, 61, 64, 77, 71, 88, -685, 74, 83, -248, 88, 57, -175, 29, 45, -153, 25, 57, -125, -53, -21, -7, 2, -51, 60, -54, -27, -132, -26, 39, 41, 104, 55, 25, -64, -54, -30, 80, 2, 46, 19, 31]","[473, 583, 252, 280, 264, 336, 535, 655, 349, 1646, 566, 750, 267, 322, 330, 326, 280, 220, 299, 317, 256, 497, 277, 292, 505, 313, 397, 291, 414, 1190, 477, 442, 203, 335, 370, 327, 882, 199, 2563, 178, 261, 1157, 449, 423, 650, 407, 353, 590, 149, 338, 869, 775, 128, 561, 380, 352, 262, 622, 493, 956, 319, 257, 653, 294, 401, 423, 222, 610, 386, 321, 165, 391, 685, 96]","[4, 6, 1, 8, 2, 6, 6, 7, 2, 18, 5, 8, 4, 2, 3, 3, 5, 5, 3, 3, 1, 9, 1, 3, 3, 4, 3, 1, 4, 8, 4, 5, 1, 1, 4, 5, 3, 3, 21, 1, 3, 6, 3, 3, 7, 4, 3, 5, 1, 3, 7, 8, 0, 9, 6, 3, 3, 10, 4, 6, 4, 2, 5, 3, 3, 6, 3, 4, 3, 3, 0, 8, 8, 1]",34856
4,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 3, 2, 2, 2, 3, 2, 4, 2, 2, 5, 3, 3, 2, 4, 11, 4, 4, 2, 3, 3, 3, 8, 1, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 3, 6, 0]","[-104, 84, 158, 84, 27, 104, -75, -100, 73, -368, 57, -154, 77, 101, 74, 70, 106, 128, -32, 98, 8, 156, 23, 212, 30, 52, 41, 111, 109, -306, 3, -51, -55, 86, 78, 103, 72, 114, -884, 88, 106, -310, 98, 70, -225, 41, 66, -175, 35, 78, -174, -85, -21, -3, 1, -65, 87, -73, -44, -166, -25, 49, 51, 123, 64, 32, -72, -68, -43, 127, -2, 50, 26, 49]","[444, 609, 296, 302, 260, 361, 536, 611, 364, 1562, 588, 709, 278, 360, 341, 330, 303, 235, 296, 331, 263, 533, 289, 333, 504, 332, 407, 306, 440, 1127, 479, 421, 192, 358, 385, 354, 881, 224, 2356, 191, 282, 1095, 460, 438, 601, 419, 375, 565, 157, 361, 822, 740, 128, 568, 378, 337, 289, 604, 475, 923, 317, 264, 661, 314, 411, 430, 216, 595, 371, 366, 159, 394, 690, 114]","[4, 3, 1, 1, 7, 1, 1, 8, 2, 19, 9, 8, 1, 0, 4, 5, 2, 2, 4, 4, 2, 4, 4, 4, 4, 5, 5, 3, 1, 17, 10, 2, 2, 5, 2, 2, 10, 2, 33, 2, 4, 11, 3, 2, 5, 4, 2, 8, 3, 1, 6, 10, 1, 2, 4, 4, 2, 5, 5, 8, 6, 5, 8, 1, 3, 4, 0, 7, 5, 5, 3, 4, 8, 0]",34810
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 5, 7, 2, 3, 3, 3, 3, 2, 2, 3, 2, 5, 2, 3, 5, 3, 4, 3, 4, 11, 4, 4, 1, 3, 3, 3, 8, 2, 23, 1, 2, 10, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-124, 98, 194, 99, 30, 119, -107, -117, 79, -444, 70, -157, 105, 119, 85, 74, 136, 143, -32, 108, 20, 191, 31, 239, 40, 69, 52, 136, 124, -366, 7, -60, -69, 117, 103, 108, 79, 131, -1050, 110, 122, -376, 108, 76, -263, 50, 78, -203, 46, 76, -205, -110, -27, 13, 3, -80, 95, -86, -60, -188, -25, 60, 61, 138, 86, 40, -84, -77, -46, 151, -11, 65, 30, 53]","[422, 622, 328, 314, 263, 376, 500, 598, 372, 1476, 597, 701, 307, 379, 351, 334, 330, 250, 296, 343, 272, 565, 294, 358, 514, 352, 419, 327, 453, 1069, 483, 412, 177, 389, 411, 356, 892, 239, 2196, 213, 296, 1026, 468, 446, 558, 430, 383, 536, 166, 358, 785, 715, 121, 585, 376, 323, 292, 588, 453, 899, 317, 274, 676, 325, 435, 432, 205, 588, 364, 388, 150, 407, 693, 119]","[6, 7, 6, 6, 2, 3, 9, 2, 1, 25, 9, 12, 1, 2, 4, 3, 6, 2, 2, 1, 5, 8, 5, 5, 5, 0, 3, 7, 6, 9, 4, 4, 2, 3, 2, 6, 4, 4, 17, 1, 4, 13, 6, 2, 11, 2, 7, 6, 3, 4, 14, 7, 2, 4, 7, 2, 7, 9, 10, 11, 3, 3, 1, 7, 2, 10, 1, 3, 7, 5, 1, 5, 7, 0]",34727
6,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 2, 3, 5, 3, 4, 3, 4, 10, 4, 4, 1, 3, 4, 3, 8, 2, 21, 2, 2, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 3, 3, 2, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-126, 104, 212, 125, 39, 136, -123, -135, 80, -529, 90, -183, 121, 122, 95, 87, 159, 166, -45, 138, 24, 209, 43, 266, 63, 81, 54, 153, 151, -428, 8, -71, -71, 139, 131, 107, 111, 143, -1193, 123, 145, -426, 136, 82, -302, 71, 81, -230, 47, 87, -236, -119, -28, 1, -10, -97, 129, -82, -58, -217, -30, 69, 51, 155, 97, 47, -89, -96, -57, 161, -16, 79, 14, 65]","[422, 625, 344, 343, 273, 393, 483, 580, 373, 1387, 618, 672, 321, 383, 362, 346, 351, 273, 280, 369, 277, 581, 305, 385, 536, 359, 421, 345, 482, 1006, 486, 399, 174, 408, 438, 357, 925, 249, 2050, 222, 318, 977, 494, 452, 519, 450, 384, 506, 166, 367, 755, 707, 119, 570, 363, 304, 324, 590, 452, 872, 308, 281, 660, 338, 446, 439, 200, 566, 353, 396, 143, 422, 672, 131]","[2, 9, 5, 0, 1, 3, 6, 5, 3, 18, 4, 10, 5, 2, 2, 4, 5, 2, 5, 7, 1, 7, 3, 3, 6, 8, 4, 2, 2, 11, 2, 6, 2, 6, 5, 1, 7, 4, 24, 6, 3, 9, 6, 4, 5, 5, 5, 8, 2, 5, 6, 6, 2, 8, 3, 5, 4, 7, 7, 6, 7, 4, 12, 7, 4, 4, 2, 8, 3, 5, 3, 3, 11, 1]",34647
7,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 1, 4, 4, 3, 9, 2, 20, 2, 3, 9, 4, 4, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-142, 150, 246, 140, 36, 150, -136, -147, 81, -579, 104, -195, 148, 134, 98, 79, 183, 192, -51, 157, 23, 224, 48, 293, 71, 73, 63, 162, 177, -475, 14, -81, -76, 157, 134, 98, 113, 167, -1320, 132, 172, -483, 162, 103, -341, 87, 97, -265, 60, 98, -266, -157, -39, -1, -14, -119, 152, -104, -74, -238, -20, 69, 68, 166, 117, 61, -99, -107, -57, 174, -17, 84, 7, 79]","[406, 666, 378, 357, 271, 402, 467, 567, 374, 1334, 631, 662, 347, 395, 360, 335, 375, 298, 274, 388, 276, 593, 310, 412, 543, 350, 428, 354, 510, 961, 487, 390, 169, 427, 437, 344, 924, 272, 1929, 232, 343, 924, 514, 470, 476, 460, 401, 469, 178, 377, 717, 670, 109, 560, 359, 281, 348, 563, 437, 848, 317, 283, 675, 351, 463, 454, 192, 552, 356, 407, 141, 430, 664, 142]","[4, 11, 3, 4, 1, 8, 7, 6, 3, 16, 7, 4, 4, 3, 8, 6, 3, 3, 2, 3, 2, 8, 3, 3, 6, 4, 6, 3, 2, 8, 9, 2, 1, 3, 8, 7, 12, 3, 14, 1, 5, 5, 10, 7, 9, 10, 2, 7, 2, 4, 15, 6, 0, 13, 3, 4, 2, 10, 3, 11, 4, 0, 8, 1, 7, 3, 0, 8, 0, 5, 2, 1, 7, 4]",34566
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 4, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 9, 2, 19, 2, 3, 9, 5, 4, 4, 4, 4, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-149, 164, 269, 154, 40, 176, -150, -156, 83, -628, 122, -207, 166, 153, 105, 91, 178, 209, -62, 164, 22, 258, 53, 300, 95, 70, 70, 182, 193, -528, -6, -106, -71, 172, 162, 108, 96, 182, -1431, 130, 193, -529, 176, 119, -373, 96, 106, -279, 77, 115, -281, -173, -45, 0, -11, -137, 155, -102, -85, -281, -18, 80, 60, 176, 121, 88, -108, -121, -71, 206, -29, 96, 14, 92]","[401, 682, 399, 367, 275, 428, 452, 558, 376, 1278, 650, 649, 366, 411, 366, 347, 367, 316, 261, 395, 272, 622, 311, 418, 568, 343, 434, 375, 525, 908, 467, 362, 173, 440, 462, 355, 898, 282, 1817, 229, 361, 869, 529, 485, 441, 464, 412, 454, 192, 388, 703, 647, 104, 552, 363, 259, 351, 560, 423, 801, 322, 292, 666, 361, 467, 478, 180, 534, 340, 440, 130, 442, 668, 156]","[2, 4, 5, 7, 2, 4, 5, 5, 3, 20, 5, 7, 2, 6, 4, 3, 6, 1, 4, 3, 5, 10, 7, 5, 4, 7, 5, 2, 6, 9, 4, 6, 2, 6, 7, 2, 18, 7, 20, 3, 6, 18, 4, 5, 7, 9, 2, 5, 4, 9, 6, 13, 0, 14, 2, 6, 3, 10, 7, 12, 0, 4, 7, 3, 4, 7, 4, 9, 5, 3, 0, 4, 9, 0]",34439
9,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 12, 6, 6, 3, 4, 3, 3, 3, 3, 2, 3, 2, 6, 3, 4, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 8, 2, 18, 2, 3, 8, 5, 4, 4, 4, 4, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-156, 170, 285, 161, 40, 186, -154, -174, 92, -670, 130, -205, 185, 149, 117, 105, 187, 229, -70, 169, 29, 285, 60, 318, 107, 67, 72, 199, 213, -570, -4, -120, -79, 201, 178, 117, 108, 216, -1560, 129, 218, -566, 188, 117, -407, 101, 115, -297, 78, 123, -321, -200, -43, -4, -20, -151, 167, -109, -90, -314, -25, 93, 54, 193, 127, 99, -110, -114, -67, 217, -28, 113, 19, 102]","[394, 683, 414, 376, 272, 437, 445, 536, 387, 1230, 657, 645, 387, 402, 377, 360, 376, 337, 249, 399, 279, 645, 319, 437, 578, 338, 437, 390, 547, 867, 465, 347, 162, 465, 476, 363, 910, 316, 1689, 229, 385, 821, 542, 483, 408, 466, 421, 437, 193, 388, 663, 623, 105, 542, 354, 242, 361, 555, 416, 768, 317, 303, 661, 378, 472, 489, 176, 542, 345, 452, 130, 457, 672, 166]","[4, 11, 4, 1, 5, 5, 7, 9, 1, 18, 7, 12, 1, 9, 4, 4, 3, 2, 6, 4, 2, 10, 2, 3, 7, 5, 3, 5, 3, 8, 8, 4, 4, 8, 6, 4, 8, 2, 17, 1, 4, 19, 4, 4, 3, 7, 4, 3, 1, 11, 7, 3, 2, 11, 3, 5, 5, 3, 6, 8, 1, 4, 5, 3, 5, 4, 3, 4, 2, 3, 2, 6, 7, 1]",34355
