,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-24, 16, 43, 28, -2, 35, -17, -7, 22, -67, 19, -43, 22, 24, 8, 28, 23, 30, -15, 14, -3, 53, 16, 51, 11, 3, 13, 36, 34, -67, -23, -9, -12, 32, 28, 19, 17, 48, -235, 21, 27, -102, 17, -1, -50, 11, 6, -55, 6, 35, -64, -39, -8, -11, 3, -19, 23, -32, -1, -47, 14, 11, 10, 33, 30, 23, -20, -17, -19, 15, -1, 10, 17, 25]","[521, 542, 180, 249, 241, 297, 588, 702, 310, 1864, 555, 817, 229, 279, 272, 290, 226, 141, 318, 252, 250, 434, 293, 175, 483, 294, 381, 232, 363, 1377, 460, 463, 228, 303, 336, 273, 820, 161, 2994, 126, 205, 1312, 377, 366, 780, 389, 307, 686, 129, 320, 927, 792, 140, 569, 387, 383, 228, 647, 519, 1032, 361, 227, 622, 224, 376, 424, 267, 645, 394, 256, 162, 358, 683, 92]","[5, 5, 2, 6, 0, 3, 5, 8, 3, 21, 3, 6, 1, 3, 4, 3, 3, 1, 0, 1, 4, 2, 2, 0, 0, 0, 3, 1, 1, 4, 2, 3, 5, 2, 0, 3, 7, 3, 33, 1, 1, 11, 3, 2, 6, 4, 7, 2, 1, 2, 13, 5, 1, 5, 3, 3, 2, 10, 2, 7, 1, 1, 3, 2, 0, 6, 3, 3, 2, 2, 2, 3, 10, 0]",34905
2,"[5, 5, 1, 2, 2, 2, 5, 7, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-54, 33, 72, 51, 2, 54, -30, -37, 21, -167, 38, -83, 42, 44, 9, 47, 35, 57, -17, 42, 18, 80, 20, 98, 32, 11, 32, 73, 62, -151, -20, -33, -16, 66, 50, 24, 33, 81, -457, 52, 66, -175, 41, 11, -110, 27, 38, -97, 22, 56, -103, -75, -6, -14, 1, -47, 60, -47, 1, -95, 8, 17, 19, 81, 47, 40, -35, -39, -42, 44, 10, 31, 16, 35]","[492, 558, 208, 272, 246, 314, 576, 671, 308, 1766, 573, 780, 249, 300, 274, 309, 239, 169, 316, 282, 268, 460, 294, 219, 504, 302, 398, 269, 386, 1300, 466, 441, 223, 337, 358, 278, 833, 194, 2780, 155, 244, 1238, 398, 380, 721, 402, 338, 640, 143, 341, 889, 755, 142, 560, 387, 356, 265, 631, 525, 988, 353, 231, 632, 272, 394, 441, 253, 618, 369, 286, 174, 379, 680, 101]","[4, 6, 2, 2, 1, 4, 4, 8, 4, 16, 6, 5, 2, 1, 1, 2, 1, 0, 3, 0, 5, 5, 5, 4, 4, 2, 5, 2, 8, 6, 1, 2, 3, 3, 3, 2, 11, 1, 21, 3, 2, 14, 6, 1, 6, 6, 4, 10, 3, 3, 8, 8, 1, 11, 1, 2, 2, 7, 1, 6, 5, 4, 5, 2, 2, 4, 1, 11, 5, 1, 0, 3, 8, 1]",34893
3,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 3, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 3, 3, 7, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-76, 53, 98, 76, 7, 81, -56, -56, 24, -266, 54, -127, 93, 79, 32, 60, 53, 88, -22, 51, 33, 114, 23, 147, 40, 15, 36, 113, 72, -225, -8, -39, -30, 82, 80, 45, 67, 112, -658, 63, 88, -245, 50, 35, -160, 46, 55, -145, 26, 82, -135, -100, -17, -27, 3, -61, 76, -83, -16, -146, -3, 35, 36, 115, 63, 56, -47, -51, -47, 62, 4, 50, 26, 47]","[467, 577, 236, 297, 250, 341, 552, 649, 312, 1669, 590, 738, 299, 336, 297, 323, 257, 200, 313, 291, 283, 495, 295, 267, 510, 306, 402, 308, 395, 1229, 478, 432, 211, 353, 388, 300, 862, 224, 2587, 165, 265, 1174, 406, 404, 672, 423, 357, 595, 148, 367, 859, 730, 132, 551, 389, 343, 280, 592, 509, 936, 339, 247, 650, 304, 411, 455, 243, 607, 363, 304, 166, 397, 689, 112]","[7, 6, 0, 2, 3, 3, 3, 9, 2, 15, 4, 5, 3, 2, 2, 2, 2, 1, 1, 2, 2, 3, 4, 3, 7, 3, 3, 3, 4, 10, 4, 7, 0, 3, 3, 1, 13, 2, 19, 2, 3, 6, 4, 3, 6, 2, 1, 3, 0, 3, 6, 7, 0, 1, 3, 2, 3, 9, 4, 10, 6, 4, 5, 4, 2, 6, 0, 5, 4, 2, 3, 4, 7, 2]",34903
4,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 2, 3, 2, 2, 3, 2, 2, 4, 2, 2, 5, 3, 4, 3, 3, 12, 4, 4, 2, 3, 3, 3, 8, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 5, 9, 3, 2, 6, 3, 4, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-90, 91, 132, 101, 16, 101, -74, -70, 40, -363, 46, -153, 117, 102, 43, 72, 70, 117, -27, 59, 40, 135, 46, 166, 65, 24, 52, 139, 97, -300, -2, -53, -39, 98, 104, 60, 78, 146, -856, 76, 122, -317, 61, 59, -199, 53, 70, -196, 34, 96, -176, -126, -26, -22, 0, -77, 95, -88, -13, -184, -5, 56, 41, 151, 76, 67, -54, -71, -54, 94, 0, 62, 13, 52]","[453, 612, 268, 318, 258, 359, 532, 637, 328, 1569, 580, 715, 320, 359, 308, 334, 273, 230, 308, 297, 289, 516, 318, 287, 532, 312, 415, 336, 419, 1147, 484, 414, 200, 371, 410, 315, 876, 258, 2390, 178, 297, 1105, 415, 430, 635, 430, 368, 545, 156, 380, 816, 706, 123, 558, 386, 325, 295, 589, 508, 899, 332, 266, 653, 340, 427, 467, 236, 589, 352, 337, 160, 408, 674, 116]","[4, 8, 4, 6, 3, 5, 7, 4, 3, 19, 7, 4, 5, 3, 2, 4, 3, 1, 3, 4, 3, 4, 2, 1, 8, 6, 7, 1, 4, 19, 4, 8, 4, 1, 5, 3, 5, 2, 24, 1, 4, 8, 6, 2, 4, 4, 7, 4, 1, 4, 10, 5, 1, 3, 3, 5, 6, 3, 9, 8, 8, 4, 8, 3, 1, 3, 2, 4, 7, 2, 3, 4, 8, 2]",34848
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 5, 7, 3, 3, 3, 3, 2, 2, 3, 2, 2, 5, 3, 2, 5, 3, 4, 3, 4, 11, 4, 4, 2, 3, 4, 3, 8, 2, 23, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 5, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-94, 111, 171, 108, 35, 124, -90, -100, 54, -448, 46, -185, 138, 128, 57, 84, 93, 145, -19, 96, 46, 153, 62, 184, 71, 41, 59, 154, 120, -343, -10, -60, -47, 123, 116, 66, 87, 181, -1031, 91, 145, -377, 70, 89, -248, 67, 74, -240, 45, 101, -206, -145, -26, -33, -3, -83, 112, -107, -13, -216, -23, 69, 40, 173, 79, 82, -70, -84, -58, 109, 6, 72, 15, 67]","[451, 634, 306, 326, 278, 381, 515, 605, 342, 1479, 581, 681, 342, 382, 321, 349, 294, 258, 314, 333, 294, 535, 334, 306, 535, 326, 423, 348, 441, 1104, 477, 405, 191, 395, 422, 318, 885, 294, 2217, 191, 319, 1043, 420, 459, 590, 444, 372, 502, 167, 380, 787, 691, 124, 546, 383, 320, 313, 571, 508, 867, 317, 277, 653, 362, 432, 482, 220, 577, 348, 353, 165, 419, 671, 131]","[2, 4, 3, 2, 1, 4, 6, 8, 3, 20, 4, 9, 2, 6, 4, 0, 4, 2, 5, 3, 3, 4, 3, 1, 8, 6, 3, 6, 5, 11, 3, 6, 3, 4, 4, 6, 8, 1, 21, 3, 3, 13, 8, 5, 2, 4, 3, 4, 1, 8, 7, 3, 0, 6, 3, 2, 1, 4, 5, 8, 0, 4, 5, 3, 2, 4, 2, 4, 3, 2, 2, 3, 11, 1]",34826
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 14, 5, 6, 3, 3, 3, 3, 2, 2, 3, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 11, 4, 4, 1, 3, 4, 3, 8, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 3, 3, 5, 5, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-122, 130, 202, 130, 35, 151, -115, -125, 62, -487, 53, -210, 154, 154, 78, 106, 117, 174, -5, 123, 48, 167, 71, 225, 58, 64, 54, 172, 157, -402, -8, -77, -48, 127, 138, 78, 107, 197, -1191, 107, 172, -439, 84, 91, -275, 69, 93, -270, 59, 117, -232, -171, -26, -30, 3, -93, 126, -131, -34, -256, -24, 81, 23, 186, 82, 86, -86, -98, -58, 128, 0, 83, 20, 71]","[424, 650, 332, 347, 274, 407, 489, 582, 349, 1435, 589, 655, 357, 403, 341, 369, 314, 286, 329, 359, 296, 551, 341, 349, 521, 347, 417, 366, 474, 1046, 477, 389, 189, 398, 446, 331, 907, 305, 2049, 205, 346, 980, 436, 461, 566, 448, 392, 472, 181, 398, 760, 665, 125, 548, 384, 308, 325, 543, 490, 825, 314, 288, 637, 374, 434, 483, 203, 563, 349, 373, 159, 429, 676, 133]","[3, 9, 8, 4, 6, 4, 6, 4, 4, 19, 4, 7, 4, 8, 4, 5, 6, 3, 2, 4, 2, 3, 5, 1, 6, 5, 5, 3, 8, 10, 6, 3, 2, 4, 2, 2, 6, 7, 30, 3, 3, 11, 2, 4, 2, 2, 2, 5, 1, 1, 8, 6, 0, 6, 8, 5, 5, 9, 2, 10, 5, 3, 5, 4, 5, 7, 3, 5, 2, 2, 1, 5, 6, 3]",34763
7,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 14, 5, 6, 3, 4, 3, 3, 3, 2, 3, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 1, 3, 4, 3, 9, 3, 20, 2, 3, 9, 4, 4, 5, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-141, 145, 227, 151, 36, 152, -127, -131, 80, -555, 66, -235, 173, 171, 94, 111, 140, 196, -13, 134, 60, 180, 79, 260, 70, 77, 58, 191, 184, -459, -13, -91, -52, 141, 165, 85, 126, 223, -1340, 128, 187, -495, 109, 96, -316, 87, 96, -304, 72, 114, -255, -182, -33, -29, 7, -113, 146, -134, -48, -288, -28, 81, 29, 204, 95, 101, -91, -111, -67, 142, -4, 88, 21, 77]","[401, 657, 354, 368, 273, 410, 477, 576, 367, 1363, 599, 625, 376, 418, 352, 370, 333, 309, 319, 368, 308, 560, 347, 381, 534, 355, 423, 381, 502, 992, 470, 374, 185, 413, 473, 335, 926, 330, 1903, 228, 363, 921, 459, 463, 520, 466, 395, 436, 195, 393, 736, 650, 118, 541, 384, 283, 347, 539, 474, 795, 309, 287, 644, 389, 446, 498, 195, 547, 342, 386, 153, 436, 675, 138]","[8, 14, 6, 3, 4, 2, 4, 5, 3, 18, 8, 11, 3, 6, 8, 7, 7, 1, 5, 5, 2, 9, 5, 6, 4, 8, 2, 7, 3, 7, 6, 4, 1, 2, 4, 6, 9, 4, 17, 0, 1, 12, 6, 7, 10, 4, 3, 6, 0, 5, 8, 10, 1, 13, 7, 8, 1, 6, 6, 6, 4, 3, 5, 6, 5, 4, 5, 8, 1, 4, 3, 2, 8, 2]",34658
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 5, 6, 3, 4, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 9, 3, 19, 2, 3, 9, 4, 4, 5, 4, 3, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-154, 170, 253, 162, 49, 162, -136, -145, 80, -609, 65, -242, 202, 180, 105, 122, 141, 209, -14, 150, 50, 181, 96, 276, 67, 83, 75, 192, 209, -512, 0, -103, -59, 161, 187, 86, 119, 246, -1462, 139, 190, -545, 128, 105, -351, 113, 114, -333, 76, 125, -262, -213, -35, -36, -10, -128, 177, -144, -62, -292, -35, 86, 14, 218, 111, 111, -94, -116, -85, 166, 0, 106, 32, 88]","[383, 678, 377, 376, 283, 417, 467, 560, 364, 1300, 595, 613, 403, 418, 363, 377, 331, 319, 316, 384, 297, 557, 363, 396, 530, 360, 436, 380, 529, 941, 485, 355, 174, 432, 493, 334, 920, 350, 1766, 240, 364, 869, 476, 473, 479, 489, 410, 407, 197, 400, 728, 621, 115, 531, 363, 262, 378, 527, 462, 789, 305, 290, 629, 399, 461, 504, 191, 539, 324, 406, 156, 448, 687, 149]","[9, 10, 6, 6, 5, 7, 5, 7, 6, 22, 8, 11, 5, 13, 3, 7, 6, 6, 5, 3, 4, 9, 4, 4, 6, 4, 8, 5, 3, 7, 2, 10, 5, 5, 6, 5, 8, 6, 34, 1, 5, 11, 6, 3, 11, 7, 6, 4, 3, 7, 8, 4, 2, 8, 7, 8, 3, 7, 2, 9, 0, 4, 6, 7, 5, 8, 2, 8, 3, 7, 2, 10, 5, 1]",34490
9,"[3, 6, 3, 3, 2, 4, 4, 5, 3, 13, 5, 6, 4, 4, 3, 3, 3, 3, 3, 3, 2, 5, 3, 3, 5, 3, 4, 3, 5, 9, 4, 3, 1, 4, 4, 3, 9, 3, 17, 2, 3, 8, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-162, 190, 268, 173, 58, 175, -135, -160, 87, -647, 87, -250, 215, 201, 102, 150, 157, 214, -23, 161, 51, 183, 103, 296, 68, 110, 78, 208, 230, -556, -2, -108, -63, 171, 183, 92, 106, 253, -1574, 153, 210, -571, 161, 102, -372, 113, 119, -351, 84, 144, -290, -229, -39, -40, -6, -132, 190, -175, -69, -324, -52, 97, 9, 230, 120, 113, -94, -140, -80, 178, 5, 123, 25, 98]","[376, 697, 389, 385, 293, 429, 465, 546, 370, 1263, 614, 601, 417, 437, 359, 404, 346, 322, 308, 395, 297, 558, 369, 416, 530, 385, 441, 396, 548, 899, 482, 347, 168, 441, 491, 338, 906, 359, 1652, 254, 384, 835, 508, 469, 457, 487, 415, 388, 204, 419, 697, 606, 112, 527, 364, 257, 390, 495, 453, 757, 286, 300, 620, 408, 470, 504, 190, 511, 326, 417, 159, 463, 673, 159]","[2, 7, 6, 5, 1, 5, 7, 4, 4, 12, 8, 10, 3, 6, 4, 4, 4, 5, 2, 3, 3, 6, 4, 3, 6, 5, 2, 3, 7, 7, 5, 6, 3, 5, 2, 5, 10, 1, 19, 2, 3, 16, 5, 5, 5, 6, 4, 5, 2, 4, 10, 5, 0, 5, 6, 3, 4, 6, 6, 7, 5, 3, 10, 6, 4, 7, 2, 9, 6, 5, 3, 6, 13, 1]",34403
