,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-24, 23, 30, 21, 15, 38, -33, -23, 22, -100, -7, -36, 27, 25, 22, 19, 42, 24, -8, 15, 9, 42, 9, 41, 19, 13, 15, 41, 34, -84, 13, -18, -18, 24, 21, 24, 40, 27, -263, 25, 37, -92, 24, 23, -55, 23, 3, -49, 10, 13, -57, -19, -7, -24, 1, -26, 24, -27, -12, -46, 3, 27, 8, 40, 19, 26, -22, -21, -10, 53, 5, 1, 7, 14]","[522, 549, 166, 243, 256, 302, 574, 688, 312, 1836, 524, 825, 235, 282, 290, 283, 246, 136, 320, 254, 265, 421, 285, 163, 490, 301, 385, 233, 361, 1358, 493, 451, 226, 296, 326, 280, 845, 142, 2965, 130, 216, 1319, 382, 389, 778, 400, 308, 691, 132, 299, 938, 814, 142, 556, 384, 375, 228, 658, 510, 1027, 351, 243, 620, 227, 364, 424, 268, 638, 401, 294, 167, 348, 677, 81]","[4, 5, 3, 5, 2, 1, 3, 6, 1, 16, 8, 5, 0, 1, 0, 1, 2, 0, 5, 0, 1, 4, 3, 2, 1, 3, 1, 5, 3, 6, 5, 6, 1, 1, 3, 1, 5, 1, 34, 1, 0, 14, 5, 3, 3, 5, 3, 3, 2, 1, 9, 3, 0, 5, 4, 4, 3, 4, 0, 13, 0, 1, 3, 6, 1, 9, 0, 6, 4, 2, 3, 4, 6, 0]",34908
2,"[5, 5, 1, 2, 2, 3, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 2, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-63, 50, 78, 57, 14, 71, -57, -47, 41, -187, 14, -76, 53, 48, 36, 35, 61, 44, -7, 59, 17, 77, 7, 81, 32, 41, 26, 70, 68, -163, 17, -33, -28, 54, 59, 23, 47, 69, -502, 49, 67, -161, 48, 30, -115, 44, 33, -84, 19, 24, -83, -46, -9, -41, -5, -45, 43, -46, -18, -99, 0, 23, 28, 70, 27, 40, -43, -45, -16, 85, 5, 15, -4, 24]","[487, 575, 214, 278, 256, 336, 552, 664, 333, 1750, 545, 788, 262, 305, 306, 299, 267, 155, 319, 295, 274, 456, 279, 202, 501, 327, 398, 259, 394, 1281, 498, 437, 217, 324, 365, 279, 848, 182, 2729, 152, 245, 1249, 408, 398, 716, 423, 335, 653, 140, 310, 911, 788, 140, 536, 377, 357, 248, 639, 504, 971, 346, 240, 639, 256, 373, 436, 248, 612, 396, 327, 167, 363, 669, 91]","[1, 6, 1, 3, 1, 2, 3, 6, 1, 17, 5, 5, 1, 2, 0, 2, 0, 2, 5, 5, 1, 4, 6, 2, 6, 5, 1, 5, 4, 11, 3, 3, 1, 4, 2, 2, 12, 3, 26, 3, 3, 14, 1, 1, 9, 2, 6, 9, 2, 2, 10, 7, 1, 8, 4, 2, 1, 6, 5, 13, 5, 1, 7, 3, 2, 6, 1, 8, 3, 1, 1, 2, 3, 0]",34899
3,"[4, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 4, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 3, 1, 3, 6, 0]","[-76, 79, 126, 72, 27, 91, -67, -57, 59, -256, 26, -120, 85, 71, 70, 55, 99, 67, -19, 84, 20, 113, 13, 111, 28, 71, 28, 104, 93, -247, 22, -46, -29, 73, 77, 38, 61, 89, -673, 57, 94, -239, 78, 29, -163, 56, 48, -134, 28, 47, -127, -67, -17, -35, 4, -63, 60, -81, -32, -140, 1, 31, 40, 83, 36, 50, -64, -75, -20, 96, 0, 31, -13, 39]","[475, 604, 263, 295, 269, 354, 541, 655, 353, 1683, 555, 749, 293, 327, 343, 319, 305, 177, 306, 318, 277, 486, 286, 231, 497, 357, 399, 294, 418, 1200, 505, 426, 218, 339, 381, 295, 858, 203, 2560, 160, 271, 1169, 439, 397, 666, 437, 349, 599, 148, 332, 867, 766, 133, 541, 386, 337, 264, 604, 492, 932, 343, 247, 651, 270, 380, 448, 225, 584, 394, 337, 161, 379, 662, 106]","[3, 5, 1, 0, 2, 5, 6, 5, 1, 15, 7, 2, 3, 4, 0, 2, 2, 2, 4, 4, 2, 10, 1, 3, 5, 3, 4, 1, 4, 9, 2, 2, 0, 7, 5, 1, 12, 0, 25, 1, 3, 14, 3, 3, 9, 2, 4, 10, 2, 4, 9, 8, 0, 6, 3, 5, 3, 6, 3, 7, 7, 3, 6, 1, 5, 2, 4, 4, 1, 4, 2, 3, 4, 0]",34890
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 3, 3, 1, 3, 3, 2, 4, 2, 2, 4, 3, 3, 2, 4, 12, 5, 4, 2, 3, 3, 2, 8, 2, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-82, 84, 152, 86, 35, 105, -78, -75, 63, -326, 31, -150, 103, 92, 81, 83, 115, 85, -20, 107, 25, 141, 33, 130, 37, 77, 29, 137, 121, -303, 12, -62, -40, 94, 107, 45, 79, 108, -874, 76, 123, -302, 94, 47, -204, 64, 62, -166, 42, 62, -177, -95, -22, -37, 7, -71, 94, -101, -36, -163, 3, 42, 52, 90, 54, 74, -74, -93, -36, 105, -1, 45, 2, 53]","[468, 610, 287, 308, 277, 365, 526, 631, 357, 1601, 556, 722, 312, 346, 355, 344, 318, 195, 300, 341, 281, 514, 307, 250, 505, 362, 401, 324, 448, 1146, 492, 410, 209, 360, 411, 299, 875, 224, 2370, 180, 300, 1108, 456, 412, 626, 442, 361, 569, 163, 342, 818, 740, 129, 539, 389, 326, 296, 584, 488, 906, 343, 260, 659, 275, 398, 469, 215, 567, 381, 344, 159, 393, 676, 118]","[5, 5, 4, 3, 2, 6, 9, 12, 3, 28, 9, 4, 1, 5, 2, 6, 6, 1, 8, 3, 3, 4, 1, 2, 5, 4, 2, 5, 2, 10, 8, 4, 0, 3, 3, 5, 9, 0, 14, 0, 2, 9, 3, 6, 5, 7, 5, 3, 0, 8, 7, 5, 0, 5, 3, 6, 4, 6, 4, 12, 5, 0, 10, 4, 3, 7, 2, 4, 0, 5, 2, 3, 7, 3]",34838
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 3, 3, 3, 1, 3, 3, 2, 5, 3, 2, 5, 3, 4, 3, 4, 11, 4, 4, 2, 3, 4, 2, 8, 2, 23, 1, 3, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-97, 103, 184, 102, 31, 134, -85, -88, 69, -395, 53, -179, 127, 112, 91, 108, 134, 120, -32, 120, 11, 167, 44, 151, 48, 88, 36, 157, 133, -361, 12, -80, -49, 121, 123, 62, 102, 135, -1004, 90, 150, -376, 120, 54, -251, 69, 88, -190, 54, 80, -220, -124, -28, -57, 9, -87, 112, -125, -33, -191, -4, 34, 56, 115, 67, 83, -87, -124, -44, 125, -1, 56, 5, 67]","[451, 632, 315, 326, 272, 394, 519, 615, 364, 1533, 572, 696, 337, 360, 366, 366, 337, 230, 288, 353, 267, 539, 316, 268, 518, 370, 410, 342, 462, 1091, 492, 393, 199, 387, 423, 316, 894, 251, 2239, 193, 326, 1038, 485, 416, 576, 447, 387, 540, 174, 360, 777, 707, 122, 519, 389, 306, 312, 560, 485, 879, 335, 253, 664, 297, 411, 478, 202, 537, 372, 363, 160, 403, 677, 131]","[6, 3, 6, 1, 3, 3, 5, 9, 2, 15, 11, 4, 2, 9, 2, 6, 3, 1, 3, 4, 2, 6, 5, 5, 3, 6, 2, 5, 2, 8, 4, 3, 3, 3, 8, 2, 12, 2, 24, 2, 4, 7, 1, 7, 9, 4, 3, 10, 2, 3, 6, 11, 2, 5, 5, 7, 4, 5, 10, 8, 4, 1, 5, 5, 3, 4, 2, 4, 4, 4, 0, 4, 8, 2]",34784
6,"[4, 6, 3, 3, 2, 3, 5, 6, 3, 15, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 2, 5, 3, 4, 3, 4, 10, 4, 3, 1, 3, 4, 3, 8, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-112, 118, 211, 118, 29, 146, -102, -114, 92, -449, 50, -206, 143, 134, 91, 124, 136, 145, -40, 140, 23, 197, 49, 186, 66, 88, 44, 198, 162, -409, 7, -93, -61, 144, 141, 61, 116, 147, -1146, 105, 176, -429, 142, 92, -301, 76, 99, -219, 65, 97, -263, -152, -33, -62, 1, -105, 142, -154, -29, -229, -8, 46, 50, 141, 68, 99, -98, -123, -60, 151, -4, 72, 4, 69]","[436, 639, 341, 342, 271, 407, 500, 590, 385, 1473, 570, 672, 354, 381, 368, 382, 340, 253, 277, 373, 277, 572, 318, 299, 536, 366, 421, 374, 491, 1039, 486, 379, 186, 408, 440, 316, 907, 264, 2098, 207, 349, 989, 506, 453, 527, 457, 399, 512, 184, 378, 734, 677, 116, 509, 381, 281, 343, 528, 489, 836, 329, 263, 656, 324, 409, 493, 191, 539, 356, 388, 156, 421, 673, 134]","[4, 14, 4, 3, 1, 2, 7, 5, 5, 21, 4, 3, 2, 4, 1, 3, 2, 4, 5, 3, 4, 2, 6, 6, 5, 7, 1, 12, 4, 14, 5, 4, 2, 5, 5, 2, 9, 1, 21, 2, 6, 6, 5, 5, 4, 1, 2, 4, 2, 2, 7, 9, 2, 10, 3, 10, 2, 8, 4, 13, 5, 4, 8, 1, 7, 5, 2, 4, 3, 4, 2, 2, 9, 0]",34718
7,"[4, 6, 3, 3, 2, 4, 5, 5, 3, 14, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 2, 5, 3, 4, 3, 4, 10, 4, 3, 1, 4, 4, 3, 9, 2, 20, 2, 3, 9, 5, 4, 5, 4, 3, 5, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-130, 124, 234, 133, 29, 164, -128, -121, 110, -536, 59, -227, 171, 134, 94, 118, 170, 170, -39, 153, 27, 227, 63, 208, 93, 105, 38, 214, 168, -460, 13, -113, -67, 158, 166, 75, 130, 161, -1275, 119, 197, -497, 149, 93, -336, 98, 114, -254, 77, 100, -291, -168, -39, -55, -1, -111, 159, -166, -27, -256, -1, 55, 54, 175, 80, 118, -107, -144, -69, 169, -4, 61, 15, 80]","[419, 643, 364, 356, 270, 425, 465, 580, 396, 1382, 578, 648, 377, 377, 369, 378, 370, 277, 277, 386, 280, 603, 331, 321, 563, 382, 415, 391, 493, 990, 490, 357, 176, 425, 465, 330, 920, 279, 1960, 219, 367, 922, 514, 455, 491, 477, 412, 477, 195, 382, 708, 658, 109, 513, 375, 275, 361, 516, 488, 807, 336, 272, 661, 353, 421, 510, 181, 511, 344, 402, 155, 411, 683, 144]","[3, 8, 3, 4, 3, 4, 14, 8, 10, 18, 6, 9, 8, 7, 5, 1, 7, 3, 3, 3, 3, 4, 4, 2, 5, 4, 4, 2, 8, 8, 6, 5, 5, 1, 4, 3, 10, 1, 29, 4, 6, 8, 4, 3, 6, 6, 5, 5, 2, 2, 5, 9, 2, 8, 7, 2, 2, 5, 7, 10, 3, 2, 5, 8, 4, 6, 2, 12, 6, 7, 2, 3, 7, 2]",34613
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 6, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 1, 4, 4, 3, 9, 2, 19, 2, 3, 9, 5, 4, 4, 4, 4, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-133, 153, 258, 144, 30, 171, -128, -135, 106, -589, 83, -235, 180, 153, 116, 112, 170, 207, -38, 170, 19, 249, 66, 221, 103, 95, 39, 249, 179, -508, 16, -117, -74, 176, 166, 78, 130, 195, -1401, 129, 220, -538, 165, 90, -370, 93, 121, -261, 87, 124, -328, -187, -40, -51, -5, -128, 178, -186, -27, -265, 3, 63, 47, 177, 87, 127, -121, -143, -82, 179, -9, 70, 21, 84]","[414, 668, 386, 367, 270, 431, 463, 565, 390, 1327, 598, 636, 385, 398, 392, 372, 369, 314, 276, 403, 272, 623, 332, 333, 571, 368, 416, 424, 501, 941, 490, 351, 169, 443, 464, 333, 925, 307, 1833, 224, 389, 880, 527, 452, 450, 468, 420, 468, 206, 406, 670, 640, 107, 515, 368, 255, 378, 497, 487, 795, 337, 279, 653, 353, 426, 513, 167, 509, 331, 412, 149, 421, 685, 147]","[6, 10, 5, 3, 3, 5, 6, 6, 5, 15, 9, 10, 4, 1, 2, 3, 4, 2, 4, 3, 2, 8, 5, 4, 7, 7, 4, 5, 7, 10, 7, 5, 1, 4, 5, 3, 4, 8, 20, 7, 4, 10, 8, 4, 11, 8, 3, 6, 0, 3, 8, 5, 2, 7, 6, 5, 5, 4, 5, 11, 6, 3, 7, 5, 6, 11, 1, 8, 3, 4, 2, 3, 10, 2]",34504
9,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 5, 6, 3, 3, 3, 3, 3, 3, 2, 4, 2, 6, 3, 3, 5, 3, 4, 4, 5, 9, 4, 3, 1, 4, 4, 3, 9, 3, 18, 2, 3, 8, 5, 4, 4, 4, 4, 4, 2, 4, 6, 6, 1, 5, 3, 2, 3, 4, 4, 7, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-148, 180, 288, 143, 26, 173, -142, -142, 111, -648, 107, -233, 186, 168, 136, 125, 184, 230, -43, 184, 27, 264, 80, 243, 109, 102, 48, 260, 206, -546, 17, -120, -78, 180, 180, 82, 127, 214, -1522, 141, 241, -570, 163, 84, -411, 108, 131, -288, 102, 150, -355, -210, -42, -61, -5, -142, 192, -210, -48, -277, -7, 68, 37, 194, 90, 137, -119, -155, -84, 193, -14, 76, 37, 96]","[398, 694, 412, 365, 265, 428, 451, 556, 391, 1266, 613, 636, 389, 409, 409, 381, 383, 337, 269, 411, 279, 637, 343, 354, 578, 376, 424, 436, 525, 905, 492, 348, 163, 445, 481, 332, 926, 329, 1710, 236, 406, 838, 526, 444, 410, 479, 428, 442, 220, 429, 641, 616, 105, 505, 368, 236, 391, 471, 460, 782, 327, 282, 638, 368, 428, 525, 165, 497, 328, 421, 143, 428, 701, 158]","[5, 7, 7, 4, 3, 9, 2, 7, 7, 15, 14, 8, 5, 7, 6, 7, 3, 3, 4, 10, 3, 7, 6, 4, 4, 2, 5, 3, 8, 7, 3, 3, 3, 6, 1, 8, 5, 0, 20, 2, 7, 18, 4, 6, 3, 8, 6, 3, 3, 7, 8, 7, 1, 5, 3, 7, 4, 6, 10, 8, 3, 4, 11, 5, 5, 3, 5, 5, 4, 9, 2, 3, 6, 2]",34388
