0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-24, 23, 30, 21, 15, 38, -33, -23, 22, -100, -7, -36, 27, 25, 22, 19, 42, 24, -8, 15, 9, 42, 9, 41, 19, 13, 15, 41, 34, -84, 13, -18, -18, 24, 21, 24, 40, 27, -263, 25, 37, -92, 24, 23, -55, 23, 3, -49, 10, 13, -57, -19, -7, -24, 1, -26, 24, -27, -12, -46, 3, 27, 8, 40, 19, 26, -22, -21, -10, 53, 5, 1, 7, 14]"
2,"[-63, 50, 78, 57, 14, 71, -57, -47, 41, -187, 14, -76, 53, 48, 36, 35, 61, 44, -7, 59, 17, 77, 7, 81, 32, 41, 26, 70, 68, -163, 17, -33, -28, 54, 59, 23, 47, 69, -502, 49, 67, -161, 48, 30, -115, 44, 33, -84, 19, 24, -83, -46, -9, -41, -5, -45, 43, -46, -18, -99, 0, 23, 28, 70, 27, 40, -43, -45, -16, 85, 5, 15, -4, 24]"
3,"[-76, 79, 126, 72, 27, 91, -67, -57, 59, -256, 26, -120, 85, 71, 70, 55, 99, 67, -19, 84, 20, 113, 13, 111, 28, 71, 28, 104, 93, -247, 22, -46, -29, 73, 77, 38, 61, 89, -673, 57, 94, -239, 78, 29, -163, 56, 48, -134, 28, 47, -127, -67, -17, -35, 4, -63, 60, -81, -32, -140, 1, 31, 40, 83, 36, 50, -64, -75, -20, 96, 0, 31, -13, 39]"
4,"[-82, 84, 152, 86, 35, 105, -78, -75, 63, -326, 31, -150, 103, 92, 81, 83, 115, 85, -20, 107, 25, 141, 33, 130, 37, 77, 29, 137, 121, -303, 12, -62, -40, 94, 107, 45, 79, 108, -874, 76, 123, -302, 94, 47, -204, 64, 62, -166, 42, 62, -177, -95, -22, -37, 7, -71, 94, -101, -36, -163, 3, 42, 52, 90, 54, 74, -74, -93, -36, 105, -1, 45, 2, 53]"
5,"[-97, 103, 184, 102, 31, 134, -85, -88, 69, -395, 53, -179, 127, 112, 91, 108, 134, 120, -32, 120, 11, 167, 44, 151, 48, 88, 36, 157, 133, -361, 12, -80, -49, 121, 123, 62, 102, 135, -1004, 90, 150, -376, 120, 54, -251, 69, 88, -190, 54, 80, -220, -124, -28, -57, 9, -87, 112, -125, -33, -191, -4, 34, 56, 115, 67, 83, -87, -124, -44, 125, -1, 56, 5, 67]"
6,"[-112, 118, 211, 118, 29, 146, -102, -114, 92, -449, 50, -206, 143, 134, 91, 124, 136, 145, -40, 140, 23, 197, 49, 186, 66, 88, 44, 198, 162, -409, 7, -93, -61, 144, 141, 61, 116, 147, -1146, 105, 176, -429, 142, 92, -301, 76, 99, -219, 65, 97, -263, -152, -33, -62, 1, -105, 142, -154, -29, -229, -8, 46, 50, 141, 68, 99, -98, -123, -60, 151, -4, 72, 4, 69]"
7,"[-130, 124, 234, 133, 29, 164, -128, -121, 110, -536, 59, -227, 171, 134, 94, 118, 170, 170, -39, 153, 27, 227, 63, 208, 93, 105, 38, 214, 168, -460, 13, -113, -67, 158, 166, 75, 130, 161, -1275, 119, 197, -497, 149, 93, -336, 98, 114, -254, 77, 100, -291, -168, -39, -55, -1, -111, 159, -166, -27, -256, -1, 55, 54, 175, 80, 118, -107, -144, -69, 169, -4, 61, 15, 80]"
8,"[-133, 153, 258, 144, 30, 171, -128, -135, 106, -589, 83, -235, 180, 153, 116, 112, 170, 207, -38, 170, 19, 249, 66, 221, 103, 95, 39, 249, 179, -508, 16, -117, -74, 176, 166, 78, 130, 195, -1401, 129, 220, -538, 165, 90, -370, 93, 121, -261, 87, 124, -328, -187, -40, -51, -5, -128, 178, -186, -27, -265, 3, 63, 47, 177, 87, 127, -121, -143, -82, 179, -9, 70, 21, 84]"
9,"[-148, 180, 288, 143, 26, 173, -142, -142, 111, -648, 107, -233, 186, 168, 136, 125, 184, 230, -43, 184, 27, 264, 80, 243, 109, 102, 48, 260, 206, -546, 17, -120, -78, 180, 180, 82, 127, 214, -1522, 141, 241, -570, 163, 84, -411, 108, 131, -288, 102, 150, -355, -210, -42, -61, -5, -142, 192, -210, -48, -277, -7, 68, 37, 194, 90, 137, -119, -155, -84, 193, -14, 76, 37, 96]"
