0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[522, 549, 166, 243, 256, 302, 574, 688, 312, 1836, 524, 825, 235, 282, 290, 283, 246, 136, 320, 254, 265, 421, 285, 163, 490, 301, 385, 233, 361, 1358, 493, 451, 226, 296, 326, 280, 845, 142, 2965, 130, 216, 1319, 382, 389, 778, 400, 308, 691, 132, 299, 938, 814, 142, 556, 384, 375, 228, 658, 510, 1027, 351, 243, 620, 227, 364, 424, 268, 638, 401, 294, 167, 348, 677, 81]"
2,"[487, 575, 214, 278, 256, 336, 552, 664, 333, 1750, 545, 788, 262, 305, 306, 299, 267, 155, 319, 295, 274, 456, 279, 202, 501, 327, 398, 259, 394, 1281, 498, 437, 217, 324, 365, 279, 848, 182, 2729, 152, 245, 1249, 408, 398, 716, 423, 335, 653, 140, 310, 911, 788, 140, 536, 377, 357, 248, 639, 504, 971, 346, 240, 639, 256, 373, 436, 248, 612, 396, 327, 167, 363, 669, 91]"
3,"[475, 604, 263, 295, 269, 354, 541, 655, 353, 1683, 555, 749, 293, 327, 343, 319, 305, 177, 306, 318, 277, 486, 286, 231, 497, 357, 399, 294, 418, 1200, 505, 426, 218, 339, 381, 295, 858, 203, 2560, 160, 271, 1169, 439, 397, 666, 437, 349, 599, 148, 332, 867, 766, 133, 541, 386, 337, 264, 604, 492, 932, 343, 247, 651, 270, 380, 448, 225, 584, 394, 337, 161, 379, 662, 106]"
4,"[468, 610, 287, 308, 277, 365, 526, 631, 357, 1601, 556, 722, 312, 346, 355, 344, 318, 195, 300, 341, 281, 514, 307, 250, 505, 362, 401, 324, 448, 1146, 492, 410, 209, 360, 411, 299, 875, 224, 2370, 180, 300, 1108, 456, 412, 626, 442, 361, 569, 163, 342, 818, 740, 129, 539, 389, 326, 296, 584, 488, 906, 343, 260, 659, 275, 398, 469, 215, 567, 381, 344, 159, 393, 676, 118]"
5,"[451, 632, 315, 326, 272, 394, 519, 615, 364, 1533, 572, 696, 337, 360, 366, 366, 337, 230, 288, 353, 267, 539, 316, 268, 518, 370, 410, 342, 462, 1091, 492, 393, 199, 387, 423, 316, 894, 251, 2239, 193, 326, 1038, 485, 416, 576, 447, 387, 540, 174, 360, 777, 707, 122, 519, 389, 306, 312, 560, 485, 879, 335, 253, 664, 297, 411, 478, 202, 537, 372, 363, 160, 403, 677, 131]"
6,"[436, 639, 341, 342, 271, 407, 500, 590, 385, 1473, 570, 672, 354, 381, 368, 382, 340, 253, 277, 373, 277, 572, 318, 299, 536, 366, 421, 374, 491, 1039, 486, 379, 186, 408, 440, 316, 907, 264, 2098, 207, 349, 989, 506, 453, 527, 457, 399, 512, 184, 378, 734, 677, 116, 509, 381, 281, 343, 528, 489, 836, 329, 263, 656, 324, 409, 493, 191, 539, 356, 388, 156, 421, 673, 134]"
7,"[419, 643, 364, 356, 270, 425, 465, 580, 396, 1382, 578, 648, 377, 377, 369, 378, 370, 277, 277, 386, 280, 603, 331, 321, 563, 382, 415, 391, 493, 990, 490, 357, 176, 425, 465, 330, 920, 279, 1960, 219, 367, 922, 514, 455, 491, 477, 412, 477, 195, 382, 708, 658, 109, 513, 375, 275, 361, 516, 488, 807, 336, 272, 661, 353, 421, 510, 181, 511, 344, 402, 155, 411, 683, 144]"
8,"[414, 668, 386, 367, 270, 431, 463, 565, 390, 1327, 598, 636, 385, 398, 392, 372, 369, 314, 276, 403, 272, 623, 332, 333, 571, 368, 416, 424, 501, 941, 490, 351, 169, 443, 464, 333, 925, 307, 1833, 224, 389, 880, 527, 452, 450, 468, 420, 468, 206, 406, 670, 640, 107, 515, 368, 255, 378, 497, 487, 795, 337, 279, 653, 353, 426, 513, 167, 509, 331, 412, 149, 421, 685, 147]"
9,"[398, 694, 412, 365, 265, 428, 451, 556, 391, 1266, 613, 636, 389, 409, 409, 381, 383, 337, 269, 411, 279, 637, 343, 354, 578, 376, 424, 436, 525, 905, 492, 348, 163, 445, 481, 332, 926, 329, 1710, 236, 406, 838, 526, 444, 410, 479, 428, 442, 220, 429, 641, 616, 105, 505, 368, 236, 391, 471, 460, 782, 327, 282, 638, 368, 428, 525, 165, 497, 328, 421, 143, 428, 701, 158]"
10,"[376, 688, 414, 373, 275, 423, 447, 528, 390, 1219, 624, 613, 393, 432, 410, 384, 382, 368, 274, 424, 281, 664, 344, 377, 566, 388, 410, 448, 534, 889, 506, 347, 160, 454, 516, 353, 951, 334, 1586, 245, 418, 796, 533, 447, 377, 489, 446, 410, 220, 446, 595, 602, 107, 506, 367, 219, 394, 464, 441, 752, 322, 287, 634, 380, 446, 526, 163, 482, 316, 431, 147, 437, 698, 164]"
11,"[364, 688, 447, 382, 266, 421, 434, 512, 400, 1171, 635, 591, 410, 441, 407, 398, 397, 382, 261, 423, 283, 670, 353, 401, 585, 408, 399, 470, 551, 838, 500, 325, 154, 466, 510, 352, 940, 348, 1493, 250, 437, 741, 547, 443, 354, 511, 453, 391, 222, 458, 572, 584, 99, 490, 356, 208, 417, 457, 427, 717, 310, 294, 603, 387, 465, 532, 167, 476, 312, 428, 142, 441, 710, 164]"
12,"[350, 702, 462, 393, 269, 439, 421, 498, 408, 1122, 654, 577, 424, 446, 405, 399, 402, 386, 251, 417, 284, 667, 360, 417, 598, 406, 397, 472, 552, 782, 493, 326, 152, 464, 517, 370, 919, 368, 1374, 257, 454, 706, 562, 450, 339, 525, 464, 368, 218, 461, 544, 568, 95, 495, 355, 190, 433, 442, 414, 681, 302, 296, 610, 384, 486, 523, 159, 484, 311, 427, 144, 449, 718, 170]"
13,"[343, 706, 476, 398, 279, 435, 412, 485, 407, 1080, 651, 568, 434, 455, 405, 394, 432, 409, 241, 429, 283, 688, 367, 441, 603, 401, 394, 481, 546, 739, 500, 315, 146, 465, 515, 369, 929, 378, 1300, 261, 466, 677, 582, 465, 319, 531, 469, 355, 210, 466, 516, 559, 99, 497, 337, 176, 442, 428, 410, 635, 284, 294, 596, 396, 501, 512, 150, 481, 312, 441, 145, 449, 714, 170]"
14,"[328, 729, 493, 407, 271, 428, 411, 472, 406, 1042, 634, 554, 451, 462, 418, 390, 435, 404, 248, 431, 268, 682, 378, 459, 601, 396, 396, 483, 568, 699, 504, 307, 132, 478, 542, 365, 905, 384, 1217, 268, 475, 643, 588, 463, 293, 554, 470, 343, 213, 460, 492, 551, 94, 489, 339, 170, 456, 419, 417, 632, 277, 298, 587, 401, 500, 515, 141, 475, 316, 451, 141, 451, 733, 176]"
15,"[326, 723, 506, 401, 257, 414, 396, 461, 414, 1014, 639, 543, 482, 480, 428, 398, 462, 411, 244, 441, 272, 672, 378, 484, 602, 397, 397, 481, 582, 664, 491, 297, 126, 469, 555, 370, 897, 389, 1155, 266, 473, 617, 609, 476, 269, 561, 456, 325, 210, 458, 477, 533, 85, 492, 343, 162, 464, 404, 409, 598, 265, 299, 566, 417, 499, 507, 139, 463, 302, 467, 140, 451, 710, 187]"
16,"[310, 730, 511, 406, 256, 428, 377, 431, 416, 975, 642, 530, 474, 474, 421, 402, 478, 415, 237, 423, 280, 677, 374, 497, 591, 390, 406, 478, 577, 640, 490, 292, 127, 479, 558, 377, 888, 393, 1091, 261, 470, 592, 611, 484, 246, 573, 451, 314, 217, 469, 460, 516, 80, 498, 348, 159, 460, 400, 405, 583, 262, 306, 569, 430, 502, 515, 134, 449, 307, 457, 141, 448, 698, 186]"
17,"[299, 733, 532, 400, 258, 437, 371, 424, 410, 943, 636, 514, 467, 469, 416, 416, 475, 418, 225, 427, 268, 690, 385, 491, 594, 401, 396, 469, 575, 620, 492, 282, 123, 493, 566, 375, 873, 389, 1020, 274, 491, 574, 631, 475, 230, 558, 458, 305, 209, 468, 441, 512, 72, 486, 342, 148, 458, 399, 380, 578, 251, 291, 566, 438, 500, 519, 129, 445, 311, 469, 140, 462, 679, 186]"
18,"[299, 726, 530, 398, 259, 428, 376, 416, 429, 930, 625, 502, 474, 467, 406, 414, 475, 426, 229, 437, 267, 677, 377, 519, 598, 416, 401, 473, 565, 594, 489, 273, 122, 498, 560, 381, 850, 396, 963, 271, 516, 553, 642, 477, 213, 564, 449, 300, 219, 471, 423, 495, 63, 462, 335, 140, 470, 377, 367, 567, 231, 284, 566, 452, 502, 521, 121, 426, 308, 467, 136, 453, 675, 182]"
19,"[279, 753, 544, 373, 266, 438, 377, 409, 427, 900, 632, 478, 471, 475, 403, 414, 463, 420, 212, 441, 268, 701, 361, 522, 583, 410, 411, 472, 586, 563, 479, 262, 119, 519, 554, 367, 856, 399, 906, 267, 526, 534, 641, 480, 199, 560, 459, 287, 228, 473, 413, 485, 62, 462, 326, 131, 493, 370, 348, 538, 225, 295, 544, 428, 500, 518, 123, 419, 315, 458, 138, 437, 667, 190]"
