,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-12, 25, 45, 22, 14, 17, -31, -20, 19, -106, 25, -38, 30, 26, 14, 25, 29, 39, 1, 26, 17, 27, 9, 55, 18, 17, 0, 35, 42, -107, 4, -17, -3, 29, 20, 5, 21, 33, -255, 24, 32, -91, 12, 17, -73, 14, 13, -55, 17, 48, -39, -24, -6, -4, -4, -17, 21, -34, -11, -31, -2, 21, 14, 36, 33, -4, -17, -36, -12, 38, 6, 1, 1, 12]","[536, 556, 183, 248, 250, 282, 574, 689, 309, 1833, 561, 819, 238, 281, 280, 287, 234, 151, 330, 264, 272, 408, 288, 177, 486, 306, 368, 230, 368, 1329, 482, 455, 241, 300, 326, 261, 826, 148, 2985, 130, 209, 1319, 372, 385, 757, 393, 316, 681, 140, 333, 956, 805, 142, 578, 376, 386, 225, 651, 507, 1046, 343, 237, 619, 226, 376, 398, 271, 621, 402, 279, 170, 350, 673, 78]","[2, 0, 1, 1, 7, 0, 5, 8, 1, 13, 3, 9, 0, 3, 2, 3, 1, 0, 4, 1, 2, 2, 0, 2, 4, 2, 3, 2, 4, 12, 7, 3, 1, 2, 2, 1, 5, 1, 22, 0, 2, 15, 3, 1, 6, 3, 5, 7, 1, 2, 9, 7, 1, 3, 7, 2, 3, 4, 4, 9, 3, 1, 10, 3, 3, 5, 2, 8, 1, 2, 1, 2, 4, 1]",34911
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 3, 2, 6, 4, 2, 1, 3, 6, 0]","[-39, 45, 84, 45, 25, 43, -55, -60, 28, -217, 45, -74, 46, 55, 24, 41, 62, 62, -5, 58, 19, 68, 16, 90, 50, 46, 8, 64, 85, -184, 15, -40, -20, 55, 51, 30, 47, 63, -478, 35, 66, -170, 35, 22, -132, 21, 55, -112, 27, 77, -75, -60, -15, -16, 2, -35, 36, -67, -29, -99, -8, 26, 40, 72, 66, 18, -26, -43, -25, 60, 7, 17, 10, 22]","[510, 575, 221, 270, 258, 309, 550, 649, 320, 1716, 581, 779, 256, 309, 286, 303, 269, 173, 325, 295, 274, 447, 294, 212, 517, 336, 376, 257, 412, 1255, 491, 433, 223, 327, 357, 286, 856, 179, 2771, 139, 243, 1242, 394, 391, 691, 401, 353, 626, 149, 364, 923, 767, 134, 563, 381, 366, 238, 619, 491, 982, 337, 241, 645, 258, 408, 418, 261, 610, 390, 302, 171, 367, 685, 88]","[4, 6, 2, 3, 5, 1, 5, 6, 1, 24, 5, 12, 0, 3, 6, 2, 0, 2, 2, 3, 2, 6, 3, 1, 5, 2, 3, 4, 2, 10, 6, 3, 3, 2, 3, 2, 4, 0, 20, 3, 2, 11, 4, 2, 14, 2, 8, 4, 2, 1, 6, 10, 0, 8, 4, 5, 4, 5, 3, 6, 3, 3, 6, 6, 4, 5, 3, 10, 3, 1, 1, 2, 3, 0]",34895
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 3, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 3, 3, 6, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 3, 6, 0]","[-61, 69, 116, 65, 23, 71, -80, -83, 38, -307, 62, -92, 91, 69, 38, 59, 90, 93, -16, 68, 29, 97, 32, 129, 54, 57, 20, 79, 115, -264, 10, -54, -23, 91, 88, 38, 61, 84, -668, 58, 106, -240, 42, 22, -183, 22, 70, -143, 28, 87, -121, -82, -18, -15, -12, -47, 62, -78, -30, -144, -26, 42, 50, 102, 64, 49, -44, -56, -34, 98, 14, 29, 3, 37]","[485, 602, 248, 290, 257, 338, 526, 626, 327, 1629, 599, 766, 301, 326, 298, 322, 298, 200, 313, 304, 281, 474, 310, 250, 524, 348, 389, 273, 443, 1177, 489, 419, 221, 360, 397, 292, 872, 196, 2588, 163, 283, 1170, 400, 392, 635, 404, 369, 593, 150, 374, 878, 752, 131, 558, 367, 354, 260, 609, 492, 936, 315, 258, 648, 287, 404, 451, 240, 598, 380, 339, 177, 377, 678, 103]","[8, 2, 7, 2, 1, 2, 4, 6, 6, 14, 4, 2, 2, 0, 4, 2, 1, 5, 4, 3, 5, 6, 2, 3, 2, 2, 2, 1, 3, 10, 1, 4, 1, 6, 0, 4, 6, 5, 20, 0, 2, 14, 4, 2, 11, 2, 2, 8, 1, 3, 8, 0, 1, 11, 3, 3, 6, 5, 2, 10, 7, 1, 13, 3, 6, 2, 5, 5, 4, 4, 2, 5, 6, 0]",34883
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 3, 3, 2, 3, 2, 2, 3, 3, 2, 4, 3, 2, 5, 3, 3, 2, 4, 11, 4, 4, 2, 3, 3, 2, 8, 1, 25, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-77, 69, 157, 85, 16, 82, -109, -100, 60, -378, 68, -112, 116, 94, 49, 75, 102, 113, -17, 84, 40, 141, 40, 172, 55, 77, 11, 115, 132, -333, 21, -53, -30, 117, 118, 49, 90, 105, -849, 72, 134, -306, 57, 21, -225, 36, 83, -172, 39, 111, -163, -108, -22, -9, -10, -70, 87, -101, -35, -185, -33, 40, 55, 127, 86, 61, -68, -77, -30, 119, 10, 27, 7, 47]","[468, 597, 289, 309, 250, 351, 497, 608, 350, 1554, 605, 746, 328, 349, 306, 336, 310, 219, 313, 319, 290, 518, 319, 294, 523, 366, 381, 308, 458, 1110, 497, 422, 214, 386, 423, 305, 900, 218, 2423, 177, 308, 1098, 409, 391, 598, 419, 379, 565, 160, 398, 836, 726, 126, 565, 369, 331, 284, 587, 487, 897, 308, 256, 654, 312, 426, 461, 212, 575, 382, 359, 173, 372, 679, 107]","[5, 11, 2, 3, 2, 1, 5, 7, 2, 20, 5, 7, 1, 5, 5, 5, 2, 3, 2, 4, 4, 4, 2, 1, 7, 5, 2, 3, 6, 9, 7, 2, 2, 3, 7, 0, 9, 0, 9, 1, 5, 17, 10, 3, 1, 3, 6, 4, 2, 3, 8, 7, 2, 4, 3, 3, 3, 5, 4, 7, 3, 2, 5, 2, 4, 6, 6, 7, 5, 4, 1, 6, 9, 7]",34845
5,"[4, 5, 2, 3, 2, 3, 4, 6, 3, 15, 6, 7, 3, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 9, 2, 24, 1, 3, 10, 4, 3, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-105, 101, 182, 94, 20, 95, -133, -132, 58, -429, 57, -147, 145, 117, 58, 85, 128, 126, -26, 116, 43, 177, 26, 214, 60, 96, 26, 146, 137, -395, 12, -72, -34, 145, 158, 59, 97, 114, -1010, 95, 143, -363, 73, 39, -265, 63, 89, -190, 46, 132, -195, -122, -24, -32, 1, -82, 116, -118, -54, -216, -37, 50, 63, 155, 93, 74, -81, -99, -30, 139, 5, 46, 18, 59]","[439, 625, 314, 320, 249, 365, 471, 573, 348, 1489, 595, 710, 357, 372, 315, 346, 337, 234, 300, 349, 290, 549, 305, 337, 526, 384, 395, 340, 462, 1049, 490, 402, 209, 416, 464, 316, 904, 228, 2259, 199, 313, 1037, 425, 404, 558, 449, 386, 544, 165, 419, 801, 711, 125, 544, 375, 313, 311, 569, 466, 868, 304, 265, 662, 339, 432, 473, 199, 552, 383, 378, 168, 388, 692, 120]","[5, 9, 2, 1, 7, 2, 6, 9, 3, 29, 5, 8, 3, 3, 3, 3, 2, 0, 7, 5, 5, 10, 3, 1, 7, 4, 4, 2, 5, 10, 2, 5, 3, 1, 3, 2, 12, 1, 27, 2, 7, 14, 4, 8, 5, 1, 2, 8, 3, 3, 11, 8, 0, 3, 8, 9, 4, 6, 6, 6, 3, 3, 6, 4, 5, 5, 2, 6, 2, 4, 1, 6, 4, 0]",34770
6,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 3, 5, 3, 3, 3, 4, 10, 4, 4, 2, 4, 4, 3, 9, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 4, 8, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-131, 118, 197, 121, 17, 102, -140, -134, 83, -495, 74, -195, 173, 130, 70, 100, 128, 149, -18, 143, 44, 194, 36, 245, 62, 116, 39, 164, 171, -440, 21, -81, -42, 163, 173, 71, 117, 118, -1184, 111, 174, -417, 89, 49, -298, 66, 99, -221, 57, 133, -222, -146, -28, -48, -11, -97, 130, -126, -67, -251, -35, 70, 58, 177, 109, 81, -91, -110, -32, 173, 7, 61, 5, 72]","[406, 635, 328, 347, 246, 372, 463, 571, 369, 1423, 600, 663, 386, 383, 328, 361, 337, 254, 309, 376, 290, 565, 317, 368, 520, 401, 407, 358, 494, 1007, 498, 391, 201, 430, 480, 324, 923, 230, 2074, 214, 344, 976, 439, 412, 524, 453, 397, 511, 176, 418, 774, 689, 122, 524, 361, 294, 324, 554, 452, 831, 307, 284, 661, 358, 450, 475, 189, 539, 379, 408, 168, 402, 677, 134]","[11, 13, 4, 3, 2, 3, 5, 5, 7, 14, 17, 6, 2, 5, 2, 3, 3, 5, 2, 3, 3, 6, 1, 3, 13, 6, 4, 3, 6, 7, 5, 6, 2, 8, 3, 7, 10, 4, 33, 2, 3, 17, 6, 6, 6, 3, 2, 7, 1, 6, 8, 5, 0, 9, 5, 7, 4, 12, 5, 10, 2, 3, 2, 6, 2, 9, 1, 7, 5, 7, 3, 4, 8, 0]",34655
7,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 3, 5, 4, 4, 3, 4, 10, 4, 3, 2, 4, 4, 3, 9, 2, 20, 2, 3, 9, 4, 4, 5, 4, 3, 5, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-138, 140, 238, 120, 3, 135, -143, -142, 95, -555, 82, -215, 182, 140, 65, 108, 145, 176, -30, 158, 54, 226, 47, 271, 67, 125, 63, 204, 181, -505, 27, -99, -54, 183, 205, 80, 110, 138, -1326, 133, 194, -486, 123, 62, -332, 86, 107, -241, 66, 137, -258, -172, -29, -41, -6, -114, 155, -129, -62, -302, -30, 69, 45, 198, 118, 91, -98, -120, -43, 175, -1, 62, 3, 79]","[400, 656, 369, 343, 231, 403, 462, 564, 378, 1359, 606, 642, 397, 396, 320, 364, 356, 277, 295, 391, 297, 593, 328, 392, 524, 412, 427, 398, 501, 942, 500, 374, 190, 449, 514, 333, 921, 249, 1922, 236, 364, 900, 470, 425, 487, 470, 405, 492, 184, 421, 730, 656, 119, 526, 367, 275, 347, 549, 455, 775, 315, 281, 642, 378, 455, 485, 181, 528, 364, 409, 159, 404, 672, 141]","[3, 7, 3, 6, 3, 5, 2, 4, 6, 18, 8, 7, 1, 0, 6, 8, 1, 6, 5, 3, 5, 9, 3, 5, 6, 2, 8, 3, 7, 10, 8, 2, 1, 5, 2, 3, 4, 3, 30, 2, 3, 16, 7, 4, 8, 7, 3, 4, 2, 5, 15, 13, 3, 10, 2, 4, 5, 7, 6, 13, 0, 4, 12, 4, 8, 4, 2, 6, 7, 5, 2, 3, 9, 1]",34542
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 4, 4, 3, 5, 9, 5, 3, 1, 4, 5, 3, 9, 2, 19, 2, 3, 9, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-149, 147, 266, 130, 11, 148, -158, -159, 104, -592, 93, -231, 205, 164, 78, 118, 137, 192, -33, 170, 39, 245, 57, 279, 66, 134, 72, 226, 200, -540, 28, -114, -56, 192, 205, 87, 97, 154, -1454, 141, 218, -541, 134, 73, -365, 102, 137, -264, 68, 154, -262, -179, -32, -37, -4, -120, 178, -141, -76, -335, -27, 64, 40, 218, 129, 113, -103, -125, -41, 189, -5, 64, -10, 87]","[390, 663, 394, 353, 238, 415, 447, 546, 389, 1322, 615, 627, 418, 419, 332, 372, 345, 292, 292, 405, 281, 610, 340, 397, 517, 415, 433, 418, 520, 906, 501, 358, 187, 456, 511, 337, 909, 263, 1796, 245, 387, 844, 478, 434, 450, 485, 434, 463, 184, 436, 722, 652, 117, 532, 362, 266, 370, 537, 441, 743, 317, 273, 635, 399, 468, 505, 175, 521, 366, 423, 156, 407, 654, 150]","[3, 6, 6, 3, 3, 5, 4, 6, 1, 13, 8, 5, 5, 4, 4, 5, 6, 3, 2, 1, 3, 7, 1, 6, 11, 10, 7, 5, 5, 10, 5, 4, 2, 6, 8, 6, 8, 4, 17, 1, 4, 10, 7, 6, 8, 5, 5, 10, 3, 6, 11, 3, 0, 3, 10, 5, 3, 5, 4, 6, 4, 5, 8, 2, 2, 6, 2, 7, 3, 4, 0, 3, 11, 0]",34460
9,"[3, 6, 3, 3, 2, 4, 4, 5, 3, 13, 6, 6, 4, 4, 3, 3, 3, 2, 2, 4, 2, 6, 3, 3, 5, 4, 4, 4, 5, 9, 5, 3, 1, 4, 5, 3, 9, 2, 17, 2, 3, 8, 4, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-156, 176, 295, 152, 8, 153, -168, -159, 96, -649, 100, -234, 212, 177, 97, 136, 168, 223, -27, 187, 49, 248, 63, 289, 78, 137, 70, 236, 211, -590, 38, -130, -66, 193, 225, 107, 96, 170, -1551, 156, 248, -587, 155, 87, -401, 111, 145, -296, 75, 175, -299, -205, -36, -35, -15, -140, 181, -146, -96, -369, -39, 56, 37, 219, 126, 129, -107, -121, -37, 211, -1, 60, 1, 98]","[383, 689, 420, 373, 230, 415, 440, 547, 383, 1255, 621, 618, 424, 431, 348, 391, 374, 320, 295, 419, 290, 607, 343, 402, 527, 418, 427, 425, 525, 855, 512, 340, 176, 455, 530, 356, 906, 274, 1685, 260, 418, 798, 496, 449, 411, 491, 442, 427, 190, 455, 682, 623, 114, 535, 343, 243, 371, 525, 415, 709, 304, 266, 630, 400, 463, 521, 171, 525, 367, 439, 160, 403, 660, 161]","[3, 9, 6, 5, 7, 9, 1, 4, 1, 23, 7, 12, 5, 5, 6, 2, 5, 5, 5, 7, 3, 12, 6, 8, 7, 4, 8, 7, 11, 10, 4, 5, 2, 6, 6, 4, 11, 7, 31, 2, 2, 8, 7, 3, 7, 7, 4, 8, 2, 6, 10, 9, 0, 4, 11, 5, 5, 12, 10, 7, 4, 1, 8, 3, 6, 5, 1, 5, 6, 10, 1, 4, 11, 1]",34296
