,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-19, 51, 46, 23, 2, 44, -24, -25, 14, -120, 20, -56, 25, 28, 34, 13, 18, 30, -1, 29, 17, 60, 19, 42, 22, 9, 8, 38, 34, -93, 10, -1, -6, 10, 28, 21, 59, 29, -260, 37, 25, -76, 3, 37, -61, 13, 14, -60, 3, 11, -44, -43, -9, -14, -6, -17, 19, -25, -9, -50, -9, 2, 15, 36, 8, 10, -15, -18, -14, 26, -2, 10, -1, 26]","[529, 574, 185, 248, 242, 307, 582, 687, 304, 1818, 549, 808, 232, 284, 300, 275, 222, 141, 329, 268, 272, 441, 295, 165, 490, 298, 377, 231, 361, 1342, 494, 467, 236, 279, 334, 277, 866, 145, 2973, 143, 202, 1339, 363, 402, 764, 391, 319, 675, 126, 297, 953, 786, 140, 565, 379, 384, 225, 658, 510, 1034, 338, 214, 625, 229, 350, 415, 272, 641, 400, 268, 162, 360, 669, 92]","[2, 8, 0, 2, 3, 2, 4, 5, 1, 14, 10, 2, 1, 2, 2, 3, 2, 1, 3, 0, 2, 2, 3, 1, 4, 2, 2, 4, 3, 13, 1, 7, 3, 4, 2, 1, 3, 0, 29, 0, 2, 10, 3, 4, 11, 4, 3, 8, 1, 1, 7, 7, 0, 6, 2, 4, 1, 6, 3, 2, 1, 5, 5, 0, 4, 2, 3, 6, 1, 1, 1, 1, 6, 1]",34917
2,"[5, 5, 1, 2, 2, 3, 5, 6, 3, 18, 5, 8, 2, 2, 3, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 4, 7, 3, 3, 6, 1, 2, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-35, 90, 74, 31, 5, 68, -31, -45, 21, -232, 53, -70, 47, 55, 59, 19, 43, 63, -17, 50, 14, 118, 18, 99, 39, 29, 21, 81, 52, -184, 4, -7, -17, 31, 54, 39, 111, 48, -500, 55, 58, -172, 23, 59, -113, 25, 30, -103, 18, 32, -97, -61, -9, -35, -6, -28, 59, -35, -22, -94, -7, 17, 32, 62, 17, 18, -38, -32, -44, 52, -4, 23, -21, 43]","[513, 611, 212, 254, 246, 333, 573, 670, 311, 1707, 581, 797, 255, 309, 325, 282, 246, 173, 313, 287, 266, 494, 292, 222, 511, 317, 392, 274, 377, 1258, 485, 464, 224, 299, 362, 297, 921, 164, 2729, 162, 234, 1244, 382, 427, 706, 399, 336, 631, 142, 317, 899, 773, 141, 545, 376, 373, 267, 649, 500, 988, 341, 229, 643, 256, 360, 422, 249, 631, 370, 292, 161, 372, 648, 108]","[5, 7, 2, 4, 1, 1, 7, 3, 3, 17, 6, 5, 1, 4, 3, 1, 3, 2, 3, 4, 5, 9, 4, 1, 0, 3, 1, 2, 5, 6, 7, 1, 3, 3, 1, 0, 5, 1, 33, 0, 3, 12, 4, 1, 13, 7, 2, 7, 0, 3, 10, 2, 0, 4, 6, 3, 0, 5, 2, 12, 2, 2, 5, 1, 2, 5, 2, 2, 4, 4, 0, 4, 7, 1]",34919
3,"[5, 6, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 2, 3, 2, 9, 1, 27, 1, 2, 12, 3, 4, 7, 3, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-56, 135, 114, 59, 9, 89, -47, -55, 31, -342, 71, -110, 74, 71, 73, 22, 51, 97, -21, 62, 9, 171, 37, 145, 43, 55, 17, 132, 71, -267, -10, -13, -32, 46, 72, 51, 187, 86, -689, 68, 91, -268, 45, 42, -163, 41, 40, -139, 32, 59, -125, -78, -21, -48, -9, -43, 86, -49, -29, -136, -18, 17, 30, 87, 26, 29, -56, -43, -44, 62, -5, 38, -10, 53]","[488, 653, 252, 280, 248, 354, 557, 663, 320, 1597, 600, 755, 279, 323, 340, 285, 252, 204, 310, 301, 261, 544, 310, 269, 517, 345, 387, 325, 397, 1182, 473, 457, 210, 312, 381, 310, 1002, 203, 2550, 172, 266, 1150, 402, 405, 655, 415, 344, 595, 152, 344, 875, 751, 129, 533, 373, 355, 292, 638, 496, 946, 329, 230, 641, 282, 370, 432, 230, 624, 372, 298, 160, 387, 661, 118]","[9, 9, 2, 4, 4, 3, 5, 3, 4, 17, 4, 9, 5, 5, 2, 2, 4, 4, 2, 0, 2, 7, 3, 1, 3, 1, 4, 2, 2, 5, 2, 5, 1, 4, 2, 1, 4, 0, 17, 4, 3, 10, 5, 9, 8, 3, 5, 6, 5, 3, 4, 12, 1, 4, 3, 6, 4, 3, 2, 9, 4, 1, 6, 1, 2, 5, 3, 2, 1, 6, 1, 3, 4, 1]",34918
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 6, 7, 2, 3, 3, 2, 2, 2, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 3, 11, 4, 4, 2, 3, 3, 3, 10, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-80, 168, 157, 79, 9, 85, -58, -82, 36, -419, 100, -130, 89, 91, 81, 31, 81, 129, -39, 88, 16, 217, 46, 174, 56, 57, 29, 138, 85, -325, -16, -23, -44, 52, 88, 51, 259, 108, -869, 87, 132, -327, 57, 49, -202, 50, 40, -184, 50, 65, -167, -101, -25, -58, -7, -63, 126, -73, -30, -167, -11, 22, 35, 108, 32, 39, -70, -75, -40, 82, -2, 47, -5, 71]","[465, 683, 292, 299, 248, 349, 547, 639, 321, 1519, 629, 734, 293, 345, 351, 294, 278, 234, 293, 325, 268, 590, 316, 300, 530, 348, 402, 328, 410, 1125, 466, 445, 198, 315, 393, 311, 1071, 227, 2377, 191, 308, 1092, 414, 413, 617, 421, 344, 549, 168, 348, 833, 730, 126, 524, 375, 334, 334, 606, 493, 917, 335, 235, 644, 303, 376, 442, 217, 596, 378, 318, 163, 394, 664, 137]","[3, 9, 5, 3, 2, 4, 4, 3, 7, 16, 6, 8, 3, 1, 0, 2, 6, 4, 2, 5, 2, 5, 6, 0, 5, 2, 0, 6, 4, 10, 5, 6, 2, 6, 7, 2, 13, 0, 18, 1, 1, 10, 4, 3, 5, 7, 3, 6, 3, 5, 8, 5, 0, 4, 3, 4, 0, 14, 6, 7, 4, 2, 8, 2, 3, 4, 1, 2, 1, 2, 1, 5, 8, 0]",34897
5,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 15, 6, 7, 2, 3, 3, 2, 2, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 11, 4, 4, 1, 3, 3, 3, 10, 2, 23, 1, 3, 10, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 3, 6, 4, 9, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-85, 211, 191, 92, 17, 106, -84, -80, 63, -488, 122, -147, 105, 114, 87, 43, 99, 152, -41, 104, 17, 264, 55, 201, 64, 61, 22, 164, 98, -395, -2, -36, -57, 60, 111, 52, 333, 137, -1037, 89, 144, -400, 70, 48, -247, 57, 49, -215, 60, 86, -193, -118, -33, -65, -17, -71, 150, -106, -45, -231, -12, 26, 43, 136, 39, 41, -86, -98, -50, 111, 3, 60, -2, 84]","[457, 726, 325, 312, 256, 364, 522, 640, 349, 1447, 648, 719, 309, 365, 357, 306, 295, 256, 290, 342, 266, 632, 325, 328, 538, 353, 394, 354, 422, 1052, 480, 431, 185, 322, 414, 313, 1144, 255, 2211, 191, 320, 1018, 426, 408, 567, 430, 348, 518, 175, 363, 807, 717, 118, 518, 361, 321, 359, 575, 476, 852, 334, 238, 653, 324, 384, 442, 202, 573, 370, 348, 169, 405, 665, 151]","[7, 6, 3, 2, 2, 9, 4, 7, 2, 18, 9, 5, 2, 6, 3, 2, 3, 3, 3, 2, 5, 10, 3, 2, 5, 2, 5, 3, 5, 14, 4, 5, 1, 4, 5, 2, 11, 3, 21, 3, 3, 11, 5, 8, 11, 2, 8, 5, 4, 9, 8, 3, 1, 4, 7, 8, 2, 4, 6, 10, 3, 3, 5, 10, 2, 6, 1, 5, 1, 2, 0, 5, 8, 0]",34830
6,"[4, 7, 3, 3, 2, 3, 5, 6, 3, 14, 6, 7, 3, 3, 3, 3, 2, 2, 2, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 10, 4, 4, 1, 3, 4, 3, 11, 2, 22, 1, 3, 10, 4, 4, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-97, 254, 237, 114, 13, 112, -108, -99, 69, -531, 157, -178, 115, 121, 89, 51, 128, 156, -45, 125, 23, 313, 56, 205, 81, 54, 14, 203, 107, -449, -25, -37, -63, 82, 141, 48, 442, 154, -1200, 104, 166, -440, 90, 47, -295, 59, 46, -235, 74, 98, -230, -139, -35, -94, -12, -80, 174, -116, -62, -275, -17, 32, 33, 145, 58, 53, -102, -107, -71, 118, 3, 66, 17, 95]","[442, 769, 373, 331, 251, 369, 496, 624, 356, 1396, 682, 689, 320, 370, 359, 314, 322, 262, 284, 363, 271, 682, 324, 333, 557, 345, 379, 394, 432, 996, 457, 429, 176, 343, 441, 307, 1252, 272, 2045, 206, 340, 978, 443, 407, 521, 434, 341, 499, 189, 369, 767, 701, 116, 488, 364, 313, 386, 560, 454, 806, 332, 242, 636, 330, 402, 452, 185, 563, 349, 352, 168, 413, 680, 162]","[7, 7, 1, 6, 3, 4, 7, 3, 2, 22, 7, 6, 2, 5, 3, 3, 4, 0, 4, 3, 3, 5, 5, 2, 3, 4, 10, 2, 3, 12, 4, 5, 4, 4, 7, 5, 12, 2, 25, 1, 5, 10, 7, 4, 3, 2, 7, 4, 1, 9, 11, 2, 1, 6, 5, 2, 0, 10, 9, 10, 0, 4, 13, 6, 4, 6, 3, 6, 3, 6, 2, 2, 10, 1]",34755
7,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 9, 4, 4, 1, 3, 4, 3, 12, 2, 20, 2, 3, 9, 4, 4, 5, 4, 3, 4, 1, 3, 7, 7, 1, 4, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-121, 277, 269, 123, 23, 136, -115, -122, 83, -592, 189, -201, 131, 133, 90, 53, 164, 176, -58, 130, 23, 362, 59, 219, 100, 57, 21, 208, 143, -478, -37, -36, -69, 93, 135, 60, 540, 160, -1345, 119, 166, -487, 92, 66, -323, 59, 64, -270, 79, 102, -247, -163, -45, -110, -21, -94, 183, -114, -67, -308, -21, 35, 37, 152, 70, 52, -113, -120, -82, 134, -3, 58, 32, 105]","[418, 789, 404, 343, 262, 394, 488, 604, 371, 1331, 710, 662, 334, 379, 360, 318, 357, 284, 269, 369, 268, 729, 323, 346, 571, 347, 385, 401, 467, 966, 446, 429, 171, 354, 432, 318, 1346, 277, 1898, 219, 341, 921, 441, 425, 488, 434, 360, 463, 192, 370, 744, 676, 107, 470, 353, 298, 396, 560, 446, 773, 328, 244, 639, 337, 413, 453, 174, 551, 337, 366, 161, 401, 696, 171]","[4, 10, 4, 0, 1, 2, 5, 3, 2, 17, 10, 10, 5, 6, 3, 1, 4, 0, 4, 2, 5, 8, 7, 4, 10, 4, 4, 1, 5, 10, 3, 5, 0, 3, 7, 4, 16, 3, 22, 4, 2, 19, 8, 5, 10, 4, 2, 5, 3, 6, 13, 8, 0, 6, 5, 4, 2, 7, 7, 8, 3, 3, 7, 3, 5, 2, 1, 4, 4, 5, 2, 8, 5, 2]",34668
8,"[4, 7, 4, 3, 2, 3, 4, 6, 3, 13, 7, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 7, 3, 3, 5, 3, 3, 4, 4, 9, 4, 4, 1, 3, 4, 3, 13, 2, 18, 2, 3, 9, 4, 4, 4, 4, 3, 4, 1, 3, 7, 6, 1, 4, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-140, 315, 294, 137, 39, 132, -134, -150, 93, -674, 191, -220, 147, 150, 93, 52, 172, 192, -56, 119, 20, 409, 58, 242, 103, 52, 42, 228, 154, -536, -31, -60, -74, 123, 143, 76, 641, 192, -1464, 130, 178, -540, 106, 72, -355, 75, 58, -297, 80, 114, -280, -181, -46, -113, -13, -105, 210, -128, -70, -336, -27, 48, 12, 168, 80, 58, -123, -125, -78, 146, 10, 58, 31, 113]","[398, 822, 426, 356, 277, 387, 466, 572, 383, 1250, 711, 635, 348, 397, 362, 313, 364, 299, 268, 360, 264, 776, 323, 364, 571, 339, 406, 421, 478, 904, 448, 405, 164, 381, 439, 333, 1447, 306, 1774, 229, 349, 869, 455, 431, 453, 451, 355, 429, 194, 384, 711, 659, 107, 465, 359, 283, 419, 546, 434, 747, 322, 257, 610, 355, 421, 457, 164, 549, 342, 376, 172, 404, 693, 179]","[5, 12, 7, 4, 3, 6, 7, 10, 1, 12, 8, 14, 5, 2, 4, 7, 4, 3, 5, 1, 3, 7, 2, 8, 8, 6, 3, 4, 4, 13, 8, 4, 3, 6, 5, 4, 13, 5, 23, 3, 7, 8, 4, 4, 7, 3, 2, 11, 0, 1, 7, 5, 0, 6, 5, 6, 7, 5, 13, 5, 3, 2, 10, 1, 6, 6, 1, 2, 2, 5, 3, 1, 8, 1]",34567
9,"[3, 8, 4, 3, 2, 3, 4, 5, 3, 12, 7, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 7, 3, 3, 5, 3, 4, 4, 4, 9, 4, 4, 1, 3, 4, 3, 14, 3, 17, 2, 3, 8, 4, 4, 4, 4, 3, 4, 1, 3, 7, 6, 1, 4, 3, 2, 4, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-167, 330, 301, 139, 38, 121, -151, -167, 96, -726, 189, -221, 150, 160, 93, 71, 192, 201, -66, 129, 24, 449, 64, 267, 116, 63, 20, 246, 168, -570, -24, -72, -74, 128, 157, 83, 722, 201, -1546, 133, 192, -590, 108, 79, -382, 84, 80, -316, 98, 134, -297, -196, -48, -112, -11, -118, 233, -138, -97, -361, -33, 56, -3, 188, 72, 55, -132, -128, -63, 157, 5, 55, 42, 120]","[366, 824, 430, 358, 274, 375, 451, 553, 388, 1199, 704, 631, 351, 406, 360, 334, 381, 305, 255, 370, 269, 808, 328, 385, 582, 352, 379, 436, 494, 873, 457, 391, 162, 387, 450, 341, 1521, 315, 1686, 229, 362, 811, 454, 438, 422, 460, 376, 409, 211, 404, 691, 643, 104, 465, 359, 266, 444, 527, 411, 721, 313, 262, 589, 375, 414, 452, 153, 544, 359, 388, 167, 401, 697, 186]","[8, 21, 7, 3, 4, 4, 2, 7, 1, 11, 12, 9, 3, 4, 5, 1, 6, 5, 5, 3, 1, 15, 4, 7, 7, 1, 9, 7, 2, 6, 2, 6, 3, 2, 7, 2, 21, 3, 23, 5, 4, 16, 7, 4, 8, 4, 4, 5, 2, 3, 10, 7, 2, 5, 5, 6, 2, 14, 0, 8, 6, 5, 12, 3, 3, 6, 3, 7, 1, 2, 1, 4, 13, 1]",34438
