,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-12, 36, 47, 31, 6, 31, -7, -25, 19, -89, 13, -34, 33, 26, 25, -10, 19, 32, -4, 23, 6, 56, 4, 69, 23, 13, -8, 41, 36, -99, -6, 2, -11, 10, 23, 18, 68, 30, -250, 11, 27, -93, 27, 13, -58, 10, 25, -37, 12, 30, -43, -27, -8, -10, -5, -14, 17, -21, 3, -56, -22, 5, -6, 31, 14, -4, -18, -29, -16, 37, -6, 8, -4, 22]","[533, 565, 184, 255, 247, 293, 594, 686, 308, 1849, 540, 824, 241, 282, 290, 254, 223, 143, 326, 260, 263, 435, 280, 189, 494, 301, 360, 235, 365, 1337, 477, 473, 232, 278, 330, 274, 873, 146, 2986, 117, 201, 1318, 387, 376, 769, 389, 330, 704, 136, 313, 951, 801, 139, 572, 376, 388, 221, 659, 522, 1018, 323, 221, 601, 224, 357, 395, 270, 631, 397, 278, 157, 356, 669, 88]","[5, 2, 2, 3, 2, 3, 9, 6, 2, 14, 12, 8, 0, 2, 3, 1, 2, 1, 3, 2, 0, 4, 3, 4, 1, 3, 3, 3, 1, 12, 2, 4, 2, 5, 1, 1, 5, 0, 26, 0, 5, 14, 3, 6, 9, 3, 3, 2, 0, 4, 10, 8, 2, 3, 6, 3, 3, 9, 3, 12, 3, 1, 8, 0, 3, 8, 2, 5, 2, 2, 2, 3, 3, 1]",34879
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 7, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 3, 2, 6, 3, 2, 1, 3, 6, 0]","[-20, 70, 82, 43, 10, 55, -28, -55, 29, -202, 59, -73, 59, 63, 48, 11, 44, 51, -15, 49, 8, 122, 14, 128, 36, 32, -3, 79, 78, -187, -4, -4, -18, 20, 56, 39, 111, 48, -471, 26, 53, -155, 36, 11, -124, 16, 34, -90, 25, 33, -98, -53, -10, -15, 4, -36, 39, -44, -4, -100, -23, 9, 16, 66, 23, 16, -24, -50, -44, 60, -3, 12, -13, 43]","[524, 596, 216, 269, 251, 318, 573, 657, 318, 1738, 588, 790, 269, 319, 313, 275, 248, 162, 314, 286, 266, 501, 289, 248, 507, 321, 367, 274, 407, 1254, 481, 468, 225, 289, 362, 295, 916, 165, 2773, 133, 228, 1259, 397, 376, 705, 392, 340, 652, 150, 318, 891, 780, 137, 563, 383, 365, 243, 639, 517, 973, 324, 224, 625, 257, 362, 413, 264, 611, 367, 299, 158, 357, 656, 108]","[6, 8, 4, 0, 2, 1, 5, 5, 3, 16, 3, 3, 0, 2, 2, 2, 2, 1, 4, 2, 1, 4, 3, 1, 4, 2, 1, 1, 3, 8, 2, 3, 2, 1, 4, 2, 8, 0, 21, 0, 1, 10, 2, 1, 5, 6, 2, 6, 0, 1, 14, 3, 1, 9, 5, 4, 2, 3, 3, 11, 1, 3, 4, 4, 7, 5, 2, 5, 5, 4, 3, 6, 10, 1]",34898
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 3, 2, 2, 1, 3, 2, 2, 5, 2, 2, 5, 3, 3, 2, 4, 12, 4, 4, 2, 2, 3, 2, 9, 1, 27, 1, 2, 12, 3, 3, 7, 3, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 1]","[-49, 110, 118, 64, 8, 80, -42, -83, 30, -294, 91, -110, 75, 76, 52, 29, 65, 75, -16, 68, 10, 189, 30, 157, 45, 48, 3, 118, 91, -259, -3, -25, -23, 41, 82, 55, 194, 77, -672, 46, 80, -234, 53, 20, -172, 7, 49, -142, 42, 60, -135, -79, -14, -23, -8, -57, 65, -62, -16, -120, -27, 15, 24, 100, 30, 17, -37, -82, -55, 89, -7, 19, -11, 60]","[494, 635, 250, 290, 249, 342, 559, 631, 321, 1651, 615, 756, 284, 332, 317, 292, 270, 185, 311, 303, 268, 563, 305, 278, 515, 335, 374, 314, 420, 1190, 486, 447, 222, 308, 390, 309, 997, 193, 2576, 153, 255, 1184, 416, 384, 657, 383, 356, 600, 167, 346, 855, 755, 131, 555, 369, 343, 265, 624, 503, 956, 318, 230, 634, 290, 369, 417, 250, 576, 358, 327, 153, 362, 657, 125]","[6, 6, 4, 2, 2, 4, 5, 4, 1, 12, 10, 4, 3, 3, 3, 3, 1, 2, 5, 4, 2, 10, 2, 1, 6, 5, 2, 1, 4, 4, 0, 4, 0, 4, 1, 4, 11, 2, 23, 1, 2, 8, 1, 4, 7, 3, 2, 6, 1, 2, 7, 6, 3, 5, 5, 4, 6, 3, 7, 6, 5, 2, 5, 3, 3, 1, 3, 9, 1, 3, 2, 5, 7, 1]",34900
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 6, 7, 2, 3, 3, 2, 2, 1, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 9, 1, 25, 1, 2, 11, 4, 3, 6, 3, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-54, 160, 151, 86, 9, 83, -67, -90, 50, -365, 97, -129, 91, 94, 58, 42, 72, 96, -30, 75, 14, 238, 35, 174, 54, 66, 12, 150, 116, -340, -27, -47, -32, 48, 100, 65, 282, 104, -831, 58, 106, -301, 59, 35, -202, 19, 62, -163, 49, 93, -194, -106, -16, -34, -14, -71, 85, -84, -41, -153, -26, 35, 12, 112, 46, 51, -54, -97, -70, 113, -17, 19, -2, 81]","[488, 679, 282, 308, 250, 345, 536, 628, 342, 1580, 620, 738, 301, 347, 324, 305, 276, 206, 294, 307, 273, 608, 308, 295, 526, 355, 379, 343, 445, 1111, 464, 426, 214, 316, 410, 322, 1084, 220, 2411, 165, 281, 1110, 423, 396, 628, 394, 369, 581, 172, 379, 799, 733, 127, 544, 362, 321, 286, 600, 477, 918, 320, 250, 624, 300, 385, 453, 234, 562, 345, 345, 143, 363, 662, 147]","[5, 12, 3, 6, 2, 3, 3, 2, 2, 16, 7, 6, 1, 6, 2, 2, 3, 1, 6, 6, 1, 9, 5, 2, 3, 1, 7, 6, 4, 9, 2, 3, 1, 2, 1, 0, 10, 1, 31, 1, 2, 18, 3, 6, 5, 4, 3, 4, 3, 3, 5, 2, 3, 5, 4, 11, 1, 8, 6, 14, 2, 2, 4, 4, 3, 2, 1, 4, 1, 9, 1, 2, 10, 0]",34864
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 6, 7, 3, 3, 3, 3, 2, 2, 2, 3, 2, 6, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 4, 3, 10, 2, 24, 1, 2, 11, 4, 3, 6, 3, 3, 5, 1, 3, 7, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 3, 3, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-63, 202, 188, 102, 16, 96, -93, -105, 60, -449, 93, -150, 114, 112, 70, 58, 79, 120, -30, 99, 11, 302, 35, 223, 57, 76, 6, 163, 140, -404, -18, -61, -38, 83, 104, 75, 369, 128, -995, 67, 123, -390, 60, 36, -245, 44, 68, -200, 48, 106, -222, -139, -24, -42, -20, -82, 122, -105, -70, -178, -34, 36, 26, 119, 66, 54, -64, -91, -69, 132, -19, 31, 1, 80]","[481, 721, 313, 323, 255, 360, 512, 614, 353, 1497, 615, 712, 323, 364, 336, 320, 281, 227, 290, 330, 270, 667, 306, 344, 528, 364, 373, 354, 464, 1047, 470, 413, 209, 350, 412, 334, 1167, 245, 2245, 173, 296, 1026, 425, 399, 581, 412, 374, 541, 170, 390, 772, 700, 118, 536, 352, 308, 322, 578, 449, 897, 314, 250, 634, 306, 403, 455, 224, 565, 346, 361, 141, 372, 664, 147]","[2, 6, 8, 4, 4, 1, 3, 5, 2, 14, 7, 12, 4, 4, 3, 4, 4, 5, 6, 4, 2, 11, 5, 2, 6, 4, 3, 5, 9, 11, 7, 3, 1, 4, 6, 1, 14, 1, 26, 2, 4, 6, 3, 1, 10, 10, 4, 8, 2, 5, 6, 7, 2, 5, 7, 5, 3, 7, 3, 5, 1, 3, 10, 4, 5, 5, 2, 8, 3, 6, 1, 6, 7, 0]",34790
6,"[4, 7, 3, 3, 2, 3, 5, 6, 3, 14, 6, 7, 3, 3, 3, 3, 2, 2, 2, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 10, 4, 4, 2, 3, 4, 3, 11, 2, 22, 1, 2, 10, 4, 3, 5, 4, 3, 5, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-82, 225, 221, 109, 26, 106, -121, -111, 66, -507, 114, -171, 130, 122, 71, 66, 91, 138, -32, 121, 4, 365, 48, 245, 68, 79, 4, 186, 143, -451, -15, -86, -47, 97, 112, 86, 457, 157, -1135, 77, 130, -435, 73, 61, -284, 64, 69, -237, 52, 127, -247, -157, -30, -60, -22, -99, 156, -119, -68, -220, -42, 40, 13, 116, 80, 62, -76, -105, -77, 149, -13, 28, -2, 97]","[466, 742, 345, 332, 264, 371, 481, 605, 353, 1441, 631, 689, 332, 373, 333, 327, 291, 244, 287, 353, 262, 725, 318, 364, 539, 366, 371, 375, 465, 1003, 472, 387, 202, 365, 420, 342, 1253, 267, 2103, 183, 303, 974, 437, 425, 544, 433, 373, 503, 174, 411, 742, 681, 113, 518, 351, 292, 356, 560, 443, 851, 306, 253, 620, 303, 417, 461, 213, 546, 336, 377, 147, 371, 659, 164]","[0, 9, 4, 1, 3, 2, 8, 9, 9, 12, 11, 9, 10, 4, 7, 4, 4, 3, 3, 2, 3, 11, 4, 5, 5, 4, 3, 5, 6, 7, 5, 5, 0, 2, 4, 6, 13, 9, 24, 1, 2, 17, 5, 2, 3, 3, 5, 6, 1, 3, 12, 8, 0, 5, 2, 2, 3, 9, 12, 12, 3, 3, 7, 3, 4, 6, 1, 10, 5, 4, 1, 1, 8, 1]",34699
7,"[4, 7, 3, 3, 2, 3, 4, 6, 3, 14, 6, 6, 3, 3, 3, 3, 2, 2, 2, 3, 2, 7, 3, 3, 5, 3, 3, 3, 4, 10, 4, 3, 2, 3, 4, 3, 12, 2, 21, 1, 3, 9, 4, 4, 5, 4, 3, 5, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-81, 264, 239, 124, 25, 128, -129, -117, 76, -551, 130, -209, 156, 130, 73, 67, 117, 161, -51, 130, -1, 421, 49, 275, 45, 82, 30, 209, 163, -499, -32, -96, -55, 112, 116, 98, 524, 179, -1274, 87, 157, -487, 84, 60, -322, 67, 82, -258, 54, 157, -279, -177, -27, -71, -30, -117, 169, -129, -84, -260, -49, 51, 28, 126, 71, 92, -96, -116, -93, 155, -12, 33, -4, 110]","[465, 778, 360, 347, 262, 391, 470, 597, 363, 1399, 646, 649, 352, 376, 333, 328, 317, 265, 264, 362, 257, 777, 316, 395, 516, 371, 395, 398, 483, 945, 454, 376, 194, 381, 422, 352, 1318, 286, 1966, 194, 330, 916, 442, 421, 507, 436, 382, 482, 175, 435, 711, 666, 115, 503, 338, 272, 368, 549, 428, 806, 299, 260, 637, 316, 409, 490, 194, 532, 323, 384, 147, 376, 655, 178]","[6, 10, 6, 3, 3, 5, 7, 8, 3, 12, 7, 8, 9, 8, 5, 3, 2, 4, 6, 3, 2, 11, 6, 2, 5, 1, 5, 3, 6, 20, 5, 4, 2, 2, 6, 5, 14, 5, 19, 0, 3, 15, 10, 7, 4, 4, 7, 5, 2, 10, 6, 1, 2, 9, 8, 4, 4, 6, 3, 13, 3, 6, 4, 0, 3, 5, 1, 8, 0, 2, 2, 3, 8, 0]",34602
8,"[4, 7, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 7, 3, 3, 5, 3, 3, 3, 4, 9, 4, 3, 1, 3, 4, 3, 13, 2, 19, 1, 3, 9, 4, 4, 5, 4, 3, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 2, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 3, 6, 1]","[-97, 310, 263, 130, 47, 132, -136, -138, 70, -615, 138, -219, 183, 128, 97, 71, 135, 173, -50, 127, 1, 453, 52, 292, 51, 85, 17, 249, 181, -539, -36, -111, -50, 128, 136, 92, 621, 213, -1406, 92, 169, -529, 90, 59, -358, 60, 85, -290, 66, 169, -305, -201, -27, -68, -18, -126, 191, -136, -97, -310, -58, 56, 32, 130, 89, 101, -99, -126, -111, 170, -14, 25, -6, 117]","[451, 819, 382, 350, 283, 391, 458, 576, 356, 1333, 651, 640, 378, 375, 357, 330, 337, 275, 265, 361, 259, 807, 320, 411, 524, 375, 381, 433, 501, 903, 451, 360, 197, 393, 444, 344, 1414, 321, 1833, 200, 339, 865, 447, 419, 467, 426, 384, 447, 185, 447, 678, 638, 112, 506, 346, 258, 389, 541, 412, 758, 288, 263, 641, 319, 422, 498, 188, 522, 304, 400, 145, 370, 652, 184]","[2, 12, 5, 6, 3, 7, 9, 5, 4, 15, 9, 5, 4, 2, 3, 5, 1, 4, 2, 1, 2, 9, 2, 4, 3, 2, 4, 8, 4, 11, 3, 4, 3, 7, 2, 5, 14, 1, 20, 0, 6, 18, 5, 5, 9, 7, 4, 7, 3, 4, 14, 10, 4, 5, 7, 7, 4, 6, 7, 6, 4, 4, 6, 4, 9, 5, 4, 5, 4, 2, 1, 1, 7, 2]",34499
9,"[4, 8, 3, 3, 2, 3, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 8, 3, 4, 5, 3, 3, 4, 5, 9, 4, 3, 1, 3, 4, 3, 14, 3, 18, 2, 3, 8, 4, 4, 4, 4, 3, 4, 1, 4, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 2, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 3, 6, 1]","[-111, 338, 280, 128, 45, 133, -143, -151, 86, -683, 140, -245, 187, 141, 92, 83, 168, 192, -66, 150, 7, 512, 55, 298, 68, 90, 32, 245, 184, -581, -45, -121, -53, 122, 146, 109, 718, 220, -1533, 99, 182, -576, 97, 70, -396, 73, 97, -311, 66, 175, -323, -212, -27, -79, -21, -129, 205, -142, -92, -341, -57, 68, 29, 137, 88, 100, -110, -148, -100, 183, -7, 41, -1, 125]","[437, 840, 400, 347, 280, 388, 454, 554, 373, 1257, 651, 617, 379, 383, 352, 344, 371, 293, 249, 382, 265, 858, 321, 418, 544, 382, 391, 427, 503, 861, 444, 347, 190, 386, 455, 361, 1507, 326, 1694, 204, 346, 815, 455, 429, 427, 440, 394, 422, 181, 450, 659, 628, 111, 494, 340, 255, 398, 535, 417, 725, 286, 269, 637, 327, 423, 499, 175, 496, 315, 412, 151, 388, 656, 189]","[4, 15, 2, 4, 3, 7, 1, 14, 2, 21, 8, 3, 6, 8, 3, 1, 2, 3, 2, 5, 2, 16, 5, 3, 2, 1, 8, 6, 6, 9, 2, 6, 5, 4, 3, 3, 18, 5, 30, 5, 9, 11, 3, 5, 6, 3, 5, 8, 5, 7, 7, 5, 2, 6, 6, 2, 8, 5, 4, 9, 5, 8, 7, 2, 2, 2, 3, 9, 3, 5, 2, 1, 7, 4]",34379
