0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-35, 26, 43, 20, 10, 30, -14, -20, 25, -112, 17, -40, 19, 29, 40, 20, 33, 41, -4, 43, 5, 35, 1, 49, 11, 8, 9, 40, 31, -87, 4, -8, -17, 30, 21, 29, 15, 38, -251, 17, 24, -81, 35, 12, -71, 3, 7, -57, 14, 22, -43, -21, -11, -10, 7, -21, 25, -25, -7, -42, -8, 12, 8, 40, 21, 24, -15, -27, -12, 22, 4, 10, -1, 11]"
2,"[-58, 52, 72, 50, 25, 63, -50, -35, 40, -203, 26, -79, 52, 61, 36, 36, 59, 76, -14, 63, 0, 76, -3, 112, 33, 15, 22, 57, 59, -182, -7, -17, -32, 41, 39, 51, 41, 62, -488, 45, 70, -155, 59, 42, -121, 26, 25, -115, 22, 43, -87, -36, -13, -8, -7, -44, 48, -39, -13, -100, -9, 35, 23, 77, 35, 25, -37, -44, -15, 49, 2, 28, 15, 23]"
3,"[-75, 60, 115, 63, 26, 81, -72, -58, 59, -287, 31, -114, 67, 66, 62, 64, 83, 113, -31, 83, 1, 120, 9, 169, 32, 31, 29, 95, 86, -249, -5, -28, -44, 61, 64, 77, 71, 88, -685, 74, 83, -248, 88, 57, -175, 29, 45, -153, 25, 57, -125, -53, -21, -7, 2, -51, 60, -54, -27, -132, -26, 39, 41, 104, 55, 25, -64, -54, -30, 80, 2, 46, 19, 31]"
4,"[-104, 84, 158, 84, 27, 104, -75, -100, 73, -368, 57, -154, 77, 101, 74, 70, 106, 128, -32, 98, 8, 156, 23, 212, 30, 52, 41, 111, 109, -306, 3, -51, -55, 86, 78, 103, 72, 114, -884, 88, 106, -310, 98, 70, -225, 41, 66, -175, 35, 78, -174, -85, -21, -3, 1, -65, 87, -73, -44, -166, -25, 49, 51, 123, 64, 32, -72, -68, -43, 127, -2, 50, 26, 49]"
5,"[-124, 98, 194, 99, 30, 119, -107, -117, 79, -444, 70, -157, 105, 119, 85, 74, 136, 143, -32, 108, 20, 191, 31, 239, 40, 69, 52, 136, 124, -366, 7, -60, -69, 117, 103, 108, 79, 131, -1050, 110, 122, -376, 108, 76, -263, 50, 78, -203, 46, 76, -205, -110, -27, 13, 3, -80, 95, -86, -60, -188, -25, 60, 61, 138, 86, 40, -84, -77, -46, 151, -11, 65, 30, 53]"
6,"[-126, 104, 212, 125, 39, 136, -123, -135, 80, -529, 90, -183, 121, 122, 95, 87, 159, 166, -45, 138, 24, 209, 43, 266, 63, 81, 54, 153, 151, -428, 8, -71, -71, 139, 131, 107, 111, 143, -1193, 123, 145, -426, 136, 82, -302, 71, 81, -230, 47, 87, -236, -119, -28, 1, -10, -97, 129, -82, -58, -217, -30, 69, 51, 155, 97, 47, -89, -96, -57, 161, -16, 79, 14, 65]"
7,"[-142, 150, 246, 140, 36, 150, -136, -147, 81, -579, 104, -195, 148, 134, 98, 79, 183, 192, -51, 157, 23, 224, 48, 293, 71, 73, 63, 162, 177, -475, 14, -81, -76, 157, 134, 98, 113, 167, -1320, 132, 172, -483, 162, 103, -341, 87, 97, -265, 60, 98, -266, -157, -39, -1, -14, -119, 152, -104, -74, -238, -20, 69, 68, 166, 117, 61, -99, -107, -57, 174, -17, 84, 7, 79]"
8,"[-149, 164, 269, 154, 40, 176, -150, -156, 83, -628, 122, -207, 166, 153, 105, 91, 178, 209, -62, 164, 22, 258, 53, 300, 95, 70, 70, 182, 193, -528, -6, -106, -71, 172, 162, 108, 96, 182, -1431, 130, 193, -529, 176, 119, -373, 96, 106, -279, 77, 115, -281, -173, -45, 0, -11, -137, 155, -102, -85, -281, -18, 80, 60, 176, 121, 88, -108, -121, -71, 206, -29, 96, 14, 92]"
9,"[-156, 170, 285, 161, 40, 186, -154, -174, 92, -670, 130, -205, 185, 149, 117, 105, 187, 229, -70, 169, 29, 285, 60, 318, 107, 67, 72, 199, 213, -570, -4, -120, -79, 201, 178, 117, 108, 216, -1560, 129, 218, -566, 188, 117, -407, 101, 115, -297, 78, 123, -321, -200, -43, -4, -20, -151, 167, -109, -90, -314, -25, 93, 54, 193, 127, 99, -110, -114, -67, 217, -28, 113, 19, 102]"
10,"[-171, 181, 302, 182, 40, 177, -164, -189, 96, -711, 153, -238, 201, 158, 131, 117, 199, 246, -66, 177, 34, 292, 64, 340, 107, 72, 80, 213, 226, -606, -4, -124, -82, 211, 197, 118, 113, 229, -1643, 133, 224, -597, 198, 141, -426, 105, 127, -314, 85, 130, -346, -201, -47, -2, -18, -172, 201, -128, -99, -347, -29, 105, 49, 202, 133, 107, -122, -123, -72, 222, -32, 111, 28, 116]"
11,"[-199, 183, 333, 179, 45, 170, -156, -199, 94, -752, 141, -258, 225, 172, 134, 135, 205, 265, -76, 177, 33, 315, 78, 353, 129, 84, 93, 232, 243, -628, -12, -139, -78, 220, 208, 117, 123, 240, -1732, 145, 262, -623, 214, 138, -448, 126, 123, -333, 88, 128, -355, -204, -52, -7, -22, -189, 214, -147, -93, -376, -34, 100, 35, 213, 147, 117, -126, -138, -66, 224, -38, 113, 43, 124]"
12,"[-213, 212, 359, 191, 57, 189, -170, -216, 105, -771, 146, -267, 243, 179, 146, 152, 206, 264, -79, 176, 32, 343, 81, 373, 130, 96, 92, 253, 245, -670, -10, -143, -89, 242, 220, 124, 106, 262, -1807, 152, 277, -659, 202, 146, -466, 135, 139, -347, 95, 146, -380, -232, -49, -28, -29, -202, 225, -158, -90, -402, -48, 109, 34, 233, 138, 125, -129, -138, -63, 219, -32, 119, 48, 121]"
13,"[-218, 230, 376, 195, 69, 193, -170, -219, 110, -793, 149, -280, 260, 184, 151, 179, 213, 294, -88, 187, 38, 345, 85, 403, 151, 121, 78, 267, 252, -682, -6, -160, -94, 250, 239, 139, 113, 278, -1905, 168, 286, -692, 197, 150, -492, 147, 141, -364, 101, 147, -419, -241, -50, -46, -25, -204, 232, -177, -103, -421, -44, 103, 40, 238, 143, 134, -134, -163, -58, 227, -33, 109, 46, 123]"
14,"[-215, 232, 386, 216, 66, 187, -182, -227, 122, -816, 154, -290, 269, 199, 157, 169, 223, 310, -87, 179, 34, 333, 98, 411, 158, 125, 94, 277, 261, -704, -7, -168, -94, 249, 237, 134, 104, 291, -1977, 177, 300, -732, 212, 141, -506, 165, 153, -384, 103, 158, -438, -256, -54, -46, -23, -198, 237, -190, -101, -436, -45, 117, 27, 259, 153, 132, -143, -161, -61, 248, -23, 117, 69, 121]"
15,"[-220, 256, 397, 218, 59, 190, -181, -245, 121, -849, 159, -280, 288, 204, 152, 177, 240, 316, -87, 194, 23, 341, 116, 440, 157, 147, 98, 300, 274, -712, -2, -171, -91, 248, 249, 127, 96, 297, -2026, 182, 324, -768, 225, 139, -516, 165, 151, -403, 105, 169, -450, -275, -56, -49, -34, -207, 246, -193, -114, -460, -47, 119, 5, 265, 156, 138, -144, -175, -65, 255, -17, 114, 64, 131]"
16,"[-232, 281, 405, 200, 65, 188, -192, -249, 126, -887, 166, -286, 299, 193, 162, 181, 251, 326, -97, 210, 26, 342, 118, 452, 167, 134, 107, 301, 294, -731, 3, -188, -97, 252, 262, 120, 94, 298, -2080, 189, 330, -788, 229, 139, -532, 180, 172, -424, 106, 191, -470, -275, -56, -43, -19, -209, 269, -196, -124, -476, -42, 119, -4, 258, 151, 146, -144, -178, -66, 265, -11, 131, 65, 133]"
17,"[-237, 287, 421, 220, 71, 200, -195, -251, 135, -910, 171, -285, 304, 193, 163, 177, 261, 328, -95, 208, 39, 371, 127, 472, 176, 139, 105, 314, 296, -758, 6, -201, -99, 257, 273, 112, 79, 296, -2144, 192, 330, -820, 246, 138, -545, 196, 184, -432, 113, 191, -492, -290, -60, -22, -33, -218, 271, -206, -122, -481, -50, 109, 0, 264, 162, 147, -147, -186, -70, 273, -18, 133, 72, 145]"
18,"[-241, 287, 433, 215, 77, 193, -198, -260, 138, -912, 178, -294, 307, 197, 172, 168, 271, 343, -100, 210, 36, 373, 119, 467, 177, 140, 111, 321, 314, -773, 11, -201, -101, 252, 282, 123, 86, 306, -2197, 207, 342, -842, 257, 154, -560, 214, 189, -440, 109, 197, -501, -297, -61, -21, -42, -221, 290, -213, -130, -503, -54, 104, -14, 272, 152, 150, -153, -184, -77, 288, -8, 137, 72, 157]"
19,"[-249, 266, 441, 223, 74, 204, -195, -274, 133, -920, 193, -296, 327, 208, 170, 171, 294, 357, -101, 225, 46, 378, 132, 478, 180, 142, 119, 325, 310, -796, 21, -203, -104, 245, 302, 120, 96, 312, -2239, 221, 344, -854, 276, 148, -572, 232, 182, -448, 111, 206, -524, -323, -64, -21, -40, -229, 264, -216, -133, -528, -58, 103, -15, 285, 151, 155, -149, -186, -74, 284, -9, 146, 70, 150]"
20,"[-256, 269, 457, 233, 83, 211, -191, -293, 136, -926, 196, -296, 324, 216, 160, 168, 291, 363, -110, 218, 38, 378, 140, 472, 190, 164, 139, 339, 298, -811, 31, -208, -108, 272, 304, 111, 83, 320, -2284, 228, 361, -866, 297, 136, -584, 227, 178, -448, 107, 213, -527, -331, -68, -9, -40, -230, 269, -220, -142, -542, -51, 93, -7, 289, 151, 168, -151, -194, -73, 299, -12, 152, 54, 152]"
21,"[-253, 289, 469, 239, 83, 208, -189, -310, 133, -928, 196, -298, 310, 225, 143, 169, 305, 360, -119, 237, 41, 381, 147, 483, 195, 180, 141, 336, 307, -844, 40, -211, -92, 263, 323, 120, 71, 326, -2325, 233, 359, -875, 308, 130, -589, 245, 167, -444, 117, 221, -541, -319, -68, -31, -38, -229, 275, -226, -144, -545, -55, 88, -6, 296, 141, 157, -156, -191, -79, 309, -16, 145, 57, 153]"
22,"[-258, 275, 466, 236, 99, 213, -192, -308, 143, -948, 211, -310, 324, 226, 141, 176, 302, 361, -115, 234, 46, 385, 154, 499, 201, 187, 138, 357, 316, -865, 36, -222, -94, 268, 322, 116, 53, 332, -2364, 241, 375, -895, 311, 126, -598, 263, 170, -445, 124, 230, -553, -334, -66, -33, -41, -232, 283, -237, -136, -549, -58, 96, -13, 292, 165, 163, -162, -187, -80, 307, -26, 152, 49, 157]"
23,"[-249, 274, 480, 243, 105, 204, -192, -311, 128, -966, 205, -318, 334, 231, 146, 186, 303, 360, -112, 226, 45, 381, 156, 506, 206, 195, 149, 356, 327, -884, 25, -226, -94, 283, 318, 117, 42, 334, -2392, 247, 391, -900, 317, 131, -605, 267, 170, -463, 133, 232, -557, -350, -67, -17, -48, -235, 292, -241, -146, -560, -53, 106, -30, 293, 164, 178, -168, -180, -76, 314, -20, 149, 52, 159]"
