0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[512, 551, 181, 243, 249, 292, 592, 690, 312, 1825, 552, 821, 220, 286, 307, 283, 238, 152, 328, 278, 258, 416, 277, 172, 482, 298, 376, 236, 361, 1348, 485, 462, 228, 301, 328, 285, 820, 151, 2985, 121, 202, 1325, 393, 377, 756, 384, 314, 683, 138, 308, 954, 812, 136, 570, 388, 380, 228, 656, 512, 1041, 339, 229, 618, 231, 364, 425, 271, 630, 401, 263, 166, 360, 669, 78]"
2,"[490, 576, 208, 273, 263, 321, 558, 679, 329, 1731, 561, 786, 254, 316, 304, 299, 259, 187, 316, 298, 254, 458, 264, 236, 504, 299, 390, 252, 388, 1253, 475, 454, 214, 313, 346, 303, 847, 175, 2754, 149, 249, 1244, 419, 407, 704, 404, 333, 627, 146, 324, 905, 793, 135, 564, 374, 359, 251, 641, 506, 985, 337, 253, 634, 268, 381, 425, 250, 618, 400, 291, 164, 378, 683, 89]"
3,"[473, 583, 252, 280, 264, 336, 535, 655, 349, 1646, 566, 750, 267, 322, 330, 326, 280, 220, 299, 317, 256, 497, 277, 292, 505, 313, 397, 291, 414, 1190, 477, 442, 203, 335, 370, 327, 882, 199, 2563, 178, 261, 1157, 449, 423, 650, 407, 353, 590, 149, 338, 869, 775, 128, 561, 380, 352, 262, 622, 493, 956, 319, 257, 653, 294, 401, 423, 222, 610, 386, 321, 165, 391, 685, 96]"
4,"[444, 609, 296, 302, 260, 361, 536, 611, 364, 1562, 588, 709, 278, 360, 341, 330, 303, 235, 296, 331, 263, 533, 289, 333, 504, 332, 407, 306, 440, 1127, 479, 421, 192, 358, 385, 354, 881, 224, 2356, 191, 282, 1095, 460, 438, 601, 419, 375, 565, 157, 361, 822, 740, 128, 568, 378, 337, 289, 604, 475, 923, 317, 264, 661, 314, 411, 430, 216, 595, 371, 366, 159, 394, 690, 114]"
5,"[422, 622, 328, 314, 263, 376, 500, 598, 372, 1476, 597, 701, 307, 379, 351, 334, 330, 250, 296, 343, 272, 565, 294, 358, 514, 352, 419, 327, 453, 1069, 483, 412, 177, 389, 411, 356, 892, 239, 2196, 213, 296, 1026, 468, 446, 558, 430, 383, 536, 166, 358, 785, 715, 121, 585, 376, 323, 292, 588, 453, 899, 317, 274, 676, 325, 435, 432, 205, 588, 364, 388, 150, 407, 693, 119]"
6,"[422, 625, 344, 343, 273, 393, 483, 580, 373, 1387, 618, 672, 321, 383, 362, 346, 351, 273, 280, 369, 277, 581, 305, 385, 536, 359, 421, 345, 482, 1006, 486, 399, 174, 408, 438, 357, 925, 249, 2050, 222, 318, 977, 494, 452, 519, 450, 384, 506, 166, 367, 755, 707, 119, 570, 363, 304, 324, 590, 452, 872, 308, 281, 660, 338, 446, 439, 200, 566, 353, 396, 143, 422, 672, 131]"
7,"[406, 666, 378, 357, 271, 402, 467, 567, 374, 1334, 631, 662, 347, 395, 360, 335, 375, 298, 274, 388, 276, 593, 310, 412, 543, 350, 428, 354, 510, 961, 487, 390, 169, 427, 437, 344, 924, 272, 1929, 232, 343, 924, 514, 470, 476, 460, 401, 469, 178, 377, 717, 670, 109, 560, 359, 281, 348, 563, 437, 848, 317, 283, 675, 351, 463, 454, 192, 552, 356, 407, 141, 430, 664, 142]"
8,"[401, 682, 399, 367, 275, 428, 452, 558, 376, 1278, 650, 649, 366, 411, 366, 347, 367, 316, 261, 395, 272, 622, 311, 418, 568, 343, 434, 375, 525, 908, 467, 362, 173, 440, 462, 355, 898, 282, 1817, 229, 361, 869, 529, 485, 441, 464, 412, 454, 192, 388, 703, 647, 104, 552, 363, 259, 351, 560, 423, 801, 322, 292, 666, 361, 467, 478, 180, 534, 340, 440, 130, 442, 668, 156]"
9,"[394, 683, 414, 376, 272, 437, 445, 536, 387, 1230, 657, 645, 387, 402, 377, 360, 376, 337, 249, 399, 279, 645, 319, 437, 578, 338, 437, 390, 547, 867, 465, 347, 162, 465, 476, 363, 910, 316, 1689, 229, 385, 821, 542, 483, 408, 466, 421, 437, 193, 388, 663, 623, 105, 542, 354, 242, 361, 555, 416, 768, 317, 303, 661, 378, 472, 489, 176, 542, 345, 452, 130, 457, 672, 166]"
