0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-20, 21, 22, 33, -8, 33, -38, -32, 25, -116, 10, -21, 23, 6, 10, 19, 24, 34, -10, 37, 10, 29, 19, 47, 13, 16, 18, 39, 21, -99, -3, -26, -10, 23, 31, 17, 33, 37, -227, 24, 30, -79, 37, 26, -67, 32, 29, -55, 15, 26, -29, 0, -7, -19, -6, -18, 21, -31, -18, -63, -6, 19, 14, 40, 19, 17, -18, -20, -13, 32, -1, 18, -13, 24]"
2,"[-51, 29, 59, 46, -1, 60, -41, -44, 44, -216, 21, -61, 45, 35, 38, 25, 55, 60, -14, 65, 14, 51, 41, 107, 32, 18, 22, 79, 51, -185, -4, -41, -24, 47, 64, 35, 58, 68, -475, 42, 84, -152, 39, 39, -119, 50, 41, -115, 27, 59, -79, -17, -16, -19, -11, -46, 43, -50, -33, -86, -7, 26, 16, 61, 41, 40, -36, -40, -13, 57, -3, 39, -19, 45]"
3,"[-71, 43, 88, 75, 11, 89, -56, -74, 56, -296, 36, -102, 73, 72, 53, 34, 92, 89, -22, 91, 16, 63, 46, 149, 48, 37, 45, 94, 60, -247, -14, -58, -34, 79, 84, 49, 64, 103, -669, 77, 113, -231, 65, 50, -178, 64, 48, -152, 46, 76, -121, -34, -20, -51, -11, -60, 58, -78, -51, -119, -2, 28, 35, 93, 64, 45, -50, -56, -13, 77, -8, 63, -27, 64]"
4,"[-94, 42, 122, 99, 24, 104, -63, -92, 73, -382, 52, -125, 92, 75, 82, 57, 104, 114, -22, 113, 28, 85, 62, 185, 55, 53, 55, 129, 81, -308, -18, -48, -34, 98, 125, 57, 89, 122, -842, 89, 134, -295, 73, 53, -233, 73, 68, -188, 55, 84, -159, -59, -24, -54, -23, -68, 91, -102, -53, -153, -5, 44, 32, 122, 70, 53, -60, -73, -33, 92, -10, 59, -28, 79]"
5,"[-112, 64, 154, 116, 33, 126, -53, -101, 76, -469, 68, -164, 110, 92, 82, 79, 118, 145, -36, 149, 28, 116, 68, 198, 76, 59, 65, 158, 91, -389, -8, -62, -38, 114, 138, 56, 80, 145, -1008, 111, 158, -363, 81, 63, -270, 93, 65, -229, 59, 109, -174, -86, -19, -56, -16, -81, 108, -125, -68, -181, -2, 64, 35, 144, 78, 75, -64, -75, -42, 124, -13, 71, -23, 85]"
6,"[-122, 88, 166, 139, 37, 142, -81, -124, 85, -530, 73, -184, 124, 116, 101, 81, 133, 165, -37, 177, 24, 137, 77, 204, 77, 68, 63, 186, 103, -443, -13, -71, -48, 131, 146, 70, 92, 175, -1137, 131, 181, -414, 111, 68, -306, 112, 60, -264, 65, 128, -213, -119, -26, -53, -9, -88, 137, -129, -75, -204, 0, 65, 16, 175, 71, 84, -67, -89, -42, 155, -17, 88, -15, 93]"
7,"[-137, 90, 192, 157, 45, 155, -90, -139, 99, -604, 68, -206, 136, 129, 116, 107, 153, 198, -46, 188, 33, 147, 91, 228, 80, 73, 78, 201, 114, -503, -22, -78, -55, 143, 177, 87, 102, 189, -1290, 144, 196, -445, 119, 82, -331, 148, 68, -285, 70, 138, -245, -151, -23, -59, -4, -110, 152, -140, -76, -232, -2, 67, 15, 190, 74, 96, -74, -110, -33, 184, -18, 96, -11, 104]"
8,"[-139, 106, 207, 149, 42, 167, -97, -144, 104, -634, 84, -211, 152, 148, 129, 132, 164, 217, -53, 197, 40, 171, 94, 229, 98, 80, 86, 229, 136, -556, -26, -84, -61, 146, 177, 108, 99, 201, -1414, 165, 212, -503, 123, 103, -359, 144, 81, -316, 75, 166, -267, -178, -26, -58, -10, -122, 161, -149, -75, -277, -23, 66, 12, 204, 78, 110, -82, -121, -32, 203, -16, 120, 3, 115]"
9,"[-140, 119, 250, 147, 48, 180, -101, -157, 114, -674, 99, -209, 153, 165, 129, 147, 182, 225, -56, 219, 48, 181, 90, 273, 105, 84, 87, 238, 146, -577, -18, -100, -70, 162, 176, 97, 90, 207, -1533, 167, 226, -541, 137, 102, -387, 150, 96, -329, 78, 176, -288, -186, -29, -66, -14, -129, 158, -175, -83, -301, -31, 74, 23, 212, 97, 112, -92, -129, -27, 222, -8, 128, 16, 115]"
