,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-4, 14, 42, 21, 18, 21, -22, -30, 20, -105, 11, -26, 36, 27, 13, 14, 38, 39, 1, 34, 0, 11, -2, 43, 16, 11, 8, 21, 28, -93, 12, -16, -11, 32, 27, 12, 19, 38, -254, 17, 38, -113, 17, 37, -56, 13, 21, -63, 12, 33, -39, -23, 0, -20, 14, -26, 27, -18, -3, -48, 1, 22, 5, 31, 27, 9, -26, -23, 3, 43, 9, 11, -10, 14]","[542, 540, 179, 248, 259, 283, 583, 679, 310, 1827, 545, 837, 242, 282, 279, 278, 242, 150, 330, 271, 257, 389, 274, 164, 485, 302, 377, 216, 357, 1345, 496, 453, 232, 300, 333, 267, 824, 153, 2982, 122, 215, 1303, 377, 403, 775, 393, 327, 672, 136, 318, 956, 808, 148, 561, 398, 372, 232, 666, 515, 1030, 347, 235, 614, 224, 371, 412, 262, 640, 417, 285, 173, 359, 660, 80]","[4, 5, 2, 0, 2, 3, 5, 8, 1, 20, 5, 3, 2, 3, 2, 1, 2, 1, 4, 2, 0, 5, 3, 3, 3, 0, 2, 2, 1, 10, 1, 6, 2, 5, 2, 2, 5, 1, 26, 1, 2, 9, 3, 3, 5, 2, 2, 8, 0, 2, 9, 5, 1, 4, 3, 7, 2, 5, 4, 8, 2, 4, 6, 0, 2, 4, 2, 2, 1, 1, 1, 3, 6, 1]",34918
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 4, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-24, 26, 79, 52, 32, 63, -55, -68, 56, -203, 10, -60, 59, 50, 30, 40, 68, 66, -16, 58, -7, 49, 16, 83, 32, 26, 21, 47, 61, -161, 12, -30, -27, 50, 50, 48, 36, 80, -455, 27, 68, -181, 28, 37, -110, 24, 44, -105, 40, 60, -92, -43, -8, -33, -5, -46, 40, -34, -17, -114, 5, 38, 21, 68, 51, 39, -37, -44, -10, 68, -3, 26, -19, 23]","[523, 551, 216, 280, 273, 323, 550, 643, 347, 1732, 545, 801, 267, 307, 295, 304, 272, 175, 312, 293, 250, 426, 292, 204, 502, 317, 389, 243, 390, 1279, 497, 439, 218, 318, 357, 301, 839, 196, 2784, 130, 246, 1236, 389, 404, 720, 405, 349, 633, 163, 346, 904, 787, 140, 550, 378, 350, 246, 648, 499, 968, 350, 250, 630, 258, 394, 437, 251, 613, 406, 308, 158, 375, 649, 88]","[4, 6, 1, 1, 2, 4, 5, 4, 2, 15, 4, 10, 0, 0, 3, 2, 2, 3, 4, 4, 2, 4, 2, 1, 3, 3, 4, 1, 3, 11, 3, 4, 0, 3, 2, 4, 10, 0, 26, 3, 1, 12, 2, 3, 8, 2, 4, 3, 2, 2, 8, 9, 1, 3, 4, 5, 1, 8, 7, 6, 4, 3, 6, 5, 4, 9, 2, 12, 2, 4, 4, 2, 8, 1]",34908
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 8, 2, 3, 2, 3, 2, 1, 3, 2, 2, 4, 2, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 8, 1, 27, 1, 2, 12, 3, 4, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 0]","[-44, 52, 114, 60, 29, 87, -61, -73, 68, -275, 16, -94, 87, 68, 56, 53, 100, 107, -25, 91, -9, 71, 39, 129, 35, 39, 25, 80, 90, -230, 10, -45, -30, 83, 74, 62, 64, 99, -665, 43, 86, -243, 39, 18, -164, 28, 58, -151, 46, 66, -116, -78, -13, -42, 7, -63, 68, -57, -31, -151, 6, 36, 15, 96, 84, 50, -52, -56, -15, 94, 3, 28, -16, 40]","[503, 574, 249, 289, 271, 348, 545, 638, 361, 1665, 550, 766, 295, 325, 318, 318, 300, 214, 301, 324, 247, 450, 313, 250, 504, 328, 392, 276, 418, 1213, 495, 426, 216, 351, 379, 313, 866, 212, 2575, 145, 261, 1175, 396, 386, 664, 410, 364, 590, 167, 352, 874, 755, 135, 542, 390, 334, 274, 624, 486, 930, 351, 250, 627, 285, 424, 446, 234, 601, 401, 333, 164, 379, 653, 104]","[5, 8, 4, 1, 1, 2, 4, 6, 1, 12, 6, 9, 2, 3, 5, 2, 6, 3, 5, 4, 3, 2, 4, 2, 6, 5, 4, 2, 4, 9, 4, 2, 1, 3, 5, 5, 9, 4, 26, 2, 5, 11, 7, 3, 9, 3, 2, 3, 3, 3, 15, 4, 1, 4, 3, 2, 2, 7, 3, 10, 3, 0, 3, 3, 6, 6, 4, 6, 4, 4, 1, 1, 5, 1]",34884
4,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 3, 3, 2, 4, 12, 4, 4, 2, 3, 3, 3, 8, 2, 25, 1, 2, 11, 3, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-52, 88, 147, 75, 44, 104, -74, -89, 74, -361, 32, -118, 103, 79, 71, 61, 132, 128, -39, 118, -4, 96, 55, 169, 57, 56, 23, 107, 117, -302, -4, -56, -38, 112, 96, 64, 60, 120, -876, 63, 118, -319, 55, 23, -205, 59, 61, -191, 61, 72, -144, -80, -24, -45, -2, -80, 92, -64, -34, -188, -11, 45, 30, 125, 99, 66, -70, -61, -23, 138, -3, 49, -35, 48]","[493, 608, 283, 302, 282, 362, 532, 622, 366, 1583, 565, 746, 310, 337, 333, 327, 331, 232, 288, 353, 250, 476, 331, 290, 528, 343, 390, 300, 444, 1144, 478, 417, 208, 378, 398, 314, 864, 233, 2357, 165, 293, 1100, 411, 389, 625, 438, 366, 547, 181, 359, 845, 755, 125, 540, 382, 316, 298, 614, 484, 897, 335, 257, 641, 312, 441, 462, 215, 599, 393, 377, 159, 399, 633, 113]","[7, 7, 1, 4, 6, 6, 5, 6, 4, 12, 6, 3, 3, 2, 3, 2, 4, 5, 2, 1, 4, 3, 1, 2, 3, 5, 3, 5, 5, 9, 7, 2, 2, 5, 6, 4, 6, 2, 32, 1, 2, 10, 4, 5, 4, 7, 4, 8, 2, 2, 9, 5, 0, 4, 2, 4, 2, 9, 3, 5, 2, 4, 7, 4, 2, 4, 3, 3, 4, 3, 0, 4, 7, 0]",34864
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 4, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 3, 8, 2, 23, 1, 2, 11, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-73, 123, 193, 79, 32, 107, -82, -126, 76, -439, 29, -132, 127, 101, 79, 79, 155, 146, -45, 128, 4, 130, 68, 194, 46, 74, 36, 137, 121, -362, -3, -75, -49, 130, 118, 71, 72, 157, -1016, 84, 153, -364, 83, 28, -273, 67, 85, -218, 73, 99, -170, -116, -26, -42, -5, -91, 112, -88, -55, -214, -19, 52, 38, 153, 112, 71, -83, -62, -28, 162, -4, 55, -38, 59]","[473, 642, 327, 307, 271, 364, 523, 587, 368, 1496, 560, 730, 334, 357, 343, 346, 353, 249, 279, 362, 255, 507, 346, 314, 518, 362, 403, 332, 452, 1087, 478, 400, 195, 396, 418, 318, 877, 270, 2211, 185, 326, 1054, 438, 392, 559, 448, 392, 520, 191, 385, 816, 718, 121, 545, 381, 306, 320, 590, 462, 865, 327, 264, 646, 340, 451, 468, 203, 597, 387, 402, 159, 404, 630, 124]","[3, 7, 4, 2, 1, 4, 6, 4, 3, 24, 7, 9, 3, 5, 1, 2, 4, 3, 5, 4, 5, 7, 1, 3, 4, 2, 3, 1, 0, 8, 5, 2, 4, 3, 5, 6, 7, 2, 29, 2, 4, 12, 5, 5, 4, 2, 1, 5, 3, 4, 11, 8, 3, 3, 1, 2, 0, 6, 5, 14, 3, 2, 9, 3, 7, 3, 1, 6, 4, 2, 0, 4, 6, 1]",34826
6,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 4, 1, 3, 4, 3, 8, 2, 22, 1, 3, 10, 4, 3, 5, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 2, 5, 3, 4, 1, 4, 6, 1]","[-82, 137, 243, 100, 31, 134, -102, -121, 75, -497, 38, -161, 147, 124, 110, 95, 174, 163, -48, 148, 20, 134, 71, 228, 67, 95, 49, 154, 123, -410, -11, -95, -58, 163, 115, 77, 61, 189, -1183, 95, 175, -433, 96, 33, -298, 76, 104, -255, 85, 111, -201, -127, -27, -38, -1, -99, 116, -93, -75, -256, -16, 59, 34, 176, 121, 81, -94, -76, -31, 181, -12, 56, -28, 64]","[464, 659, 379, 324, 268, 391, 501, 582, 368, 1438, 572, 699, 353, 380, 368, 364, 369, 264, 276, 376, 268, 515, 347, 345, 538, 385, 412, 344, 455, 1035, 470, 379, 186, 424, 417, 325, 866, 304, 2051, 196, 350, 983, 452, 396, 536, 458, 412, 483, 200, 396, 784, 710, 120, 552, 384, 295, 321, 587, 445, 818, 328, 270, 640, 361, 461, 478, 194, 579, 385, 421, 149, 402, 635, 130]","[4, 3, 1, 7, 4, 3, 7, 15, 2, 14, 2, 9, 4, 3, 9, 1, 6, 4, 2, 9, 5, 1, 5, 6, 6, 1, 8, 8, 3, 14, 4, 5, 1, 8, 2, 2, 8, 0, 15, 1, 1, 12, 3, 4, 3, 3, 2, 5, 4, 4, 9, 4, 1, 2, 4, 6, 6, 3, 1, 13, 5, 3, 8, 5, 3, 4, 0, 9, 2, 4, 3, 7, 11, 0]",34772
7,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 14, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 1, 4, 4, 3, 8, 3, 20, 1, 3, 9, 4, 3, 5, 4, 4, 4, 2, 3, 7, 7, 1, 5, 3, 2, 3, 5, 4, 8, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-99, 146, 250, 133, 29, 150, -118, -122, 78, -580, 59, -181, 178, 131, 135, 117, 181, 190, -55, 151, 25, 168, 73, 225, 91, 99, 74, 171, 146, -476, -14, -95, -57, 188, 129, 86, 74, 194, -1327, 104, 208, -480, 118, 26, -339, 77, 113, -278, 83, 134, -219, -152, -27, -32, -11, -108, 144, -114, -79, -282, -11, 61, 19, 198, 147, 98, -107, -83, -35, 192, -17, 65, -32, 72]","[446, 669, 387, 356, 262, 408, 479, 581, 370, 1359, 589, 679, 383, 389, 391, 383, 376, 293, 269, 379, 272, 548, 345, 343, 561, 387, 437, 358, 475, 967, 463, 379, 186, 451, 431, 334, 880, 309, 1906, 202, 382, 936, 470, 385, 492, 454, 425, 456, 197, 419, 757, 686, 121, 557, 372, 282, 347, 566, 437, 785, 333, 273, 620, 382, 482, 495, 181, 572, 382, 430, 144, 411, 627, 139]","[5, 5, 2, 4, 6, 2, 11, 5, 4, 10, 9, 6, 4, 1, 5, 6, 3, 0, 2, 3, 3, 6, 7, 2, 6, 5, 4, 6, 7, 12, 8, 3, 2, 2, 4, 3, 7, 3, 21, 4, 4, 9, 8, 7, 8, 9, 0, 8, 3, 3, 16, 6, 0, 6, 5, 6, 5, 5, 8, 15, 3, 1, 11, 4, 9, 4, 1, 5, 2, 6, 1, 4, 10, 0]",34679
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 1, 4, 4, 3, 8, 3, 19, 2, 3, 9, 4, 3, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-121, 162, 269, 146, 26, 161, -135, -139, 84, -627, 69, -204, 188, 142, 139, 129, 201, 202, -60, 151, 29, 179, 76, 230, 98, 115, 85, 195, 166, -519, -2, -99, -59, 199, 168, 90, 68, 215, -1447, 119, 227, -512, 147, 37, -385, 92, 117, -308, 92, 161, -244, -181, -35, -32, -7, -128, 164, -124, -84, -306, -7, 67, 7, 211, 146, 123, -114, -96, -44, 206, -14, 71, -23, 87]","[424, 684, 404, 367, 258, 421, 461, 564, 375, 1312, 599, 652, 391, 400, 395, 395, 391, 305, 265, 381, 276, 562, 342, 347, 567, 403, 448, 380, 494, 921, 472, 374, 179, 460, 468, 337, 874, 330, 1781, 216, 396, 900, 499, 395, 443, 469, 429, 424, 204, 446, 726, 655, 112, 556, 373, 260, 366, 553, 431, 761, 337, 277, 606, 393, 480, 518, 173, 557, 373, 441, 145, 420, 632, 154]","[4, 7, 5, 5, 3, 2, 5, 5, 4, 13, 5, 10, 5, 3, 3, 3, 8, 2, 1, 1, 2, 2, 9, 4, 6, 3, 4, 5, 5, 12, 7, 4, 6, 6, 6, 4, 8, 3, 24, 3, 8, 13, 4, 4, 7, 4, 4, 6, 3, 4, 13, 8, 2, 6, 6, 4, 4, 8, 5, 7, 3, 4, 8, 5, 5, 6, 2, 7, 3, 7, 3, 1, 10, 1]",34579
9,"[4, 6, 4, 3, 2, 4, 4, 5, 3, 13, 5, 6, 3, 4, 3, 3, 3, 3, 2, 3, 2, 5, 3, 3, 5, 4, 4, 3, 4, 9, 4, 3, 1, 4, 4, 3, 8, 3, 17, 2, 3, 9, 4, 3, 4, 4, 4, 4, 2, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 5, 1, 5, 3, 4, 1, 4, 6, 1]","[-143, 175, 288, 165, 29, 162, -145, -158, 85, -672, 75, -232, 204, 143, 156, 148, 228, 206, -68, 162, 36, 212, 78, 255, 103, 125, 99, 211, 182, -563, 0, -110, -65, 208, 182, 99, 64, 220, -1559, 126, 252, -553, 169, 58, -413, 125, 127, -327, 89, 185, -275, -189, -33, -35, -4, -138, 165, -140, -86, -337, -18, 63, 18, 229, 148, 144, -123, -104, -44, 213, -16, 66, -32, 105]","[401, 688, 423, 383, 258, 421, 448, 543, 376, 1263, 605, 624, 404, 398, 411, 412, 416, 307, 257, 392, 279, 596, 345, 373, 572, 415, 461, 397, 509, 879, 475, 359, 172, 469, 480, 344, 863, 336, 1663, 222, 421, 859, 520, 407, 415, 502, 440, 403, 199, 468, 693, 648, 112, 553, 371, 248, 362, 530, 429, 724, 324, 274, 619, 410, 481, 532, 164, 549, 373, 448, 143, 414, 623, 173]","[5, 15, 4, 6, 5, 5, 7, 7, 3, 17, 5, 6, 6, 7, 4, 5, 5, 5, 2, 3, 6, 4, 2, 2, 5, 2, 5, 2, 5, 7, 3, 7, 2, 4, 6, 5, 15, 2, 23, 3, 3, 9, 5, 12, 4, 4, 3, 6, 4, 6, 9, 5, 3, 5, 8, 4, 8, 12, 4, 13, 5, 1, 4, 4, 5, 12, 1, 5, 3, 4, 1, 5, 6, 0]",34470
