0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-19, 38, 33, 34, -2, 52, -35, -28, 29, -124, 26, -54, 29, 36, 26, 18, 32, 46, -16, 15, 5, 40, 6, 31, 12, 16, 0, 26, 13, -105, 5, -26, -18, 40, 41, 17, 8, 50, -252, 17, 36, -107, 28, 0, -66, 10, 5, -46, 12, 23, -43, -10, -8, 11, 14, -14, 25, -23, 2, -17, 1, 10, 25, 26, 14, 15, -19, -15, -15, 35, -2, 17, -2, 16]"
2,"[-33, 71, 77, 57, 8, 83, -58, -45, 38, -234, 41, -103, 60, 55, 37, 44, 61, 69, -23, 36, -2, 64, 7, 68, 27, 19, 18, 51, 37, -181, 9, -54, -29, 60, 56, 34, 44, 81, -445, 38, 71, -197, 55, 12, -122, 14, 31, -92, 30, 66, -95, -28, -19, 15, 6, -29, 46, -58, -20, -37, -12, 27, 42, 50, 26, 31, -27, -44, -15, 68, 2, 26, 1, 33]"
3,"[-50, 98, 118, 81, 10, 95, -67, -51, 62, -343, 35, -127, 86, 69, 48, 70, 92, 101, -24, 40, 10, 108, 30, 117, 32, 44, 28, 74, 69, -274, 9, -69, -36, 82, 91, 44, 81, 116, -660, 57, 95, -253, 69, 19, -174, 20, 43, -147, 35, 70, -138, -48, -22, -3, -4, -47, 60, -76, -14, -82, -18, 22, 55, 70, 36, 51, -37, -74, -19, 104, 7, 53, 2, 49]"
4,"[-71, 125, 141, 85, 23, 120, -81, -63, 73, -451, 46, -149, 118, 91, 54, 93, 115, 113, -34, 67, 15, 136, 45, 144, 33, 63, 37, 99, 108, -349, 10, -78, -41, 100, 107, 64, 102, 140, -835, 82, 122, -333, 90, 29, -210, 47, 40, -190, 55, 67, -160, -66, -28, -5, -7, -60, 80, -86, -29, -121, -25, 29, 52, 97, 48, 74, -66, -80, -19, 118, 9, 54, 18, 59]"
5,"[-80, 138, 189, 96, 28, 123, -90, -73, 87, -522, 44, -162, 137, 113, 61, 102, 117, 126, -37, 90, 39, 165, 56, 164, 38, 73, 55, 116, 132, -403, 3, -87, -39, 113, 133, 71, 103, 160, -1007, 97, 144, -409, 105, 30, -255, 78, 49, -217, 75, 87, -180, -108, -29, -3, -11, -80, 107, -99, -46, -147, -29, 46, 84, 124, 65, 77, -84, -105, -31, 143, 2, 62, 17, 69]"
6,"[-98, 149, 215, 102, 22, 120, -113, -77, 96, -560, 61, -170, 140, 148, 74, 121, 140, 149, -48, 105, 45, 184, 72, 193, 55, 88, 63, 139, 144, -463, -10, -103, -34, 114, 160, 77, 107, 174, -1154, 119, 172, -457, 127, 45, -297, 80, 46, -246, 72, 115, -224, -118, -27, -3, -20, -88, 129, -124, -53, -182, -33, 53, 76, 148, 85, 88, -97, -114, -32, 159, 3, 60, 28, 83]"
7,"[-115, 180, 232, 125, 28, 122, -141, -90, 108, -615, 70, -213, 150, 166, 75, 124, 167, 164, -53, 130, 46, 200, 83, 221, 66, 91, 62, 164, 156, -504, -11, -106, -49, 124, 181, 82, 93, 195, -1263, 128, 208, -510, 140, 54, -321, 89, 53, -273, 78, 133, -245, -139, -28, -1, -25, -102, 144, -133, -69, -202, -29, 59, 46, 168, 87, 94, -105, -115, -35, 191, 2, 79, 41, 93]"
8,"[-120, 192, 237, 148, 30, 128, -157, -98, 113, -635, 73, -224, 177, 179, 98, 132, 185, 188, -62, 152, 49, 211, 93, 238, 77, 90, 70, 183, 172, -548, 1, -117, -56, 124, 187, 79, 105, 215, -1425, 131, 220, -562, 134, 67, -345, 94, 68, -311, 92, 160, -265, -157, -30, 7, -9, -113, 162, -151, -68, -224, -33, 66, 21, 196, 94, 99, -112, -118, -47, 208, 0, 87, 50, 105]"
9,"[-145, 202, 248, 155, 30, 140, -159, -123, 112, -682, 92, -246, 181, 185, 98, 146, 204, 199, -77, 166, 52, 227, 90, 259, 107, 88, 77, 198, 189, -586, -13, -116, -57, 140, 208, 80, 88, 239, -1541, 137, 240, -594, 149, 78, -383, 110, 88, -316, 101, 163, -289, -163, -33, 1, -22, -122, 180, -168, -77, -247, -32, 76, 36, 213, 111, 115, -114, -136, -50, 233, -6, 94, 56, 116]"
10,"[-149, 213, 284, 170, 32, 145, -170, -137, 126, -720, 103, -265, 193, 201, 103, 149, 186, 221, -87, 180, 55, 224, 100, 279, 121, 101, 81, 202, 190, -624, -11, -126, -65, 160, 240, 98, 71, 260, -1634, 151, 250, -633, 160, 86, -401, 108, 106, -331, 107, 160, -325, -165, -33, -8, -28, -133, 197, -184, -91, -272, -41, 81, 42, 214, 118, 135, -122, -138, -45, 253, 0, 105, 49, 128]"
11,"[-156, 225, 299, 174, 48, 149, -178, -149, 126, -770, 117, -279, 200, 209, 105, 145, 204, 241, -88, 199, 50, 234, 106, 307, 124, 108, 88, 214, 198, -657, -12, -123, -71, 172, 256, 106, 52, 271, -1708, 170, 270, -661, 180, 110, -427, 112, 116, -346, 121, 179, -354, -171, -32, -6, -35, -150, 187, -184, -98, -292, -62, 71, 28, 221, 151, 161, -129, -149, -66, 263, -5, 109, 46, 136]"
12,"[-159, 239, 314, 185, 41, 148, -186, -152, 127, -796, 113, -297, 223, 220, 109, 149, 218, 256, -84, 209, 45, 260, 99, 323, 121, 113, 95, 227, 204, -693, -2, -132, -77, 191, 262, 104, 55, 286, -1794, 185, 288, -694, 211, 109, -455, 122, 123, -353, 129, 190, -388, -181, -38, -31, -30, -161, 202, -201, -89, -309, -51, 76, 25, 234, 146, 159, -129, -152, -77, 274, -1, 107, 55, 141]"
