0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[512, 557, 172, 255, 244, 309, 580, 691, 313, 1815, 546, 812, 235, 284, 280, 278, 233, 139, 315, 267, 263, 415, 293, 167, 470, 312, 368, 230, 376, 1370, 482, 461, 246, 291, 331, 255, 813, 151, 2977, 132, 213, 1338, 385, 380, 769, 409, 309, 684, 132, 299, 954, 802, 148, 556, 385, 381, 223, 666, 503, 1040, 341, 231, 620, 223, 347, 433, 267, 647, 388, 290, 172, 364, 676, 75]"
2,"[489, 589, 209, 274, 253, 345, 546, 675, 325, 1719, 563, 779, 264, 310, 306, 298, 268, 183, 310, 285, 260, 433, 312, 209, 493, 318, 362, 270, 417, 1276, 478, 458, 239, 304, 361, 262, 822, 189, 2779, 148, 258, 1247, 413, 389, 707, 418, 329, 636, 142, 324, 900, 772, 144, 538, 392, 370, 252, 662, 499, 1013, 320, 225, 635, 243, 367, 436, 247, 634, 372, 337, 172, 388, 667, 93]"
3,"[471, 589, 246, 294, 272, 371, 521, 655, 326, 1636, 567, 757, 295, 330, 319, 313, 280, 208, 299, 317, 279, 484, 323, 254, 500, 352, 370, 294, 436, 1217, 471, 451, 223, 326, 373, 282, 836, 208, 2579, 168, 292, 1174, 449, 388, 658, 430, 336, 584, 151, 341, 856, 774, 133, 537, 381, 351, 270, 641, 491, 973, 315, 227, 647, 272, 387, 447, 234, 619, 371, 353, 180, 398, 684, 101]"
4,"[456, 597, 288, 299, 282, 400, 500, 642, 334, 1559, 577, 735, 298, 349, 319, 336, 306, 229, 282, 342, 268, 520, 324, 292, 518, 354, 362, 312, 447, 1120, 469, 442, 214, 354, 389, 286, 855, 240, 2395, 204, 320, 1127, 458, 405, 610, 455, 359, 562, 164, 366, 807, 755, 120, 535, 372, 346, 276, 606, 487, 925, 309, 248, 658, 288, 389, 466, 230, 617, 365, 371, 180, 415, 674, 120]"
5,"[433, 612, 316, 317, 285, 425, 478, 625, 344, 1520, 595, 719, 332, 371, 327, 355, 309, 249, 278, 367, 271, 534, 330, 325, 518, 371, 349, 322, 447, 1067, 473, 426, 213, 363, 397, 286, 853, 274, 2239, 214, 336, 1053, 474, 414, 564, 473, 382, 532, 170, 388, 776, 718, 106, 523, 363, 346, 280, 595, 492, 883, 303, 263, 677, 309, 392, 485, 215, 604, 370, 387, 184, 424, 683, 132]"
6,"[416, 621, 352, 327, 290, 434, 456, 609, 364, 1446, 607, 687, 345, 377, 345, 369, 328, 269, 271, 381, 269, 538, 337, 362, 534, 400, 348, 353, 477, 997, 467, 418, 217, 383, 416, 297, 855, 291, 2105, 225, 361, 983, 492, 420, 517, 493, 399, 506, 180, 401, 745, 709, 100, 520, 358, 326, 304, 581, 473, 862, 303, 268, 655, 328, 406, 493, 203, 586, 355, 395, 185, 429, 693, 142]"
7,"[393, 653, 379, 336, 293, 447, 455, 579, 376, 1408, 602, 659, 372, 386, 353, 378, 358, 281, 265, 395, 265, 564, 339, 391, 523, 400, 364, 371, 491, 947, 460, 409, 215, 412, 444, 302, 856, 311, 1975, 244, 375, 942, 518, 430, 482, 502, 405, 480, 187, 421, 712, 662, 98, 529, 381, 311, 323, 562, 464, 824, 289, 275, 654, 341, 423, 511, 191, 578, 354, 407, 182, 445, 680, 146]"
8,"[381, 661, 395, 359, 287, 443, 442, 564, 385, 1342, 612, 644, 398, 383, 356, 389, 363, 297, 261, 418, 253, 579, 349, 414, 532, 408, 376, 384, 516, 891, 454, 404, 212, 432, 470, 321, 832, 340, 1820, 257, 386, 911, 534, 435, 450, 530, 421, 453, 194, 437, 691, 642, 97, 531, 374, 289, 342, 544, 470, 793, 284, 277, 654, 356, 440, 517, 181, 559, 351, 416, 180, 466, 665, 157]"
9,"[365, 673, 393, 358, 295, 443, 428, 548, 407, 1302, 621, 641, 423, 388, 355, 395, 396, 311, 253, 438, 255, 591, 354, 443, 540, 419, 387, 401, 523, 845, 448, 392, 201, 449, 488, 333, 840, 355, 1691, 262, 407, 871, 536, 447, 425, 534, 427, 429, 207, 435, 664, 619, 92, 531, 366, 282, 366, 521, 452, 763, 278, 269, 638, 369, 464, 506, 177, 539, 349, 432, 172, 460, 662, 168]"
