0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-23, 13, 60, 24, -2, 44, -26, -35, 15, -107, 3, -51, 26, 41, 12, 23, 34, 32, -10, 10, 14, 26, -8, 54, 4, 20, 3, 22, 36, -77, 5, -19, -17, 32, 24, 15, 15, 33, -260, 6, 38, -91, 33, 20, -67, 28, 12, -52, 11, 27, -45, -33, -7, 6, -2, -5, 6, -25, -11, -18, 1, 8, 27, 43, 21, 31, -17, -12, -13, 32, -3, 4, 19, 23]"
2,"[-51, 42, 112, 40, 6, 69, -67, -56, 27, -214, 11, -69, 48, 55, 40, 36, 53, 53, -10, 36, 33, 58, 4, 89, 20, 50, 14, 60, 73, -143, 1, -31, -26, 54, 36, 33, 42, 71, -508, 32, 82, -172, 53, 30, -108, 32, 49, -101, 33, 37, -83, -76, -16, 5, -9, -27, 21, -43, -24, -44, -12, 13, 45, 59, 25, 43, -35, -17, -17, 66, -7, 16, 25, 34]"
3,"[-64, 67, 149, 53, 17, 97, -79, -66, 28, -304, 20, -81, 69, 79, 61, 53, 87, 76, -13, 47, 49, 78, 11, 134, 39, 75, 19, 69, 89, -243, 0, -45, -36, 84, 56, 53, 43, 105, -705, 56, 142, -250, 89, 26, -180, 41, 65, -141, 38, 60, -122, -105, -23, 16, 2, -50, 42, -59, -42, -107, -20, 23, 45, 81, 49, 54, -46, -23, -7, 93, -5, 14, 23, 50]"
4,"[-77, 72, 167, 66, 26, 116, -89, -88, 41, -375, 35, -115, 91, 104, 81, 69, 102, 105, -18, 69, 45, 92, 17, 159, 55, 89, 23, 91, 106, -298, 8, -59, -43, 95, 66, 68, 51, 143, -873, 63, 178, -312, 118, 22, -213, 65, 87, -175, 45, 83, -152, -128, -26, 3, -7, -66, 70, -82, -44, -146, -14, 28, 67, 99, 65, 61, -48, -29, -12, 113, -15, 16, 8, 61]"
5,"[-87, 87, 201, 79, 32, 127, -105, -102, 36, -450, 52, -152, 98, 90, 97, 91, 119, 132, -20, 87, 49, 127, 23, 187, 47, 89, 45, 123, 125, -376, 1, -64, -56, 113, 87, 94, 84, 177, -1048, 82, 209, -376, 132, 35, -251, 65, 105, -216, 51, 106, -183, -152, -21, 2, -14, -85, 96, -107, -42, -181, -5, 44, 74, 123, 69, 86, -59, -43, -17, 134, -14, 25, 18, 71]"
6,"[-103, 89, 229, 98, 32, 141, -117, -111, 53, -489, 69, -183, 125, 114, 100, 101, 130, 165, -13, 97, 39, 146, 20, 215, 77, 85, 62, 163, 141, -440, -8, -63, -65, 125, 118, 100, 90, 198, -1187, 94, 215, -437, 144, 37, -291, 65, 120, -235, 57, 120, -216, -173, -29, -31, -3, -98, 118, -132, -52, -211, 2, 62, 83, 140, 70, 104, -64, -54, -31, 152, -10, 30, 25, 86]"
7,"[-130, 116, 257, 127, 25, 166, -125, -119, 60, -541, 60, -212, 134, 126, 125, 108, 151, 182, -16, 119, 40, 184, 32, 226, 62, 90, 87, 204, 165, -476, -15, -73, -68, 136, 137, 109, 84, 209, -1332, 109, 232, -498, 164, 46, -319, 86, 127, -261, 71, 128, -236, -198, -28, -28, -9, -109, 152, -143, -70, -257, -1, 76, 87, 141, 78, 108, -76, -93, -30, 179, -6, 51, 16, 97]"
8,"[-136, 132, 294, 133, 25, 175, -139, -121, 80, -606, 62, -231, 167, 136, 133, 126, 164, 192, -22, 133, 46, 198, 40, 243, 87, 108, 95, 222, 179, -528, -13, -78, -74, 159, 139, 104, 97, 229, -1447, 125, 254, -556, 179, 50, -348, 88, 149, -273, 72, 170, -273, -206, -39, -26, -9, -120, 165, -158, -81, -280, -9, 69, 75, 162, 93, 123, -91, -111, -43, 179, -18, 65, 7, 113]"
9,"[-144, 136, 307, 146, 30, 176, -144, -135, 88, -659, 71, -234, 191, 144, 140, 142, 176, 195, -28, 136, 48, 210, 54, 263, 115, 132, 102, 241, 194, -580, -13, -84, -76, 182, 136, 116, 122, 251, -1553, 142, 276, -606, 207, 55, -385, 112, 160, -295, 75, 180, -296, -208, -39, -34, -9, -139, 175, -182, -91, -328, -25, 67, 63, 173, 107, 123, -102, -117, -38, 192, -18, 80, 12, 119]"
10,"[-159, 152, 339, 149, 34, 195, -151, -144, 102, -694, 76, -251, 211, 167, 143, 162, 194, 221, -29, 141, 56, 235, 39, 310, 119, 129, 108, 261, 228, -603, -9, -90, -80, 191, 143, 121, 116, 271, -1660, 159, 291, -643, 220, 46, -408, 115, 168, -303, 83, 187, -344, -227, -36, -32, -14, -154, 177, -204, -103, -361, -27, 63, 60, 178, 112, 127, -116, -136, -33, 215, -21, 88, 3, 127]"
11,"[-171, 170, 351, 161, 45, 202, -158, -169, 106, -755, 79, -265, 218, 182, 141, 161, 212, 238, -34, 149, 65, 257, 47, 324, 135, 121, 108, 264, 246, -628, 0, -101, -78, 200, 151, 136, 110, 273, -1741, 166, 301, -677, 250, 55, -441, 124, 173, -319, 101, 204, -372, -229, -38, -24, -22, -159, 195, -211, -116, -381, -29, 75, 50, 192, 116, 135, -113, -149, -51, 216, -28, 107, 15, 132]"
12,"[-174, 181, 345, 150, 47, 219, -179, -162, 96, -803, 101, -278, 225, 190, 163, 169, 214, 256, -31, 171, 58, 266, 60, 325, 125, 122, 111, 285, 264, -664, 15, -110, -82, 212, 183, 149, 111, 294, -1821, 168, 309, -714, 269, 51, -463, 149, 177, -331, 107, 221, -415, -239, -50, -30, -30, -161, 197, -226, -106, -396, -25, 79, 43, 208, 116, 149, -116, -168, -47, 233, -24, 118, 10, 134]"
13,"[-201, 182, 371, 161, 52, 229, -175, -174, 106, -839, 113, -297, 232, 214, 185, 164, 230, 268, -38, 168, 64, 283, 66, 340, 133, 123, 96, 305, 263, -679, 23, -127, -82, 229, 204, 151, 100, 302, -1891, 167, 319, -722, 275, 59, -480, 160, 177, -336, 112, 227, -434, -247, -51, -33, -37, -167, 192, -244, -117, -428, -30, 85, 55, 216, 110, 158, -119, -165, -39, 228, -20, 122, 17, 136]"
14,"[-214, 194, 388, 166, 52, 230, -176, -185, 103, -865, 140, -294, 230, 228, 168, 183, 238, 271, -46, 179, 68, 289, 71, 348, 149, 122, 100, 311, 284, -705, 16, -142, -86, 237, 199, 142, 90, 307, -1954, 171, 337, -751, 302, 71, -495, 162, 195, -346, 110, 244, -461, -262, -52, -21, -35, -172, 190, -255, -116, -440, -28, 87, 54, 220, 113, 159, -127, -165, -41, 233, -24, 129, 28, 150]"
15,"[-221, 184, 411, 188, 66, 229, -189, -197, 118, -896, 158, -311, 244, 244, 174, 180, 259, 289, -55, 180, 78, 309, 70, 350, 142, 133, 106, 318, 291, -738, 15, -145, -92, 233, 219, 135, 78, 314, -2014, 169, 341, -768, 299, 84, -519, 172, 193, -347, 109, 248, -470, -265, -45, -27, -42, -181, 199, -266, -122, -469, -35, 89, 57, 227, 117, 158, -133, -161, -55, 247, -18, 146, 53, 158]"
16,"[-228, 190, 402, 203, 71, 228, -187, -204, 138, -923, 172, -323, 259, 259, 164, 182, 261, 297, -55, 201, 71, 326, 82, 363, 144, 127, 113, 315, 291, -753, 11, -152, -94, 233, 236, 145, 78, 327, -2063, 162, 352, -790, 280, 96, -535, 180, 194, -358, 114, 242, -472, -264, -46, -35, -45, -185, 209, -274, -114, -487, -38, 96, 34, 252, 126, 166, -140, -171, -53, 258, -24, 152, 48, 163]"
