0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[513, 556, 192, 241, 250, 293, 596, 692, 306, 1832, 536, 824, 230, 287, 295, 287, 249, 154, 312, 266, 277, 432, 287, 169, 492, 301, 387, 229, 345, 1387, 473, 457, 222, 296, 335, 270, 818, 148, 3000, 110, 217, 1308, 379, 374, 761, 397, 301, 689, 134, 313, 941, 812, 133, 570, 382, 369, 224, 657, 493, 1036, 360, 226, 641, 214, 354, 421, 273, 630, 402, 282, 165, 361, 679, 76]"
2,"[486, 556, 219, 262, 248, 309, 582, 678, 335, 1741, 559, 798, 255, 303, 310, 300, 273, 182, 289, 291, 289, 474, 300, 225, 506, 309, 394, 256, 376, 1313, 480, 452, 213, 317, 358, 288, 829, 181, 2767, 138, 263, 1237, 411, 387, 697, 425, 328, 625, 146, 347, 894, 790, 125, 559, 384, 354, 241, 644, 473, 997, 355, 234, 639, 243, 375, 449, 257, 604, 381, 319, 166, 381, 650, 91]"
3,"[465, 558, 247, 279, 250, 322, 569, 667, 336, 1633, 569, 767, 276, 336, 320, 321, 296, 217, 289, 318, 289, 526, 296, 256, 525, 344, 394, 287, 389, 1236, 486, 446, 210, 344, 372, 304, 862, 210, 2571, 165, 281, 1160, 436, 383, 640, 436, 356, 579, 151, 384, 869, 753, 114, 556, 382, 340, 263, 624, 464, 953, 361, 229, 636, 257, 399, 478, 236, 588, 377, 345, 159, 399, 668, 97]"
4,"[454, 563, 279, 287, 263, 356, 548, 646, 344, 1564, 560, 738, 299, 354, 330, 340, 301, 229, 291, 337, 294, 552, 314, 276, 533, 361, 401, 315, 419, 1186, 497, 431, 205, 361, 395, 325, 868, 238, 2414, 185, 326, 1085, 452, 371, 593, 434, 369, 555, 163, 393, 826, 739, 115, 542, 378, 330, 277, 613, 456, 927, 355, 247, 643, 278, 412, 478, 226, 582, 358, 358, 158, 404, 666, 105]"
5,"[434, 603, 319, 303, 281, 366, 541, 614, 340, 1455, 558, 713, 312, 372, 363, 355, 313, 246, 290, 363, 306, 585, 331, 302, 540, 376, 400, 332, 428, 1117, 487, 428, 202, 373, 422, 341, 875, 263, 2246, 198, 348, 1034, 477, 392, 529, 447, 369, 492, 158, 413, 791, 736, 107, 538, 375, 315, 308, 592, 450, 880, 367, 256, 642, 305, 421, 485, 212, 566, 360, 377, 152, 426, 665, 128]"
6,"[412, 627, 338, 311, 288, 375, 529, 607, 354, 1375, 581, 701, 322, 401, 373, 368, 334, 261, 287, 379, 313, 612, 357, 333, 549, 393, 416, 353, 453, 1060, 491, 422, 192, 371, 429, 363, 870, 271, 2087, 222, 368, 968, 497, 391, 486, 466, 386, 469, 167, 417, 770, 710, 100, 522, 370, 292, 310, 578, 432, 825, 369, 260, 634, 347, 433, 484, 190, 560, 359, 396, 144, 435, 658, 142]"
7,"[400, 651, 352, 327, 289, 397, 511, 593, 376, 1320, 582, 690, 339, 411, 374, 373, 350, 274, 281, 412, 315, 596, 362, 359, 556, 391, 415, 365, 464, 1008, 488, 392, 194, 378, 438, 376, 897, 304, 1933, 227, 381, 917, 507, 422, 452, 480, 392, 450, 168, 412, 734, 702, 98, 531, 370, 296, 332, 548, 439, 803, 371, 264, 630, 364, 439, 498, 181, 554, 362, 407, 152, 436, 647, 148]"
8,"[379, 658, 366, 347, 292, 405, 502, 573, 373, 1269, 572, 674, 358, 419, 389, 378, 383, 275, 279, 410, 321, 601, 364, 382, 574, 397, 420, 373, 469, 981, 492, 378, 187, 410, 452, 386, 923, 320, 1802, 243, 393, 879, 533, 429, 414, 504, 391, 431, 175, 408, 707, 678, 97, 528, 365, 289, 349, 529, 434, 788, 354, 264, 611, 374, 445, 514, 169, 544, 364, 404, 146, 438, 646, 155]"
9,"[376, 659, 396, 351, 286, 423, 477, 556, 373, 1220, 588, 675, 368, 427, 399, 388, 382, 290, 276, 409, 316, 612, 365, 407, 588, 411, 440, 368, 488, 933, 492, 372, 182, 411, 471, 371, 911, 343, 1698, 268, 418, 833, 528, 434, 390, 502, 401, 398, 184, 424, 673, 672, 94, 512, 373, 266, 351, 515, 429, 763, 339, 275, 597, 389, 440, 536, 153, 539, 367, 419, 149, 432, 650, 163]"
