,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-24, 39, 42, 15, 17, 27, -20, -30, 18, -88, 22, -39, 38, 24, 10, 13, 34, 38, -6, 30, 12, 20, 20, 44, 13, 28, 16, 37, 32, -102, -2, -21, -4, 29, 25, 14, 29, 30, -263, 19, 43, -88, 18, 12, -70, 23, 22, -54, 15, 26, -56, -51, -6, -20, -10, -28, 28, -31, -12, -22, -11, 12, 26, 33, 10, 25, -23, -21, 6, 34, -3, 19, -3, 21]","[519, 567, 179, 239, 257, 290, 589, 680, 308, 1850, 558, 819, 243, 281, 277, 277, 238, 148, 325, 264, 261, 396, 298, 168, 482, 317, 385, 232, 358, 1340, 478, 452, 241, 298, 329, 268, 829, 146, 2970, 124, 219, 1323, 376, 379, 758, 401, 328, 685, 136, 313, 934, 780, 142, 561, 374, 374, 233, 655, 505, 1058, 335, 225, 637, 226, 353, 426, 265, 642, 420, 275, 161, 368, 664, 87]","[7, 3, 2, 3, 3, 2, 1, 7, 1, 14, 3, 8, 3, 1, 1, 1, 2, 2, 2, 5, 8, 7, 1, 0, 3, 2, 2, 2, 4, 6, 5, 2, 0, 4, 4, 3, 10, 0, 29, 1, 3, 14, 5, 2, 8, 4, 2, 4, 3, 0, 14, 5, 1, 4, 3, 3, 2, 3, 5, 6, 2, 4, 4, 0, 3, 6, 2, 2, 1, 2, 1, 2, 9, 1]",34898
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-42, 67, 94, 39, 44, 57, -22, -55, 29, -184, 32, -83, 52, 43, 21, 32, 57, 81, -22, 47, 20, 63, 23, 90, 45, 50, 16, 72, 57, -191, 12, -31, -7, 55, 43, 9, 39, 60, -452, 42, 78, -146, 43, 15, -121, 28, 48, -119, 18, 64, -95, -92, -16, -27, -9, -38, 37, -72, -9, -67, -24, 16, 26, 70, 8, 61, -34, -45, -4, 52, -3, 43, -27, 39]","[502, 593, 230, 261, 286, 319, 587, 657, 321, 1753, 570, 778, 254, 301, 288, 294, 262, 192, 310, 283, 268, 441, 301, 214, 515, 340, 384, 269, 384, 1257, 491, 445, 238, 321, 349, 264, 839, 176, 2782, 146, 252, 1266, 402, 381, 709, 407, 354, 618, 140, 352, 897, 739, 132, 555, 371, 361, 242, 618, 507, 1012, 323, 228, 640, 264, 351, 463, 255, 622, 412, 293, 160, 391, 644, 104]","[4, 7, 2, 4, 0, 3, 5, 4, 1, 19, 3, 5, 5, 1, 2, 4, 1, 0, 2, 0, 3, 1, 2, 1, 3, 2, 4, 0, 2, 7, 5, 1, 2, 5, 1, 1, 8, 1, 28, 2, 4, 12, 2, 4, 5, 3, 3, 8, 0, 2, 7, 7, 1, 4, 7, 6, 2, 2, 6, 11, 2, 3, 3, 1, 3, 3, 1, 2, 2, 2, 2, 4, 2, 1]",34930
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 2, 2, 2, 1, 3, 2, 2, 4, 3, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 8, 1, 27, 1, 2, 12, 4, 3, 7, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-65, 89, 123, 63, 42, 93, -43, -62, 37, -280, 47, -112, 74, 77, 25, 41, 82, 96, -39, 40, 16, 83, 31, 124, 45, 73, 33, 96, 83, -262, -1, -53, -14, 84, 67, 15, 34, 83, -643, 69, 125, -204, 69, 31, -167, 51, 72, -156, 28, 74, -127, -113, -17, -36, -4, -47, 62, -79, -17, -106, -29, 26, 34, 86, 25, 67, -48, -56, -1, 84, -7, 48, -16, 57]","[477, 611, 258, 285, 278, 356, 566, 651, 331, 1652, 583, 752, 273, 335, 293, 303, 287, 208, 295, 275, 264, 462, 307, 248, 519, 364, 403, 293, 410, 1178, 480, 424, 233, 349, 371, 271, 834, 200, 2605, 169, 299, 1210, 430, 394, 660, 430, 381, 584, 150, 359, 865, 718, 129, 543, 370, 345, 269, 609, 500, 975, 318, 236, 647, 278, 364, 465, 242, 615, 416, 321, 156, 396, 654, 120]","[7, 9, 3, 2, 8, 2, 5, 5, 1, 22, 7, 4, 5, 3, 1, 2, 2, 0, 1, 3, 2, 3, 5, 2, 1, 2, 1, 2, 3, 20, 2, 3, 0, 4, 5, 1, 8, 0, 13, 5, 2, 10, 2, 6, 10, 4, 0, 3, 1, 6, 8, 7, 3, 8, 9, 10, 0, 8, 4, 8, 3, 4, 7, 4, 7, 8, 1, 2, 3, 6, 1, 3, 7, 3]",34901
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 2, 3, 2, 2, 2, 2, 2, 4, 3, 2, 5, 3, 4, 2, 4, 11, 4, 4, 2, 3, 3, 2, 8, 2, 26, 1, 2, 12, 4, 3, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-87, 94, 162, 80, 53, 130, -54, -65, 51, -358, 47, -145, 98, 83, 46, 47, 106, 124, -42, 76, 19, 118, 34, 158, 47, 72, 44, 126, 93, -333, -1, -61, -36, 110, 92, 28, 51, 93, -813, 95, 160, -268, 98, 37, -210, 54, 78, -185, 31, 96, -173, -133, -20, -38, 3, -71, 79, -85, -22, -142, -32, 40, 33, 108, 52, 62, -62, -71, 1, 93, -5, 57, -10, 63]","[454, 619, 298, 300, 285, 392, 558, 649, 345, 1578, 582, 718, 294, 342, 315, 307, 311, 238, 289, 308, 266, 495, 307, 283, 523, 362, 416, 323, 420, 1108, 481, 416, 210, 373, 398, 282, 853, 209, 2430, 195, 335, 1145, 456, 400, 616, 436, 387, 555, 151, 380, 817, 701, 127, 541, 376, 319, 285, 603, 500, 936, 317, 251, 640, 297, 392, 462, 228, 603, 419, 327, 157, 404, 660, 124]","[5, 3, 1, 4, 6, 4, 2, 5, 3, 12, 6, 8, 5, 2, 1, 5, 2, 0, 5, 5, 3, 6, 6, 1, 3, 4, 2, 2, 4, 10, 3, 4, 3, 5, 1, 4, 6, 3, 31, 1, 1, 13, 7, 3, 7, 1, 3, 5, 3, 4, 10, 4, 0, 5, 4, 5, 3, 6, 0, 12, 1, 1, 12, 5, 2, 2, 2, 3, 3, 6, 2, 4, 6, 3]",34879
5,"[4, 6, 2, 3, 2, 3, 5, 6, 3, 15, 5, 7, 2, 3, 3, 3, 3, 2, 2, 3, 2, 4, 3, 2, 5, 3, 4, 3, 4, 11, 4, 4, 2, 3, 3, 2, 8, 2, 24, 1, 3, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 5, 9, 3, 2, 6, 2, 3, 4, 2, 6, 4, 3, 1, 4, 6, 1]","[-109, 91, 182, 95, 49, 149, -72, -100, 57, -448, 63, -163, 113, 108, 65, 59, 120, 134, -39, 98, 34, 150, 33, 188, 55, 77, 56, 151, 111, -389, 4, -80, -32, 121, 116, 56, 60, 130, -1003, 106, 188, -321, 126, 70, -261, 89, 97, -216, 51, 91, -200, -144, -17, -54, 1, -78, 100, -86, -29, -180, -42, 45, 33, 132, 64, 59, -83, -71, -12, 127, -5, 62, -6, 74]","[435, 613, 319, 317, 277, 410, 543, 614, 351, 1479, 596, 697, 310, 369, 333, 320, 324, 249, 292, 328, 278, 528, 308, 314, 527, 363, 427, 347, 439, 1055, 483, 398, 214, 385, 421, 308, 859, 244, 2238, 204, 364, 1090, 485, 433, 560, 471, 407, 524, 170, 375, 790, 691, 130, 525, 371, 312, 304, 602, 493, 894, 303, 254, 642, 319, 401, 458, 206, 605, 407, 360, 155, 409, 664, 133]","[1, 9, 1, 1, 6, 4, 2, 6, 3, 24, 7, 10, 1, 1, 4, 2, 4, 1, 2, 5, 5, 3, 1, 1, 9, 7, 5, 4, 3, 8, 7, 3, 2, 2, 4, 4, 11, 4, 26, 3, 2, 13, 3, 4, 11, 4, 2, 5, 2, 3, 8, 6, 1, 5, 6, 3, 4, 6, 5, 13, 7, 4, 4, 4, 6, 5, 3, 4, 3, 4, 3, 4, 6, 3]",34823
6,"[4, 6, 3, 3, 2, 4, 5, 6, 3, 14, 5, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 2, 3, 4, 3, 8, 2, 22, 2, 3, 10, 4, 4, 5, 4, 4, 5, 1, 3, 7, 6, 1, 5, 3, 3, 3, 6, 4, 8, 3, 2, 6, 3, 4, 4, 2, 6, 4, 3, 1, 4, 6, 1]","[-119, 112, 212, 120, 50, 169, -95, -117, 70, -489, 75, -179, 120, 124, 77, 72, 144, 152, -33, 120, 43, 166, 51, 214, 52, 91, 61, 166, 121, -450, 4, -101, -41, 138, 130, 72, 46, 162, -1162, 103, 211, -392, 148, 78, -303, 100, 115, -251, 63, 104, -226, -153, -22, -49, 4, -94, 120, -97, -27, -211, -50, 50, 49, 140, 87, 68, -89, -92, -21, 135, -4, 72, -2, 88]","[423, 636, 350, 342, 278, 429, 522, 601, 363, 1438, 608, 677, 317, 382, 344, 329, 345, 265, 300, 351, 284, 543, 325, 340, 524, 375, 432, 360, 445, 992, 483, 374, 206, 401, 438, 324, 839, 275, 2081, 200, 388, 1009, 507, 441, 514, 482, 421, 486, 181, 388, 761, 680, 126, 530, 371, 291, 325, 593, 492, 860, 296, 255, 660, 327, 422, 468, 200, 582, 399, 368, 156, 423, 668, 147]","[6, 4, 2, 3, 2, 5, 3, 2, 4, 14, 5, 10, 3, 6, 4, 7, 6, 4, 0, 2, 5, 6, 4, 3, 5, 5, 4, 5, 8, 12, 4, 6, 1, 4, 1, 3, 14, 3, 20, 3, 2, 20, 4, 4, 9, 4, 8, 8, 2, 3, 10, 8, 0, 5, 6, 8, 2, 4, 7, 11, 2, 6, 4, 3, 6, 3, 2, 8, 3, 3, 1, 0, 6, 1]",34758
7,"[4, 6, 3, 3, 2, 4, 5, 6, 3, 14, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 2, 4, 4, 3, 8, 2, 20, 2, 3, 10, 5, 4, 5, 4, 4, 4, 1, 3, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 2, 2, 6, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-137, 115, 240, 119, 65, 184, -127, -130, 90, -548, 77, -195, 144, 135, 77, 87, 173, 168, -45, 138, 46, 165, 59, 235, 86, 111, 72, 190, 142, -480, 9, -106, -41, 147, 153, 83, 46, 173, -1273, 109, 235, -445, 178, 86, -340, 92, 120, -261, 65, 141, -276, -173, -25, -51, 8, -109, 154, -112, -34, -250, -53, 63, 40, 145, 96, 69, -94, -98, -26, 161, -12, 63, -13, 100]","[406, 636, 372, 339, 290, 441, 490, 590, 378, 1377, 611, 659, 342, 393, 343, 343, 374, 281, 288, 369, 288, 540, 336, 363, 557, 395, 443, 382, 464, 966, 486, 370, 205, 413, 462, 332, 836, 286, 1968, 203, 412, 950, 536, 449, 477, 475, 427, 475, 180, 425, 705, 658, 123, 526, 373, 272, 360, 578, 485, 819, 292, 265, 645, 334, 433, 468, 196, 576, 394, 391, 147, 414, 656, 159]","[3, 9, 9, 5, 5, 7, 5, 4, 8, 16, 5, 8, 2, 3, 4, 4, 3, 2, 3, 3, 1, 7, 0, 1, 6, 3, 4, 5, 6, 5, 6, 2, 3, 1, 3, 6, 11, 2, 22, 5, 3, 16, 6, 4, 5, 3, 3, 5, 4, 3, 13, 8, 1, 7, 5, 6, 2, 5, 4, 10, 3, 5, 12, 1, 2, 5, 1, 5, 3, 6, 2, 4, 7, 1]",34692
8,"[4, 6, 3, 3, 2, 4, 4, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 5, 3, 4, 3, 4, 9, 4, 3, 2, 4, 4, 3, 8, 2, 19, 2, 4, 9, 5, 4, 4, 4, 4, 4, 1, 4, 7, 6, 1, 5, 3, 2, 3, 5, 4, 8, 2, 2, 6, 3, 4, 4, 1, 5, 3, 3, 1, 4, 6, 1]","[-152, 138, 251, 146, 59, 200, -139, -138, 92, -635, 87, -207, 178, 138, 80, 86, 188, 189, -54, 177, 51, 202, 49, 272, 101, 123, 81, 209, 164, -545, 12, -120, -44, 158, 165, 92, 27, 191, -1399, 123, 257, -490, 203, 94, -362, 109, 135, -298, 71, 144, -309, -169, -37, -45, 13, -122, 177, -131, -62, -277, -47, 67, 34, 162, 100, 98, -98, -109, -32, 185, -16, 72, -10, 97]","[390, 660, 382, 364, 279, 460, 474, 574, 375, 1293, 621, 649, 373, 396, 345, 341, 387, 303, 279, 405, 291, 577, 320, 398, 572, 399, 452, 402, 483, 897, 493, 356, 202, 423, 476, 343, 821, 301, 1834, 215, 436, 906, 559, 450, 453, 487, 444, 437, 187, 430, 666, 666, 111, 528, 376, 254, 380, 554, 455, 786, 300, 265, 636, 350, 441, 495, 192, 567, 386, 413, 143, 418, 655, 156]","[5, 5, 4, 5, 7, 1, 8, 13, 8, 10, 6, 4, 6, 3, 4, 4, 5, 1, 2, 6, 4, 5, 9, 5, 5, 11, 4, 2, 7, 13, 0, 3, 2, 5, 2, 1, 4, 5, 27, 4, 2, 8, 7, 11, 6, 9, 2, 5, 0, 2, 13, 2, 1, 9, 5, 7, 6, 10, 6, 14, 0, 6, 9, 4, 0, 6, 1, 3, 5, 5, 1, 9, 10, 1]",34587
9,"[3, 6, 3, 3, 2, 4, 4, 5, 3, 12, 6, 6, 3, 3, 3, 3, 3, 3, 2, 4, 2, 5, 3, 3, 5, 3, 4, 4, 4, 8, 4, 3, 2, 4, 4, 3, 8, 3, 18, 2, 4, 9, 5, 4, 4, 4, 4, 4, 1, 4, 6, 6, 1, 5, 3, 2, 3, 5, 4, 7, 3, 2, 6, 3, 4, 4, 1, 5, 3, 4, 1, 4, 6, 1]","[-160, 147, 271, 145, 60, 200, -140, -150, 98, -693, 97, -208, 201, 152, 91, 107, 211, 201, -56, 184, 51, 210, 51, 294, 105, 136, 85, 227, 184, -587, 20, -122, -47, 176, 177, 112, 33, 208, -1525, 120, 273, -513, 198, 96, -400, 116, 152, -319, 89, 154, -344, -188, -43, -45, 5, -128, 192, -159, -73, -292, -51, 60, 56, 187, 112, 108, -104, -115, -46, 202, -20, 91, -22, 105]","[381, 666, 400, 360, 276, 461, 471, 558, 382, 1231, 627, 648, 394, 405, 355, 362, 410, 314, 276, 406, 289, 583, 319, 417, 571, 409, 452, 419, 498, 853, 500, 349, 200, 442, 488, 364, 822, 318, 1706, 211, 450, 883, 547, 453, 415, 493, 460, 410, 205, 441, 634, 643, 106, 528, 366, 245, 394, 523, 443, 771, 297, 257, 661, 376, 448, 500, 186, 564, 373, 432, 139, 434, 638, 163]","[4, 9, 5, 6, 6, 3, 6, 9, 2, 16, 10, 6, 5, 8, 4, 3, 3, 4, 3, 10, 4, 7, 6, 6, 10, 6, 8, 5, 9, 10, 5, 8, 1, 3, 4, 2, 13, 3, 20, 3, 6, 9, 12, 3, 4, 5, 5, 10, 1, 3, 3, 10, 0, 5, 5, 5, 4, 8, 5, 7, 2, 3, 3, 2, 9, 9, 1, 2, 2, 2, 1, 7, 11, 2]",34471
