0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[536, 532, 166, 263, 258, 275, 585, 711, 316, 1809, 557, 829, 235, 276, 284, 275, 231, 134, 323, 255, 264, 392, 281, 173, 459, 318, 365, 226, 341, 1348, 480, 478, 246, 295, 329, 282, 793, 155, 3026, 127, 210, 1335, 382, 377, 770, 392, 325, 706, 149, 306, 968, 803, 152, 578, 396, 383, 229, 660, 521, 1055, 349, 218, 611, 215, 343, 416, 273, 652, 398, 272, 166, 364, 640, 85]"
2,"[508, 566, 210, 279, 269, 309, 575, 687, 342, 1712, 562, 810, 254, 293, 299, 283, 259, 156, 323, 280, 271, 408, 296, 190, 475, 353, 374, 252, 367, 1261, 468, 468, 236, 322, 339, 292, 786, 177, 2810, 157, 246, 1247, 406, 383, 724, 393, 347, 660, 168, 327, 942, 768, 151, 571, 399, 379, 235, 668, 510, 1033, 362, 224, 628, 227, 348, 450, 258, 634, 401, 299, 170, 375, 627, 101]"
3,"[499, 560, 234, 283, 292, 329, 575, 671, 371, 1593, 556, 756, 278, 308, 317, 312, 280, 185, 325, 293, 279, 428, 298, 220, 503, 384, 372, 279, 382, 1195, 480, 465, 223, 343, 367, 324, 787, 209, 2609, 169, 274, 1177, 404, 389, 675, 415, 346, 629, 176, 350, 901, 744, 154, 562, 389, 366, 255, 664, 499, 1012, 355, 241, 645, 255, 382, 469, 246, 616, 393, 324, 190, 366, 618, 121]"
4,"[495, 559, 271, 296, 293, 336, 550, 650, 393, 1517, 551, 733, 301, 317, 334, 327, 306, 201, 330, 320, 278, 426, 313, 246, 500, 406, 377, 296, 413, 1136, 484, 460, 207, 359, 401, 334, 762, 219, 2459, 188, 286, 1119, 422, 396, 639, 427, 352, 615, 186, 373, 883, 723, 148, 562, 390, 367, 267, 632, 501, 981, 364, 251, 626, 271, 380, 485, 241, 597, 388, 358, 186, 383, 631, 139]"
5,"[483, 575, 293, 310, 302, 362, 537, 646, 405, 1460, 553, 723, 316, 349, 350, 336, 326, 232, 327, 334, 271, 436, 315, 277, 511, 423, 384, 315, 414, 1072, 466, 458, 200, 368, 417, 347, 742, 250, 2316, 217, 310, 1040, 434, 401, 605, 449, 363, 588, 192, 376, 850, 686, 152, 562, 388, 347, 280, 603, 487, 955, 360, 265, 633, 286, 387, 489, 231, 590, 389, 362, 188, 395, 632, 157]"
6,"[468, 578, 310, 324, 323, 365, 532, 640, 414, 1391, 537, 717, 338, 378, 356, 354, 341, 244, 324, 346, 271, 454, 315, 288, 528, 442, 380, 317, 427, 1030, 463, 455, 190, 390, 433, 364, 722, 276, 2163, 239, 343, 998, 453, 400, 577, 452, 373, 574, 196, 377, 809, 656, 154, 551, 393, 345, 302, 591, 484, 932, 350, 287, 644, 316, 392, 487, 224, 573, 377, 373, 194, 395, 640, 159]"
7,"[481, 564, 337, 333, 332, 386, 505, 626, 442, 1322, 545, 726, 348, 381, 368, 372, 350, 257, 331, 355, 288, 466, 323, 314, 538, 444, 371, 329, 447, 976, 475, 454, 176, 410, 438, 368, 703, 303, 2005, 238, 374, 959, 458, 403, 540, 459, 370, 552, 206, 388, 788, 641, 152, 537, 389, 328, 316, 567, 481, 904, 347, 311, 636, 344, 413, 480, 206, 572, 373, 400, 197, 406, 626, 171]"
8,"[482, 565, 352, 336, 348, 392, 488, 623, 457, 1267, 548, 708, 352, 393, 370, 391, 351, 274, 338, 371, 295, 483, 330, 330, 553, 448, 388, 347, 456, 948, 469, 434, 178, 410, 454, 359, 692, 321, 1874, 252, 381, 910, 483, 411, 506, 457, 375, 501, 213, 393, 762, 628, 150, 537, 386, 311, 327, 555, 484, 882, 332, 328, 633, 364, 412, 488, 210, 561, 373, 420, 199, 425, 638, 181]"
9,"[483, 551, 382, 334, 353, 386, 485, 582, 448, 1199, 543, 677, 369, 398, 376, 389, 358, 294, 335, 382, 308, 483, 330, 351, 556, 445, 393, 361, 459, 926, 466, 421, 184, 430, 469, 376, 673, 354, 1770, 258, 410, 856, 494, 414, 465, 470, 371, 486, 224, 401, 751, 587, 136, 544, 395, 309, 339, 553, 467, 868, 340, 344, 630, 381, 417, 500, 209, 556, 356, 446, 197, 421, 626, 192]"
