,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-4, 15, 47, 32, 7, 16, -23, -21, 16, -129, -20, -31, 34, 30, 20, 22, 26, 27, 8, 20, 16, 15, 21, 31, 16, 30, 9, 21, 14, -79, -22, -21, -2, 27, 29, 25, -6, 31, -249, 32, 42, -63, 22, 14, -59, 19, 8, -52, 15, 40, -29, -38, -3, -10, 15, -24, 19, -24, -13, -50, 3, 25, -5, 31, 16, 44, -9, -19, -13, 32, 11, 8, 3, 14]","[541, 544, 181, 257, 249, 277, 580, 689, 304, 1806, 517, 822, 237, 286, 286, 285, 230, 139, 339, 255, 268, 392, 298, 154, 486, 319, 378, 216, 340, 1352, 461, 450, 243, 298, 334, 281, 801, 147, 2988, 137, 220, 1353, 382, 379, 771, 398, 313, 687, 138, 324, 971, 790, 144, 570, 397, 377, 225, 656, 506, 1027, 349, 242, 606, 221, 359, 446, 279, 644, 400, 271, 174, 357, 677, 80]","[5, 2, 5, 2, 1, 4, 7, 7, 3, 17, 2, 13, 5, 2, 2, 2, 2, 0, 2, 4, 5, 6, 2, 1, 2, 2, 2, 2, 4, 17, 2, 4, 0, 2, 3, 1, 3, 0, 25, 1, 1, 9, 3, 4, 6, 3, 3, 4, 1, 3, 4, 8, 2, 5, 5, 4, 1, 9, 3, 9, 2, 0, 4, 3, 3, 5, 2, 2, 2, 4, 2, 2, 2, 1]",34900
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 5, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-19, 14, 83, 51, 33, 42, -50, -24, 36, -206, -29, -47, 48, 47, 29, 41, 51, 53, 3, 42, 24, 28, 23, 61, 32, 64, 14, 47, 33, -166, -30, -19, -15, 32, 70, 57, -11, 60, -478, 51, 69, -121, 27, 30, -117, 31, 9, -75, 32, 68, -62, -56, -10, -31, 15, -34, 35, -28, -23, -73, 12, 37, -2, 54, 32, 45, -13, -37, -17, 52, 14, 17, 4, 41]","[523, 542, 215, 275, 275, 302, 551, 682, 326, 1726, 504, 808, 251, 304, 296, 305, 256, 163, 334, 278, 276, 406, 301, 183, 502, 353, 381, 242, 359, 1273, 455, 452, 230, 302, 376, 313, 802, 176, 2765, 156, 246, 1303, 386, 395, 715, 412, 316, 665, 155, 354, 934, 772, 138, 547, 396, 366, 241, 651, 496, 1007, 355, 256, 610, 244, 377, 445, 275, 627, 400, 291, 178, 367, 680, 107]","[8, 6, 3, 3, 2, 3, 7, 10, 1, 21, 9, 6, 2, 1, 1, 1, 1, 3, 3, 1, 2, 2, 1, 2, 4, 3, 5, 2, 3, 5, 2, 4, 2, 3, 2, 2, 2, 1, 23, 1, 3, 5, 4, 3, 5, 1, 1, 5, 1, 1, 13, 7, 0, 7, 4, 4, 2, 7, 5, 7, 6, 0, 5, 2, 1, 6, 2, 5, 0, 2, 0, 2, 4, 0]",34926
3,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 17, 5, 8, 2, 3, 2, 3, 2, 1, 3, 2, 2, 4, 3, 1, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 8, 1, 27, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 10, 3, 2, 6, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 1]","[-31, 6, 116, 58, 41, 49, -62, -33, 57, -317, -25, -65, 63, 65, 27, 58, 80, 83, -1, 55, 28, 46, 24, 86, 49, 86, 30, 74, 46, -238, -20, -28, -21, 46, 91, 74, -26, 90, -676, 63, 103, -169, 48, 35, -171, 57, 18, -101, 51, 104, -78, -69, -4, -42, 26, -53, 45, -33, -21, -113, 13, 50, -7, 84, 57, 51, -33, -54, -24, 63, 22, 28, 6, 63]","[515, 533, 249, 282, 280, 311, 540, 672, 347, 1624, 506, 788, 264, 321, 295, 323, 286, 193, 329, 291, 278, 423, 300, 207, 517, 377, 399, 271, 371, 1203, 464, 442, 225, 318, 399, 331, 790, 207, 2572, 168, 279, 1259, 406, 400, 660, 437, 327, 642, 174, 390, 917, 759, 144, 537, 410, 345, 251, 639, 496, 970, 358, 271, 608, 274, 403, 450, 256, 611, 395, 300, 184, 379, 680, 129]","[1, 6, 1, 2, 5, 1, 4, 7, 3, 8, 7, 10, 4, 4, 1, 2, 1, 1, 4, 2, 4, 5, 5, 2, 7, 1, 1, 0, 4, 10, 5, 5, 1, 1, 1, 2, 5, 0, 22, 1, 3, 9, 4, 3, 8, 5, 1, 3, 1, 3, 10, 7, 1, 4, 0, 5, 2, 13, 6, 7, 1, 0, 3, 2, 2, 5, 1, 5, 2, 4, 3, 2, 8, 1]",34951
4,"[5, 5, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 3, 2, 3, 2, 1, 3, 2, 2, 4, 3, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 3, 7, 2, 25, 1, 2, 12, 4, 4, 6, 4, 3, 6, 1, 3, 9, 7, 1, 5, 4, 3, 2, 6, 4, 9, 3, 2, 6, 2, 4, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-40, 31, 150, 76, 42, 67, -71, -43, 61, -394, -11, -93, 80, 75, 57, 68, 88, 97, 8, 73, 30, 51, 37, 107, 43, 108, 34, 82, 75, -302, -20, -17, -18, 71, 113, 94, -34, 121, -834, 68, 136, -240, 58, 49, -227, 67, 14, -140, 66, 112, -118, -70, -7, -64, 31, -68, 71, -62, -27, -131, 28, 67, -5, 119, 70, 62, -49, -60, -34, 85, 27, 46, -11, 75]","[506, 556, 284, 301, 281, 324, 530, 662, 351, 1551, 523, 760, 280, 332, 324, 331, 294, 208, 338, 310, 276, 429, 313, 228, 511, 397, 401, 277, 402, 1139, 461, 455, 226, 340, 421, 352, 780, 237, 2411, 174, 311, 1181, 415, 414, 599, 443, 324, 602, 187, 396, 877, 759, 141, 511, 412, 329, 276, 612, 491, 942, 372, 288, 614, 311, 419, 459, 236, 602, 385, 321, 190, 396, 662, 141]","[5, 7, 1, 1, 2, 8, 6, 6, 3, 12, 2, 7, 3, 2, 3, 5, 2, 0, 3, 1, 6, 3, 3, 2, 5, 5, 5, 4, 1, 12, 7, 2, 4, 6, 3, 2, 9, 3, 28, 0, 3, 19, 5, 4, 11, 8, 2, 7, 3, 5, 9, 6, 1, 9, 7, 4, 3, 4, 3, 19, 4, 2, 2, 0, 1, 6, 6, 9, 3, 4, 0, 4, 7, 1]",34894
5,"[5, 5, 2, 3, 2, 3, 5, 6, 3, 15, 5, 7, 2, 3, 3, 3, 2, 2, 3, 3, 2, 4, 3, 2, 5, 3, 4, 2, 4, 11, 4, 4, 2, 3, 4, 3, 7, 2, 24, 1, 3, 11, 4, 4, 5, 4, 3, 6, 1, 3, 8, 7, 1, 5, 4, 3, 2, 6, 4, 9, 3, 2, 6, 3, 4, 4, 2, 6, 3, 3, 1, 3, 6, 1]","[-61, 49, 181, 103, 54, 99, -84, -58, 86, -461, -15, -121, 93, 90, 64, 88, 102, 125, 4, 93, 29, 72, 43, 137, 41, 125, 56, 114, 99, -368, -15, -24, -28, 74, 122, 121, -66, 134, -1012, 87, 164, -298, 51, 56, -267, 72, 23, -171, 81, 124, -122, -91, -6, -70, 19, -83, 87, -80, -36, -129, 35, 88, 2, 159, 89, 70, -57, -72, -40, 96, 32, 49, -31, 84]","[483, 572, 316, 330, 289, 356, 516, 642, 373, 1482, 515, 734, 292, 347, 325, 352, 309, 235, 332, 331, 272, 445, 316, 258, 510, 414, 423, 309, 426, 1075, 464, 446, 213, 344, 431, 379, 749, 248, 2237, 193, 338, 1120, 409, 422, 558, 447, 332, 572, 202, 408, 871, 739, 139, 504, 396, 313, 294, 591, 480, 944, 374, 304, 625, 348, 436, 467, 227, 591, 380, 330, 195, 396, 640, 148]","[7, 7, 1, 1, 6, 3, 6, 11, 6, 17, 9, 5, 3, 3, 9, 2, 1, 3, 5, 2, 5, 9, 6, 2, 4, 3, 4, 2, 4, 9, 6, 6, 5, 2, 3, 3, 6, 4, 20, 1, 4, 14, 3, 3, 6, 5, 4, 5, 1, 3, 10, 6, 4, 6, 8, 4, 0, 9, 6, 9, 8, 7, 2, 6, 6, 4, 3, 5, 2, 5, 1, 6, 8, 3]",34823
6,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 14, 5, 7, 2, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 4, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 7, 2, 22, 1, 3, 11, 4, 4, 5, 4, 3, 5, 2, 4, 8, 7, 1, 5, 3, 3, 2, 5, 4, 9, 3, 3, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-68, 44, 223, 116, 52, 121, -84, -73, 96, -529, -2, -133, 108, 100, 67, 96, 117, 150, 3, 107, 36, 66, 59, 144, 41, 131, 77, 132, 124, -414, -24, -14, -34, 87, 144, 135, -93, 159, -1145, 109, 180, -348, 72, 54, -310, 80, 27, -203, 88, 134, -142, -101, -14, -60, 16, -90, 97, -81, -40, -164, 50, 105, 17, 178, 95, 78, -66, -107, -37, 112, 35, 49, -43, 108]","[476, 569, 359, 340, 286, 377, 515, 627, 383, 1408, 525, 722, 306, 357, 327, 361, 323, 262, 328, 347, 276, 434, 328, 265, 507, 423, 439, 327, 451, 1030, 458, 455, 208, 357, 455, 394, 723, 273, 2110, 214, 356, 1073, 431, 420, 519, 458, 336, 541, 208, 417, 848, 727, 132, 512, 392, 306, 301, 587, 475, 913, 385, 319, 639, 366, 440, 468, 218, 554, 381, 347, 194, 393, 629, 172]","[4, 3, 2, 6, 3, 4, 6, 6, 3, 20, 8, 7, 3, 3, 4, 2, 4, 0, 6, 1, 5, 9, 7, 2, 8, 1, 9, 3, 4, 9, 1, 5, 1, 3, 2, 2, 6, 2, 16, 2, 1, 8, 3, 4, 1, 1, 3, 4, 3, 5, 11, 9, 0, 7, 4, 3, 5, 8, 5, 5, 7, 5, 7, 4, 6, 11, 2, 7, 5, 2, 5, 6, 5, 1]",34782
7,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 14, 5, 7, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 4, 4, 3, 4, 10, 4, 4, 2, 3, 4, 3, 7, 2, 21, 2, 3, 10, 4, 4, 5, 4, 3, 5, 2, 4, 8, 7, 1, 5, 3, 3, 3, 5, 4, 9, 3, 3, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-71, 62, 252, 124, 62, 138, -96, -77, 104, -591, 6, -162, 133, 109, 68, 118, 113, 165, 2, 128, 53, 72, 71, 173, 41, 155, 56, 136, 138, -457, -28, -34, -37, 106, 144, 155, -120, 184, -1267, 122, 200, -410, 95, 63, -348, 111, 21, -215, 99, 160, -162, -138, -17, -66, 26, -93, 95, -92, -39, -186, 57, 115, 17, 188, 99, 76, -74, -85, -42, 123, 40, 47, -38, 123]","[464, 584, 389, 347, 297, 394, 502, 625, 386, 1348, 530, 691, 333, 364, 328, 380, 315, 275, 327, 371, 289, 439, 338, 296, 501, 449, 419, 332, 466, 990, 455, 434, 203, 375, 458, 411, 690, 297, 1986, 226, 375, 1013, 451, 431, 479, 488, 329, 525, 219, 441, 829, 689, 129, 504, 401, 302, 302, 573, 474, 892, 392, 328, 641, 377, 440, 464, 208, 578, 377, 357, 197, 391, 630, 185]","[13, 8, 2, 4, 1, 3, 6, 4, 8, 12, 8, 9, 1, 5, 3, 6, 7, 4, 3, 0, 6, 5, 5, 0, 11, 2, 3, 2, 3, 7, 3, 5, 4, 4, 1, 6, 13, 3, 23, 3, 4, 8, 7, 2, 7, 5, 4, 9, 2, 6, 7, 8, 1, 7, 4, 4, 0, 8, 6, 8, 3, 4, 4, 2, 8, 6, 4, 3, 2, 4, 3, 3, 10, 3]",34715
8,"[4, 5, 3, 3, 2, 3, 5, 6, 3, 13, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 5, 4, 4, 3, 4, 9, 4, 4, 2, 3, 4, 4, 6, 2, 19, 2, 3, 10, 4, 4, 4, 4, 3, 5, 2, 4, 8, 6, 1, 5, 4, 3, 3, 5, 4, 8, 3, 3, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-80, 73, 266, 136, 78, 145, -111, -80, 117, -666, 28, -174, 150, 112, 81, 131, 124, 172, -1, 134, 62, 90, 75, 192, 44, 163, 69, 152, 142, -500, -36, -42, -41, 124, 143, 174, -135, 204, -1383, 146, 214, -470, 129, 67, -377, 125, 34, -242, 108, 174, -188, -156, -23, -64, 27, -102, 120, -90, -40, -197, 55, 133, 16, 199, 105, 82, -72, -86, -48, 133, 41, 47, -57, 125]","[452, 593, 403, 358, 308, 404, 487, 621, 399, 1274, 548, 678, 351, 365, 341, 392, 328, 280, 326, 375, 295, 454, 343, 312, 507, 457, 433, 350, 470, 939, 450, 426, 200, 394, 456, 431, 677, 317, 1864, 248, 387, 949, 480, 435, 445, 496, 339, 492, 230, 457, 798, 673, 122, 509, 401, 295, 327, 577, 471, 878, 389, 346, 639, 389, 445, 471, 210, 582, 367, 369, 197, 391, 607, 188]","[7, 7, 3, 4, 7, 0, 5, 7, 3, 12, 9, 7, 2, 5, 3, 4, 1, 4, 1, 5, 5, 7, 2, 5, 2, 4, 3, 1, 4, 17, 1, 4, 1, 2, 5, 3, 4, 2, 25, 4, 5, 14, 9, 4, 9, 10, 6, 11, 0, 2, 13, 4, 2, 2, 5, 1, 3, 3, 6, 11, 4, 3, 7, 2, 5, 3, 2, 0, 7, 1, 2, 3, 10, 0]",34657
9,"[4, 5, 4, 3, 3, 4, 4, 6, 3, 12, 5, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 4, 3, 3, 5, 4, 4, 3, 4, 9, 4, 4, 2, 3, 4, 4, 6, 3, 18, 2, 3, 9, 4, 4, 4, 4, 3, 4, 2, 4, 7, 6, 1, 5, 4, 2, 3, 5, 4, 8, 3, 3, 6, 3, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-78, 96, 269, 149, 86, 143, -132, -75, 128, -698, 32, -194, 152, 126, 83, 134, 148, 187, -1, 154, 63, 95, 86, 202, 69, 153, 68, 169, 152, -540, -50, -59, -42, 143, 140, 185, -151, 219, -1470, 159, 246, -511, 150, 66, -396, 145, 37, -260, 112, 185, -218, -174, -21, -78, 38, -95, 126, -105, -46, -207, 57, 141, 21, 200, 114, 92, -86, -106, -49, 148, 37, 57, -54, 134]","[451, 612, 406, 370, 314, 402, 465, 622, 410, 1237, 548, 658, 353, 375, 341, 396, 350, 292, 325, 396, 295, 454, 351, 319, 531, 448, 433, 370, 480, 902, 433, 409, 197, 407, 453, 443, 660, 332, 1775, 260, 418, 906, 500, 436, 423, 513, 341, 474, 235, 467, 768, 655, 122, 493, 407, 298, 332, 552, 467, 867, 390, 355, 637, 389, 453, 479, 198, 560, 364, 382, 191, 398, 605, 194]","[7, 9, 4, 4, 5, 4, 5, 10, 3, 17, 9, 6, 3, 7, 5, 2, 5, 5, 4, 2, 3, 9, 6, 6, 6, 3, 3, 0, 4, 6, 7, 4, 4, 9, 4, 3, 7, 3, 20, 3, 4, 11, 5, 2, 7, 7, 4, 4, 1, 5, 7, 6, 3, 7, 9, 6, 4, 15, 2, 9, 4, 2, 13, 4, 5, 6, 0, 7, 5, 5, 3, 6, 11, 4]",34544
