0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[532, 537, 162, 242, 258, 291, 584, 691, 338, 1835, 524, 841, 220, 277, 279, 286, 241, 135, 325, 243, 253, 398, 287, 171, 484, 312, 385, 210, 345, 1341, 493, 463, 240, 295, 326, 277, 790, 128, 3009, 134, 218, 1336, 379, 364, 777, 390, 316, 681, 147, 309, 979, 813, 135, 570, 401, 381, 229, 665, 524, 1058, 348, 227, 626, 214, 366, 416, 280, 651, 393, 271, 171, 353, 657, 79]"
2,"[529, 535, 200, 262, 264, 313, 563, 685, 356, 1725, 523, 796, 260, 296, 295, 313, 263, 170, 322, 272, 261, 414, 296, 204, 499, 333, 377, 239, 366, 1267, 499, 458, 232, 304, 330, 298, 754, 153, 2780, 154, 253, 1255, 395, 376, 730, 389, 327, 660, 183, 328, 953, 797, 135, 582, 403, 368, 250, 656, 520, 1030, 361, 241, 631, 250, 362, 408, 273, 647, 385, 304, 165, 365, 649, 100]"
3,"[528, 557, 227, 273, 278, 324, 552, 689, 368, 1636, 526, 769, 290, 297, 319, 343, 296, 190, 326, 307, 262, 426, 299, 234, 512, 371, 389, 267, 387, 1193, 487, 444, 212, 313, 352, 315, 726, 189, 2593, 182, 272, 1192, 401, 389, 671, 388, 345, 607, 193, 355, 931, 764, 143, 584, 396, 361, 264, 640, 515, 984, 371, 260, 631, 277, 368, 432, 266, 639, 394, 328, 162, 380, 634, 119]"
4,"[513, 557, 257, 296, 287, 348, 544, 659, 387, 1556, 538, 751, 300, 297, 341, 368, 322, 221, 338, 323, 266, 438, 311, 260, 512, 371, 404, 283, 398, 1163, 477, 427, 203, 338, 366, 330, 688, 215, 2432, 194, 279, 1134, 430, 399, 609, 392, 341, 576, 181, 389, 903, 754, 142, 585, 398, 345, 282, 622, 499, 955, 394, 282, 620, 295, 377, 459, 249, 635, 390, 359, 181, 371, 629, 133]"
5,"[504, 562, 294, 315, 298, 372, 531, 642, 397, 1478, 528, 728, 303, 308, 355, 383, 335, 250, 333, 330, 274, 443, 315, 275, 521, 380, 406, 305, 424, 1091, 474, 431, 206, 334, 381, 339, 673, 225, 2276, 219, 288, 1094, 445, 395, 560, 408, 340, 559, 200, 391, 893, 750, 139, 581, 382, 338, 291, 608, 491, 942, 398, 289, 647, 311, 382, 478, 243, 620, 384, 390, 176, 379, 622, 143]"
6,"[502, 563, 319, 338, 304, 387, 502, 643, 408, 1393, 521, 714, 321, 334, 353, 396, 351, 267, 342, 350, 261, 454, 314, 303, 524, 392, 413, 323, 423, 1032, 485, 426, 205, 346, 404, 358, 655, 241, 2137, 249, 309, 1032, 480, 410, 522, 420, 334, 541, 210, 421, 862, 716, 144, 562, 379, 337, 310, 600, 499, 917, 404, 301, 645, 321, 384, 486, 224, 607, 364, 399, 187, 376, 619, 155]"
7,"[485, 578, 342, 342, 316, 398, 499, 640, 421, 1334, 529, 695, 332, 356, 355, 411, 366, 282, 325, 349, 268, 456, 332, 326, 526, 426, 423, 333, 449, 969, 460, 413, 199, 360, 394, 371, 644, 247, 1998, 263, 343, 987, 488, 403, 500, 430, 336, 514, 212, 428, 849, 702, 139, 555, 383, 333, 320, 591, 497, 895, 417, 314, 641, 338, 397, 489, 221, 594, 364, 412, 182, 397, 613, 167]"
8,"[473, 572, 363, 351, 320, 392, 488, 630, 434, 1294, 549, 662, 352, 378, 352, 423, 373, 299, 323, 362, 283, 465, 336, 340, 531, 412, 431, 344, 468, 924, 462, 409, 188, 374, 407, 386, 627, 268, 1873, 267, 369, 938, 476, 418, 477, 439, 332, 501, 220, 450, 824, 690, 144, 538, 376, 311, 338, 587, 502, 864, 415, 328, 634, 351, 395, 499, 214, 586, 361, 425, 179, 404, 618, 184]"
9,"[458, 578, 386, 370, 332, 402, 488, 613, 434, 1225, 529, 662, 354, 386, 351, 424, 385, 311, 319, 383, 291, 466, 349, 351, 554, 447, 422, 355, 460, 894, 455, 403, 180, 399, 408, 384, 619, 297, 1750, 288, 391, 891, 486, 423, 447, 450, 339, 479, 220, 457, 794, 662, 150, 533, 367, 297, 347, 568, 509, 844, 416, 326, 632, 378, 417, 508, 206, 580, 345, 433, 177, 404, 617, 199]"
10,"[445, 577, 391, 374, 339, 389, 476, 609, 441, 1192, 532, 657, 370, 418, 360, 424, 391, 333, 320, 384, 308, 467, 352, 372, 554, 462, 426, 360, 481, 867, 452, 390, 184, 428, 422, 392, 609, 316, 1629, 298, 406, 852, 495, 431, 423, 447, 350, 464, 225, 461, 764, 647, 140, 509, 375, 276, 353, 553, 504, 830, 429, 321, 613, 382, 422, 492, 196, 566, 351, 452, 188, 400, 600, 213]"
11,"[440, 563, 409, 374, 342, 396, 460, 586, 443, 1122, 505, 643, 374, 433, 366, 439, 393, 344, 319, 393, 300, 462, 351, 406, 559, 472, 433, 374, 494, 847, 438, 387, 187, 421, 427, 393, 590, 323, 1545, 310, 425, 808, 517, 447, 386, 435, 358, 457, 225, 462, 749, 629, 140, 510, 376, 267, 372, 555, 499, 812, 423, 327, 609, 377, 432, 496, 181, 567, 351, 477, 191, 415, 608, 209]"
12,"[422, 585, 427, 387, 340, 402, 451, 576, 442, 1055, 513, 624, 388, 430, 360, 434, 399, 355, 311, 396, 297, 470, 369, 431, 536, 458, 454, 370, 490, 816, 443, 384, 184, 414, 442, 403, 596, 343, 1449, 314, 429, 767, 535, 463, 341, 459, 364, 452, 225, 469, 725, 624, 141, 502, 360, 259, 387, 537, 495, 790, 413, 333, 625, 400, 429, 511, 170, 569, 342, 488, 179, 409, 612, 214]"
13,"[403, 573, 437, 403, 357, 419, 441, 560, 447, 1005, 522, 600, 393, 444, 369, 440, 402, 364, 295, 394, 305, 481, 368, 450, 533, 463, 449, 372, 500, 783, 446, 383, 188, 418, 445, 423, 596, 360, 1363, 315, 425, 731, 524, 465, 319, 450, 357, 440, 231, 477, 709, 599, 132, 495, 358, 235, 393, 534, 480, 775, 421, 334, 620, 404, 454, 530, 166, 552, 349, 492, 180, 407, 607, 216]"
14,"[406, 575, 467, 404, 359, 426, 441, 540, 458, 990, 525, 586, 387, 457, 368, 436, 411, 382, 292, 399, 305, 485, 363, 454, 539, 470, 442, 356, 511, 751, 436, 376, 187, 440, 469, 434, 583, 364, 1279, 322, 426, 706, 537, 475, 299, 463, 355, 425, 245, 462, 689, 585, 135, 499, 344, 229, 383, 525, 475, 752, 415, 342, 633, 405, 441, 524, 165, 537, 332, 485, 184, 429, 603, 216]"
15,"[408, 568, 469, 416, 365, 408, 428, 529, 452, 951, 540, 567, 395, 473, 360, 441, 423, 398, 295, 396, 306, 494, 371, 458, 532, 469, 447, 374, 510, 717, 436, 374, 183, 449, 479, 427, 567, 376, 1215, 324, 420, 679, 537, 470, 284, 473, 347, 391, 259, 467, 651, 568, 131, 506, 352, 227, 388, 518, 450, 723, 415, 343, 626, 415, 455, 517, 168, 526, 334, 486, 182, 426, 592, 226]"
16,"[389, 568, 459, 419, 371, 409, 414, 525, 459, 919, 546, 559, 395, 490, 365, 444, 419, 395, 279, 381, 305, 480, 377, 476, 524, 467, 461, 393, 517, 695, 439, 360, 185, 444, 488, 434, 552, 370, 1146, 318, 429, 641, 555, 486, 259, 471, 340, 368, 253, 472, 619, 552, 130, 524, 361, 216, 382, 516, 448, 693, 407, 353, 635, 419, 445, 547, 153, 516, 331, 487, 183, 440, 593, 226]"
17,"[383, 579, 487, 429, 356, 404, 408, 527, 452, 914, 538, 529, 383, 487, 362, 438, 416, 386, 282, 391, 309, 472, 385, 477, 526, 474, 463, 400, 513, 685, 436, 346, 195, 442, 490, 430, 553, 388, 1086, 324, 441, 604, 557, 486, 249, 473, 338, 360, 238, 467, 606, 534, 120, 514, 342, 212, 380, 496, 456, 671, 418, 343, 622, 433, 443, 534, 154, 510, 335, 505, 188, 435, 575, 228]"
18,"[372, 576, 486, 424, 349, 401, 403, 501, 457, 872, 531, 517, 395, 480, 362, 439, 424, 392, 279, 384, 302, 477, 391, 478, 521, 467, 455, 408, 515, 666, 443, 340, 190, 456, 495, 436, 548, 386, 1026, 341, 449, 585, 565, 493, 225, 463, 328, 355, 248, 453, 581, 514, 125, 514, 341, 206, 382, 490, 437, 666, 413, 363, 615, 432, 450, 548, 149, 503, 336, 507, 186, 434, 578, 232]"
19,"[358, 565, 498, 421, 356, 409, 393, 491, 454, 846, 534, 508, 394, 471, 354, 431, 445, 387, 285, 403, 314, 474, 383, 505, 528, 469, 453, 402, 509, 644, 411, 334, 189, 468, 494, 428, 537, 380, 971, 330, 462, 563, 569, 478, 199, 481, 314, 334, 247, 451, 579, 504, 119, 529, 344, 205, 378, 479, 443, 630, 403, 381, 593, 450, 464, 549, 147, 482, 329, 495, 181, 452, 560, 229]"
20,"[348, 547, 490, 420, 370, 408, 399, 495, 444, 820, 524, 505, 404, 471, 347, 442, 445, 400, 276, 396, 317, 467, 380, 505, 530, 469, 454, 403, 506, 633, 399, 328, 182, 459, 499, 417, 520, 380, 906, 332, 479, 548, 587, 464, 177, 480, 322, 337, 241, 457, 554, 504, 106, 519, 351, 199, 369, 464, 439, 619, 385, 378, 589, 470, 467, 541, 142, 481, 330, 488, 181, 457, 542, 234]"
21,"[337, 559, 481, 408, 365, 419, 393, 479, 448, 809, 522, 498, 412, 476, 341, 436, 426, 402, 273, 400, 313, 471, 365, 516, 533, 456, 453, 396, 496, 617, 403, 323, 177, 458, 499, 415, 516, 390, 862, 332, 489, 514, 577, 459, 168, 503, 315, 333, 232, 452, 552, 471, 114, 515, 334, 203, 372, 455, 438, 606, 381, 375, 574, 466, 458, 550, 141, 470, 326, 488, 181, 458, 535, 237]"
22,"[322, 557, 493, 430, 369, 416, 382, 460, 428, 785, 513, 488, 415, 474, 350, 448, 439, 413, 270, 404, 304, 472, 359, 527, 547, 450, 458, 381, 499, 597, 396, 307, 179, 456, 501, 412, 502, 399, 811, 327, 489, 497, 589, 454, 162, 491, 307, 338, 240, 453, 541, 441, 111, 501, 337, 200, 374, 437, 432, 579, 366, 378, 556, 451, 470, 538, 132, 471, 338, 468, 177, 461, 524, 235]"
23,"[320, 546, 484, 408, 370, 424, 377, 442, 434, 768, 486, 474, 424, 468, 350, 456, 451, 412, 266, 397, 306, 458, 364, 534, 534, 451, 456, 402, 491, 579, 389, 313, 180, 466, 493, 404, 501, 406, 782, 323, 494, 483, 593, 444, 152, 491, 300, 343, 238, 447, 518, 417, 110, 489, 333, 196, 377, 427, 395, 572, 371, 357, 544, 441, 475, 523, 126, 460, 348, 481, 178, 445, 510, 240]"
24,"[302, 543, 481, 403, 371, 428, 370, 419, 427, 754, 484, 466, 427, 454, 349, 459, 442, 406, 245, 399, 299, 463, 359, 532, 530, 446, 462, 396, 486, 561, 393, 306, 181, 470, 498, 408, 483, 400, 756, 322, 487, 459, 594, 453, 151, 468, 318, 323, 233, 448, 492, 419, 108, 479, 321, 185, 387, 413, 388, 551, 360, 352, 539, 441, 465, 512, 129, 451, 347, 470, 185, 440, 516, 240]"
25,"[300, 525, 479, 416, 365, 422, 358, 416, 432, 755, 493, 442, 436, 472, 343, 454, 442, 402, 239, 373, 288, 476, 365, 517, 515, 427, 465, 390, 485, 551, 381, 309, 173, 477, 498, 401, 469, 407, 736, 337, 497, 427, 584, 456, 144, 458, 314, 302, 232, 446, 487, 410, 108, 487, 336, 184, 388, 399, 377, 533, 359, 349, 518, 430, 462, 492, 125, 455, 334, 453, 185, 433, 503, 234]"
26,"[296, 521, 477, 414, 358, 422, 342, 404, 437, 736, 490, 431, 440, 470, 347, 449, 441, 406, 244, 358, 289, 485, 348, 519, 522, 415, 462, 403, 488, 540, 381, 294, 169, 486, 509, 395, 476, 395, 711, 325, 513, 418, 573, 450, 138, 454, 309, 306, 226, 443, 482, 406, 112, 471, 326, 177, 392, 391, 382, 518, 350, 346, 502, 437, 451, 498, 121, 448, 323, 452, 189, 426, 494, 230]"
