,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-26, 42, 36, 12, 5, 25, -12, -24, 16, -62, 23, -54, 27, 12, 29, 23, 28, 31, -4, 25, 3, 52, 18, 56, 7, 2, 9, 42, 30, -85, -6, 3, 5, 35, 11, 0, 51, 31, -281, 23, 42, -88, 25, 17, -54, 19, 20, -39, 19, 14, -55, -25, 2, 4, -6, -6, 19, -14, -21, -84, -7, 2, -14, 29, 16, 29, -17, -32, -9, 31, 16, 4, -7, 12]","[520, 569, 172, 237, 247, 288, 593, 688, 307, 1883, 553, 806, 233, 268, 296, 283, 233, 140, 327, 260, 257, 431, 292, 179, 478, 292, 375, 239, 357, 1360, 474, 474, 248, 302, 314, 255, 854, 146, 2958, 127, 218, 1323, 387, 381, 774, 401, 326, 698, 142, 300, 942, 803, 151, 588, 378, 398, 222, 670, 496, 992, 333, 217, 597, 220, 360, 434, 273, 627, 404, 272, 178, 351, 665, 78]","[4, 4, 3, 2, 1, 2, 5, 5, 0, 7, 9, 6, 2, 2, 1, 5, 1, 3, 2, 4, 3, 4, 5, 1, 1, 1, 5, 0, 3, 3, 5, 4, 2, 6, 5, 2, 7, 1, 23, 2, 3, 14, 1, 5, 8, 0, 2, 6, 1, 1, 7, 8, 0, 1, 3, 1, 4, 5, 5, 10, 8, 2, 4, 2, 2, 2, 0, 6, 2, 2, 3, 4, 4, 1]",34914
2,"[5, 5, 1, 2, 2, 2, 5, 6, 3, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 3, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 4, 3, 6, 1, 3, 9, 8, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 5, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-53, 68, 77, 29, 14, 32, -45, -62, 21, -141, 43, -95, 56, 42, 49, 50, 60, 67, -11, 49, 8, 97, 28, 98, 31, 25, -1, 85, 62, -159, -1, -7, 17, 58, 34, 0, 110, 64, -502, 42, 73, -177, 31, 32, -96, 39, 39, -87, 49, 28, -90, -51, 4, -20, -3, -20, 44, -47, -30, -138, -4, 0, -37, 54, 39, 41, -30, -64, -32, 49, 26, 22, -15, 32]","[494, 595, 210, 254, 257, 293, 560, 650, 310, 1801, 572, 766, 263, 297, 315, 310, 265, 176, 323, 283, 264, 475, 302, 222, 501, 315, 365, 283, 387, 1294, 475, 460, 261, 324, 337, 255, 912, 179, 2743, 147, 250, 1239, 391, 398, 730, 417, 344, 649, 172, 313, 911, 780, 154, 561, 379, 383, 246, 637, 486, 942, 338, 217, 571, 244, 383, 444, 259, 600, 382, 290, 187, 370, 656, 98]","[4, 5, 4, 2, 1, 4, 5, 6, 5, 21, 6, 7, 1, 3, 3, 2, 2, 1, 0, 3, 0, 5, 2, 0, 5, 2, 3, 1, 5, 5, 8, 8, 1, 4, 3, 2, 9, 1, 23, 0, 1, 8, 5, 1, 9, 8, 4, 7, 1, 4, 5, 5, 0, 8, 5, 4, 3, 6, 5, 5, 1, 0, 8, 3, 3, 6, 3, 1, 3, 2, 2, 2, 7, 0]",34916
3,"[4, 5, 2, 2, 2, 2, 5, 6, 3, 18, 5, 7, 2, 2, 3, 3, 2, 1, 3, 2, 2, 4, 3, 2, 5, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 9, 1, 27, 1, 2, 12, 3, 3, 7, 4, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 5, 2, 3, 4, 2, 6, 3, 2, 1, 3, 6, 0]","[-71, 100, 113, 49, 11, 51, -60, -92, 29, -226, 60, -135, 72, 51, 56, 58, 93, 112, -15, 63, 9, 152, 54, 140, 36, 34, 2, 108, 91, -237, -8, -8, 18, 70, 46, 6, 151, 104, -662, 55, 96, -247, 48, 47, -153, 43, 62, -120, 75, 39, -158, -77, 5, -11, 1, -36, 79, -67, -58, -202, -11, 1, -60, 78, 58, 60, -26, -83, -50, 77, 29, 34, 0, 47]","[472, 625, 242, 273, 256, 309, 544, 620, 320, 1717, 589, 725, 279, 306, 323, 318, 298, 222, 319, 298, 265, 529, 329, 264, 505, 324, 367, 306, 418, 1223, 468, 461, 260, 334, 348, 260, 954, 218, 2587, 160, 269, 1167, 407, 413, 674, 424, 366, 615, 199, 324, 845, 750, 155, 571, 383, 368, 279, 619, 458, 879, 330, 220, 549, 267, 404, 463, 265, 585, 366, 316, 189, 383, 669, 111]","[8, 7, 6, 3, 0, 5, 6, 6, 1, 17, 5, 8, 2, 2, 2, 3, 2, 0, 3, 1, 2, 5, 2, 2, 6, 3, 4, 2, 1, 5, 4, 2, 4, 5, 4, 3, 8, 2, 23, 1, 6, 14, 4, 3, 6, 1, 4, 7, 0, 3, 7, 11, 1, 4, 3, 2, 4, 4, 4, 8, 4, 0, 4, 3, 1, 4, 0, 2, 1, 4, 2, 2, 8, 2]",34917
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 17, 5, 7, 2, 3, 3, 3, 2, 2, 3, 2, 2, 5, 3, 2, 5, 3, 3, 3, 4, 12, 4, 4, 2, 3, 3, 2, 9, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 6, 1, 3, 8, 7, 1, 5, 3, 3, 2, 6, 4, 8, 3, 2, 5, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-85, 119, 141, 57, 23, 69, -87, -126, 46, -289, 77, -159, 94, 61, 64, 61, 104, 135, -16, 80, 11, 203, 70, 160, 61, 42, 6, 134, 93, -297, 4, -28, 20, 86, 67, 17, 180, 131, -825, 75, 131, -301, 65, 49, -188, 66, 77, -163, 87, 50, -196, -113, 4, -20, -13, -44, 100, -92, -76, -245, -6, 11, -70, 103, 67, 65, -24, -102, -42, 104, 33, 45, 0, 59]","[457, 647, 269, 281, 267, 328, 518, 587, 334, 1658, 601, 698, 299, 317, 330, 323, 309, 244, 320, 315, 267, 583, 344, 283, 530, 334, 367, 332, 421, 1163, 474, 441, 263, 348, 368, 269, 987, 244, 2417, 181, 301, 1105, 425, 417, 639, 449, 382, 568, 209, 331, 797, 718, 152, 559, 369, 356, 300, 593, 437, 836, 337, 228, 540, 291, 416, 463, 267, 565, 373, 341, 192, 396, 665, 122]","[5, 3, 3, 2, 3, 2, 4, 5, 6, 13, 10, 10, 4, 2, 4, 1, 2, 3, 1, 2, 2, 2, 4, 3, 5, 1, 7, 3, 3, 12, 10, 4, 1, 5, 4, 4, 5, 3, 32, 0, 5, 19, 3, 2, 6, 2, 2, 10, 3, 7, 18, 3, 3, 8, 3, 7, 2, 7, 7, 8, 1, 4, 4, 3, 1, 9, 2, 6, 4, 5, 2, 1, 10, 2]",34857
5,"[4, 6, 2, 2, 2, 3, 5, 5, 3, 16, 6, 6, 2, 3, 3, 3, 3, 2, 3, 3, 2, 5, 3, 2, 5, 3, 3, 3, 4, 11, 4, 4, 2, 3, 3, 2, 9, 2, 24, 1, 3, 11, 4, 4, 6, 4, 3, 5, 2, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 5, 2, 4, 4, 2, 5, 3, 3, 1, 3, 6, 1]","[-102, 126, 161, 80, 29, 94, -95, -146, 50, -359, 90, -172, 107, 78, 71, 66, 122, 162, -25, 105, 13, 257, 81, 187, 63, 45, 14, 165, 116, -357, 40, -49, 20, 110, 85, 24, 207, 147, -1008, 101, 153, -355, 70, 53, -220, 79, 97, -180, 101, 63, -218, -129, 6, -21, -28, -57, 113, -103, -106, -314, -8, 10, -77, 117, 74, 68, -27, -107, -53, 119, 41, 64, -11, 83]","[439, 654, 290, 301, 273, 356, 509, 565, 334, 1585, 617, 684, 310, 334, 337, 330, 326, 271, 313, 339, 268, 631, 355, 307, 533, 338, 372, 363, 445, 1103, 510, 420, 264, 369, 386, 277, 1013, 256, 2224, 208, 326, 1046, 429, 417, 606, 464, 402, 550, 222, 343, 770, 702, 153, 562, 352, 343, 315, 581, 406, 766, 333, 226, 530, 306, 422, 466, 265, 558, 363, 358, 198, 413, 652, 146]","[5, 6, 1, 5, 2, 0, 6, 7, 7, 19, 3, 7, 4, 3, 3, 1, 4, 2, 1, 4, 3, 11, 3, 5, 4, 2, 6, 3, 3, 11, 4, 4, 1, 6, 3, 1, 10, 6, 34, 0, 0, 16, 5, 8, 7, 2, 3, 6, 3, 4, 12, 7, 2, 1, 5, 3, 1, 6, 5, 9, 5, 3, 8, 1, 5, 4, 1, 7, 2, 1, 3, 5, 8, 1]",34800
6,"[4, 6, 2, 3, 2, 3, 5, 5, 3, 15, 6, 6, 3, 3, 3, 3, 3, 2, 3, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 11, 5, 4, 2, 3, 3, 2, 10, 2, 22, 2, 3, 10, 4, 4, 6, 4, 4, 5, 2, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 7, 3, 2, 5, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-116, 153, 184, 76, 40, 102, -103, -181, 47, -424, 83, -170, 117, 81, 91, 81, 130, 196, -16, 122, 7, 276, 90, 193, 60, 55, 28, 181, 128, -406, 66, -66, 18, 129, 99, 17, 256, 158, -1163, 106, 175, -389, 88, 81, -261, 87, 122, -196, 102, 68, -233, -140, 8, -29, -33, -72, 123, -116, -104, -348, -2, 12, -90, 136, 80, 77, -35, -128, -52, 127, 51, 71, -8, 103]","[424, 679, 311, 296, 284, 365, 496, 528, 329, 1521, 602, 685, 320, 336, 356, 339, 332, 305, 321, 356, 260, 650, 362, 312, 533, 349, 387, 381, 457, 1054, 538, 402, 263, 388, 398, 269, 1067, 268, 2064, 214, 349, 1012, 446, 445, 567, 470, 424, 532, 221, 347, 756, 690, 155, 554, 344, 328, 326, 565, 407, 731, 340, 226, 514, 325, 429, 474, 257, 541, 364, 366, 209, 418, 658, 165]","[5, 8, 4, 4, 2, 2, 10, 7, 5, 14, 14, 7, 3, 4, 4, 9, 5, 2, 4, 3, 4, 6, 5, 4, 2, 2, 2, 1, 4, 11, 3, 5, 1, 3, 5, 3, 5, 1, 27, 1, 2, 10, 5, 4, 4, 6, 7, 7, 4, 4, 6, 8, 1, 5, 6, 3, 2, 8, 5, 8, 2, 4, 8, 3, 3, 5, 2, 1, 3, 3, 0, 6, 3, 2]",34756
7,"[4, 6, 3, 2, 2, 3, 4, 5, 3, 15, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 2, 6, 3, 3, 5, 3, 3, 3, 4, 10, 5, 4, 2, 3, 3, 2, 10, 2, 20, 2, 3, 10, 4, 4, 5, 4, 4, 5, 2, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 7, 3, 2, 5, 3, 4, 4, 2, 5, 3, 3, 2, 4, 6, 1]","[-125, 173, 220, 83, 50, 98, -113, -189, 57, -488, 75, -194, 147, 111, 86, 77, 147, 215, -8, 143, 4, 313, 104, 216, 41, 56, 38, 224, 145, -448, 63, -75, 6, 152, 105, 19, 290, 162, -1289, 115, 187, -438, 95, 94, -285, 90, 156, -232, 121, 92, -265, -164, 8, -35, -31, -84, 155, -147, -103, -385, -7, 29, -114, 150, 85, 82, -44, -136, -49, 144, 44, 74, -16, 123]","[415, 698, 348, 302, 293, 359, 486, 523, 338, 1449, 594, 661, 353, 364, 348, 333, 348, 324, 329, 374, 256, 689, 374, 337, 513, 346, 393, 423, 471, 1010, 532, 393, 250, 408, 404, 270, 1101, 273, 1938, 219, 357, 956, 451, 460, 543, 469, 459, 491, 240, 368, 725, 666, 152, 545, 346, 312, 360, 536, 408, 691, 335, 245, 489, 337, 430, 477, 248, 534, 368, 381, 201, 422, 649, 184]","[4, 7, 2, 3, 3, 5, 4, 2, 4, 23, 6, 6, 0, 5, 6, 5, 4, 3, 3, 6, 3, 4, 5, 1, 6, 7, 7, 4, 7, 12, 8, 4, 3, 6, 3, 3, 10, 1, 20, 6, 7, 17, 6, 2, 5, 8, 3, 10, 2, 6, 6, 6, 4, 8, 3, 7, 1, 3, 4, 10, 3, 0, 6, 5, 8, 6, 2, 4, 2, 5, 3, 3, 7, 2]",34674
8,"[4, 6, 3, 3, 2, 3, 4, 5, 3, 14, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 2, 6, 3, 3, 5, 3, 3, 4, 4, 10, 5, 3, 2, 4, 4, 2, 11, 2, 19, 2, 3, 9, 4, 4, 5, 4, 4, 4, 2, 3, 7, 6, 1, 5, 3, 3, 3, 5, 4, 6, 3, 2, 4, 3, 4, 4, 2, 5, 3, 3, 2, 4, 6, 1]","[-137, 202, 232, 103, 62, 93, -118, -225, 57, -551, 83, -207, 174, 129, 86, 98, 162, 237, -4, 140, 12, 340, 134, 218, 62, 65, 33, 226, 165, -507, 61, -82, 10, 158, 133, 28, 301, 177, -1403, 137, 206, -474, 98, 87, -312, 100, 178, -257, 133, 100, -291, -178, 15, -38, -28, -89, 166, -166, -126, -415, -7, 34, -121, 171, 90, 96, -52, -140, -65, 163, 45, 82, -27, 138]","[401, 719, 361, 320, 303, 354, 479, 490, 340, 1379, 603, 648, 380, 380, 348, 354, 360, 340, 332, 369, 264, 712, 402, 338, 534, 350, 387, 423, 489, 958, 530, 385, 251, 415, 428, 273, 1106, 289, 1816, 242, 377, 921, 455, 450, 514, 474, 480, 459, 251, 377, 697, 651, 159, 532, 347, 308, 372, 515, 384, 660, 333, 250, 482, 358, 435, 490, 239, 529, 351, 401, 201, 428, 641, 199]","[6, 14, 2, 5, 4, 3, 6, 2, 1, 21, 4, 6, 3, 5, 3, 3, 6, 9, 4, 5, 2, 10, 5, 4, 5, 8, 4, 6, 6, 3, 5, 4, 5, 3, 8, 8, 17, 1, 27, 1, 2, 8, 3, 7, 7, 9, 5, 11, 3, 2, 9, 7, 1, 15, 5, 2, 2, 7, 5, 7, 5, 2, 4, 3, 4, 5, 3, 6, 4, 2, 3, 6, 3, 1]",34572
9,"[4, 7, 3, 3, 3, 3, 4, 4, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 2, 7, 4, 3, 5, 3, 3, 4, 4, 9, 5, 3, 2, 4, 4, 2, 11, 2, 18, 2, 3, 9, 4, 4, 5, 4, 4, 4, 2, 3, 6, 6, 1, 5, 3, 3, 3, 5, 3, 6, 3, 2, 4, 3, 4, 4, 2, 5, 3, 4, 2, 4, 6, 1]","[-151, 223, 262, 126, 60, 107, -129, -250, 62, -608, 79, -215, 172, 130, 92, 106, 176, 248, -9, 149, 12, 336, 143, 236, 82, 65, 31, 245, 169, -551, 66, -75, 15, 182, 155, 30, 319, 184, -1526, 150, 225, -523, 113, 86, -333, 105, 184, -275, 151, 123, -306, -187, 14, -29, -13, -93, 192, -170, -146, -430, -17, 47, -131, 166, 86, 104, -52, -153, -77, 186, 45, 101, -39, 148]","[386, 740, 394, 344, 300, 371, 470, 462, 345, 1317, 592, 641, 378, 377, 355, 361, 373, 351, 328, 375, 264, 704, 406, 356, 556, 346, 381, 434, 487, 917, 534, 394, 253, 438, 445, 271, 1125, 291, 1687, 254, 393, 876, 466, 441, 488, 477, 487, 437, 269, 399, 676, 642, 157, 537, 362, 306, 397, 506, 366, 641, 322, 264, 467, 351, 426, 498, 237, 516, 336, 425, 202, 444, 625, 207]","[5, 7, 0, 2, 4, 0, 2, 7, 3, 18, 13, 5, 3, 7, 2, 4, 4, 3, 2, 6, 2, 11, 9, 3, 3, 7, 7, 12, 10, 6, 6, 1, 5, 5, 9, 6, 10, 7, 24, 3, 6, 5, 8, 12, 10, 6, 3, 8, 2, 4, 12, 6, 2, 9, 3, 1, 4, 10, 1, 10, 4, 1, 9, 5, 9, 4, 4, 5, 6, 3, 1, 7, 10, 3]",34446
