0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-26, 42, 36, 12, 5, 25, -12, -24, 16, -62, 23, -54, 27, 12, 29, 23, 28, 31, -4, 25, 3, 52, 18, 56, 7, 2, 9, 42, 30, -85, -6, 3, 5, 35, 11, 0, 51, 31, -281, 23, 42, -88, 25, 17, -54, 19, 20, -39, 19, 14, -55, -25, 2, 4, -6, -6, 19, -14, -21, -84, -7, 2, -14, 29, 16, 29, -17, -32, -9, 31, 16, 4, -7, 12]"
2,"[-53, 68, 77, 29, 14, 32, -45, -62, 21, -141, 43, -95, 56, 42, 49, 50, 60, 67, -11, 49, 8, 97, 28, 98, 31, 25, -1, 85, 62, -159, -1, -7, 17, 58, 34, 0, 110, 64, -502, 42, 73, -177, 31, 32, -96, 39, 39, -87, 49, 28, -90, -51, 4, -20, -3, -20, 44, -47, -30, -138, -4, 0, -37, 54, 39, 41, -30, -64, -32, 49, 26, 22, -15, 32]"
3,"[-71, 100, 113, 49, 11, 51, -60, -92, 29, -226, 60, -135, 72, 51, 56, 58, 93, 112, -15, 63, 9, 152, 54, 140, 36, 34, 2, 108, 91, -237, -8, -8, 18, 70, 46, 6, 151, 104, -662, 55, 96, -247, 48, 47, -153, 43, 62, -120, 75, 39, -158, -77, 5, -11, 1, -36, 79, -67, -58, -202, -11, 1, -60, 78, 58, 60, -26, -83, -50, 77, 29, 34, 0, 47]"
4,"[-85, 119, 141, 57, 23, 69, -87, -126, 46, -289, 77, -159, 94, 61, 64, 61, 104, 135, -16, 80, 11, 203, 70, 160, 61, 42, 6, 134, 93, -297, 4, -28, 20, 86, 67, 17, 180, 131, -825, 75, 131, -301, 65, 49, -188, 66, 77, -163, 87, 50, -196, -113, 4, -20, -13, -44, 100, -92, -76, -245, -6, 11, -70, 103, 67, 65, -24, -102, -42, 104, 33, 45, 0, 59]"
5,"[-102, 126, 161, 80, 29, 94, -95, -146, 50, -359, 90, -172, 107, 78, 71, 66, 122, 162, -25, 105, 13, 257, 81, 187, 63, 45, 14, 165, 116, -357, 40, -49, 20, 110, 85, 24, 207, 147, -1008, 101, 153, -355, 70, 53, -220, 79, 97, -180, 101, 63, -218, -129, 6, -21, -28, -57, 113, -103, -106, -314, -8, 10, -77, 117, 74, 68, -27, -107, -53, 119, 41, 64, -11, 83]"
6,"[-116, 153, 184, 76, 40, 102, -103, -181, 47, -424, 83, -170, 117, 81, 91, 81, 130, 196, -16, 122, 7, 276, 90, 193, 60, 55, 28, 181, 128, -406, 66, -66, 18, 129, 99, 17, 256, 158, -1163, 106, 175, -389, 88, 81, -261, 87, 122, -196, 102, 68, -233, -140, 8, -29, -33, -72, 123, -116, -104, -348, -2, 12, -90, 136, 80, 77, -35, -128, -52, 127, 51, 71, -8, 103]"
7,"[-125, 173, 220, 83, 50, 98, -113, -189, 57, -488, 75, -194, 147, 111, 86, 77, 147, 215, -8, 143, 4, 313, 104, 216, 41, 56, 38, 224, 145, -448, 63, -75, 6, 152, 105, 19, 290, 162, -1289, 115, 187, -438, 95, 94, -285, 90, 156, -232, 121, 92, -265, -164, 8, -35, -31, -84, 155, -147, -103, -385, -7, 29, -114, 150, 85, 82, -44, -136, -49, 144, 44, 74, -16, 123]"
8,"[-137, 202, 232, 103, 62, 93, -118, -225, 57, -551, 83, -207, 174, 129, 86, 98, 162, 237, -4, 140, 12, 340, 134, 218, 62, 65, 33, 226, 165, -507, 61, -82, 10, 158, 133, 28, 301, 177, -1403, 137, 206, -474, 98, 87, -312, 100, 178, -257, 133, 100, -291, -178, 15, -38, -28, -89, 166, -166, -126, -415, -7, 34, -121, 171, 90, 96, -52, -140, -65, 163, 45, 82, -27, 138]"
9,"[-151, 223, 262, 126, 60, 107, -129, -250, 62, -608, 79, -215, 172, 130, 92, 106, 176, 248, -9, 149, 12, 336, 143, 236, 82, 65, 31, 245, 169, -551, 66, -75, 15, 182, 155, 30, 319, 184, -1526, 150, 225, -523, 113, 86, -333, 105, 184, -275, 151, 123, -306, -187, 14, -29, -13, -93, 192, -170, -146, -430, -17, 47, -131, 166, 86, 104, -52, -153, -77, 186, 45, 101, -39, 148]"
10,"[-161, 239, 288, 123, 59, 116, -143, -265, 69, -654, 89, -222, 192, 131, 79, 108, 188, 257, -16, 169, 16, 351, 136, 249, 90, 69, 40, 276, 188, -599, 63, -69, 27, 196, 156, 33, 339, 202, -1612, 154, 244, -551, 143, 77, -366, 103, 197, -279, 167, 126, -321, -199, 12, -29, -3, -106, 200, -184, -147, -438, -23, 44, -145, 177, 92, 109, -58, -170, -74, 190, 50, 94, -30, 147]"
11,"[-169, 248, 296, 123, 63, 139, -148, -266, 71, -695, 87, -235, 199, 153, 83, 116, 198, 276, -27, 164, 16, 369, 141, 256, 87, 71, 60, 282, 190, -660, 50, -69, 36, 202, 178, 34, 349, 213, -1685, 173, 253, -589, 137, 95, -385, 115, 212, -286, 179, 120, -349, -205, 20, -30, 2, -114, 218, -193, -142, -452, -34, 46, -145, 191, 105, 107, -68, -180, -75, 207, 52, 86, -23, 156]"
12,"[-173, 257, 298, 125, 69, 164, -157, -278, 80, -723, 110, -253, 216, 163, 88, 112, 203, 291, -34, 157, 38, 384, 153, 287, 85, 59, 69, 280, 196, -694, 54, -72, 36, 202, 185, 43, 370, 218, -1778, 175, 256, -626, 136, 109, -413, 131, 240, -302, 184, 122, -355, -224, 16, -36, 6, -115, 222, -203, -141, -475, -26, 61, -145, 191, 119, 91, -71, -199, -70, 222, 59, 83, -12, 160]"
13,"[-186, 247, 316, 125, 78, 182, -159, -283, 84, -759, 113, -272, 219, 174, 101, 111, 200, 305, -36, 173, 37, 402, 159, 286, 82, 62, 83, 281, 201, -727, 54, -81, 36, 210, 191, 35, 400, 227, -1868, 183, 261, -652, 156, 111, -432, 132, 238, -319, 198, 128, -372, -239, 14, -17, 0, -122, 238, -213, -143, -492, -29, 67, -148, 203, 129, 96, -68, -188, -67, 230, 66, 86, -23, 185]"
14,"[-193, 251, 331, 133, 80, 197, -165, -278, 99, -810, 115, -281, 226, 181, 96, 115, 209, 316, -37, 182, 45, 422, 172, 317, 81, 65, 73, 301, 204, -743, 61, -84, 42, 203, 212, 46, 385, 244, -1920, 194, 266, -695, 148, 114, -452, 129, 258, -324, 198, 113, -388, -246, 6, -15, -5, -135, 256, -221, -148, -503, -46, 84, -161, 199, 134, 107, -61, -192, -65, 227, 72, 83, -22, 198]"
15,"[-196, 275, 335, 139, 86, 212, -159, -281, 99, -843, 128, -294, 225, 173, 96, 124, 215, 330, -37, 175, 75, 439, 180, 319, 86, 75, 72, 315, 213, -771, 52, -89, 45, 197, 209, 46, 384, 261, -1976, 199, 283, -724, 159, 120, -466, 152, 267, -331, 192, 132, -412, -253, 6, -23, -15, -148, 264, -236, -157, -522, -46, 84, -159, 199, 128, 100, -65, -197, -59, 228, 80, 92, -15, 209]"
16,"[-198, 269, 350, 146, 75, 210, -161, -286, 100, -873, 134, -303, 235, 179, 99, 119, 220, 345, -49, 175, 78, 460, 172, 334, 79, 78, 63, 327, 213, -796, 46, -104, 49, 207, 236, 47, 401, 265, -2023, 206, 293, -751, 144, 130, -488, 179, 269, -338, 191, 140, -423, -256, 9, -26, -22, -151, 280, -248, -158, -538, -50, 86, -155, 216, 149, 96, -73, -196, -54, 231, 80, 99, -10, 221]"
17,"[-199, 279, 361, 150, 81, 202, -170, -284, 104, -928, 129, -305, 228, 179, 108, 133, 210, 349, -50, 182, 88, 478, 171, 342, 90, 81, 65, 348, 209, -795, 52, -105, 52, 232, 243, 50, 381, 264, -2068, 211, 294, -788, 165, 133, -499, 182, 268, -332, 200, 140, -436, -262, 12, -44, -33, -143, 293, -261, -162, -555, -43, 87, -164, 232, 150, 100, -68, -202, -47, 241, 74, 115, -15, 220]"
18,"[-201, 280, 375, 153, 91, 200, -178, -293, 108, -940, 144, -320, 234, 193, 96, 129, 212, 363, -52, 187, 93, 485, 170, 351, 87, 83, 68, 345, 215, -816, 49, -96, 56, 237, 254, 71, 393, 256, -2112, 226, 302, -798, 180, 127, -506, 177, 273, -339, 206, 146, -453, -274, 12, -45, -41, -146, 303, -270, -164, -565, -55, 85, -190, 241, 161, 99, -75, -206, -40, 240, 81, 126, -20, 232]"
19,"[-202, 279, 390, 152, 99, 200, -189, -306, 108, -964, 153, -316, 243, 191, 104, 138, 223, 368, -47, 195, 90, 485, 169, 347, 104, 95, 66, 354, 226, -834, 48, -92, 53, 228, 259, 84, 385, 269, -2162, 231, 313, -816, 174, 134, -510, 175, 270, -340, 212, 148, -462, -298, 16, -40, -42, -146, 298, -270, -164, -588, -53, 84, -194, 243, 159, 95, -79, -213, -38, 241, 85, 131, 8, 243]"
20,"[-214, 260, 406, 154, 101, 200, -199, -307, 107, -996, 162, -312, 248, 192, 114, 139, 230, 359, -44, 200, 91, 476, 173, 351, 100, 90, 60, 358, 240, -843, 46, -77, 57, 228, 266, 92, 417, 275, -2210, 237, 327, -839, 188, 153, -512, 184, 267, -352, 223, 155, -476, -288, 9, -38, -49, -152, 307, -278, -163, -585, -57, 84, -201, 242, 159, 93, -86, -217, -45, 251, 92, 129, 0, 248]"
21,"[-219, 279, 415, 141, 93, 191, -207, -313, 103, -1008, 157, -319, 254, 196, 115, 146, 246, 354, -38, 196, 96, 486, 172, 366, 107, 108, 57, 360, 237, -865, 38, -71, 51, 228, 269, 92, 420, 294, -2253, 247, 328, -856, 174, 154, -519, 193, 259, -342, 235, 155, -472, -288, 7, -41, -46, -152, 312, -293, -172, -609, -45, 84, -190, 246, 162, 89, -81, -213, -45, 259, 95, 141, 0, 250]"
