0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[520, 569, 172, 237, 247, 288, 593, 688, 307, 1883, 553, 806, 233, 268, 296, 283, 233, 140, 327, 260, 257, 431, 292, 179, 478, 292, 375, 239, 357, 1360, 474, 474, 248, 302, 314, 255, 854, 146, 2958, 127, 218, 1323, 387, 381, 774, 401, 326, 698, 142, 300, 942, 803, 151, 588, 378, 398, 222, 670, 496, 992, 333, 217, 597, 220, 360, 434, 273, 627, 404, 272, 178, 351, 665, 78]"
2,"[494, 595, 210, 254, 257, 293, 560, 650, 310, 1801, 572, 766, 263, 297, 315, 310, 265, 176, 323, 283, 264, 475, 302, 222, 501, 315, 365, 283, 387, 1294, 475, 460, 261, 324, 337, 255, 912, 179, 2743, 147, 250, 1239, 391, 398, 730, 417, 344, 649, 172, 313, 911, 780, 154, 561, 379, 383, 246, 637, 486, 942, 338, 217, 571, 244, 383, 444, 259, 600, 382, 290, 187, 370, 656, 98]"
3,"[472, 625, 242, 273, 256, 309, 544, 620, 320, 1717, 589, 725, 279, 306, 323, 318, 298, 222, 319, 298, 265, 529, 329, 264, 505, 324, 367, 306, 418, 1223, 468, 461, 260, 334, 348, 260, 954, 218, 2587, 160, 269, 1167, 407, 413, 674, 424, 366, 615, 199, 324, 845, 750, 155, 571, 383, 368, 279, 619, 458, 879, 330, 220, 549, 267, 404, 463, 265, 585, 366, 316, 189, 383, 669, 111]"
4,"[457, 647, 269, 281, 267, 328, 518, 587, 334, 1658, 601, 698, 299, 317, 330, 323, 309, 244, 320, 315, 267, 583, 344, 283, 530, 334, 367, 332, 421, 1163, 474, 441, 263, 348, 368, 269, 987, 244, 2417, 181, 301, 1105, 425, 417, 639, 449, 382, 568, 209, 331, 797, 718, 152, 559, 369, 356, 300, 593, 437, 836, 337, 228, 540, 291, 416, 463, 267, 565, 373, 341, 192, 396, 665, 122]"
5,"[439, 654, 290, 301, 273, 356, 509, 565, 334, 1585, 617, 684, 310, 334, 337, 330, 326, 271, 313, 339, 268, 631, 355, 307, 533, 338, 372, 363, 445, 1103, 510, 420, 264, 369, 386, 277, 1013, 256, 2224, 208, 326, 1046, 429, 417, 606, 464, 402, 550, 222, 343, 770, 702, 153, 562, 352, 343, 315, 581, 406, 766, 333, 226, 530, 306, 422, 466, 265, 558, 363, 358, 198, 413, 652, 146]"
6,"[424, 679, 311, 296, 284, 365, 496, 528, 329, 1521, 602, 685, 320, 336, 356, 339, 332, 305, 321, 356, 260, 650, 362, 312, 533, 349, 387, 381, 457, 1054, 538, 402, 263, 388, 398, 269, 1067, 268, 2064, 214, 349, 1012, 446, 445, 567, 470, 424, 532, 221, 347, 756, 690, 155, 554, 344, 328, 326, 565, 407, 731, 340, 226, 514, 325, 429, 474, 257, 541, 364, 366, 209, 418, 658, 165]"
7,"[415, 698, 348, 302, 293, 359, 486, 523, 338, 1449, 594, 661, 353, 364, 348, 333, 348, 324, 329, 374, 256, 689, 374, 337, 513, 346, 393, 423, 471, 1010, 532, 393, 250, 408, 404, 270, 1101, 273, 1938, 219, 357, 956, 451, 460, 543, 469, 459, 491, 240, 368, 725, 666, 152, 545, 346, 312, 360, 536, 408, 691, 335, 245, 489, 337, 430, 477, 248, 534, 368, 381, 201, 422, 649, 184]"
8,"[401, 719, 361, 320, 303, 354, 479, 490, 340, 1379, 603, 648, 380, 380, 348, 354, 360, 340, 332, 369, 264, 712, 402, 338, 534, 350, 387, 423, 489, 958, 530, 385, 251, 415, 428, 273, 1106, 289, 1816, 242, 377, 921, 455, 450, 514, 474, 480, 459, 251, 377, 697, 651, 159, 532, 347, 308, 372, 515, 384, 660, 333, 250, 482, 358, 435, 490, 239, 529, 351, 401, 201, 428, 641, 199]"
9,"[386, 740, 394, 344, 300, 371, 470, 462, 345, 1317, 592, 641, 378, 377, 355, 361, 373, 351, 328, 375, 264, 704, 406, 356, 556, 346, 381, 434, 487, 917, 534, 394, 253, 438, 445, 271, 1125, 291, 1687, 254, 393, 876, 466, 441, 488, 477, 487, 437, 269, 399, 676, 642, 157, 537, 362, 306, 397, 506, 366, 641, 322, 264, 467, 351, 426, 498, 237, 516, 336, 425, 202, 444, 625, 207]"
10,"[371, 757, 415, 338, 298, 380, 453, 444, 349, 1272, 601, 629, 393, 373, 341, 364, 386, 356, 321, 394, 268, 711, 397, 365, 559, 350, 390, 466, 503, 872, 530, 396, 258, 453, 444, 273, 1139, 304, 1597, 256, 409, 844, 493, 431, 448, 473, 498, 431, 284, 401, 655, 625, 154, 531, 371, 286, 403, 489, 362, 631, 315, 260, 452, 357, 433, 495, 231, 498, 337, 432, 207, 436, 631, 207]"
