0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[525, 565, 173, 240, 252, 287, 592, 665, 298, 1833, 551, 816, 234, 269, 272, 284, 241, 141, 336, 267, 265, 445, 281, 189, 483, 292, 380, 252, 360, 1350, 499, 450, 235, 282, 337, 251, 858, 149, 3006, 120, 213, 1313, 376, 390, 769, 402, 326, 684, 139, 309, 922, 807, 155, 581, 364, 387, 250, 651, 499, 1014, 325, 211, 581, 232, 369, 418, 276, 632, 400, 265, 176, 362, 671, 88]"
2,"[496, 595, 208, 258, 263, 323, 566, 616, 319, 1754, 582, 795, 258, 282, 282, 303, 266, 168, 338, 289, 286, 478, 294, 242, 493, 291, 391, 282, 372, 1261, 508, 438, 245, 294, 349, 267, 912, 182, 2778, 135, 253, 1231, 391, 409, 724, 419, 348, 640, 165, 314, 871, 783, 154, 578, 349, 368, 281, 625, 473, 962, 330, 212, 561, 257, 395, 426, 270, 608, 393, 289, 199, 377, 673, 99]"
3,"[481, 611, 234, 282, 257, 334, 556, 599, 326, 1689, 589, 745, 285, 313, 300, 317, 293, 220, 344, 300, 279, 512, 310, 286, 503, 291, 395, 303, 396, 1193, 513, 424, 243, 316, 372, 285, 949, 215, 2562, 158, 284, 1180, 405, 421, 687, 431, 363, 609, 184, 319, 825, 769, 148, 581, 340, 359, 303, 609, 447, 921, 326, 216, 555, 284, 406, 446, 248, 592, 375, 305, 202, 379, 662, 114]"
4,"[456, 640, 269, 292, 262, 342, 527, 562, 323, 1592, 598, 717, 308, 331, 302, 341, 315, 247, 339, 302, 276, 557, 308, 300, 496, 283, 394, 341, 411, 1119, 525, 407, 234, 331, 382, 280, 991, 249, 2379, 178, 318, 1122, 428, 431, 646, 449, 374, 583, 200, 337, 796, 737, 159, 589, 355, 353, 351, 589, 442, 885, 326, 222, 540, 307, 416, 452, 248, 583, 378, 328, 197, 385, 674, 134]"
5,"[454, 650, 315, 300, 262, 351, 505, 549, 339, 1521, 598, 680, 330, 354, 316, 353, 327, 278, 336, 322, 286, 595, 318, 329, 504, 281, 390, 387, 432, 1056, 535, 385, 225, 351, 395, 293, 1026, 280, 2212, 188, 334, 1068, 440, 454, 600, 473, 392, 552, 216, 345, 764, 708, 159, 581, 348, 350, 374, 562, 435, 832, 327, 226, 520, 320, 425, 468, 241, 560, 367, 350, 203, 418, 658, 153]"
6,"[443, 688, 356, 311, 263, 371, 509, 549, 336, 1436, 595, 654, 338, 374, 330, 349, 338, 303, 333, 333, 284, 646, 324, 354, 517, 282, 387, 402, 437, 989, 542, 380, 235, 360, 408, 298, 1051, 294, 2054, 201, 357, 1022, 461, 482, 561, 481, 415, 521, 214, 356, 726, 703, 161, 568, 354, 345, 402, 549, 408, 774, 329, 228, 503, 323, 446, 467, 233, 556, 359, 364, 206, 420, 651, 167]"
7,"[426, 696, 381, 322, 278, 371, 494, 516, 344, 1365, 594, 627, 348, 388, 346, 358, 359, 326, 342, 335, 283, 672, 322, 362, 524, 289, 397, 435, 448, 936, 540, 379, 234, 373, 421, 305, 1074, 315, 1892, 196, 384, 976, 477, 487, 514, 494, 425, 510, 225, 372, 701, 693, 162, 563, 353, 341, 422, 519, 416, 723, 332, 238, 506, 348, 443, 453, 230, 531, 364, 389, 219, 422, 649, 179]"
8,"[425, 710, 393, 336, 282, 373, 475, 494, 357, 1315, 601, 588, 359, 408, 345, 372, 370, 341, 334, 344, 285, 699, 330, 376, 532, 294, 397, 438, 460, 883, 555, 383, 235, 382, 437, 318, 1089, 320, 1770, 215, 401, 915, 489, 500, 486, 505, 440, 478, 234, 373, 665, 691, 169, 575, 366, 325, 449, 499, 419, 690, 326, 240, 483, 364, 439, 463, 221, 520, 369, 405, 232, 424, 649, 196]"
9,"[414, 718, 423, 342, 291, 376, 479, 478, 350, 1259, 594, 595, 380, 420, 361, 375, 377, 350, 331, 359, 286, 711, 336, 386, 527, 298, 402, 438, 457, 835, 566, 381, 238, 393, 438, 318, 1108, 326, 1646, 217, 401, 874, 509, 515, 440, 496, 441, 441, 236, 374, 643, 680, 171, 581, 372, 316, 475, 490, 411, 647, 321, 249, 487, 371, 440, 464, 220, 515, 355, 416, 241, 441, 656, 224]"
10,"[416, 742, 431, 343, 303, 391, 468, 473, 357, 1212, 616, 577, 383, 426, 366, 369, 395, 366, 338, 357, 283, 713, 342, 390, 519, 304, 410, 445, 473, 800, 573, 371, 236, 408, 450, 329, 1125, 335, 1536, 236, 421, 815, 530, 516, 410, 505, 439, 420, 245, 391, 612, 670, 160, 579, 360, 318, 488, 475, 406, 615, 319, 253, 476, 368, 448, 465, 220, 505, 351, 419, 242, 442, 662, 235]"
11,"[403, 757, 448, 349, 305, 397, 468, 453, 349, 1152, 622, 563, 410, 431, 358, 371, 394, 367, 333, 368, 299, 720, 357, 399, 528, 301, 423, 452, 475, 781, 571, 371, 248, 415, 452, 327, 1117, 337, 1462, 248, 422, 799, 529, 520, 377, 507, 451, 391, 246, 390, 586, 652, 160, 572, 361, 315, 506, 474, 389, 597, 315, 265, 459, 392, 460, 457, 219, 494, 353, 410, 242, 445, 652, 246]"
12,"[381, 772, 459, 363, 301, 402, 454, 439, 352, 1111, 635, 541, 412, 419, 373, 372, 390, 374, 328, 380, 310, 730, 357, 424, 515, 316, 426, 466, 482, 756, 575, 354, 248, 427, 447, 334, 1137, 354, 1376, 261, 429, 750, 529, 516, 351, 518, 461, 368, 271, 401, 557, 635, 156, 571, 362, 304, 513, 474, 373, 579, 309, 260, 448, 400, 467, 460, 213, 481, 354, 427, 240, 438, 653, 250]"
13,"[359, 784, 471, 368, 304, 399, 460, 423, 353, 1079, 656, 529, 407, 420, 380, 377, 395, 382, 328, 370, 307, 731, 362, 454, 528, 315, 434, 476, 496, 736, 579, 350, 256, 435, 450, 332, 1159, 365, 1288, 271, 422, 712, 514, 513, 335, 528, 474, 352, 270, 407, 527, 622, 156, 572, 363, 292, 538, 446, 371, 565, 318, 258, 431, 410, 457, 469, 208, 477, 344, 420, 230, 432, 635, 257]"
