,Births,County Influx,County Population,Deaths,Total Population
0,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[5, 5, 1, 2, 2, 2, 6, 7, 2, 19, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 1, 3, 14, 4, 4, 2, 2, 3, 2, 8, 1, 32, 1, 1, 14, 3, 3, 8, 3, 3, 7, 1, 2, 9, 8, 1, 5, 3, 4, 2, 6, 5, 10, 3, 2, 6, 1, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-20, 52, 53, 7, 18, 18, -22, -29, 6, -94, 19, -47, 30, 16, 5, 21, 15, 39, 1, 17, 18, 56, 22, 57, -15, 6, 6, 44, 13, -76, 3, -2, 9, 26, 36, 5, 78, 40, -249, 20, 32, -108, 9, -1, -75, 16, 24, -50, 6, 25, -62, -12, 8, -4, -3, -4, 30, -32, -16, -78, -8, 1, -19, 38, 17, 12, -11, -32, 7, 37, 4, 15, 4, 28]","[526, 577, 192, 233, 260, 282, 583, 679, 294, 1837, 549, 817, 237, 270, 271, 285, 219, 148, 333, 254, 273, 435, 296, 181, 448, 295, 375, 239, 340, 1363, 487, 472, 251, 296, 341, 258, 883, 155, 2975, 125, 210, 1302, 370, 364, 748, 395, 330, 688, 127, 310, 936, 818, 156, 576, 378, 400, 234, 650, 496, 996, 339, 218, 594, 228, 363, 413, 278, 625, 422, 277, 169, 365, 670, 95]","[4, 6, 0, 1, 1, 1, 5, 9, 3, 21, 9, 2, 1, 4, 2, 1, 2, 3, 1, 2, 2, 4, 5, 0, 9, 2, 2, 2, 3, 9, 1, 1, 3, 3, 3, 4, 5, 1, 38, 1, 1, 15, 2, 4, 13, 3, 2, 5, 3, 2, 6, 6, 1, 5, 6, 1, 3, 7, 10, 12, 1, 0, 2, 3, 0, 6, 1, 8, 0, 3, 0, 1, 10, 0]",34874
2,"[5, 5, 1, 2, 2, 2, 5, 6, 2, 18, 5, 8, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 1, 4, 2, 3, 2, 3, 13, 4, 4, 2, 2, 3, 2, 8, 1, 29, 1, 2, 13, 3, 3, 7, 3, 3, 6, 1, 3, 9, 8, 1, 5, 3, 4, 2, 6, 4, 9, 3, 2, 5, 2, 3, 4, 2, 6, 4, 2, 1, 3, 6, 0]","[-36, 77, 66, 27, 16, 34, -45, -61, 23, -168, 47, -82, 61, 29, 15, 36, 38, 79, 2, 33, 20, 92, 35, 96, 2, 15, 20, 84, 39, -160, -3, -27, 12, 47, 68, 7, 144, 68, -464, 34, 54, -206, 27, 17, -119, 16, 49, -92, 26, 34, -99, -33, 4, 11, -2, -21, 46, -69, -30, -130, -13, 4, -30, 76, 33, 36, -9, -50, -5, 65, 8, 46, -3, 39]","[511, 603, 204, 253, 259, 296, 561, 647, 308, 1768, 576, 778, 266, 282, 283, 299, 244, 189, 336, 268, 273, 473, 310, 219, 467, 304, 389, 278, 366, 1273, 482, 445, 255, 316, 371, 260, 951, 182, 2752, 138, 232, 1211, 388, 383, 703, 393, 354, 651, 147, 319, 901, 797, 152, 593, 375, 380, 249, 614, 481, 948, 335, 221, 585, 265, 378, 436, 282, 609, 408, 302, 173, 390, 660, 106]","[4, 4, 2, 2, 1, 4, 4, 6, 5, 13, 6, 12, 4, 3, 0, 3, 0, 0, 1, 4, 4, 2, 1, 2, 2, 2, 3, 3, 3, 19, 3, 6, 1, 3, 5, 2, 6, 2, 37, 2, 2, 6, 3, 2, 8, 5, 4, 1, 1, 3, 7, 8, 1, 3, 7, 7, 3, 5, 5, 5, 2, 2, 3, 3, 4, 5, 0, 4, 6, 5, 1, 9, 9, 0]",34856
3,"[5, 6, 2, 2, 2, 2, 5, 6, 3, 17, 5, 7, 2, 2, 2, 2, 2, 1, 3, 2, 2, 4, 3, 2, 4, 3, 3, 2, 3, 12, 4, 4, 2, 3, 3, 2, 9, 1, 27, 1, 2, 12, 3, 3, 7, 3, 3, 6, 1, 3, 9, 7, 1, 5, 3, 3, 2, 6, 4, 9, 3, 2, 5, 2, 3, 4, 2, 6, 4, 3, 1, 3, 6, 1]","[-56, 108, 122, 37, 27, 47, -66, -77, 37, -242, 65, -108, 85, 45, 46, 48, 54, 117, 8, 51, 28, 149, 38, 129, 9, 19, 21, 110, 59, -225, 1, -53, 6, 62, 88, 18, 217, 93, -686, 54, 76, -282, 47, 38, -165, 31, 67, -150, 49, 55, -141, -41, 7, 2, -12, -40, 60, -99, -40, -163, -17, 6, -39, 86, 35, 44, -29, -72, -17, 93, 24, 58, -15, 59]","[492, 635, 257, 260, 268, 310, 542, 630, 323, 1697, 589, 755, 292, 297, 312, 309, 258, 227, 342, 285, 281, 531, 312, 252, 473, 310, 391, 302, 382, 1208, 485, 420, 249, 325, 388, 268, 1026, 208, 2528, 157, 253, 1132, 406, 405, 655, 409, 370, 592, 169, 339, 859, 789, 156, 584, 364, 361, 260, 585, 468, 916, 330, 225, 576, 274, 376, 445, 263, 584, 393, 330, 186, 403, 650, 125]","[4, 5, 5, 5, 4, 1, 3, 7, 2, 14, 10, 4, 0, 3, 4, 4, 4, 1, 3, 3, 2, 3, 4, 2, 5, 1, 2, 4, 7, 12, 5, 3, 2, 9, 6, 5, 7, 0, 29, 2, 3, 15, 5, 2, 9, 2, 5, 7, 2, 4, 9, 7, 0, 5, 4, 3, 5, 5, 7, 8, 4, 0, 5, 3, 7, 3, 1, 9, 7, 3, 4, 2, 4, 2]",34808
4,"[4, 6, 2, 2, 2, 3, 5, 6, 3, 16, 5, 7, 2, 2, 3, 3, 2, 2, 3, 2, 2, 5, 3, 2, 4, 3, 3, 3, 3, 12, 4, 4, 2, 3, 3, 2, 10, 2, 25, 1, 2, 11, 4, 4, 6, 4, 3, 5, 1, 3, 8, 7, 1, 5, 3, 3, 2, 5, 4, 9, 3, 2, 5, 2, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-83, 129, 167, 69, 30, 58, -86, -91, 46, -314, 90, -144, 84, 83, 54, 52, 76, 168, 20, 55, 24, 185, 50, 145, 23, 12, 23, 139, 66, -283, -4, -54, -2, 83, 106, 15, 238, 127, -873, 76, 117, -342, 63, 49, -197, 54, 102, -180, 59, 65, -202, -48, 2, 12, -10, -45, 90, -116, -67, -206, -18, 19, -55, 108, 43, 58, -34, -94, -38, 107, 32, 58, -18, 73]","[463, 654, 300, 291, 271, 321, 520, 617, 334, 1624, 607, 719, 291, 334, 321, 313, 277, 277, 355, 288, 276, 566, 326, 266, 487, 305, 390, 332, 389, 1149, 477, 417, 243, 349, 405, 266, 1042, 241, 2343, 177, 291, 1073, 421, 418, 623, 434, 404, 564, 179, 349, 796, 782, 150, 593, 367, 354, 289, 566, 437, 872, 324, 239, 562, 296, 382, 458, 258, 565, 372, 346, 195, 405, 638, 140]","[6, 8, 4, 3, 2, 3, 7, 5, 1, 17, 12, 7, 2, 3, 2, 3, 5, 3, 2, 3, 3, 6, 1, 4, 4, 1, 6, 2, 3, 13, 7, 6, 0, 0, 4, 1, 15, 3, 23, 3, 5, 10, 5, 2, 6, 2, 4, 3, 1, 3, 10, 7, 2, 6, 2, 5, 3, 7, 8, 10, 8, 1, 3, 2, 5, 5, 2, 2, 3, 1, 0, 2, 15, 0]",34765
5,"[4, 6, 3, 2, 2, 3, 5, 6, 3, 16, 6, 7, 2, 3, 3, 3, 2, 2, 3, 2, 2, 5, 3, 2, 4, 3, 3, 3, 3, 11, 4, 4, 2, 3, 4, 2, 10, 2, 23, 1, 2, 10, 4, 4, 6, 4, 4, 5, 1, 3, 7, 7, 1, 5, 3, 3, 2, 5, 4, 8, 3, 2, 5, 2, 3, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-105, 154, 185, 85, 38, 87, -94, -122, 57, -380, 107, -165, 90, 99, 57, 61, 101, 198, 22, 62, 27, 218, 69, 183, 36, 14, 31, 157, 82, -346, 11, -75, 23, 94, 115, 28, 285, 138, -1047, 100, 147, -395, 61, 45, -233, 72, 110, -212, 68, 93, -248, -63, 4, 11, -15, -53, 121, -146, -90, -261, -17, 32, -60, 136, 65, 68, -47, -115, -44, 113, 36, 62, -15, 90]","[443, 672, 315, 308, 279, 351, 507, 584, 347, 1560, 624, 702, 297, 348, 320, 322, 302, 305, 353, 293, 278, 598, 341, 304, 502, 300, 401, 351, 402, 1091, 493, 396, 268, 358, 414, 277, 1087, 252, 2170, 202, 323, 1019, 418, 415, 586, 453, 415, 533, 185, 377, 749, 769, 152, 590, 362, 340, 320, 540, 414, 821, 325, 253, 556, 322, 405, 471, 245, 539, 367, 352, 197, 409, 637, 157]","[2, 13, 6, 1, 2, 2, 10, 8, 1, 14, 6, 3, 2, 5, 7, 3, 2, 4, 7, 4, 3, 6, 7, 2, 2, 10, 0, 2, 6, 6, 3, 4, 2, 5, 4, 4, 12, 2, 22, 0, 0, 11, 5, 3, 7, 3, 1, 4, 4, 3, 8, 5, 1, 7, 3, 9, 2, 1, 4, 4, 3, 1, 6, 4, 2, 1, 2, 10, 2, 3, 3, 4, 10, 1]",34733
6,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 15, 6, 7, 2, 3, 3, 3, 3, 3, 3, 2, 2, 5, 3, 3, 5, 3, 4, 3, 4, 10, 4, 3, 2, 3, 4, 2, 10, 2, 21, 2, 3, 10, 4, 4, 5, 4, 4, 5, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 8, 3, 2, 5, 3, 4, 4, 2, 5, 3, 3, 1, 4, 6, 1]","[-116, 159, 207, 95, 42, 103, -90, -136, 65, -447, 130, -175, 103, 127, 66, 80, 115, 201, 1, 82, 29, 248, 72, 198, 44, 20, 38, 191, 105, -395, 26, -91, 26, 121, 131, 33, 292, 164, -1202, 114, 165, -448, 81, 57, -265, 71, 131, -251, 84, 107, -290, -82, 4, 9, -20, -65, 145, -165, -98, -296, -29, 38, -82, 150, 69, 78, -52, -112, -58, 130, 51, 69, -7, 105]","[433, 677, 332, 318, 281, 368, 508, 567, 355, 1486, 648, 694, 310, 375, 330, 343, 316, 310, 328, 311, 280, 623, 345, 319, 509, 305, 404, 386, 425, 1043, 507, 378, 270, 384, 430, 282, 1093, 274, 2010, 217, 339, 964, 439, 427, 553, 453, 436, 493, 199, 389, 707, 746, 152, 587, 358, 330, 344, 521, 408, 786, 312, 259, 532, 337, 412, 475, 241, 543, 354, 370, 211, 416, 642, 172]","[3, 6, 8, 3, 4, 2, 8, 8, 3, 22, 5, 5, 2, 4, 2, 1, 3, 1, 7, 4, 2, 10, 2, 3, 6, 4, 8, 2, 4, 9, 5, 5, 3, 4, 4, 2, 11, 6, 26, 1, 5, 12, 3, 4, 6, 3, 4, 6, 3, 5, 7, 11, 1, 6, 2, 1, 3, 5, 2, 8, 4, 2, 7, 2, 1, 10, 1, 4, 2, 2, 2, 4, 9, 1]",34681
7,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 14, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 2, 6, 3, 3, 5, 3, 4, 3, 4, 10, 5, 3, 2, 3, 4, 2, 10, 2, 20, 2, 3, 9, 4, 4, 5, 4, 4, 4, 1, 3, 7, 7, 1, 5, 3, 3, 3, 5, 4, 7, 3, 2, 5, 3, 4, 4, 2, 5, 3, 3, 2, 4, 6, 1]","[-120, 181, 228, 102, 48, 100, -90, -156, 67, -522, 140, -215, 123, 130, 72, 91, 122, 228, -5, 106, 43, 280, 88, 211, 44, 24, 41, 208, 119, -446, 14, -109, 25, 149, 145, 33, 300, 189, -1350, 123, 177, -483, 84, 70, -298, 90, 157, -286, 98, 114, -330, -82, 8, 7, -17, -63, 169, -185, -99, -341, -34, 43, -75, 169, 98, 87, -53, -114, -48, 133, 58, 83, -10, 112]","[430, 698, 352, 324, 287, 365, 512, 546, 354, 1397, 655, 655, 330, 373, 338, 352, 322, 335, 322, 329, 293, 653, 356, 328, 509, 311, 407, 405, 441, 991, 499, 361, 268, 410, 444, 283, 1094, 299, 1859, 224, 351, 926, 442, 438, 520, 472, 462, 458, 211, 393, 667, 740, 157, 582, 359, 324, 369, 500, 403, 741, 308, 264, 540, 354, 441, 484, 239, 535, 364, 369, 219, 431, 638, 178]","[3, 7, 4, 4, 2, 3, 1, 6, 6, 28, 9, 5, 3, 8, 1, 5, 4, 5, 3, 9, 3, 8, 8, 7, 5, 1, 4, 1, 2, 11, 1, 2, 3, 5, 4, 1, 17, 2, 23, 4, 3, 12, 4, 6, 5, 4, 4, 4, 3, 6, 7, 13, 0, 8, 5, 11, 2, 6, 8, 7, 2, 2, 4, 5, 4, 4, 3, 11, 3, 7, 1, 3, 7, 2]",34590
8,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 2, 6, 3, 3, 5, 3, 4, 4, 4, 9, 4, 3, 2, 4, 4, 2, 10, 2, 18, 2, 3, 9, 4, 4, 5, 4, 4, 4, 2, 3, 6, 7, 1, 5, 3, 3, 3, 5, 4, 7, 3, 2, 5, 3, 4, 4, 2, 5, 3, 3, 2, 4, 6, 1]","[-128, 183, 240, 115, 44, 120, -99, -177, 73, -586, 146, -241, 140, 135, 75, 99, 141, 231, -10, 124, 44, 306, 96, 228, 40, 29, 43, 250, 120, -493, 27, -110, 23, 156, 158, 33, 334, 202, -1466, 142, 187, -521, 94, 84, -330, 98, 176, -309, 114, 127, -348, -115, 5, 12, -30, -59, 182, -202, -100, -364, -37, 30, -85, 189, 108, 98, -56, -125, -41, 145, 69, 98, -2, 121]","[424, 697, 360, 338, 283, 380, 501, 525, 361, 1330, 659, 626, 342, 378, 342, 360, 343, 334, 314, 343, 292, 676, 364, 344, 505, 315, 409, 449, 441, 945, 509, 360, 266, 416, 457, 281, 1126, 309, 1736, 243, 360, 881, 451, 449, 488, 479, 479, 431, 225, 404, 647, 708, 154, 583, 347, 328, 377, 484, 404, 720, 307, 249, 530, 373, 451, 498, 233, 524, 372, 380, 231, 446, 645, 187]","[2, 9, 7, 2, 2, 8, 7, 5, 2, 16, 8, 9, 8, 3, 2, 3, 1, 7, 6, 7, 4, 9, 3, 4, 5, 4, 4, 2, 5, 8, 7, 3, 2, 5, 4, 4, 12, 5, 25, 2, 4, 16, 5, 7, 5, 5, 6, 8, 4, 5, 8, 6, 1, 9, 2, 3, 8, 4, 2, 5, 1, 4, 5, 4, 4, 1, 5, 5, 2, 4, 1, 4, 7, 1]",34508
9,"[4, 6, 3, 3, 2, 3, 5, 5, 3, 13, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 2, 6, 3, 3, 5, 3, 4, 4, 4, 9, 5, 3, 2, 4, 4, 2, 11, 3, 17, 2, 3, 8, 4, 4, 4, 4, 4, 4, 2, 4, 6, 7, 1, 5, 3, 3, 3, 4, 4, 7, 3, 2, 5, 3, 4, 4, 2, 5, 3, 3, 2, 4, 6, 1]","[-138, 198, 257, 119, 52, 121, -117, -182, 67, -631, 152, -247, 155, 147, 71, 111, 145, 263, -7, 135, 52, 336, 104, 245, 30, 15, 56, 264, 115, -562, 28, -115, 34, 163, 169, 52, 365, 207, -1591, 157, 202, -565, 119, 93, -356, 104, 181, -318, 125, 138, -375, -134, 12, 6, -16, -59, 197, -216, -109, -403, -45, 35, -90, 184, 130, 111, -57, -126, -41, 155, 80, 106, 14, 123]","[415, 706, 376, 340, 288, 375, 481, 521, 354, 1285, 664, 617, 353, 386, 336, 372, 348, 363, 315, 354, 297, 701, 371, 362, 485, 301, 421, 465, 431, 875, 510, 355, 273, 423, 465, 294, 1155, 314, 1615, 259, 373, 830, 472, 458, 458, 480, 484, 424, 235, 411, 618, 685, 159, 570, 358, 324, 391, 470, 395, 677, 302, 250, 525, 366, 470, 512, 228, 521, 371, 391, 240, 456, 659, 188]","[3, 12, 4, 5, 5, 9, 7, 4, 4, 13, 7, 9, 7, 7, 5, 3, 2, 6, 5, 3, 5, 11, 4, 2, 15, 3, 5, 2, 9, 10, 5, 3, 6, 4, 7, 8, 13, 3, 13, 1, 5, 15, 8, 4, 8, 9, 4, 2, 3, 8, 8, 11, 3, 12, 6, 7, 4, 4, 4, 11, 0, 6, 5, 5, 7, 3, 6, 7, 4, 2, 4, 2, 8, 2]",34372
