0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-17, 36, 39, 13, 13, 34, -22, -40, 10, -103, 25, -48, 27, 19, 23, 17, 29, 28, -4, 21, 10, 55, 6, 46, -8, -1, 11, 41, 23, -94, 3, 9, -3, 27, 34, 10, 61, 31, -226, 20, 23, -65, 30, 1, -54, 13, 11, -50, 10, 19, -56, -10, 5, -2, -2, -13, 21, -33, -16, -52, 4, 14, -14, 39, 16, 19, -15, -31, -3, 13, -1, 14, -11, 21]"
2,"[-42, 54, 75, 22, 13, 59, -47, -57, 25, -175, 25, -75, 49, 56, 44, 29, 48, 72, -3, 49, 22, 96, 31, 85, -2, 0, 4, 83, 35, -186, 0, -5, 3, 52, 46, 13, 87, 58, -438, 28, 51, -148, 53, 10, -112, 38, 40, -96, 30, 30, -86, -35, 4, -6, 4, -19, 63, -63, -37, -81, -5, 24, -41, 53, 31, 40, -13, -56, -17, 41, 15, 35, -14, 34]"
3,"[-68, 85, 102, 40, 28, 88, -55, -104, 25, -255, 45, -127, 65, 81, 61, 47, 72, 104, 0, 81, 39, 131, 49, 125, 2, 10, 12, 96, 67, -265, -13, -13, -2, 78, 68, 17, 144, 93, -663, 41, 68, -212, 65, 27, -163, 53, 62, -129, 43, 52, -113, -48, 3, -17, -5, -30, 105, -87, -46, -155, -8, 36, -62, 73, 46, 48, -19, -78, -27, 56, 24, 51, 7, 49]"
4,"[-87, 97, 130, 51, 22, 103, -75, -134, 26, -338, 55, -145, 90, 103, 69, 67, 86, 141, -7, 95, 43, 161, 76, 137, 11, 18, 24, 123, 93, -331, -12, -29, 0, 103, 92, 17, 197, 112, -844, 53, 92, -292, 82, 55, -216, 80, 94, -159, 51, 59, -168, -63, 9, -20, -17, -28, 141, -103, -56, -213, -15, 36, -72, 76, 82, 75, -24, -99, -28, 71, 40, 53, 11, 73]"
5,"[-105, 116, 168, 60, 31, 120, -97, -162, 32, -407, 60, -164, 94, 135, 62, 67, 96, 157, 1, 110, 54, 209, 83, 158, 22, 30, 26, 139, 95, -368, 9, -38, 2, 124, 114, 19, 239, 133, -1004, 66, 113, -348, 100, 71, -256, 98, 105, -198, 73, 71, -194, -95, 7, -30, -28, -40, 156, -126, -67, -255, -20, 44, -86, 91, 85, 76, -27, -101, -19, 84, 54, 69, 14, 93]"
6,"[-131, 145, 183, 69, 49, 127, -103, -177, 37, -471, 59, -190, 117, 138, 61, 75, 101, 190, -7, 118, 60, 244, 92, 178, 31, 42, 26, 166, 108, -425, 16, -52, 1, 152, 119, 26, 269, 143, -1174, 94, 135, -394, 122, 72, -278, 102, 118, -229, 85, 77, -229, -107, 5, -13, -40, -50, 179, -149, -76, -274, -23, 56, -96, 112, 105, 74, -15, -119, -33, 104, 63, 84, 21, 105]"
7,"[-143, 139, 202, 74, 49, 134, -116, -180, 29, -543, 57, -216, 133, 149, 70, 89, 119, 215, -12, 131, 70, 276, 93, 201, 35, 51, 35, 196, 105, -463, 26, -57, 3, 171, 127, 37, 278, 164, -1302, 111, 155, -438, 117, 84, -314, 119, 128, -253, 91, 100, -258, -101, 15, -13, -28, -56, 206, -177, -89, -298, -27, 59, -103, 120, 107, 71, -21, -124, -35, 124, 64, 105, 14, 119]"
8,"[-164, 166, 240, 89, 55, 166, -123, -197, 40, -571, 57, -228, 151, 140, 65, 93, 127, 234, -11, 140, 84, 308, 109, 233, 32, 35, 38, 223, 117, -532, 38, -73, 17, 178, 144, 44, 291, 189, -1447, 123, 181, -503, 136, 86, -337, 128, 135, -274, 108, 116, -291, -126, 21, -23, -22, -61, 215, -186, -97, -335, -36, 61, -108, 138, 106, 75, -30, -134, -38, 134, 78, 114, 17, 132]"
9,"[-166, 166, 270, 89, 66, 162, -134, -206, 48, -638, 96, -256, 152, 143, 82, 111, 145, 240, -24, 164, 90, 330, 115, 246, 56, 31, 49, 243, 136, -582, 50, -75, 12, 172, 143, 44, 310, 205, -1571, 147, 187, -549, 145, 106, -356, 130, 135, -303, 125, 125, -325, -128, 16, -10, -29, -69, 238, -202, -101, -370, -34, 61, -121, 159, 117, 72, -28, -143, -32, 123, 78, 130, 37, 155]"
10,"[-175, 168, 278, 97, 60, 164, -134, -217, 66, -698, 99, -269, 173, 161, 88, 105, 160, 266, -4, 164, 97, 351, 135, 258, 45, 34, 65, 268, 153, -616, 42, -73, 17, 187, 151, 47, 328, 221, -1687, 169, 193, -589, 151, 111, -380, 119, 154, -312, 128, 135, -331, -150, 17, -12, -32, -66, 252, -213, -106, -384, -45, 68, -116, 161, 119, 93, -44, -162, -30, 140, 81, 129, 19, 158]"
11,"[-173, 182, 297, 103, 64, 170, -136, -224, 77, -739, 112, -293, 194, 180, 89, 105, 176, 258, 4, 167, 98, 377, 154, 266, 46, 29, 90, 282, 145, -656, 41, -75, 18, 196, 165, 48, 339, 223, -1793, 181, 210, -615, 158, 112, -399, 119, 175, -313, 150, 151, -353, -163, 19, -5, -33, -71, 259, -230, -108, -419, -41, 69, -126, 173, 120, 98, -49, -183, -36, 151, 78, 116, 36, 163]"
12,"[-179, 181, 297, 110, 78, 169, -142, -249, 85, -767, 107, -319, 208, 190, 93, 128, 193, 263, -1, 173, 118, 397, 160, 271, 60, 32, 85, 302, 167, -706, 50, -86, 2, 207, 158, 53, 360, 243, -1872, 195, 237, -632, 174, 112, -410, 150, 163, -329, 168, 144, -368, -191, 13, 14, -28, -80, 264, -246, -119, -439, -54, 75, -129, 181, 112, 101, -52, -199, -41, 179, 77, 125, 44, 170]"
13,"[-182, 190, 301, 102, 95, 195, -132, -261, 87, -809, 135, -332, 219, 196, 109, 132, 206, 270, -2, 179, 116, 419, 162, 273, 67, 34, 70, 305, 169, -749, 35, -94, 6, 197, 163, 66, 362, 268, -1950, 204, 245, -664, 186, 113, -425, 169, 177, -344, 180, 137, -398, -190, 15, 21, -37, -83, 282, -249, -128, -467, -52, 80, -118, 192, 123, 92, -58, -195, -29, 183, 85, 125, 35, 176]"
14,"[-184, 194, 308, 109, 100, 203, -127, -280, 81, -830, 139, -333, 233, 198, 113, 136, 207, 273, -3, 188, 118, 438, 161, 289, 58, 51, 90, 315, 171, -783, 39, -83, 2, 206, 174, 66, 356, 272, -2014, 213, 263, -686, 195, 116, -455, 170, 179, -368, 181, 131, -417, -202, 13, 21, -40, -75, 288, -256, -130, -487, -59, 88, -108, 202, 137, 113, -54, -211, -27, 194, 83, 122, 31, 184]"
15,"[-196, 209, 311, 118, 100, 208, -124, -285, 87, -871, 121, -342, 232, 215, 122, 144, 211, 284, 4, 197, 130, 434, 171, 307, 54, 53, 87, 330, 163, -805, 43, -95, -2, 214, 177, 62, 357, 282, -2075, 223, 281, -703, 200, 137, -473, 185, 208, -370, 179, 135, -424, -233, 8, 11, -50, -89, 298, -268, -137, -489, -74, 97, -116, 217, 153, 103, -56, -203, -14, 194, 74, 128, 46, 190]"
16,"[-204, 232, 322, 117, 101, 213, -139, -302, 86, -876, 122, -343, 248, 227, 121, 150, 217, 289, -3, 202, 127, 439, 172, 322, 57, 79, 86, 336, 168, -823, 44, -111, -1, 221, 187, 70, 379, 285, -2138, 224, 299, -717, 204, 124, -491, 188, 207, -367, 196, 141, -439, -250, 8, 22, -58, -96, 315, -287, -140, -516, -67, 99, -122, 224, 164, 116, -54, -210, -28, 201, 71, 118, 53, 189]"
17,"[-207, 245, 332, 111, 95, 207, -142, -291, 77, -889, 122, -351, 264, 220, 144, 156, 226, 294, -7, 207, 133, 468, 190, 333, 62, 87, 81, 340, 178, -848, 49, -119, -2, 229, 205, 71, 378, 313, -2183, 227, 300, -739, 200, 121, -495, 187, 201, -372, 193, 157, -449, -263, 14, 13, -65, -102, 322, -285, -139, -542, -65, 98, -113, 222, 156, 119, -57, -206, -32, 193, 74, 116, 34, 199]"
18,"[-212, 229, 361, 118, 106, 216, -141, -304, 90, -911, 123, -358, 266, 205, 134, 170, 236, 291, -12, 192, 149, 493, 187, 349, 67, 93, 86, 331, 179, -860, 41, -117, 0, 220, 193, 74, 402, 308, -2232, 240, 322, -758, 209, 132, -501, 197, 217, -365, 196, 160, -462, -284, 19, 4, -60, -101, 320, -295, -152, -565, -71, 102, -119, 229, 167, 116, -55, -206, -27, 208, 73, 121, 25, 202]"
19,"[-220, 243, 370, 128, 95, 229, -140, -311, 95, -931, 127, -356, 262, 198, 143, 173, 250, 305, -16, 190, 146, 512, 181, 348, 69, 96, 83, 342, 188, -882, 36, -112, 10, 237, 199, 63, 401, 306, -2280, 235, 343, -781, 223, 134, -516, 195, 230, -381, 210, 171, -468, -286, 22, 7, -54, -106, 332, -305, -152, -571, -81, 99, -137, 231, 162, 120, -52, -212, -30, 206, 77, 114, 33, 211]"
20,"[-231, 265, 374, 130, 102, 211, -140, -307, 102, -956, 142, -355, 278, 207, 148, 163, 251, 316, -22, 188, 142, 519, 180, 352, 85, 89, 85, 350, 191, -887, 51, -112, 3, 229, 204, 72, 409, 303, -2333, 248, 339, -794, 230, 133, -530, 202, 237, -386, 211, 170, -486, -287, 17, 3, -51, -107, 339, -312, -154, -573, -82, 98, -152, 224, 180, 122, -58, -227, -39, 216, 78, 123, 53, 217]"
21,"[-228, 262, 384, 136, 91, 208, -142, -321, 104, -966, 144, -367, 278, 220, 137, 161, 247, 320, -42, 190, 137, 528, 178, 353, 82, 94, 94, 358, 227, -883, 59, -123, -1, 243, 214, 76, 410, 304, -2380, 248, 339, -804, 229, 149, -539, 213, 247, -383, 209, 163, -481, -291, 23, -7, -45, -113, 344, -326, -142, -584, -91, 101, -168, 229, 185, 114, -56, -214, -32, 219, 78, 119, 60, 221]"
22,"[-234, 278, 384, 126, 92, 205, -144, -315, 107, -972, 170, -391, 282, 231, 133, 168, 257, 309, -34, 180, 135, 538, 176, 358, 76, 91, 98, 355, 233, -890, 55, -128, 13, 226, 221, 87, 419, 305, -2433, 261, 341, -831, 225, 165, -545, 225, 243, -386, 213, 167, -491, -297, 21, -11, -42, -113, 349, -339, -139, -593, -74, 106, -173, 239, 185, 107, -54, -226, -38, 230, 87, 121, 78, 222]"
23,"[-234, 290, 380, 132, 98, 205, -138, -322, 105, -1002, 176, -403, 284, 247, 135, 175, 269, 324, -48, 180, 132, 567, 170, 362, 79, 101, 97, 376, 224, -900, 42, -120, 16, 241, 231, 94, 403, 294, -2462, 274, 346, -849, 203, 176, -543, 228, 240, -391, 218, 176, -496, -306, 12, -13, -53, -122, 342, -337, -132, -609, -71, 112, -173, 259, 193, 109, -50, -241, -32, 224, 88, 120, 66, 232]"
24,"[-230, 277, 385, 132, 104, 212, -138, -333, 110, -1041, 185, -398, 302, 246, 136, 173, 284, 325, -43, 179, 131, 555, 167, 371, 96, 116, 97, 377, 228, -912, 52, -114, 15, 242, 233, 97, 391, 299, -2477, 258, 355, -862, 196, 162, -550, 237, 251, -392, 215, 171, -498, -292, 21, -17, -47, -128, 358, -344, -139, -610, -67, 121, -186, 258, 190, 108, -55, -249, -43, 229, 99, 108, 72, 239]"
25,"[-242, 270, 387, 143, 106, 203, -138, -341, 112, -1054, 191, -412, 314, 247, 138, 170, 283, 337, -54, 182, 135, 540, 152, 395, 83, 119, 94, 387, 236, -933, 40, -120, 19, 251, 224, 103, 386, 301, -2492, 266, 364, -886, 200, 161, -554, 218, 256, -388, 221, 187, -500, -284, 22, -6, -38, -130, 369, -337, -140, -598, -64, 125, -193, 255, 191, 103, -61, -251, -33, 237, 103, 113, 65, 245]"
26,"[-243, 276, 388, 144, 109, 202, -136, -336, 121, -1075, 179, -400, 320, 246, 135, 166, 278, 339, -55, 191, 135, 539, 162, 398, 83, 118, 106, 391, 243, -929, 45, -117, 16, 236, 218, 95, 399, 323, -2515, 267, 366, -906, 209, 157, -565, 220, 256, -402, 229, 200, -495, -284, 24, -10, -32, -133, 367, -338, -145, -610, -69, 121, -210, 254, 205, 98, -70, -256, -40, 241, 102, 125, 81, 248]"
27,"[-231, 284, 389, 139, 109, 212, -137, -337, 127, -1090, 167, -409, 335, 246, 141, 152, 283, 351, -54, 199, 129, 554, 167, 391, 78, 114, 82, 380, 237, -935, 57, -103, 18, 246, 209, 95, 396, 320, -2513, 267, 368, -922, 192, 152, -571, 218, 268, -399, 232, 205, -494, -285, 27, -10, -41, -135, 377, -343, -147, -622, -65, 135, -206, 261, 198, 106, -67, -266, -43, 243, 112, 115, 93, 249]"
28,"[-222, 286, 393, 144, 105, 198, -139, -351, 122, -1084, 183, -423, 341, 237, 165, 149, 272, 353, -47, 208, 128, 547, 178, 393, 76, 116, 86, 389, 227, -929, 57, -100, 16, 246, 200, 103, 397, 315, -2526, 272, 384, -927, 190, 145, -574, 218, 278, -401, 232, 203, -511, -301, 30, 5, -47, -136, 381, -350, -145, -623, -69, 136, -205, 270, 197, 104, -62, -252, -40, 232, 113, 113, 90, 241]"
29,"[-220, 286, 391, 150, 100, 206, -149, -343, 115, -1094, 188, -414, 349, 239, 173, 143, 270, 361, -41, 205, 132, 536, 179, 387, 104, 114, 88, 380, 241, -932, 56, -111, 23, 240, 203, 102, 402, 296, -2557, 278, 391, -930, 188, 152, -577, 216, 271, -404, 237, 209, -517, -309, 36, 1, -39, -135, 384, -351, -137, -632, -71, 143, -213, 268, 199, 96, -66, -249, -35, 227, 107, 120, 101, 243]"
30,"[-225, 274, 393, 138, 111, 215, -155, -348, 116, -1096, 187, -408, 336, 243, 164, 156, 268, 364, -52, 209, 133, 545, 186, 384, 106, 115, 81, 374, 250, -935, 55, -107, 26, 237, 209, 101, 404, 295, -2591, 284, 409, -941, 185, 165, -590, 231, 291, -404, 241, 209, -524, -301, 38, -5, -29, -141, 382, -347, -146, -638, -69, 151, -218, 264, 196, 110, -74, -247, -15, 215, 107, 122, 86, 245]"
31,"[-212, 269, 413, 128, 117, 221, -160, -358, 109, -1102, 185, -400, 345, 238, 166, 157, 275, 362, -47, 193, 141, 544, 181, 379, 120, 125, 77, 360, 255, -939, 50, -117, 31, 244, 201, 106, 419, 295, -2610, 290, 419, -941, 187, 173, -593, 232, 300, -414, 239, 198, -526, -295, 35, -9, -36, -138, 382, -342, -148, -645, -66, 160, -220, 254, 205, 108, -76, -254, -22, 221, 102, 117, 90, 252]"
32,"[-217, 269, 415, 126, 114, 215, -171, -351, 102, -1111, 175, -394, 342, 236, 159, 160, 277, 351, -53, 211, 144, 539, 178, 380, 113, 137, 74, 361, 254, -949, 57, -119, 33, 242, 200, 109, 445, 295, -2621, 287, 423, -950, 189, 166, -599, 234, 309, -408, 253, 205, -531, -301, 29, 17, -32, -132, 385, -335, -150, -645, -73, 169, -230, 253, 192, 118, -78, -253, -18, 219, 113, 113, 71, 263]"
33,"[-221, 259, 417, 128, 119, 223, -167, -350, 95, -1110, 182, -380, 342, 226, 160, 161, 272, 354, -51, 223, 151, 540, 192, 393, 100, 132, 73, 362, 261, -950, 52, -119, 25, 241, 193, 105, 429, 315, -2644, 294, 423, -950, 193, 165, -603, 232, 300, -408, 259, 204, -537, -304, 27, 20, -39, -133, 394, -347, -143, -648, -60, 173, -229, 257, 181, 128, -76, -262, -19, 223, 107, 115, 65, 265]"
34,"[-226, 258, 410, 130, 113, 229, -157, -351, 98, -1127, 184, -377, 346, 224, 155, 166, 280, 356, -45, 214, 154, 537, 200, 393, 100, 132, 74, 351, 255, -955, 50, -119, 26, 247, 204, 112, 412, 318, -2663, 298, 431, -958, 186, 172, -605, 242, 313, -416, 258, 204, -535, -306, 26, 23, -40, -135, 405, -341, -138, -656, -65, 177, -233, 258, 179, 126, -82, -263, -19, 228, 106, 116, 63, 273]"
35,"[-234, 262, 413, 128, 111, 236, -152, -360, 108, -1136, 169, -385, 362, 230, 154, 154, 288, 362, -40, 216, 148, 536, 191, 396, 100, 136, 74, 344, 246, -950, 70, -123, 21, 254, 214, 122, 412, 317, -2668, 307, 438, -965, 183, 169, -605, 241, 320, -420, 258, 206, -544, -312, 23, 19, -53, -132, 401, -347, -135, -651, -69, 170, -223, 261, 187, 130, -88, -259, -21, 220, 112, 119, 61, 273]"
36,"[-235, 283, 414, 125, 112, 239, -164, -361, 109, -1136, 168, -388, 362, 232, 155, 160, 271, 365, -42, 208, 150, 542, 198, 397, 103, 144, 75, 334, 264, -957, 75, -122, 18, 261, 212, 119, 407, 325, -2680, 308, 434, -963, 183, 158, -608, 233, 326, -422, 269, 216, -539, -317, 24, 25, -56, -130, 408, -357, -133, -653, -68, 172, -228, 263, 184, 128, -83, -257, -35, 215, 115, 120, 54, 272]"
37,"[-252, 279, 428, 120, 117, 233, -152, -365, 107, -1130, 173, -378, 361, 226, 153, 161, 275, 368, -36, 211, 147, 536, 199, 411, 109, 151, 81, 338, 262, -964, 73, -138, 15, 249, 214, 122, 385, 331, -2687, 312, 432, -969, 181, 161, -605, 230, 312, -417, 272, 213, -544, -312, 24, 26, -70, -129, 425, -356, -138, -657, -65, 166, -222, 249, 195, 145, -85, -259, -36, 216, 113, 125, 58, 276]"
38,"[-252, 289, 440, 117, 104, 221, -151, -368, 113, -1133, 167, -369, 352, 215, 146, 166, 274, 364, -28, 220, 146, 539, 191, 410, 119, 146, 72, 347, 260, -966, 77, -136, 12, 248, 213, 116, 387, 327, -2677, 307, 430, -973, 188, 148, -604, 214, 318, -421, 281, 212, -552, -311, 25, 26, -67, -130, 429, -361, -132, -649, -67, 184, -223, 263, 177, 147, -86, -266, -32, 225, 120, 119, 68, 275]"
39,"[-247, 288, 446, 118, 100, 222, -147, -363, 106, -1141, 159, -370, 360, 212, 148, 168, 283, 367, -26, 213, 145, 521, 208, 407, 129, 144, 65, 360, 270, -991, 69, -130, 16, 250, 218, 128, 372, 333, -2684, 319, 427, -971, 183, 141, -606, 227, 312, -423, 282, 206, -557, -322, 27, 25, -63, -127, 442, -360, -128, -653, -68, 184, -223, 254, 175, 158, -82, -261, -42, 231, 123, 111, 54, 279]"
