c1,c2,dis,nm
9,36,1700,-78
38,45,1729,-73
38,64,1604,-72
29,36,1858,-66
38,71,2226,-63
38,72,1958,-63
38,46,806,-60
38,63,1181,-58
38,69,1261,-58
38,43,2111,-57
38,56,1518,-55
9,21,469,-53
38,62,279,-50
38,49,1180,-49
38,40,1936,-48
38,59,123,-47
38,53,2382,-46
38,42,1799,-42
38,60,333,-42
29,33,635,-41
53,56,976,-41
38,51,2197,-40
29,51,850,-39
29,63,553,-39
36,73,1822,-38
26,36,2148,-37
9,20,1230,-35
9,12,117,-34
9,45,80,-34
29,65,669,-34
29,71,1053,-34
9,24,282,-33
9,40,215,-33
29,30,1052,-33
34,36,1920,-33
38,65,1566,-33
9,33,395,-32
29,42,862,-32
17,36,2316,-30
38,50,50,-30
29,45,997,-29
29,49,410,-29
41,48,965,-29
15,36,2299,-28
29,40,1044,-28
41,57,203,-28
41,58,606,-28
42,56,506,-28
11,40,944,-27
21,39,1398,-27
59,65,1517,-27
9,28,251,-26
9,69,588,-26
29,37,758,-26
41,54,95,-26
43,72,504,-26
59,64,1538,-26
9,43,592,-25
9,46,1734,-25
9,51,988,-25
21,54,1943,-25
29,46,1817,-25
29,56,1055,-25
31,36,2508,-25
36,46,137,-25
9,27,587,-24
11,38,1238,-24
11,46,1622,-24
11,49,195,-24
20,39,286,-24
29,34,800,-24
29,64,488,-24
36,39,1413,-24
36,56,1374,-24
36,72,1899,-24
42,46,1869,-24
50,56,1523,-24
59,63,1131,-24
7,43,1909,-23
9,23,317,-23
11,28,814,-23
29,59,1275,-23
36,45,1662,-23
44,72,1163,-23
51,64,679,-23
59,72,1924,-23
1,2,269,-22
7,58,380,-22
9,48,1122,-22
9,57,1628,-22
9,63,586,-22
9,73,1170,-22
11,17,1043,-22
24,61,2045,-22
41,53,2104,-22
41,73,872,-22
6,39,346,-21
6,67,241,-21
9,32,717,-21
9,37,465,-21
9,49,674,-21
13,17,441,-21
13,21,625,-21
14,71,1453,-21
15,42,491,-21
19,36,1053,-21
36,69,1535,-21
41,56,1309,-21
41,69,957,-21
48,49,541,-21
51,56,1308,-21
1,63,955,-20
6,40,1183,-20
7,8,1067,-20
7,39,768,-20
9,22,707,-20
9,26,585,-20
9,56,344,-20
9,58,1773,-20
11,25,1324,-20
12,22,794,-20
34,42,113,-20
41,49,872,-20
41,68,887,-20
1,33,769,-19
6,58,1442,-19
7,35,217,-19
8,69,206,-19
9,16,432,-19
9,54,1478,-19
9,64,473,-19
9,72,234,-19
11,65,538,-19
13,43,339,-19
18,27,412,-19
29,69,434,-19
29,72,1091,-19
30,48,1216,-19
38,52,1677,-19
38,70,2358,-19
40,46,1941,-19
43,56,934,-19
44,56,1512,-19
57,63,1073,-19
59,69,1200,-19
72,73,1349,-19
0,26,2102,-18
1,28,257,-18
1,48,1335,-18
3,42,965,-18
7,69,1062,-18
8,29,240,-18
9,15,603,-18
9,35,1719,-18
