0,"[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]"
1,"[579, 499, 161, 234, 254, 267, 585, 673, 304, 1863, 545, 851, 200, 311, 283, 257, 205, 134, 338, 234, 243, 393, 273, 177, 491, 276, 368, 201, 344, 1441, 493, 457, 241, 263, 323, 246, 773, 125, 3178, 99, 183, 1342, 393, 406, 850, 391, 309, 729, 124, 288, 1021, 837, 177, 579, 371, 435, 222, 676, 516, 1089, 337, 226, 611, 191, 328, 422, 270, 654, 392, 246, 167, 336, 658, 66]"
2,"[595, 488, 184, 286, 252, 280, 548, 597, 316, 1768, 602, 764, 205, 434, 303, 260, 253, 162, 336, 237, 221, 404, 264, 214, 587, 248, 347, 218, 386, 1410, 502, 473, 222, 271, 344, 230, 749, 169, 3022, 96, 228, 1219, 420, 451, 850, 417, 334, 721, 123, 295, 1080, 856, 273, 602, 349, 475, 234, 647, 489, 1049, 327, 236, 573, 209, 372, 433, 279, 638, 360, 230, 186, 331, 668, 63]"
3,"[583, 477, 240, 334, 262, 297, 531, 537, 329, 1685, 683, 719, 189, 605, 304, 243, 278, 218, 370, 288, 220, 419, 250, 254, 587, 274, 331, 254, 465, 1272, 497, 522, 221, 265, 413, 227, 698, 231, 2743, 114, 279, 1069, 469, 464, 926, 493, 308, 733, 102, 318, 1090, 939, 363, 632, 301, 570, 316, 560, 458, 1080, 294, 257, 561, 237, 414, 410, 270, 584, 333, 270, 161, 316, 646, 51]"
4,"[601, 449, 341, 316, 282, 320, 473, 458, 327, 1501, 670, 692, 224, 754, 335, 271, 280, 267, 414, 333, 198, 445, 264, 316, 542, 326, 302, 325, 543, 1152, 521, 511, 272, 256, 426, 191, 702, 294, 2442, 124, 398, 965, 555, 449, 1028, 477, 407, 790, 105, 337, 1090, 997, 475, 647, 290, 662, 389, 491, 429, 1095, 311, 246, 556, 254, 440, 401, 238, 530, 287, 255, 144, 308, 638, 52]"
5,"[598, 454, 464, 346, 320, 361, 382, 419, 288, 1315, 699, 647, 209, 892, 319, 307, 321, 282, 469, 356, 185, 436, 259, 320, 590, 297, 691, 392, 648, 1009, 577, 523, 336, 331, 532, 153, 613, 311, 2134, 122, 473, 809, 669, 422, 1165, 475, 506, 694, 94, 398, 1065, 1071, 570, 671, 278, 708, 432, 399, 393, 1081, 302, 258, 550, 306, 427, 400, 243, 451, 251, 215, 141, 281, 626, 50]"
6,"[659, 472, 499, 423, 327, 399, 335, 331, 284, 1253, 680, 572, 247, 1003, 351, 349, 335, 294, 504, 334, 166, 469, 305, 298, 585, 209, 1012, 475, 749, 941, 526, 540, 438, 394, 623, 128, 628, 362, 1933, 100, 531, 691, 740, 436, 1007, 615, 552, 794, 104, 369, 1101, 1049, 666, 644, 247, 725, 455, 357, 376, 1035, 290, 263, 540, 296, 386, 404, 288, 408, 208, 194, 124, 265, 618, 44]"
7,"[681, 459, 591, 438, 369, 423, 301, 252, 239, 1181, 717, 606, 285, 1065, 371, 422, 389, 287, 580, 363, 136, 397, 310, 283, 650, 178, 1271, 467, 869, 904, 561, 612, 523, 428, 705, 98, 565, 322, 1684, 101, 602, 637, 882, 444, 872, 711, 653, 873, 100, 395, 1010, 1168, 656, 647, 206, 753, 440, 294, 393, 948, 276, 259, 552, 378, 360, 370, 288, 378, 179, 181, 106, 263, 613, 38]"
8,"[618, 512, 615, 518, 341, 404, 282, 261, 274, 1191, 788, 569, 490, 1012, 429, 419, 402, 378, 565, 328, 88, 430, 338, 290, 658, 197, 1362, 490, 961, 922, 632, 573, 591, 506, 731, 102, 585, 383, 1492, 179, 660, 581, 880, 392, 825, 730, 651, 986, 87, 388, 1119, 1154, 610, 601, 198, 825, 490, 259, 342, 920, 279, 285, 528, 388, 350, 326, 288, 363, 159, 179, 102, 197, 557, 35]"
9,"[600, 556, 711, 535, 348, 453, 282, 193, 282, 1095, 785, 514, 614, 1110, 461, 463, 404, 410, 654, 330, 102, 371, 349, 260, 678, 179, 1254, 806, 1065, 905, 705, 596, 595, 582, 832, 105, 500, 400, 1502, 184, 703, 519, 848, 382, 744, 755, 675, 1057, 100, 440, 1028, 1073, 594, 706, 147, 834, 474, 264, 307, 935, 294, 249, 475, 359, 366, 370, 301, 320, 148, 171, 100, 169, 588, 29]"
10,"[635, 565, 688, 546, 381, 491, 275, 181, 287, 1112, 736, 503, 760, 1108, 503, 491, 445, 497, 625, 303, 108, 477, 306, 409, 731, 186, 1131, 1025, 1018, 912, 737, 580, 632, 722, 792, 135, 512, 405, 1333, 176, 767, 510, 832, 572, 743, 745, 596, 1035, 92, 501, 1021, 972, 612, 708, 152, 921, 459, 267, 259, 930, 300, 229, 481, 324, 358, 360, 310, 255, 144, 159, 112, 160, 605, 18]"
11,"[631, 512, 675, 536, 391, 558, 224, 203, 304, 1131, 832, 421, 824, 995, 544, 405, 444, 428, 643, 371, 125, 493, 351, 485, 623, 198, 1016, 1267, 999, 898, 728, 700, 635, 814, 768, 116, 585, 354, 1439, 173, 798, 472, 832, 570, 961, 577, 615, 1102, 97, 488, 1151, 1057, 630, 677, 135, 896, 492, 275, 216, 922, 258, 234, 465, 314, 385, 386, 318, 315, 144, 158, 87, 169, 573, 12]"
