0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[0, 10, -1, -3, -8, 14, -17, -21, -1, -2, -8, -3, 7, 2, -8, -4, 3, -1, 5, 6, 8, -7, 3, -3, 9, 2, -2, -1, 5, 7, 5, -17, 7, 10, 1, -4, 10, -12, 10, -1, -7, -13, -7, 9, 0, -10, -6, -7, -4, 4, 15, -3, 2, -4, 4, 7, -1, -4, 4, 2, -8, 3, -11, -1, 14, 9, -7, 3, -4, 1, 9, -4, 15, 0]"
2,"[-27, -7, -2, -9, -15, 28, -9, -47, 17, 20, -28, -34, 20, 5, -24, -14, 2, -11, 4, -5, 4, -5, -15, -7, 23, 2, -14, 4, 14, -6, 1, -23, 15, 8, 25, -5, 5, -15, -29, 2, 0, -72, 1, 6, 31, -9, 2, -1, -1, 22, 58, 22, 2, -16, 5, 27, -3, -6, -15, 19, -24, -10, 16, 2, 16, 27, -2, 11, -5, 27, 19, 2, 1, 0]"
3,"[-38, 29, -8, -9, -7, 47, -59, -73, -1, 28, -21, -55, 13, -12, -25, -6, 15, -16, 34, -5, 0, -6, -24, -5, 10, -6, -26, 1, 23, 42, -18, -22, 10, 23, 48, -32, 42, -17, -99, 2, 10, -142, -45, 29, 71, 11, 3, -28, -9, 9, 12, 28, 8, -7, 30, 59, 13, 1, -10, 6, -35, -1, 0, 22, 44, 20, 39, 1, -10, 63, 17, 9, 15, -10]"
4,"[-25, 57, 5, -3, -14, 41, -74, -83, 21, 35, 3, -95, 36, 22, -11, -7, -12, -8, 15, 0, -3, -1, -43, -22, 21, 4, -41, -3, 26, 8, -22, 25, 5, 34, 55, -57, 68, 16, -246, 6, 25, -213, -25, 33, 82, 1, -3, -59, -16, 27, -43, 16, 2, -5, 26, 68, 34, -28, -16, 113, -47, 16, 16, 27, 76, 70, 45, -5, -42, 75, 9, 39, -21, -10]"
5,"[-24, 38, 5, -2, 5, 60, -67, -140, 18, 88, 44, -168, 35, 2, -18, -17, -4, -18, 39, 8, -35, 7, -47, -27, -12, 27, -28, -21, -14, -22, 8, -4, 29, 69, 87, -47, 79, 10, -335, -13, 42, -298, -42, 4, 103, 57, 24, -6, -28, 13, 12, 16, 24, 15, -8, 96, 57, -52, -21, 75, -55, 22, 31, 35, 73, 55, 92, -20, -57, 80, 10, 52, 20, -16]"
6,"[-68, 44, 39, 9, 13, 86, -52, -174, -18, 49, 55, -193, 87, 21, -16, -2, -10, -10, 85, -28, -40, 7, -38, -19, -3, 30, -44, -14, 31, -51, 31, 26, 38, 64, 53, -63, 71, 12, -454, -18, 57, -367, -8, 4, 103, 35, 40, 5, -31, -14, 60, 5, 36, 111, -63, 127, 52, -109, -17, 19, -30, -11, 44, 70, 94, 65, 98, -52, -70, 83, 12, 73, 66, -23]"
7,"[-22, 37, 49, 7, 29, 155, -113, -227, -39, -22, 72, -223, 82, 34, 4, -44, 32, 2, 100, -9, -78, 110, -7, -5, 17, 24, -47, -39, 34, -102, 16, 30, 26, 60, 48, -115, 25, 10, -605, -16, 91, -465, -31, -3, 128, 63, 44, -14, -40, 20, 65, -20, 56, 192, -105, 161, 78, -106, -28, 68, 20, -24, 52, 84, 57, 109, 121, -67, -64, 73, -12, 90, 144, -27]"
8,"[43, 100, 51, -12, 44, 198, -156, -256, -65, -38, 145, -242, 82, 23, -2, -16, 33, -21, 78, -27, -115, 110, -5, 8, 140, 4, -75, -8, 40, -182, 18, -11, -7, 81, 42, -129, 47, 52, -743, -8, 79, -542, -17, 61, 113, 61, 68, -45, -52, 43, 91, -76, 57, 180, -103, 130, 99, -185, -42, 25, 32, -33, 48, 80, 109, 161, 140, -57, -74, 90, -5, 102, 275, -34]"
9,"[95, 109, 62, -13, 68, 198, -175, -280, -100, -150, 176, -304, 91, -1, 13, -4, 1, -24, 95, -1, -124, 98, -6, 19, 175, 3, -71, -31, 91, -149, -46, -68, -3, 112, 101, -137, 65, 39, -862, -1, 88, -562, 11, 52, 114, 84, 35, 19, -76, 68, 142, -28, 39, 141, -99, 163, 186, -238, -94, 30, 30, -45, 38, 92, 108, 173, 149, -19, -134, 107, 33, 76, 297, -41]"
