,Births,County Influx,County Population,Deaths,Total Population
0,[],"[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[18, 17, 4, 7, 8, 8, 20, 23, 9, 64, 17, 28, 6, 8, 8, 8, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 47, 16, 15, 8, 9, 10, 8, 26, 3, 107, 3, 5, 47, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 4, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[521, 551, 139, 231, 246, 255, 608, 720, 295, 1910, 538, 836, 195, 247, 271, 263, 203, 120, 346, 237, 264, 379, 269, 127, 474, 286, 350, 202, 335, 1441, 497, 473, 233, 262, 289, 253, 818, 109, 3178, 114, 171, 1407, 358, 395, 826, 392, 310, 746, 123, 289, 1010, 843, 143, 580, 381, 406, 204, 712, 524, 1083, 354, 218, 629, 199, 339, 425, 300, 665, 416, 252, 158, 379, 670, 62]","[13, 14, 5, 3, 6, 9, 16, 19, 6, 46, 26, 22, 6, 5, 8, 7, 7, 3, 7, 6, 3, 11, 3, 2, 16, 12, 8, 7, 10, 37, 17, 6, 4, 7, 15, 5, 17, 3, 73, 2, 3, 44, 9, 6, 35, 9, 3, 15, 9, 10, 28, 29, 3, 18, 12, 20, 5, 18, 15, 29, 11, 8, 12, 6, 20, 12, 5, 18, 4, 8, 4, 4, 23, 2]",35054
2,"[17, 18, 4, 7, 8, 8, 20, 24, 9, 63, 17, 27, 6, 8, 9, 8, 6, 4, 11, 7, 8, 12, 8, 4, 15, 9, 11, 6, 11, 48, 16, 15, 7, 8, 9, 8, 27, 3, 105, 3, 5, 46, 11, 13, 27, 13, 10, 24, 4, 9, 33, 28, 4, 19, 12, 13, 6, 23, 17, 36, 11, 7, 20, 6, 11, 14, 10, 22, 13, 8, 5, 12, 22, 2]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[500, 554, 138, 218, 244, 254, 604, 759, 282, 1848, 548, 816, 181, 257, 290, 272, 193, 119, 344, 239, 258, 383, 282, 125, 451, 280, 370, 198, 316, 1406, 515, 485, 226, 300, 298, 278, 834, 105, 3195, 113, 184, 1413, 357, 374, 840, 424, 334, 688, 125, 308, 986, 860, 144, 597, 394, 412, 189, 703, 539, 1131, 386, 226, 652, 205, 364, 412, 302, 687, 407, 254, 175, 407, 694, 70]","[19, 15, 0, 8, 6, 7, 12, 21, 5, 45, 19, 16, 6, 8, 7, 7, 3, 4, 7, 4, 7, 15, 5, 3, 12, 6, 9, 4, 9, 30, 11, 8, 7, 8, 6, 1, 12, 3, 62, 1, 7, 42, 2, 7, 26, 10, 12, 22, 3, 9, 26, 26, 3, 12, 12, 16, 9, 21, 14, 24, 9, 5, 18, 5, 4, 15, 6, 22, 2, 4, 4, 7, 21, 0]",35321
3,"[16, 18, 4, 7, 8, 8, 20, 25, 9, 61, 18, 27, 6, 8, 9, 9, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 46, 17, 16, 7, 10, 9, 9, 27, 3, 106, 3, 6, 47, 11, 12, 28, 14, 11, 22, 4, 10, 32, 28, 4, 19, 13, 13, 6, 23, 17, 37, 12, 7, 21, 6, 12, 13, 10, 22, 13, 8, 5, 13, 23, 2]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[495, 528, 142, 199, 260, 230, 595, 770, 305, 1797, 562, 823, 182, 238, 316, 281, 176, 112, 333, 265, 258, 406, 254, 118, 436, 324, 382, 203, 311, 1439, 489, 464, 201, 291, 296, 277, 803, 107, 3123, 126, 217, 1470, 345, 355, 872, 472, 354, 697, 134, 314, 989, 937, 138, 633, 410, 421, 198, 699, 549, 1181, 418, 224, 675, 220, 390, 414, 311, 686, 415, 293, 166, 406, 720, 85]","[10, 14, 3, 3, 9, 7, 9, 12, 10, 37, 13, 14, 6, 5, 5, 7, 3, 0, 7, 4, 7, 8, 2, 5, 9, 5, 5, 5, 7, 20, 9, 7, 6, 3, 11, 3, 27, 2, 63, 0, 3, 39, 9, 8, 16, 5, 6, 17, 4, 7, 23, 23, 2, 14, 8, 7, 2, 15, 10, 20, 8, 5, 13, 5, 10, 8, 7, 12, 9, 7, 5, 7, 21, 1]",35725
4,"[16, 17, 4, 6, 8, 7, 19, 25, 10, 59, 18, 27, 6, 7, 10, 9, 5, 3, 11, 8, 8, 13, 8, 3, 14, 10, 12, 6, 10, 47, 16, 15, 6, 9, 9, 9, 26, 3, 104, 4, 7, 49, 11, 11, 29, 15, 11, 23, 4, 10, 32, 31, 4, 21, 13, 14, 6, 23, 18, 39, 13, 7, 22, 7, 13, 13, 10, 22, 13, 9, 5, 13, 24, 2]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[501, 491, 140, 216, 318, 257, 564, 765, 306, 1777, 626, 816, 201, 270, 332, 248, 147, 104, 305, 256, 242, 390, 241, 124, 404, 308, 372, 219, 271, 1392, 532, 481, 206, 306, 312, 296, 827, 97, 3014, 133, 215, 1497, 372, 391, 925, 493, 338, 722, 135, 357, 1030, 953, 145, 640, 416, 441, 195, 724, 562, 1296, 384, 224, 698, 223, 385, 415, 289, 713, 419, 300, 155, 423, 799, 94]","[11, 8, 3, 2, 5, 5, 15, 9, 3, 47, 15, 20, 5, 4, 9, 7, 1, 1, 5, 3, 6, 11, 3, 2, 5, 4, 6, 7, 8, 22, 7, 8, 5, 3, 5, 3, 13, 2, 61, 2, 2, 36, 10, 5, 18, 8, 7, 11, 2, 3, 20, 23, 3, 10, 9, 16, 2, 14, 15, 27, 7, 3, 10, 7, 4, 14, 6, 8, 5, 6, 3, 12, 12, 2]",36175
5,"[16, 16, 4, 7, 10, 8, 18, 25, 10, 59, 20, 27, 6, 9, 11, 8, 4, 3, 10, 8, 8, 13, 8, 4, 13, 10, 12, 7, 9, 46, 17, 16, 6, 10, 10, 9, 27, 3, 100, 4, 7, 49, 12, 13, 30, 16, 11, 24, 4, 11, 34, 31, 4, 21, 13, 14, 6, 24, 18, 43, 12, 7, 23, 7, 12, 13, 9, 23, 13, 10, 5, 14, 26, 3]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[509, 487, 154, 222, 324, 273, 595, 833, 342, 1608, 653, 771, 219, 291, 360, 250, 152, 124, 330, 258, 262, 389, 252, 148, 445, 282, 359, 251, 300, 1401, 555, 491, 205, 321, 301, 274, 804, 101, 2961, 131, 189, 1502, 367, 404, 891, 498, 300, 800, 140, 388, 1048, 1030, 151, 630, 456, 436, 196, 757, 561, 1300, 365, 261, 678, 230, 385, 438, 307, 729, 426, 320, 170, 466, 844, 84]","[6, 9, 3, 2, 4, 7, 9, 14, 4, 29, 15, 11, 4, 5, 4, 8, 2, 4, 10, 4, 4, 4, 5, 2, 8, 7, 4, 6, 3, 19, 6, 11, 3, 6, 6, 2, 10, 0, 58, 3, 3, 27, 5, 10, 18, 6, 4, 11, 2, 9, 16, 11, 2, 10, 4, 9, 3, 12, 12, 22, 4, 6, 11, 5, 11, 9, 5, 11, 6, 4, 2, 7, 13, 2]",36735
6,"[16, 16, 5, 7, 10, 9, 19, 27, 11, 53, 21, 25, 7, 9, 12, 8, 5, 4, 11, 8, 8, 12, 8, 4, 14, 9, 11, 8, 10, 46, 18, 16, 6, 10, 10, 9, 26, 3, 98, 4, 6, 50, 12, 13, 29, 16, 10, 26, 4, 12, 34, 34, 5, 21, 15, 14, 6, 25, 18, 43, 12, 8, 22, 7, 12, 14, 10, 24, 14, 10, 5, 15, 28, 2]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[501, 477, 174, 237, 294, 320, 572, 808, 326, 1653, 634, 816, 231, 324, 355, 260, 161, 140, 356, 265, 263, 458, 284, 135, 457, 300, 332, 266, 319, 1460, 581, 508, 205, 323, 286, 257, 864, 108, 2834, 130, 178, 1477, 381, 417, 941, 518, 286, 799, 153, 410, 1041, 1046, 151, 672, 509, 442, 198, 786, 541, 1263, 365, 256, 737, 264, 336, 487, 312, 762, 420, 309, 179, 507, 834, 75]","[11, 5, 3, 1, 6, 2, 11, 9, 4, 18, 13, 12, 5, 5, 2, 3, 2, 2, 4, 4, 4, 8, 5, 0, 6, 9, 7, 4, 2, 21, 9, 7, 1, 9, 10, 5, 14, 1, 44, 3, 9, 28, 7, 3, 20, 16, 7, 15, 3, 4, 15, 15, 1, 18, 6, 6, 2, 6, 3, 15, 4, 3, 8, 5, 6, 13, 6, 15, 9, 8, 5, 7, 18, 1]",37326
7,"[16, 15, 5, 7, 9, 10, 19, 26, 10, 55, 21, 27, 7, 10, 11, 8, 5, 4, 11, 8, 8, 15, 9, 4, 15, 10, 11, 8, 10, 48, 19, 16, 6, 10, 9, 8, 28, 3, 94, 4, 5, 49, 12, 13, 31, 17, 9, 26, 5, 13, 34, 34, 5, 22, 16, 14, 6, 26, 18, 42, 12, 8, 24, 8, 11, 16, 10, 25, 14, 10, 5, 16, 27, 2]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[522, 465, 170, 185, 278, 322, 543, 809, 334, 1713, 739, 857, 275, 295, 329, 302, 196, 147, 430, 270, 256, 415, 245, 172, 407, 402, 369, 290, 277, 1422, 637, 485, 228, 290, 274, 282, 849, 91, 2942, 104, 175, 1433, 364, 453, 981, 534, 323, 817, 188, 385, 1114, 1093, 175, 725, 480, 568, 166, 785, 531, 1239, 389, 225, 640, 230, 325, 529, 316, 794, 407, 295, 170, 528, 870, 97]","[4, 5, 3, 5, 4, 4, 12, 10, 5, 23, 7, 14, 2, 5, 7, 3, 3, 4, 8, 4, 6, 7, 5, 3, 7, 6, 4, 5, 3, 18, 11, 7, 1, 5, 1, 5, 19, 1, 51, 3, 1, 22, 6, 9, 12, 5, 3, 20, 4, 3, 12, 18, 4, 10, 2, 4, 4, 13, 12, 24, 7, 2, 7, 3, 8, 10, 2, 9, 8, 5, 2, 8, 8, 1]",37962
8,"[17, 15, 5, 6, 9, 10, 18, 26, 11, 57, 24, 28, 9, 9, 10, 10, 6, 4, 14, 9, 8, 13, 8, 5, 13, 13, 12, 9, 9, 47, 21, 16, 7, 9, 9, 9, 28, 3, 98, 3, 5, 47, 12, 15, 32, 17, 10, 27, 6, 12, 37, 36, 5, 24, 16, 18, 5, 26, 17, 41, 12, 7, 21, 7, 10, 17, 10, 26, 13, 9, 5, 17, 29, 3]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[503, 462, 156, 198, 278, 368, 607, 830, 330, 1686, 771, 771, 276, 302, 350, 321, 196, 124, 442, 238, 225, 416, 259, 181, 425, 395, 335, 310, 314, 1420, 652, 567, 201, 324, 312, 299, 795, 90, 2795, 123, 195, 1376, 380, 452, 917, 545, 372, 814, 208, 405, 1121, 1169, 178, 742, 569, 598, 182, 831, 626, 1215, 379, 231, 736, 275, 339, 580, 335, 822, 391, 293, 175, 529, 871, 126]","[5, 14, 2, 3, 6, 3, 13, 9, 2, 31, 12, 6, 6, 7, 6, 3, 1, 0, 7, 5, 1, 7, 4, 1, 5, 7, 5, 8, 5, 16, 18, 1, 4, 5, 3, 2, 9, 1, 46, 1, 1, 15, 3, 8, 19, 10, 1, 13, 5, 10, 16, 23, 0, 9, 11, 10, 0, 12, 15, 17, 8, 5, 12, 3, 5, 6, 3, 8, 1, 2, 4, 7, 16, 1]",38624
9,"[16, 15, 5, 6, 9, 12, 20, 27, 11, 56, 25, 25, 9, 10, 11, 10, 6, 4, 14, 7, 7, 13, 8, 6, 14, 13, 11, 10, 10, 47, 21, 18, 6, 10, 10, 9, 26, 3, 93, 4, 6, 45, 12, 15, 30, 18, 12, 27, 6, 13, 37, 38, 5, 24, 18, 19, 6, 27, 20, 40, 12, 7, 24, 9, 11, 19, 11, 27, 13, 9, 5, 17, 29, 4]","[-24, -129, 31, -2, -1, 134, -40, 27, -52, -463, 152, -159, 44, 44, 26, 74, -57, -1, 92, 9, -21, 38, -28, 48, -6, 134, -126, 84, -11, -285, 147, 18, -83, 104, -79, 5, -47, -42, -964, 24, 16, -122, -25, 35, -5, 113, -8, 44, 101, -15, -38, 332, 47, 32, 81, 187, -40, 76, 97, -10, 17, -17, 137, 75, -58, 154, -87, 25, -127, 100, -10, 114, 136, 28]","[504, 453, 160, 210, 221, 383, 620, 819, 314, 1728, 773, 839, 281, 298, 369, 361, 153, 121, 436, 278, 241, 479, 237, 190, 446, 444, 325, 300, 379, 1402, 640, 520, 223, 372, 248, 264, 788, 110, 2696, 159, 246, 1461, 426, 523, 922, 625, 344, 959, 201, 396, 1070, 1287, 197, 692, 537, 668, 202, 895, 641, 1266, 414, 172, 723, 279, 347, 565, 278, 822, 343, 338, 183, 485, 880, 111]","[7, 7, 2, 2, 5, 9, 8, 11, 2, 27, 3, 14, 2, 4, 6, 4, 4, 1, 8, 2, 7, 7, 2, 4, 4, 6, 3, 5, 7, 20, 12, 11, 3, 8, 3, 1, 12, 2, 41, 3, 5, 26, 3, 9, 12, 7, 6, 18, 4, 7, 10, 26, 2, 14, 4, 14, 4, 10, 8, 17, 8, 4, 10, 3, 6, 10, 2, 17, 4, 4, 3, 5, 19, 4]",39282
