,Births,County Influx,County Population,Deaths,Total Population
0,[],"[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[18, 17, 4, 7, 8, 8, 20, 23, 9, 64, 17, 28, 6, 8, 8, 8, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 47, 16, 15, 8, 9, 10, 8, 26, 3, 107, 3, 5, 47, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 4, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[545, 525, 125, 233, 242, 264, 599, 709, 288, 1947, 511, 877, 211, 256, 253, 267, 212, 112, 338, 243, 276, 380, 286, 126, 465, 291, 377, 206, 340, 1427, 479, 472, 249, 284, 290, 252, 808, 112, 3206, 102, 166, 1402, 349, 358, 824, 393, 305, 725, 114, 277, 1028, 812, 148, 602, 369, 420, 207, 684, 559, 1042, 339, 220, 643, 197, 362, 424, 290, 659, 422, 234, 161, 382, 676, 63]","[15, 13, 4, 6, 5, 9, 12, 24, 7, 48, 23, 23, 8, 6, 7, 3, 5, 2, 11, 5, 2, 19, 6, 2, 16, 10, 7, 3, 11, 28, 9, 10, 3, 11, 10, 5, 29, 2, 82, 4, 5, 52, 10, 10, 25, 10, 4, 17, 4, 7, 25, 16, 4, 25, 12, 11, 5, 19, 10, 42, 11, 2, 11, 5, 8, 18, 7, 16, 7, 10, 7, 9, 32, 1]",35041
2,"[18, 17, 4, 7, 8, 8, 19, 23, 9, 64, 17, 29, 7, 8, 8, 8, 7, 3, 11, 8, 9, 12, 9, 4, 15, 9, 12, 6, 11, 47, 15, 15, 8, 9, 9, 8, 26, 3, 106, 3, 5, 46, 11, 11, 27, 13, 10, 24, 3, 9, 34, 27, 4, 20, 12, 14, 6, 22, 18, 34, 11, 7, 21, 6, 12, 14, 9, 21, 14, 7, 5, 12, 22, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[524, 509, 126, 222, 248, 252, 580, 703, 304, 1943, 515, 912, 219, 261, 257, 269, 230, 110, 373, 246, 279, 415, 275, 118, 450, 319, 374, 218, 340, 1452, 449, 475, 222, 311, 301, 259, 820, 101, 3128, 93, 160, 1415, 366, 389, 818, 380, 311, 714, 105, 295, 1038, 842, 146, 618, 373, 448, 184, 725, 576, 1035, 335, 239, 688, 201, 353, 487, 286, 655, 431, 245, 165, 400, 662, 66]","[10, 14, 4, 2, 10, 3, 7, 19, 3, 31, 15, 24, 5, 3, 4, 6, 1, 4, 5, 9, 6, 6, 6, 4, 19, 4, 10, 5, 14, 21, 10, 14, 3, 5, 16, 6, 18, 3, 81, 3, 4, 42, 4, 2, 19, 11, 6, 16, 7, 3, 23, 18, 1, 17, 13, 20, 2, 17, 15, 30, 9, 3, 17, 9, 5, 8, 7, 17, 8, 5, 5, 7, 13, 4]",35353
3,"[17, 16, 4, 7, 8, 8, 19, 23, 10, 64, 17, 30, 7, 8, 8, 8, 7, 3, 12, 8, 9, 13, 9, 3, 15, 10, 12, 7, 11, 48, 14, 15, 7, 10, 10, 8, 27, 3, 104, 3, 5, 47, 12, 12, 27, 12, 10, 23, 3, 9, 34, 28, 4, 20, 12, 14, 6, 24, 19, 34, 11, 7, 22, 6, 11, 16, 9, 21, 14, 8, 5, 13, 22, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[543, 522, 117, 247, 244, 241, 553, 693, 306, 1885, 484, 884, 209, 238, 268, 247, 225, 132, 375, 274, 300, 430, 273, 107, 476, 310, 344, 221, 358, 1508, 456, 497, 277, 277, 350, 272, 815, 97, 3043, 81, 156, 1422, 365, 419, 776, 410, 307, 775, 115, 291, 1073, 849, 142, 660, 373, 489, 195, 763, 571, 1042, 331, 234, 704, 219, 367, 506, 314, 647, 422, 269, 182, 450, 688, 66]","[9, 9, 2, 3, 4, 8, 10, 19, 4, 29, 18, 18, 1, 3, 4, 7, 2, 3, 11, 3, 5, 11, 5, 2, 14, 6, 8, 4, 2, 20, 8, 8, 5, 9, 2, 5, 14, 4, 62, 0, 5, 30, 9, 11, 23, 9, 5, 16, 1, 3, 22, 19, 2, 14, 9, 7, 3, 24, 13, 25, 6, 2, 16, 4, 6, 15, 7, 20, 9, 11, 2, 6, 9, 2]",35771
4,"[18, 17, 3, 8, 8, 8, 18, 23, 10, 62, 16, 29, 6, 7, 8, 8, 7, 4, 12, 9, 10, 14, 9, 3, 15, 10, 11, 7, 11, 50, 15, 16, 9, 9, 11, 9, 27, 3, 101, 2, 5, 47, 12, 13, 25, 13, 10, 25, 3, 9, 35, 28, 4, 22, 12, 16, 6, 25, 19, 34, 11, 7, 23, 7, 12, 16, 10, 21, 14, 8, 6, 15, 22, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[500, 493, 114, 251, 270, 280, 548, 729, 296, 1853, 537, 863, 201, 245, 265, 242, 220, 141, 379, 269, 303, 486, 279, 111, 487, 300, 412, 220, 394, 1565, 474, 486, 263, 293, 368, 251, 873, 124, 2811, 95, 200, 1451, 389, 433, 758, 399, 309, 714, 104, 291, 1149, 906, 139, 691, 411, 498, 196, 835, 575, 1047, 332, 254, 700, 217, 354, 538, 340, 669, 460, 271, 167, 453, 692, 73]","[11, 15, 2, 4, 6, 7, 10, 16, 3, 27, 8, 10, 1, 4, 5, 5, 8, 3, 6, 6, 2, 9, 2, 1, 5, 8, 10, 7, 7, 19, 7, 7, 2, 5, 10, 7, 14, 2, 55, 1, 3, 35, 8, 7, 10, 5, 6, 17, 1, 3, 17, 17, 2, 13, 7, 16, 3, 18, 9, 15, 4, 2, 7, 2, 8, 10, 3, 11, 5, 4, 0, 3, 16, 1]",36306
5,"[16, 16, 3, 8, 9, 9, 18, 24, 9, 61, 17, 28, 6, 8, 8, 8, 7, 4, 12, 8, 10, 16, 9, 3, 16, 10, 13, 7, 13, 52, 15, 16, 8, 9, 12, 8, 29, 4, 93, 3, 6, 48, 12, 14, 25, 13, 10, 23, 3, 9, 38, 30, 4, 23, 13, 16, 6, 27, 19, 34, 11, 8, 23, 7, 11, 17, 11, 22, 15, 9, 5, 15, 23, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[491, 490, 99, 272, 269, 327, 561, 818, 278, 1772, 594, 874, 201, 272, 251, 302, 217, 138, 395, 296, 293, 500, 263, 97, 454, 278, 375, 247, 351, 1559, 463, 450, 274, 303, 357, 224, 887, 144, 2766, 95, 176, 1505, 370, 434, 753, 401, 287, 711, 116, 284, 1246, 937, 128, 692, 430, 510, 184, 897, 622, 1088, 351, 253, 731, 235, 352, 585, 350, 749, 512, 289, 155, 470, 740, 70]","[5, 6, 3, 2, 5, 4, 8, 18, 4, 21, 13, 12, 4, 3, 2, 5, 5, 3, 4, 8, 7, 10, 5, 0, 4, 4, 1, 3, 5, 20, 8, 8, 1, 4, 5, 5, 17, 1, 39, 0, 4, 25, 4, 7, 10, 8, 3, 11, 4, 6, 23, 14, 3, 17, 5, 13, 4, 15, 6, 21, 5, 2, 12, 4, 6, 10, 4, 5, 7, 6, 3, 10, 12, 2]",36910
6,"[16, 16, 3, 9, 8, 10, 18, 27, 9, 59, 19, 29, 6, 9, 8, 10, 7, 4, 13, 9, 9, 16, 8, 3, 15, 9, 12, 8, 11, 51, 15, 15, 9, 10, 11, 7, 29, 4, 92, 3, 5, 50, 12, 14, 25, 13, 9, 23, 3, 9, 41, 31, 4, 23, 14, 17, 6, 29, 20, 36, 11, 8, 24, 7, 11, 19, 11, 24, 17, 9, 5, 15, 24, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[467, 507, 129, 239, 321, 315, 532, 806, 286, 1784, 580, 905, 248, 269, 264, 278, 246, 111, 393, 305, 292, 514, 255, 95, 483, 286, 400, 256, 369, 1571, 456, 546, 298, 352, 372, 195, 944, 135, 2646, 86, 181, 1545, 359, 470, 737, 398, 290, 738, 133, 305, 1252, 995, 108, 699, 445, 559, 192, 863, 598, 1122, 339, 224, 805, 269, 353, 625, 347, 756, 522, 286, 156, 473, 766, 82]","[16, 6, 2, 3, 3, 5, 10, 14, 4, 33, 12, 23, 2, 7, 5, 4, 6, 4, 7, 4, 2, 5, 5, 0, 4, 5, 11, 4, 9, 17, 6, 5, 3, 4, 11, 2, 13, 2, 34, 2, 0, 14, 9, 8, 18, 2, 2, 14, 3, 4, 21, 16, 2, 15, 6, 9, 2, 12, 8, 19, 4, 4, 13, 4, 7, 11, 7, 9, 2, 4, 1, 4, 11, 0]",37528
7,"[15, 16, 4, 7, 10, 10, 17, 26, 9, 59, 19, 30, 8, 8, 8, 9, 8, 3, 13, 10, 9, 17, 8, 3, 16, 9, 13, 8, 12, 52, 15, 18, 9, 11, 12, 6, 31, 4, 88, 2, 6, 51, 11, 15, 24, 13, 9, 24, 4, 10, 41, 33, 3, 23, 14, 18, 6, 28, 19, 37, 11, 7, 26, 8, 11, 20, 11, 25, 17, 9, 5, 15, 25, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[573, 474, 141, 256, 313, 307, 532, 918, 264, 1672, 717, 864, 252, 246, 262, 262, 247, 124, 425, 318, 294, 519, 271, 103, 534, 296, 412, 252, 325, 1414, 437, 531, 307, 331, 370, 229, 913, 129, 2745, 88, 153, 1619, 398, 485, 730, 448, 272, 809, 159, 273, 1299, 1060, 138, 738, 446, 546, 196, 875, 657, 1085, 311, 244, 850, 277, 391, 655, 367, 744, 456, 307, 174, 466, 839, 83]","[3, 9, 0, 2, 3, 6, 4, 18, 1, 22, 13, 8, 5, 2, 4, 6, 1, 1, 3, 5, 4, 5, 4, 2, 4, 3, 7, 4, 5, 26, 4, 9, 1, 3, 6, 2, 18, 2, 38, 4, 2, 27, 6, 8, 8, 11, 1, 13, 0, 2, 25, 17, 1, 7, 7, 5, 3, 12, 9, 16, 5, 1, 12, 6, 3, 9, 4, 13, 7, 2, 1, 3, 10, 1]",38217
8,"[19, 15, 4, 8, 10, 10, 17, 30, 8, 55, 23, 28, 8, 8, 8, 8, 8, 4, 14, 10, 9, 17, 9, 3, 17, 9, 13, 8, 10, 47, 14, 17, 10, 11, 12, 7, 30, 4, 91, 2, 5, 53, 13, 16, 24, 14, 9, 26, 5, 9, 43, 35, 4, 24, 14, 18, 6, 29, 21, 36, 10, 8, 28, 9, 13, 21, 12, 24, 15, 10, 5, 15, 27, 2]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[662, 514, 159, 243, 331, 308, 556, 912, 256, 1673, 746, 900, 245, 243, 269, 258, 222, 146, 384, 317, 303, 568, 317, 97, 527, 309, 445, 292, 286, 1494, 509, 545, 311, 358, 392, 270, 979, 102, 2580, 118, 192, 1591, 514, 459, 675, 433, 303, 722, 180, 269, 1301, 1099, 122, 698, 432, 600, 229, 892, 671, 1141, 308, 301, 869, 337, 315, 664, 358, 758, 447, 339, 188, 421, 843, 55]","[9, 8, 4, 2, 5, 5, 7, 12, 6, 24, 23, 10, 4, 5, 4, 5, 7, 2, 4, 9, 4, 5, 7, 2, 9, 4, 7, 1, 6, 22, 13, 7, 6, 8, 6, 3, 8, 0, 38, 1, 2, 23, 2, 4, 13, 4, 4, 13, 0, 5, 14, 24, 0, 9, 9, 12, 1, 13, 4, 17, 3, 6, 13, 7, 8, 10, 4, 12, 6, 7, 2, 7, 13, 0]",38872
9,"[22, 17, 5, 8, 11, 10, 18, 30, 8, 55, 24, 30, 8, 8, 8, 8, 7, 4, 12, 10, 10, 18, 10, 3, 17, 10, 14, 9, 9, 49, 16, 18, 10, 11, 13, 9, 32, 3, 86, 3, 6, 53, 17, 15, 22, 14, 10, 24, 6, 8, 43, 36, 4, 23, 14, 20, 7, 29, 22, 38, 10, 10, 28, 11, 10, 22, 11, 25, 14, 11, 6, 14, 28, 1]","[30, 96, 35, -53, 106, 105, -148, 145, -34, -847, 389, 38, 236, 73, 8, 82, 217, 61, -4, 181, -5, 227, -53, -38, 87, -21, 86, 249, -49, -562, -61, 135, 62, 154, 259, -51, -89, 96, -1463, 108, 25, -264, 63, -9, -142, 215, -63, -50, 106, -78, 51, 233, -91, 134, 74, 150, -63, -48, -67, -50, -109, 5, -204, 268, 118, 183, -50, -178, -71, -9, 36, 120, -30, 8]","[654, 534, 179, 315, 310, 327, 491, 997, 247, 1602, 792, 943, 274, 240, 290, 350, 215, 119, 368, 349, 289, 697, 295, 102, 515, 326, 451, 337, 337, 1392, 535, 550, 308, 413, 396, 302, 1074, 94, 2613, 113, 156, 1658, 517, 474, 708, 443, 226, 730, 158, 237, 1213, 1158, 120, 704, 508, 597, 249, 919, 659, 1109, 322, 287, 869, 358, 339, 740, 364, 820, 475, 324, 157, 358, 803, 55]","[11, 11, 5, 2, 7, 4, 8, 11, 6, 20, 7, 13, 5, 4, 5, 8, 5, 0, 3, 6, 5, 17, 6, 0, 4, 11, 5, 2, 3, 26, 12, 4, 2, 5, 7, 6, 7, 1, 38, 1, 3, 23, 9, 4, 8, 8, 1, 11, 2, 3, 21, 15, 0, 12, 8, 12, 2, 18, 7, 13, 6, 7, 18, 7, 1, 9, 2, 11, 12, 3, 2, 7, 19, 1]",39549
