,Births,County Influx,County Population,Deaths,Total Population
0,[],"[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[545, 526, 138, 225, 241, 263, 604, 710, 289, 1933, 534, 858, 206, 256, 266, 263, 204, 111, 330, 237, 255, 380, 277, 123, 468, 289, 368, 196, 327, 1434, 481, 471, 243, 271, 305, 255, 802, 115, 3230, 105, 178, 1411, 360, 366, 828, 379, 305, 736, 123, 285, 995, 828, 148, 580, 384, 401, 205, 683, 517, 1076, 345, 215, 609, 192, 343, 403, 288, 659, 411, 241, 164, 348, 670, 67]",[],34877
1,"[18, 17, 4, 7, 8, 8, 20, 23, 9, 64, 17, 28, 6, 8, 8, 8, 6, 3, 11, 7, 8, 12, 9, 4, 15, 9, 12, 6, 10, 47, 16, 15, 8, 9, 10, 8, 26, 3, 107, 3, 5, 47, 12, 12, 27, 12, 10, 24, 4, 9, 33, 27, 4, 19, 12, 13, 6, 22, 17, 35, 11, 7, 20, 6, 11, 13, 9, 21, 13, 8, 5, 11, 22, 2]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[613, 614, 193, 460, 284, 388, 560, 682, 329, 1983, 647, 820, 260, 495, 279, 262, 211, 115, 337, 245, 231, 384, 278, 127, 480, 269, 363, 194, 326, 1372, 521, 464, 250, 265, 302, 224, 817, 119, 2941, 97, 183, 1258, 386, 399, 804, 415, 308, 749, 105, 272, 950, 812, 156, 602, 331, 386, 200, 603, 472, 1004, 332, 193, 584, 196, 331, 400, 297, 601, 368, 242, 172, 368, 675, 60]","[13, 23, 5, 8, 8, 8, 20, 16, 5, 56, 25, 25, 8, 9, 9, 11, 4, 4, 9, 3, 6, 6, 10, 2, 9, 10, 8, 3, 17, 36, 8, 11, 8, 10, 14, 7, 18, 4, 79, 1, 6, 47, 7, 7, 38, 15, 5, 18, 3, 0, 38, 23, 4, 17, 17, 13, 9, 28, 17, 31, 8, 7, 15, 3, 10, 12, 7, 13, 4, 6, 3, 7, 13, 1]",35015
2,"[20, 20, 6, 15, 9, 12, 18, 22, 10, 66, 21, 27, 8, 16, 9, 8, 7, 3, 11, 8, 7, 12, 9, 4, 16, 8, 12, 6, 10, 45, 17, 15, 8, 8, 10, 7, 27, 3, 98, 3, 6, 41, 12, 13, 26, 13, 10, 24, 3, 9, 31, 27, 5, 20, 11, 12, 6, 20, 15, 33, 11, 6, 19, 6, 11, 13, 9, 20, 12, 8, 5, 12, 22, 2]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[716, 785, 321, 967, 725, 402, 486, 632, 388, 2058, 814, 1141, 352, 616, 274, 272, 220, 125, 357, 252, 174, 379, 279, 127, 491, 218, 325, 197, 310, 1195, 570, 432, 259, 263, 326, 178, 834, 115, 2470, 78, 195, 1012, 391, 449, 797, 462, 321, 740, 79, 232, 847, 748, 166, 587, 279, 365, 190, 512, 378, 871, 319, 160, 527, 173, 315, 431, 294, 484, 297, 243, 176, 413, 676, 51]","[24, 23, 7, 23, 20, 8, 16, 15, 4, 44, 24, 26, 10, 18, 6, 2, 8, 0, 9, 4, 7, 16, 7, 0, 16, 4, 3, 5, 9, 23, 7, 9, 6, 6, 13, 1, 12, 2, 56, 3, 3, 28, 13, 9, 20, 9, 7, 16, 1, 7, 25, 29, 3, 19, 4, 10, 7, 17, 14, 17, 4, 7, 18, 4, 9, 4, 7, 10, 4, 2, 2, 6, 14, 1]",35303
3,"[23, 26, 10, 32, 24, 13, 16, 21, 12, 68, 27, 38, 11, 20, 9, 9, 7, 4, 11, 8, 5, 12, 9, 4, 16, 7, 10, 6, 10, 39, 19, 14, 8, 8, 10, 5, 27, 3, 82, 2, 6, 33, 13, 14, 26, 15, 10, 24, 2, 7, 28, 24, 5, 19, 9, 12, 6, 17, 12, 29, 10, 5, 17, 5, 10, 14, 9, 16, 9, 8, 5, 13, 22, 1]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[865, 1068, 494, 1956, 1652, 437, 524, 531, 399, 2155, 949, 1253, 961, 825, 277, 244, 184, 134, 326, 241, 120, 375, 263, 126, 514, 163, 282, 204, 289, 975, 664, 373, 229, 231, 348, 123, 856, 103, 1939, 59, 187, 746, 389, 451, 667, 439, 308, 589, 61, 182, 654, 633, 148, 551, 199, 306, 192, 389, 282, 644, 249, 117, 483, 139, 276, 387, 264, 368, 207, 212, 195, 431, 641, 36]","[17, 31, 4, 31, 29, 4, 13, 7, 3, 52, 30, 16, 16, 11, 2, 2, 4, 2, 9, 7, 4, 11, 1, 1, 6, 3, 5, 4, 6, 23, 14, 9, 3, 7, 6, 2, 16, 1, 41, 2, 2, 19, 11, 3, 10, 9, 3, 14, 0, 5, 16, 16, 5, 7, 4, 15, 6, 4, 4, 20, 3, 3, 9, 5, 5, 13, 4, 6, 3, 2, 5, 6, 18, 0]",35733
4,"[28, 35, 16, 65, 55, 14, 17, 17, 13, 71, 31, 41, 32, 27, 9, 8, 6, 4, 10, 8, 4, 12, 8, 4, 17, 5, 9, 6, 9, 32, 22, 12, 7, 7, 11, 4, 28, 3, 64, 1, 6, 24, 12, 15, 22, 14, 10, 19, 2, 6, 21, 21, 4, 18, 6, 10, 6, 12, 9, 21, 8, 3, 16, 4, 9, 12, 8, 12, 6, 7, 6, 14, 21, 1]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[960, 1379, 691, 3235, 2936, 453, 499, 443, 349, 2144, 1037, 1848, 1726, 1042, 216, 199, 142, 122, 270, 189, 80, 398, 211, 118, 533, 98, 236, 185, 277, 666, 706, 279, 175, 170, 352, 87, 884, 64, 1322, 39, 163, 504, 313, 493, 548, 421, 295, 442, 37, 140, 471, 464, 111, 466, 138, 214, 183, 264, 204, 464, 186, 85, 349, 101, 225, 291, 214, 246, 150, 145, 185, 387, 593, 17]","[10, 23, 5, 49, 33, 10, 7, 5, 2, 50, 16, 19, 20, 16, 7, 7, 4, 2, 3, 1, 4, 8, 3, 4, 3, 2, 4, 4, 7, 10, 11, 3, 3, 3, 9, 0, 15, 2, 24, 0, 3, 16, 7, 3, 10, 10, 5, 10, 0, 4, 11, 12, 1, 5, 7, 9, 4, 8, 1, 12, 4, 0, 7, 4, 5, 6, 7, 7, 3, 3, 6, 2, 21, 0]",36269
5,"[32, 45, 23, 107, 97, 15, 16, 14, 11, 71, 34, 61, 57, 34, 7, 6, 4, 4, 9, 6, 2, 13, 7, 3, 17, 3, 7, 6, 9, 22, 23, 9, 5, 5, 11, 2, 29, 2, 44, 1, 5, 16, 10, 16, 18, 14, 9, 14, 1, 4, 15, 15, 3, 15, 4, 7, 6, 8, 6, 15, 6, 2, 11, 3, 7, 9, 7, 8, 5, 4, 6, 12, 19, 0]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[933, 1761, 865, 4697, 3890, 378, 474, 383, 2691, 2148, 961, 986, 2390, 1128, 179, 127, 95, 106, 219, 126, 54, 380, 156, 95, 544, 55, 141, 178, 217, 436, 672, 175, 116, 126, 355, 44, 917, 49, 795, 25, 109, 302, 244, 384, 391, 417, 278, 306, 20, 93, 311, 292, 71, 348, 82, 139, 178, 175, 122, 267, 106, 50, 214, 71, 169, 226, 143, 142, 85, 96, 133, 311, 504, 11]","[9, 32, 5, 63, 61, 7, 9, 6, 34, 32, 18, 11, 35, 20, 3, 4, 4, 1, 2, 1, 2, 9, 3, 2, 10, 2, 3, 0, 6, 4, 9, 3, 2, 0, 2, 1, 13, 0, 14, 0, 3, 6, 6, 4, 10, 9, 3, 7, 0, 1, 3, 7, 1, 8, 5, 7, 2, 3, 2, 6, 4, 2, 7, 1, 2, 5, 3, 6, 1, 3, 1, 9, 6, 0]",36857
6,"[31, 58, 28, 156, 129, 12, 15, 12, 89, 71, 32, 32, 79, 37, 5, 4, 3, 3, 7, 4, 1, 12, 5, 3, 18, 1, 4, 5, 7, 14, 22, 5, 3, 4, 11, 1, 30, 1, 26, 0, 3, 10, 8, 12, 13, 13, 9, 10, 0, 3, 10, 9, 2, 11, 2, 4, 5, 5, 4, 8, 3, 1, 7, 2, 5, 7, 4, 4, 2, 3, 4, 10, 16, 0]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[911, 2123, 922, 6207, 4433, 424, 291, 2926, 1111, 4623, 1013, 459, 1883, 1052, 136, 62, 55, 71, 151, 60, 36, 366, 81, 70, 551, 32, 87, 156, 140, 230, 552, 106, 75, 71, 295, 31, 907, 27, 406, 14, 67, 168, 153, 226, 264, 328, 198, 187, 10, 46, 183, 167, 59, 205, 49, 80, 143, 113, 64, 176, 44, 26, 122, 52, 110, 152, 122, 75, 48, 55, 103, 208, 324, 4]","[18, 40, 8, 94, 65, 6, 8, 35, 29, 59, 12, 15, 20, 7, 3, 1, 0, 0, 4, 1, 1, 5, 2, 1, 3, 1, 1, 1, 4, 5, 10, 1, 0, 3, 2, 0, 18, 2, 8, 0, 1, 5, 2, 4, 3, 4, 2, 4, 0, 0, 1, 5, 1, 3, 0, 1, 3, 2, 2, 2, 1, 1, 2, 0, 2, 2, 3, 4, 1, 1, 1, 3, 10, 0]",37477
7,"[30, 70, 30, 206, 147, 14, 9, 97, 37, 154, 33, 15, 62, 35, 4, 2, 1, 2, 5, 2, 1, 12, 2, 2, 18, 1, 2, 5, 4, 7, 18, 3, 2, 2, 9, 1, 30, 0, 13, 0, 2, 5, 5, 7, 8, 10, 6, 6, 0, 1, 6, 5, 1, 6, 1, 2, 4, 3, 2, 5, 1, 0, 4, 1, 3, 5, 4, 2, 1, 1, 3, 6, 10, 0]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[853, 2311, 891, 7132, 4180, 359, 2248, 923, 569, 9510, 873, 240, 1195, 811, 66, 38, 26, 55, 93, 35, 16, 346, 53, 40, 526, 18, 43, 121, 83, 135, 347, 58, 58, 36, 204, 16, 819, 13, 220, 8, 39, 93, 85, 121, 149, 230, 140, 110, 6, 30, 108, 85, 28, 102, 24, 48, 117, 62, 34, 104, 23, 15, 57, 25, 54, 96, 87, 38, 27, 23, 46, 127, 182, 1]","[19, 36, 17, 104, 71, 5, 29, 22, 10, 121, 12, 8, 22, 15, 0, 1, 0, 1, 1, 0, 1, 5, 0, 0, 8, 0, 0, 2, 2, 2, 6, 2, 2, 0, 2, 0, 11, 0, 13, 0, 0, 1, 2, 1, 5, 1, 2, 5, 0, 1, 0, 3, 0, 3, 1, 2, 1, 1, 0, 3, 0, 0, 6, 2, 2, 2, 2, 1, 1, 0, 0, 3, 5, 0]",38084
8,"[28, 77, 29, 237, 139, 11, 74, 30, 18, 317, 29, 8, 39, 27, 2, 1, 0, 1, 3, 1, 0, 11, 1, 1, 17, 0, 1, 4, 2, 4, 11, 1, 1, 1, 6, 0, 27, 0, 7, 0, 1, 3, 2, 4, 4, 7, 4, 3, 0, 1, 3, 2, 0, 3, 0, 1, 3, 2, 1, 3, 0, 0, 1, 0, 1, 3, 2, 1, 0, 0, 1, 4, 6, 0]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[890, 2394, 814, 8630, 3776, 1718, 710, 6978, 348, 6161, 683, 132, 818, 644, 58, 23, 19, 25, 51, 27, 8, 313, 34, 18, 472, 8, 29, 53, 59, 75, 208, 33, 35, 29, 124, 5, 698, 5, 122, 2, 12, 57, 75, 69, 92, 135, 101, 71, 3, 12, 57, 47, 18, 49, 10, 29, 81, 36, 13, 67, 10, 12, 26, 11, 22, 55, 59, 21, 12, 12, 22, 63, 119, 1]","[6, 40, 12, 134, 65, 19, 7, 102, 5, 95, 13, 0, 16, 12, 0, 0, 0, 1, 0, 0, 0, 9, 1, 0, 7, 0, 0, 1, 1, 5, 3, 1, 0, 0, 1, 1, 11, 0, 4, 0, 1, 1, 3, 2, 3, 2, 1, 3, 0, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 4, 1, 0, 0, 0, 0, 1, 3, 0]",38708
9,"[29, 79, 27, 287, 125, 57, 23, 232, 11, 205, 22, 4, 27, 21, 1, 0, 0, 0, 1, 0, 0, 10, 1, 0, 15, 0, 0, 1, 1, 2, 6, 1, 1, 0, 4, 0, 23, 0, 4, 0, 0, 1, 2, 2, 3, 4, 3, 2, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 3, 0]","[6007, 18, 20124, -1572, -57, -633, -1260, -1665, 2057, 2814, 1652, -1128, 1216, -462, -514, -262, -207, -118, -249, -244, -256, -357, 98, -112, -517, -296, -375, -229, -312, -1498, -464, -499, -236, -276, -380, -270, -866, -112, -3426, -103, -174, -1457, -374, -412, -863, 639, -295, -737, -131, -302, -1025, -856, -129, -590, -386, -393, -188, -702, -535, -1125, -356, -217, -626, -194, -357, -413, -236, -666, -441, -263, -184, -376, -596, -71]","[978, 2408, 978, 10596, 3915, 1852, 438, 8897, 261, 3924, 469, 93, 563, 382, 326, 22, 17, 21, 47, 19, 9, 262, 37, 10, 395, 7, 22, 26, 41, 58, 214, 26, 40, 24, 117, 2, 551, 10, 114, 0, 15, 34, 61, 54, 119, 126, 70, 88, 0, 10, 37, 32, 22, 57, 13, 19, 51, 21, 14, 40, 12, 6, 23, 8, 20, 50, 43, 16, 7, 9, 20, 49, 74, 0]","[22, 38, 20, 141, 55, 29, 8, 111, 2, 56, 8, 4, 6, 7, 1, 0, 0, 1, 1, 0, 0, 7, 1, 0, 7, 1, 0, 1, 1, 2, 2, 1, 1, 0, 1, 0, 4, 1, 1, 0, 0, 0, 0, 0, 1, 4, 2, 3, 0, 0, 2, 0, 0, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 4, 0]",39391
